SURVEY:   LSST
SNID:     2010656
IAUC:     NULL
SNTYPE:   140
RA:       232.269376  # deg
DEC:      -15.196940  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1112 +- 0.0056  # MW E(B-V) 
PEAKMJD:  60147.738     # estimate for LC fit codes
MJD_TRIGGER:       60008.266  
MJD_DETECT_FIRST:  60002.293  
MJD_DETECT_LAST:   60547.012  

REDSHIFT_HELIO:   1.959550 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.961182 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8007990551  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9596  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          232.269371    # deg 
HOSTGAL_DEC:         -15.197047    # deg 
HOSTGAL_SNSEP:       0.194       # arcsec 
HOSTGAL_DDLR:        3.464       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.217 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.538
HOSTGAL_SQRADIUS:     9.591   # Ixx + Iyy
HOSTGAL_MAG:     26.98  26.62  26.52  26.45  26.36  26.37 # ugrizY
HOSTGAL_MAGERR:  26.62   0.11   0.10   0.13   0.31   0.33 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  838   # template index for SIMSED,NONIa
SIM_LIBID:           10655    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.95955  
SIM_REDSHIFT_CMB:    1.96118  
SIM_REDSHIFT_HOST:   1.89559  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8007990551 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.481 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.217 -9.000 
SIM_DLMU:            45.9039   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0270   # mag 
SIM_RA:              232.269379     # deg  
SIM_DEC:             -15.196939      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1085   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60147.738    #  true PEAKMJD, days 
SIM_SALT2x0:         4.3496e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -167.41  # days 
SIM_TRESTMAX:        134.91  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    838.000000
SIMSED_param(bfield):    0.212180
SIMSED_param(mns):    1.420004
SIMSED_param(pspin):    2.530542
SIMSED_param(kappa):    0.127262
SIMSED_param(kappagamma):    1.394499
SIMSED_param(mej):    6.033782
SIMSED_param(temp):    6285.280762
SIMSED_param(vej):    9082.242188

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.69  27.12  25.47  24.54  24.01  23.75  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2705 Y WFD  3.0733e-02  8.530e-02    0  1.000 42.550  1.82 1.384e+04  99.0000 
OBS: 59653.2339 Y WFD  1.1424e-01  1.229e-01    0  1.000 42.520  2.35 1.503e+04  99.0000 
OBS: 59655.3497 Y WFD  4.2736e-02  4.990e-02    0  1.000 44.530  2.07 4.410e+04  99.0000 
OBS: 59657.4100 z WFD -3.2849e-02  9.244e-02    0  1.000 43.530  2.35 2.865e+04  99.0000 
OBS: 59662.3971 i WFD -3.0179e-02  3.111e-02    0  1.000 43.870  2.02 1.534e+04  99.0000 
OBS: 59675.2337 r WFD -8.5465e-03  9.550e-03    0  1.000 44.830  2.02 1.140e+04  99.0000 
OBS: 59678.1734 z WFD -3.9205e-03  5.273e-02    0  1.000 43.480  2.47 1.485e+04  99.0000 
OBS: 59681.1724 z WFD  1.4369e-02  1.739e-02    0  1.000 44.990  1.46 3.329e+04  99.0000 
OBS: 59699.2287 i WFD  1.9259e-02  1.476e-02    0  1.000 44.600  1.95 1.477e+04  99.0000 
OBS: 59709.2098 i WFD  8.3347e-04  1.949e-02    0  1.000 44.610  2.34 1.640e+04  99.0000 
OBS: 59710.1227 i WFD -1.5755e-02  1.907e-02    0  1.000 44.610  1.82 2.064e+04  99.0000 
OBS: 59711.1120 Y WFD -1.2035e-01  4.728e-02    0  1.000 44.070  1.95 2.904e+04  99.0000 
OBS: 59717.2640 z WFD  1.3084e-02  3.053e-02    0  1.000 45.470  2.30 5.773e+04  99.0000 
OBS: 59746.1897 z WFD  5.3869e-02  5.058e-02    0  1.000 43.530  1.79 2.058e+04  99.0000 
OBS: 59748.2304 i WFD -6.8219e-04  2.453e-02    0  1.000 44.580  2.07 2.271e+04  99.0000 
OBS: 59749.9637 z WFD -5.3962e-02  3.199e-02    0  1.000 44.220  1.92 2.291e+04  99.0000 
OBS: 59750.9546 z WFD  6.7311e-02  7.222e-02    0  1.000 43.480  2.55 1.970e+04  99.0000 
OBS: 59751.9592 z WFD -4.8577e-02  4.369e-02    0  1.000 44.230  2.16 2.808e+04  99.0000 
OBS: 59757.9581 z WFD -9.8933e-02  7.392e-02    0  1.000 43.480  2.97 1.731e+04  99.0000 
OBS: 59771.9915 Y WFD -4.5542e-02  4.202e-02    0  1.000 44.540  1.81 4.287e+04  99.0000 
OBS: 59776.9705 z WFD -5.8694e-02  5.855e-02    0  1.000 43.500  2.96 1.402e+04  99.0000 
OBS: 59787.9712 z WFD  8.9188e-03  3.474e-02    0  1.000 43.520  1.75 1.433e+04  99.0000 
OBS: 59788.0833 r WFD -3.8277e-03  1.248e-02    0  1.000 44.840  2.58 1.177e+04  99.0000 
OBS: 59790.0795 g WFD  1.0481e-02  7.639e-03    0  1.000 44.840  2.41 7.716e+03  99.0000 
OBS: 59791.0212 u WFD -6.4247e-03  1.760e-02    0  1.000 42.090  2.20 1.543e+03  99.0000 
OBS: 59801.0607 z WFD  2.2449e-02  2.306e-02    0  1.000 45.010  1.60 4.103e+04  99.0000 
OBS: 59809.0130 r WFD -1.6160e-03  7.647e-03    0  1.000 44.850  1.53 1.228e+04  99.0000 
OBS: 59819.0096 u WFD -9.6009e-03  2.883e-02    0  1.000 41.260  2.30 1.126e+03  99.0000 
OBS: 59979.3712 Y WFD -2.5047e-02  4.216e-02    0  1.000 43.750  1.37 2.745e+04  99.0000 
OBS: 59997.3161 u WFD -3.2595e-03  2.016e-02    0  1.000 41.900  2.21 1.477e+03  99.0000 
OBS: 59999.3305 g WFD  2.8164e-02  6.769e-03    0  1.000 44.850  2.09 7.956e+03  31.3821 
OBS: 60000.3077 g WFD  3.0878e-02  5.989e-03    0  1.000 44.810  1.82 7.792e+03  30.9869 
OBS: 60002.2933 r WFD  1.7880e-01  9.883e-03 4096  1.000 44.820  1.95 1.211e+04  29.3583 
OBS: 60008.2661 Y WFD  1.1088e+00  7.012e-02 6144  1.000 44.270  2.98 3.389e+04  27.3252 
OBS: 60009.3383 Y WFD  1.3353e+00  1.030e-01 4096  1.000 42.580  2.18 1.435e+04  27.1900 
OBS: 60019.3571 i WFD  2.1751e+00  1.161e-02 4096  1.000 45.050  1.77 1.936e+04  26.6537 
OBS: 60021.3466 g WFD  5.0596e-01  4.860e-03 4096  1.000 44.900  1.60 7.805e+03  28.2375 
OBS: 60023.3347 r WFD  1.6194e+00  5.456e-03 4096  1.000 44.860  1.19 1.133e+04  26.9774 
OBS: 60027.2219 u WFD  1.0824e-01  1.925e-02 4096  1.000 41.120  1.50 1.012e+03  29.6299 
