SURVEY:   LSST
SNID:     2010977
IAUC:     NULL
SNTYPE:   140
RA:       359.397491  # deg
DEC:      -34.654179  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0102 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60407.812     # estimate for LC fit codes
MJD_TRIGGER:       60462.441  
MJD_DETECT_FIRST:  60458.359  
MJD_DETECT_LAST:   60663.035  

REDSHIFT_HELIO:   2.750231 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.746850 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6008991813  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.7502  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          359.397616    # deg 
HOSTGAL_DEC:         -34.654086    # deg 
HOSTGAL_SNSEP:       0.251       # arcsec 
HOSTGAL_DDLR:        2.553       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.398 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.553
HOSTGAL_SQRADIUS:     10.955   # Ixx + Iyy
HOSTGAL_MAG:     26.41  26.02  26.06  26.00  25.90  25.90 # ugrizY
HOSTGAL_MAGERR:   3.70   0.09   0.08   0.12   0.16   0.25 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  104   # template index for SIMSED,NONIa
SIM_LIBID:           10976    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.75023  
SIM_REDSHIFT_CMB:    2.74685  
SIM_REDSHIFT_HOST:   2.79906  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6008991813 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.985 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.398 -9.000 
SIM_DLMU:            46.7973   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1868   # mag 
SIM_RA:              359.397491     # deg  
SIM_DEC:             -34.654179      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0100   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60407.812    #  true PEAKMJD, days 
SIM_SALT2x0:         1.9103e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3783  # spectro-search efficiency 
SIM_TRESTMIN:        -170.91  # days 
SIM_TRESTMAX:        68.12  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    104.000000
SIMSED_param(bfield):    2.764629
SIMSED_param(mns):    2.022944
SIMSED_param(pspin):    2.131039
SIMSED_param(kappa):    0.060999
SIMSED_param(kappagamma):    4.669606
SIMSED_param(mej):    2.810568
SIMSED_param(temp):    7903.304688
SIMSED_param(vej):    11517.958008

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.38  22.77  22.51  22.42  22.39  22.39  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59767.4373 z WFD  1.0152e-02  3.312e-02    0  1.000 44.270  2.34 2.038e+04  99.0000 
OBS: 59770.3485 Y WFD  5.3237e-02  6.179e-02    0  1.000 42.590  1.50 1.262e+04  99.0000 
OBS: 59771.2544 z WFD  1.5435e-02  4.305e-02    0  1.000 44.240  2.40 2.513e+04  99.0000 
OBS: 59773.2542 Y WFD -5.0721e-02  4.072e-02    0  1.000 44.280  1.60 3.699e+04  99.0000 
OBS: 59774.4302 z WFD -4.6516e-03  2.443e-02    0  1.000 45.290  1.82 4.946e+04  99.0000 
OBS: 59775.4325 z WFD  5.0214e-03  3.122e-02    0  1.000 45.040  1.94 4.710e+04  99.0000 
OBS: 59776.4146 z WFD  1.7435e-03  4.918e-02    0  1.000 44.730  2.93 3.692e+04  99.0000 
OBS: 59779.3697 Y WFD -2.3936e-02  8.344e-02    0  1.000 42.590  1.93 1.325e+04  99.0000 
OBS: 59781.4071 r WFD -1.3476e-02  1.431e-02    0  1.000 44.140  1.92 9.525e+03  99.0000 
OBS: 59783.2572 r WFD  2.0104e-02  1.131e-02    0  1.000 44.820  2.53 1.069e+04  99.0000 
OBS: 59783.4435 Y WFD -1.4659e-01  1.280e-01    0  1.000 42.600  1.64 2.414e+04  99.0000 
OBS: 59787.3372 g WFD  1.3965e-03  7.917e-03    0  1.000 44.840  2.92 6.600e+03  99.0000 
OBS: 59793.2599 i WFD  1.9731e-03  1.734e-02    0  1.000 44.590  2.35 1.427e+04  99.0000 
OBS: 59801.2125 z WFD -1.4969e-02  4.436e-02    0  1.000 44.270  2.28 2.802e+04  99.0000 
OBS: 59802.3565 Y WFD -6.6218e-03  6.175e-02    0  1.000 43.790  1.97 2.901e+04  99.0000 
OBS: 59803.1737 Y WFD  1.7894e-03  4.377e-02    0  1.000 44.810  1.85 5.603e+04  99.0000 
OBS: 59810.3144 i WFD -9.8829e-04  1.335e-02    0  1.000 44.610  1.68 1.566e+04  99.0000 
OBS: 59817.1874 r WFD -7.9541e-03  6.305e-03    0  1.000 44.840  1.42 1.081e+04  99.0000 
OBS: 59818.1949 u WFD  1.8652e-02  1.716e-02    0  1.000 41.310  1.56 1.034e+03  99.0000 
OBS: 59819.1307 u WFD  3.8410e-02  2.373e-02    0  1.000 41.140  1.92 9.930e+02  99.0000 
OBS: 59820.1352 i WFD  1.2609e-03  1.218e-02    0  1.000 44.570  1.52 1.521e+04  99.0000 
OBS: 59823.1140 g WFD  6.1082e-03  8.472e-03    0  1.000 44.740  2.69 6.992e+03  99.0000 
OBS: 59824.1021 i WFD -1.5828e-02  1.769e-02    0  1.000 44.550  2.05 1.608e+04  99.0000 
OBS: 59837.2055 r WFD  6.6984e-03  9.392e-03    0  1.000 45.380  1.50 2.506e+04  99.0000 
OBS: 59837.3221 i WFD -1.9561e-02  1.710e-02    0  1.000 44.600  1.60 2.086e+04  99.0000 
OBS: 59844.0501 r WFD -9.1546e-03  1.060e-02    0  1.000 44.780  2.17 1.125e+04  99.0000 
OBS: 59850.0618 i WFD  1.2240e-02  1.789e-02    0  1.000 44.570  2.27 1.496e+04  99.0000 
OBS: 59858.1527 z WFD  3.1692e-02  2.518e-02    0  1.000 44.280  1.34 2.732e+04  99.0000 
OBS: 59861.1242 Y WFD  5.1634e-02  8.965e-02    0  1.000 42.610  1.58 1.771e+04  99.0000 
OBS: 59866.1100 i WFD  7.7236e-03  9.278e-03    0  1.000 45.350  1.83 1.974e+04  99.0000 
OBS: 59870.0057 Y WFD  2.8618e-02  5.866e-02    0  1.000 43.740  2.09 2.481e+04  99.0000 
OBS: 59873.9997 z WFD -2.5931e-02  3.843e-02    0  1.000 43.510  1.53 1.796e+04  99.0000 
OBS: 59875.1397 u WFD -3.9589e-03  2.148e-02    0  1.000 41.330  2.02 1.018e+03  99.0000 
OBS: 59900.0130 Y WFD  2.3854e-01  1.229e-01    0  1.000 42.620  1.84 2.104e+04  99.0000 
OBS: 59901.1580 r WFD -2.6034e-02  9.683e-03    0  1.000 44.800  2.08 1.092e+04  99.0000 
OBS: 59905.0960 u WFD -3.2253e-02  2.278e-02    0  1.000 41.260  2.04 1.002e+03  99.0000 
OBS: 59919.0747 z WFD -2.5965e-02  3.348e-02    0  1.000 44.270  1.83 2.635e+04  99.0000 
OBS: 59923.0776 i WFD  5.9542e-03  1.779e-02    0  1.000 44.620  1.55 2.281e+04  99.0000 
OBS: 59926.1160 r WFD -2.3742e-03  9.191e-03    0  1.000 44.770  1.81 1.159e+04  99.0000 
OBS: 59942.0433 Y WFD  2.1853e-02  5.656e-02    0  1.000 43.300  1.50 2.222e+04  99.0000 
