SURVEY:   LSST
SNID:     2011253
IAUC:     NULL
SNTYPE:   140
RA:       73.130937  # deg
DEC:      -36.364223  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0098 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60229.434     # estimate for LC fit codes
MJD_TRIGGER:       59978.094  
MJD_DETECT_FIRST:  59975.035  
MJD_DETECT_LAST:   60672.035  

REDSHIFT_HELIO:   2.392275 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.392294 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6004442939  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.3923  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          73.130937    # deg 
HOSTGAL_DEC:         -36.364217    # deg 
HOSTGAL_SNSEP:       0.014       # arcsec 
HOSTGAL_DDLR:        0.507       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.879 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.055
HOSTGAL_SQRADIUS:     9.827   # Ixx + Iyy
HOSTGAL_MAG:     27.04  26.91  26.79  26.59  26.32  25.70 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  547   # template index for SIMSED,NONIa
SIM_LIBID:           11252    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.39228  
SIM_REDSHIFT_CMB:    2.39230  
SIM_REDSHIFT_HOST:   2.40780  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6004442939 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.465 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.879 -9.000 
SIM_DLMU:            46.4316   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0821   # mag 
SIM_RA:              73.130936     # deg  
SIM_DEC:             -36.364223      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0099   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60229.434    #  true PEAKMJD, days 
SIM_SALT2x0:         2.6751e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -190.52  # days 
SIM_TRESTMAX:        130.47  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    547.000000
SIMSED_param(bfield):    0.044257
SIMSED_param(mns):    2.303291
SIMSED_param(pspin):    1.217440
SIMSED_param(kappa):    0.094338
SIMSED_param(kappagamma):    0.004078
SIMSED_param(mej):    31.077818
SIMSED_param(temp):    6006.893066
SIMSED_param(vej):    7562.208984

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.83  30.14  27.81  26.42  25.60  25.06  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1197 u WFD -5.1194e-02  2.162e-02    0  1.000 41.300  2.04 9.866e+02  99.0000 
OBS: 59588.0876 Y WFD -7.8803e-02  8.572e-02    0  1.000 42.590  2.10 1.251e+04  99.0000 
OBS: 59589.0489 Y WFD -1.8636e-02  6.876e-02    0  1.000 42.600  1.59 1.338e+04  99.0000 
OBS: 59591.0891 z WFD -8.2662e-03  1.835e-02    0  1.000 45.030  1.75 3.041e+04  99.0000 
OBS: 59596.0487 Y WFD -8.9704e-03  6.448e-02    0  1.000 42.600  1.35 1.477e+04  99.0000 
OBS: 59598.1286 z WFD  1.3062e-02  4.832e-02    0  1.000 44.280  2.75 2.554e+04  99.0000 
OBS: 59601.2175 i WFD  1.0948e-02  3.722e-02    0  1.000 43.830  2.26 1.581e+04  99.0000 
OBS: 59603.0569 Y WFD  1.0697e-01  7.290e-02    0  1.000 42.590  1.80 1.241e+04  99.0000 
OBS: 59617.0298 Y WFD  1.0133e-01  1.596e-01    0  1.000 42.600  3.17 1.557e+04  99.0000 
OBS: 59627.0293 z WFD -3.2477e-02  2.886e-02    0  1.000 44.290  1.53 2.767e+04  99.0000 
OBS: 59634.0986 r WFD -3.5773e-03  7.503e-03    0  1.000 45.230  1.98 1.321e+04  99.0000 
OBS: 59645.0157 z WFD -1.2977e-02  2.595e-02    0  1.000 44.260  1.81 2.046e+04  99.0000 
OBS: 59649.0187 Y WFD -3.9912e-03  8.587e-02    0  1.000 42.570  1.95 1.325e+04  99.0000 
OBS: 59659.0566 i WFD -1.7254e-02  2.486e-02    0  1.000 44.570  2.05 2.302e+04  99.0000 
OBS: 59677.9840 Y WFD -1.5951e-02  1.025e-01    0  1.000 42.540  1.97 1.523e+04  99.0000 
OBS: 59679.9817 Y WFD -4.2293e-03  8.416e-02    0  1.000 42.540  1.62 1.520e+04  99.0000 
OBS: 59680.9881 Y WFD -1.3021e-01  7.747e-02    0  1.000 42.520  1.54 1.445e+04  99.0000 
OBS: 59684.9868 Y WFD  2.4369e-02  7.861e-02    0  1.000 42.520  1.43 1.580e+04  99.0000 
OBS: 59689.9742 z WFD -1.5184e-01  5.084e-02    0  1.000 43.480  2.06 1.717e+04  99.0000 
OBS: 59796.4163 g WFD  4.2886e-03  8.952e-03    0  1.000 44.770  3.10 6.590e+03  99.0000 
OBS: 59805.3424 Y WFD  6.8212e-02  7.389e-02    0  1.000 43.250  1.90 2.189e+04  99.0000 
OBS: 59823.3405 g WFD -2.9657e-03  8.066e-03    0  1.000 44.740  2.81 6.372e+03  99.0000 
OBS: 59835.2628 Y WFD  1.1574e-01  8.057e-02    0  1.000 42.500  1.46 1.557e+04  99.0000 
OBS: 59839.3075 r WFD -1.5514e-02  1.280e-02    0  1.000 44.880  1.93 1.675e+04  99.0000 
OBS: 59851.2752 u WFD -1.3574e-02  1.948e-02    0  1.000 41.900  2.34 1.347e+03  99.0000 
OBS: 59854.3052 r WFD  9.8464e-03  4.481e-03    0  1.000 45.580  1.50 1.438e+04  99.0000 
OBS: 59858.2927 z WFD  2.4824e-03  2.693e-02    0  1.000 44.260  1.76 2.183e+04  99.0000 
OBS: 59859.2167 Y WFD -1.0841e-01  1.081e-01    0  1.000 42.520  2.11 1.473e+04  99.0000 
OBS: 59862.2052 z WFD -3.5509e-02  3.178e-02    0  1.000 44.250  1.42 3.164e+04  99.0000 
OBS: 59863.3310 z WFD -1.5997e-02  2.715e-02    0  1.000 44.280  1.45 2.722e+04  99.0000 
OBS: 59866.3618 i WFD -9.8038e-03  2.601e-02    0  1.000 43.880  1.73 1.512e+04  99.0000 
OBS: 59868.2952 r WFD -1.5467e-03  1.012e-02    0  1.000 44.930  1.54 1.737e+04  99.0000 
OBS: 59870.2088 i WFD  1.3860e-02  1.185e-02    0  1.000 44.560  1.52 1.467e+04  99.0000 
OBS: 59876.1974 g WFD  1.7392e-03  2.954e-03    0  1.000 45.520  1.49 9.028e+03  99.0000 
OBS: 59877.1659 r WFD  6.0932e-04  5.777e-03    0  1.000 45.540  1.76 1.523e+04  99.0000 
OBS: 59887.1403 Y WFD -2.8133e-02  7.680e-02    0  1.000 42.520  1.53 1.442e+04  99.0000 
OBS: 59887.1931 i WFD  6.6602e-03  1.455e-02    0  1.000 44.620  1.38 2.096e+04  99.0000 
OBS: 59897.2112 r WFD -1.5171e-02  7.209e-03    0  1.000 45.670  1.64 2.298e+04  99.0000 
OBS: 59898.1179 i WFD  3.3888e-03  1.079e-02    0  1.000 45.300  1.89 2.122e+04  99.0000 
OBS: 59905.1115 u WFD  2.5393e-02  2.143e-02    0  1.000 41.860  2.48 1.347e+03  99.0000 
