SURVEY:   LSST
SNID:     2011480
IAUC:     NULL
SNTYPE:   140
RA:       24.536410  # deg
DEC:      -12.346587  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0190 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59726.523     # estimate for LC fit codes
MJD_TRIGGER:       59785.430  
MJD_DETECT_FIRST:  59784.414  
MJD_DETECT_LAST:   60319.051  

REDSHIFT_HELIO:   2.436880 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.433692 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5952937486  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.4369  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          24.536321    # deg 
HOSTGAL_DEC:         -12.346582    # deg 
HOSTGAL_SNSEP:       0.132       # arcsec 
HOSTGAL_DDLR:        0.621       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.428 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.536
HOSTGAL_SQRADIUS:     8.517   # Ixx + Iyy
HOSTGAL_MAG:     26.10  25.60  25.50  25.66  25.60  25.53 # ugrizY
HOSTGAL_MAGERR:   0.29   0.06   0.05   0.08   0.11   0.51 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  7   # template index for SIMSED,NONIa
SIM_LIBID:           11479    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.43688  
SIM_REDSHIFT_CMB:    2.43370  
SIM_REDSHIFT_HOST:   2.40129  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5952937486 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.796 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.428 -9.000 
SIM_DLMU:            46.4789   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0773   # mag 
SIM_RA:              24.536409     # deg  
SIM_DEC:             -12.346587      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0196   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59726.523    #  true PEAKMJD, days 
SIM_SALT2x0:         2.5611e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        16.86  # days 
SIM_TRESTMAX:        275.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    7.000000
SIMSED_param(bfield):    1.578605
SIMSED_param(mns):    2.240283
SIMSED_param(pspin):    4.350727
SIMSED_param(kappa):    0.179338
SIMSED_param(kappagamma):    2.694818
SIMSED_param(mej):    2.298256
SIMSED_param(temp):    6099.252930
SIMSED_param(vej):    21828.134766

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.27  25.43  24.25  23.61  23.25  23.04  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59784.4131 r WFD  3.0040e+00  1.024e-02 4096  1.000 44.110  1.60 7.931e+03  26.3001 
OBS: 59785.4294 z WFD  1.6927e+01  4.593e-02 6144  1.000 43.510  2.37 1.384e+04  24.4277 
OBS: 59787.4186 i WFD  8.2042e+00  3.168e-02 4096  1.000 43.840  3.01 1.019e+04  25.2167 
OBS: 59788.4130 i WFD  7.8700e+00  2.399e-02 4096  1.000 43.840  2.28 1.018e+04  25.2575 
OBS: 59788.4280 z WFD  1.5506e+01  3.885e-02 4096  1.000 43.510  2.01 1.379e+04  24.5236 
OBS: 59789.4026 r WFD  2.3972e+00  8.526e-03 4096  1.000 45.290  2.35 1.335e+04  26.5483 
OBS: 59790.3788 g WFD  3.2676e-01  7.699e-03 4096  1.000 44.820  2.64 6.966e+03  28.7445 
OBS: 59793.4323 z WFD  1.3539e+01  4.061e-02 4096  1.000 44.270  2.13 2.744e+04  24.6764 
OBS: 59799.3291 z WFD  1.1394e+01  3.269e-02 4096  1.000 44.260  2.19 2.128e+04  24.8629 
OBS: 59800.4191 Y WFD  1.7952e+01  5.512e-02 4096  1.000 43.320  1.81 1.826e+04  24.3675 
OBS: 59801.3355 z WFD  1.0665e+01  2.925e-02 4096  1.000 44.270  1.70 2.475e+04  24.9295 
OBS: 59801.4186 Y WFD  1.7429e+01  7.331e-02 4096  1.000 42.570  1.62 1.359e+04  24.3959 
OBS: 59805.2557 Y WFD  1.5829e+01  1.070e-01 4096  1.000 42.530  1.73 1.792e+04  24.4994 
OBS: 59809.4255 z WFD  8.3303e+00  4.903e-02 4096  1.000 43.510  1.84 1.904e+04  25.1945 
OBS: 59810.4032 i WFD  3.6067e+00  1.936e-02 4096  1.000 43.850  1.53 1.236e+04  26.1083 
OBS: 59811.2496 i WFD  3.4978e+00  1.487e-02 4096  1.000 44.560  1.82 1.535e+04  26.1394 
OBS: 59811.4235 z WFD  7.9529e+00  4.285e-02 4096  1.000 43.500  1.79 1.695e+04  25.2555 
OBS: 59818.3282 u WFD -5.8290e-03  1.799e-02    0  1.000 41.300  1.62 1.034e+03  34.7216 
OBS: 59819.2599 u WFD -9.5678e-03  2.577e-02    0  1.000 41.190  2.17 9.993e+02  34.7996 
OBS: 59822.4208 z WFD  5.6578e+00  7.167e-02 4096  1.000 43.510  2.01 2.549e+04  25.6202 
OBS: 59823.4097 z WFD  5.4752e+00  4.026e-02 4096  1.000 43.500  1.90 1.501e+04  25.6544 
OBS: 59826.4146 Y WFD  9.0043e+00  1.045e-01 4096  1.000 43.300  2.33 2.643e+04  25.0927 
OBS: 59839.1726 g WFD  9.3750e-03  9.379e-03    0  1.000 44.010  2.13 4.990e+03  31.9427 
OBS: 59841.1771 g WFD  1.7330e-02  6.975e-03    0  1.000 44.780  2.27 7.077e+03  32.0698 
OBS: 59844.2903 r WFD  1.8732e-01  7.985e-03 4096  1.000 44.840  1.77 1.098e+04  29.2908 
OBS: 59849.1326 r WFD  1.6366e-01  1.218e-02 4096  1.000 44.790  2.44 1.160e+04  29.5270 
OBS: 59854.1311 Y WFD  4.3859e+00  3.550e-02 4096  1.000 44.470  1.83 3.358e+04  25.8963 
OBS: 59856.1783 i WFD  6.7081e-01  8.150e-03 4096  1.000 46.110  1.77 3.610e+04  27.9406 
OBS: 59864.2955 z WFD  1.5016e+00  2.856e-02 4096  1.000 45.020  1.80 4.559e+04  27.0378 
OBS: 59871.0978 r WFD  6.8459e-02  5.485e-03 4096  1.000 45.570  1.63 1.605e+04  30.3868 
OBS: 59873.0834 i WFD  4.7056e-01  1.364e-02 4096  1.000 44.560  1.66 1.545e+04  28.3729 
OBS: 59875.1778 u WFD  2.4578e-02  1.528e-02    0  1.000 42.070  1.95 1.483e+03  39.0874 
OBS: 59876.1097 u WFD  1.6499e-02  2.333e-02    0  1.000 41.280  2.05 1.040e+03  39.0949 
OBS: 59884.0233 Y WFD  2.8602e+00  8.728e-02 4096  1.000 42.490  1.69 1.443e+04  26.3761 
OBS: 59885.0462 Y WFD  2.7649e+00  3.570e-02 4096  1.000 44.030  1.46 2.822e+04  26.3842 
OBS: 59886.0788 z WFD  1.2668e+00  2.507e-02 4096  1.000 44.260  1.50 2.384e+04  27.2323 
OBS: 59895.1975 i WFD  3.1598e-01  2.528e-02 4096  1.000 44.620  2.21 2.274e+04  28.5434 
OBS: 59910.0952 g WFD  1.4917e-04  4.825e-03    0  1.000 44.850  1.69 7.014e+03  33.9831 
OBS: 59914.0204 Y WFD  2.0635e+00  1.341e-01 4096  1.000 42.600  1.57 2.643e+04  26.5949 
