SURVEY:   LSST
SNID:     2011483
IAUC:     NULL
SNTYPE:   40
RA:       50.448453  # deg
DEC:      -21.235076  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0192 +- 0.0010  # MW E(B-V) 
PEAKMJD:  59754.379     # estimate for LC fit codes
MJD_TRIGGER:       59819.352  
MJD_DETECT_FIRST:  59819.309  
MJD_DETECT_LAST:   60657.043  

REDSHIFT_HELIO:   2.081835 +- 0.000010  # Helio 
REDSHIFT_FINAL:   2.080368 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6825048221  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.0818  +- 0.0100 
HOSTGAL_SPECZ:       2.0818  +- 0.0000 
HOSTGAL_RA:          50.448457    # deg 
HOSTGAL_DEC:         -21.235076    # deg 
HOSTGAL_SNSEP:       0.011       # arcsec 
HOSTGAL_DDLR:        0.215       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.448 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.226
HOSTGAL_SQRADIUS:     6.539   # Ixx + Iyy
HOSTGAL_MAG:     26.63  26.24  26.23  26.23  26.17  26.18 # ugrizY
HOSTGAL_MAGERR:   0.72   0.09   0.10   0.15   0.19   0.44 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  518   # template index for SIMSED,NONIa
SIM_LIBID:           11482    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.08182  
SIM_REDSHIFT_CMB:    2.08035  
SIM_REDSHIFT_HOST:   2.04326  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6825048221 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.273 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.448 -9.000 
SIM_DLMU:            46.0629   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0150   # mag 
SIM_RA:              50.448452     # deg  
SIM_DEC:             -21.235077      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0185   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59754.379    #  true PEAKMJD, days 
SIM_SALT2x0:         3.7571e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5961  # spectro-search efficiency 
SIM_TRESTMIN:        21.08  # days 
SIM_TRESTMAX:        293.04  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    518.000000
SIMSED_param(bfield):    0.669293
SIMSED_param(mns):    2.108683
SIMSED_param(pspin):    2.141721
SIMSED_param(kappa):    0.124203
SIMSED_param(kappagamma):    1.965840
SIMSED_param(mej):    6.692628
SIMSED_param(temp):    7647.232910
SIMSED_param(vej):    10844.124023

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.35  23.18  22.45  22.09  21.90  21.85  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59819.3082 u WFD  3.1864e+00  1.549e-02 4096  1.000 42.390  2.28 1.714e+03  26.2425 
OBS: 59819.3507 g WFD  1.7686e+01  5.515e-03 6144  1.000 44.820  1.94 6.555e+03  24.3807 
OBS: 59820.3851 i WFD  9.1652e+01  1.039e-02 4096  1.000 45.030  1.69 1.708e+04  22.5947 
OBS: 59821.2946 r WFD  5.0195e+01  7.132e-03 4096  1.000 45.570  2.17 1.521e+04  23.2482 
OBS: 59822.4096 z WFD  1.2528e+02  3.429e-02 4096  1.000 43.510  1.76 1.364e+04  22.2555 
OBS: 59823.2949 g WFD  1.6042e+01  7.278e-03 4096  1.000 44.790  2.51 6.615e+03  24.4868 
OBS: 59824.2700 i WFD  8.7228e+01  1.001e-02 4096  1.000 45.310  1.70 2.136e+04  22.6484 
OBS: 59827.2730 z WFD  1.1921e+02  1.522e-02 4096  1.000 45.440  1.71 3.701e+04  22.3093 
OBS: 59831.2694 Y WFD  1.3424e+02  4.099e-02 4096  1.000 44.500  1.94 3.737e+04  22.1806 
OBS: 59832.2904 Y WFD  1.3309e+02  7.243e-02 4096  1.000 43.330  1.95 2.237e+04  22.1905 
OBS: 59835.2202 Y WFD  1.2944e+02  6.146e-02 4096  1.000 43.270  1.47 2.377e+04  22.2192 
OBS: 59836.3179 z WFD  1.0811e+02  3.176e-02 4096  1.000 44.280  1.76 2.595e+04  22.4152 
OBS: 59843.2095 i WFD  6.7110e+01  1.562e-02 4096  1.000 44.560  1.88 1.530e+04  22.9332 
OBS: 59844.2271 r WFD  3.2905e+01  8.431e-03 4096  1.000 44.800  1.79 1.074e+04  23.7068 
OBS: 59849.1872 r WFD  2.9822e+01  1.374e-02 4096  1.000 44.770  2.82 1.101e+04  23.8133 
OBS: 59856.2081 i WFD  5.5186e+01  1.731e-02 4096  1.000 44.600  1.88 1.772e+04  23.1458 
OBS: 59858.2204 z WFD  8.3336e+01  3.045e-02 4096  1.000 44.260  1.88 2.290e+04  22.6979 
OBS: 59860.2045 Y WFD  1.0102e+02  7.543e-02 4096  1.000 42.580  1.45 1.567e+04  22.4879 
OBS: 59861.1501 Y WFD  1.0022e+02  9.800e-02 4096  1.000 43.280  2.20 2.571e+04  22.4986 
OBS: 59862.2000 z WFD  7.9260e+01  3.177e-02 4096  1.000 44.280  1.29 3.553e+04  22.7520 
OBS: 59864.2153 z WFD  7.7299e+01  3.591e-02 4096  1.000 44.290  1.73 3.027e+04  22.7799 
OBS: 59866.2216 i WFD  4.7119e+01  2.090e-02 4096  1.000 44.640  1.76 2.386e+04  23.3171 
OBS: 59868.1441 r WFD  2.0244e+01  7.636e-03 4096  1.000 44.780  1.56 1.103e+04  24.2342 
OBS: 59904.0651 u WFD  8.8377e-02  3.238e-02    0  1.000 41.150  2.67 9.835e+02  30.0592 
OBS: 59906.1890 r WFD  8.9821e+00  8.390e-03 4096  1.000 44.850  1.96 1.044e+04  25.1173 
OBS: 59908.0243 z WFD  4.3312e+01  6.579e-02 4096  1.000 44.230  2.74 3.330e+04  23.4108 
OBS: 59909.0267 z WFD  4.2582e+01  2.819e-02 4096  1.000 45.000  1.85 4.287e+04  23.4261 
OBS: 59911.0329 z WFD  4.1547e+01  3.259e-02 4096  1.000 44.240  1.93 2.356e+04  23.4551 
OBS: 59920.0611 Y WFD  5.1812e+01  8.615e-02 4096  1.000 42.590  1.61 1.635e+04  23.2161 
OBS: 59926.1672 r WFD  5.8058e+00  9.420e-03 4096  1.000 44.900  1.44 1.677e+04  25.5896 
OBS: 59928.1474 g WFD  8.1453e-01  4.768e-03 4096  1.000 45.580  2.49 9.205e+03  27.7295 
OBS: 59930.0562 Y WFD  4.5989e+01  6.697e-02 4096  1.000 42.590  1.61 1.269e+04  23.3425 
OBS: 59944.1451 i WFD  1.2916e+01  1.413e-02 4096  1.000 44.610  1.31 2.115e+04  24.7231 
OBS: 59946.0591 Y WFD  3.8092e+01  6.992e-02 4096  1.000 42.600  1.54 1.399e+04  23.5475 
OBS: 59953.1252 i WFD  1.1059e+01  2.495e-02 4096  1.000 44.620  1.97 2.514e+04  24.8887 
OBS: 59957.1656 r WFD  2.9962e+00  1.858e-02 4096  1.000 44.080  1.87 1.200e+04  26.3120 
OBS: 59979.0745 Y WFD  2.8413e+01  5.265e-02 4096  1.000 43.310  1.47 2.125e+04  23.8652 
OBS: 59984.0433 z WFD  1.7906e+01  2.243e-02 4096  1.000 44.250  1.55 2.038e+04  24.3660 
OBS: 59999.0203 z WFD  1.6610e+01  3.504e-02 4096  1.000 43.500  1.51 1.640e+04  24.4491 
