SURVEY:   LSST
SNID:     2012381
IAUC:     NULL
SNTYPE:   40
RA:       127.328418  # deg
DEC:      -21.009126  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0854 +- 0.0043  # MW E(B-V) 
PEAKMJD:  60644.703     # estimate for LC fit codes
MJD_TRIGGER:       60593.383  
MJD_DETECT_FIRST:  60588.375  
MJD_DETECT_LAST:   60672.156  

REDSHIFT_HELIO:   1.789715 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.792278 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10444500643  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.7897  +- 0.0100 
HOSTGAL_SPECZ:       1.7897  +- 0.0000 
HOSTGAL_RA:          127.328406    # deg 
HOSTGAL_DEC:         -21.009117    # deg 
HOSTGAL_SNSEP:       0.025       # arcsec 
HOSTGAL_DDLR:        0.394       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.008 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.896
HOSTGAL_SQRADIUS:     4.385   # Ixx + Iyy
HOSTGAL_MAG:     26.49  26.33  26.55  26.27  26.09  25.93 # ugrizY
HOSTGAL_MAGERR:   0.55   0.09   0.12   0.14   0.20   0.43 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  475   # template index for SIMSED,NONIa
SIM_LIBID:           12380    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.78973  
SIM_REDSHIFT_CMB:    1.79229  
SIM_REDSHIFT_HOST:   1.82265  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10444500643 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.185 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.008 -9.000 
SIM_DLMU:            45.6632   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0609   # mag 
SIM_RA:              127.328415     # deg  
SIM_DEC:             -21.009125      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0886   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60644.703    #  true PEAKMJD, days 
SIM_SALT2x0:         5.4291e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1619  # spectro-search efficiency 
SIM_TRESTMIN:        -379.77  # days 
SIM_TRESTMAX:        9.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    475.000000
SIMSED_param(bfield):    1.808320
SIMSED_param(mns):    2.043204
SIMSED_param(pspin):    2.414723
SIMSED_param(kappa):    0.176803
SIMSED_param(kappagamma):    312.380890
SIMSED_param(mej):    3.201681
SIMSED_param(temp):    8049.263184
SIMSED_param(vej):    5027.634766

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.12  23.45  23.02  22.85  22.79  22.85  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2839 u WFD  1.8925e-02  2.312e-02    0  1.000 41.320  2.16 1.015e+03  99.0000 
OBS: 59589.1769 Y WFD  1.1159e-01  7.753e-02    0  1.000 42.570  1.80 1.296e+04  99.0000 
OBS: 59592.2324 z WFD -3.2985e-02  2.272e-02    0  1.000 44.270  1.57 2.084e+04  99.0000 
OBS: 59594.1119 Y WFD  5.6595e-02  9.723e-02    0  1.000 42.540  1.86 1.530e+04  99.0000 
OBS: 59597.1558 Y WFD  2.0746e-02  1.231e-01    0  1.000 42.590  2.24 1.684e+04  99.0000 
OBS: 59600.3545 z WFD  6.8443e-02  6.025e-02    0  1.000 43.490  2.00 2.115e+04  99.0000 
OBS: 59625.0233 Y WFD -2.7690e-02  1.070e-01    0  1.000 43.300  1.91 3.302e+04  99.0000 
OBS: 59626.0642 z WFD  4.4779e-02  3.170e-02    0  1.000 44.280  1.36 3.388e+04  99.0000 
OBS: 59631.2165 i WFD  1.6509e-02  1.715e-02    0  1.000 45.050  1.95 2.598e+04  99.0000 
OBS: 59665.9852 Y WFD -1.4472e-01  1.609e-01    0  1.000 42.600  2.24 2.222e+04  99.0000 
OBS: 59674.9880 z WFD -9.5640e-03  1.698e-02    0  1.000 45.030  1.39 3.543e+04  99.0000 
OBS: 59682.0823 Y WFD -2.4108e-03  6.041e-02    0  1.000 42.580  1.25 1.468e+04  99.0000 
OBS: 59684.0788 Y WFD  4.5889e-03  6.577e-02    0  1.000 42.580  1.30 1.536e+04  99.0000 
OBS: 59686.0977 Y WFD  1.3349e-02  5.625e-02    0  1.000 43.290  1.49 2.205e+04  99.0000 
OBS: 59703.9677 z WFD  1.5375e-02  2.764e-02    0  1.000 43.520  1.40 1.425e+04  99.0000 
OBS: 59712.0176 Y WFD  1.0544e-01  8.931e-02    0  1.000 42.540  1.80 1.452e+04  99.0000 
OBS: 59713.0111 Y WFD  1.0518e-01  1.121e-01    0  1.000 42.560  2.29 1.459e+04  99.0000 
OBS: 59723.9603 z WFD  6.1749e-02  2.978e-02    0  1.000 44.260  1.76 2.415e+04  99.0000 
OBS: 59861.3573 Y WFD -1.2048e-01  6.824e-02    0  1.000 43.260  1.72 2.254e+04  99.0000 
OBS: 59863.3618 z WFD -3.3891e-02  3.224e-02    0  1.000 44.240  1.62 2.788e+04  99.0000 
OBS: 59868.3778 z WFD  9.2435e-03  5.380e-02    0  1.000 43.510  1.80 2.137e+04  99.0000 
OBS: 59870.3560 i WFD  2.4939e-02  2.240e-02    0  1.000 43.830  1.70 1.266e+04  99.0000 
OBS: 59874.3390 u WFD -2.4659e-02  2.975e-02    0  1.000 41.100  2.35 9.803e+02  99.0000 
OBS: 59874.3757 z WFD  5.8077e-03  6.370e-02    0  1.000 43.520  1.85 2.485e+04  99.0000 
OBS: 59877.3671 z WFD  9.9885e-03  2.884e-02    0  1.000 44.260  1.78 2.312e+04  99.0000 
OBS: 59878.3434 g WFD -2.6042e-03  4.495e-03    0  1.000 44.770  1.49 6.884e+03  99.0000 
OBS: 59884.3407 r WFD -6.8047e-03  6.114e-03    0  1.000 44.820  1.33 1.099e+04  99.0000 
OBS: 59899.3237 i WFD  2.0541e-03  1.987e-02    0  1.000 44.610  2.18 1.795e+04  99.0000 
OBS: 59901.2824 r WFD  1.0566e-02  1.090e-02    0  1.000 45.250  2.75 1.408e+04  99.0000 
OBS: 59903.3038 r WFD  9.3754e-03  7.284e-03    0  1.000 45.270  2.01 1.311e+04  99.0000 
OBS: 59904.2590 u WFD -6.6226e-02  3.540e-02    0  1.000 41.080  2.79 9.645e+02  99.0000 
OBS: 59905.2440 u WFD  2.1086e-02  2.144e-02    0  1.000 41.770  2.30 1.338e+03  99.0000 
OBS: 59906.3115 r WFD  9.4372e-03  8.042e-03    0  1.000 45.580  2.61 1.483e+04  99.0000 
OBS: 59906.3454 z WFD -2.6609e-02  4.416e-02    0  1.000 43.510  2.25 1.403e+04  99.0000 
OBS: 59910.2640 g WFD -2.8864e-03  5.762e-03    0  1.000 44.770  2.00 6.574e+03  99.0000 
OBS: 59918.2541 Y WFD -9.7316e-03  8.441e-02    0  1.000 42.550  1.79 1.393e+04  99.0000 
OBS: 59919.2378 z WFD  8.7295e-02  3.568e-02    0  1.000 44.260  1.96 2.597e+04  99.0000 
OBS: 59920.2545 Y WFD -7.0816e-02  5.550e-02    0  1.000 43.320  1.58 2.109e+04  99.0000 
OBS: 59922.2664 z WFD -6.9156e-04  2.833e-02    0  1.000 44.270  1.43 2.853e+04  99.0000 
