SURVEY:   LSST
SNID:     2013391
IAUC:     NULL
SNTYPE:   40
RA:       161.928815  # deg
DEC:      -25.613084  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0749 +- 0.0037  # MW E(B-V) 
PEAKMJD:  59558.105     # estimate for LC fit codes
MJD_TRIGGER:       59590.363  
MJD_DETECT_FIRST:  59588.191  
MJD_DETECT_LAST:   60673.254  

REDSHIFT_HELIO:   1.310866 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.313559 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8941949918  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3109  +- 0.0100 
HOSTGAL_SPECZ:       1.3109  +- 0.0000 
HOSTGAL_RA:          161.928549    # deg 
HOSTGAL_DEC:         -25.613113    # deg 
HOSTGAL_SNSEP:       0.377       # arcsec 
HOSTGAL_DDLR:        0.592       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.791 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.057
HOSTGAL_SQRADIUS:     3.528   # Ixx + Iyy
HOSTGAL_MAG:     27.29  27.01  26.42  25.29  24.65  23.93 # ugrizY
HOSTGAL_MAGERR:   8.53   0.17   0.10   0.06   0.06   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  793   # template index for SIMSED,NONIa
SIM_LIBID:           13390    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.31088  
SIM_REDSHIFT_CMB:    1.31357  
SIM_REDSHIFT_HOST:   1.34718  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8941949918 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.576 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.791 -9.000 
SIM_DLMU:            44.8304   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0113   # mag 
SIM_RA:              161.928818     # deg  
SIM_DEC:             -25.613083      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0722   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59558.105    #  true PEAKMJD, days 
SIM_SALT2x0:         1.1690e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7189  # spectro-search efficiency 
SIM_TRESTMIN:        13.00  # days 
SIM_TRESTMAX:        482.56  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    793.000000
SIMSED_param(bfield):    0.218328
SIMSED_param(mns):    1.680715
SIMSED_param(pspin):    1.874504
SIMSED_param(kappa):    0.182448
SIMSED_param(kappagamma):    1.405380
SIMSED_param(mej):    10.644646
SIMSED_param(temp):    6387.705078
SIMSED_param(vej):    15527.992188

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.66  23.72  22.47  21.88  21.65  21.54  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59588.1915 Y WFD  2.3543e+02  1.092e-01 4096  1.000 42.490  2.13 1.419e+04  21.5710 
OBS: 59590.3645 Y WFD  2.3380e+02  6.035e-02 6144  1.000 43.360  1.31 2.827e+04  21.5782 
OBS: 59600.3675 z WFD  1.9019e+02  4.793e-02 4096  1.000 43.540  1.65 2.101e+04  21.8022 
OBS: 59607.3488 g WFD  1.4873e+01  6.257e-03 4096  1.000 44.860  2.08 7.295e+03  24.5693 
OBS: 59610.3655 i WFD  1.2693e+02  2.147e-02 4096  1.000 43.830  1.92 1.029e+04  22.2408 
OBS: 59613.3867 z WFD  1.7470e+02  7.338e-02 4096  1.000 43.520  1.82 2.892e+04  21.8946 
OBS: 59614.2130 i WFD  1.2239e+02  1.133e-02 4096  1.000 45.780  2.59 2.472e+04  22.2805 
OBS: 59626.2887 z WFD  1.5856e+02  3.602e-02 4096  1.000 44.290  1.66 3.145e+04  21.9995 
OBS: 59628.3141 z WFD  1.5606e+02  3.305e-02 4096  1.000 44.280  1.37 3.458e+04  22.0170 
OBS: 59645.1264 u WFD  4.7033e-01  2.747e-02 4096  1.000 41.240  2.42 9.993e+02  28.3508 
OBS: 59652.0467 Y WFD  1.6521e+02  1.560e-01 4096  1.000 42.540  3.06 1.487e+04  21.9549 
OBS: 59654.0332 Y WFD  1.6285e+02  8.387e-02 4096  1.000 43.280  2.03 2.377e+04  21.9704 
OBS: 59682.0610 Y WFD  1.3143e+02  5.737e-02 4096  1.000 42.600  1.20 1.451e+04  22.2024 
OBS: 59684.1472 Y WFD  1.2974e+02  5.364e-02 4096  1.000 43.340  1.34 2.422e+04  22.2182 
OBS: 59685.1025 Y WFD  1.2904e+02  6.353e-02 4096  1.000 42.610  1.15 1.699e+04  22.2233 
OBS: 59686.1734 Y WFD  1.2824e+02  7.719e-02 4096  1.000 42.570  1.35 1.703e+04  22.2290 
OBS: 59698.9705 z WFD  8.8062e+01  3.436e-02 4096  1.000 44.270  1.68 2.924e+04  22.6385 
OBS: 59712.0805 Y WFD  1.1568e+02  9.042e-02 4096  1.000 43.330  2.52 2.167e+04  22.3408 
OBS: 59713.1606 Y WFD  1.1536e+02  1.444e-01 4096  1.000 42.500  2.31 1.759e+04  22.3449 
OBS: 59718.1008 i WFD  4.8086e+01  1.403e-02 4096  1.000 45.600  1.92 3.557e+04  23.2945 
OBS: 59769.9814 z WFD  6.9241e+01  2.545e-02 4096  1.000 44.680  1.70 3.122e+04  22.8995 
OBS: 59778.9696 z WFD  6.7285e+01  3.495e-02 4096  1.000 44.680  2.17 3.371e+04  22.9299 
OBS: 59779.9703 z WFD  6.7036e+01  4.271e-02 4096  1.000 44.230  2.42 2.441e+04  22.9332 
OBS: 59916.3188 i WFD  2.6905e+01  1.438e-02 4096  1.000 44.560  1.69 1.585e+04  23.9249 
OBS: 59920.2840 Y WFD  6.2816e+01  1.048e-01 4096  1.000 42.500  1.86 1.584e+04  23.0048 
OBS: 59922.3134 z WFD  4.5316e+01  2.713e-02 4096  1.000 44.700  1.58 3.659e+04  23.3594 
OBS: 59924.3258 Y WFD  6.2237e+01  6.848e-02 4096  1.000 42.560  1.41 1.439e+04  23.0158 
OBS: 59927.3290 i WFD  2.6148e+01  3.941e-02 4096  1.000 43.870  2.42 1.618e+04  23.9546 
OBS: 59932.3273 g WFD  1.2778e+00  6.549e-03 4096  1.000 44.120  1.46 5.607e+03  27.2357 
OBS: 59934.2605 g WFD  1.2760e+00  5.695e-03 4096  1.000 44.740  1.82 6.929e+03  27.2409 
OBS: 59938.2740 r WFD  9.0073e+00  5.735e-03 4096  1.000 46.000  2.12 1.906e+04  25.1131 
OBS: 59945.2709 i WFD  2.5081e+01  9.182e-03 4096  1.000 45.330  1.67 2.079e+04  24.0023 
OBS: 59952.2284 Y WFD  5.8093e+01  3.884e-02 4096  1.000 44.490  1.74 3.924e+04  23.0898 
OBS: 59964.2202 u WFD  3.0691e-02  1.530e-02 4096  1.000 41.950  1.85 1.401e+03  30.7632 
OBS: 59965.1976 r WFD  8.4341e+00  5.876e-03 4096  1.000 45.990  2.17 1.892e+04  25.1833 
OBS: 59968.1754 u WFD  3.1204e-02  1.887e-02    0  1.000 41.820  2.09 1.357e+03  30.7733 
OBS: 59976.1360 Y WFD  5.4922e+01  1.149e-01 4096  1.000 42.490  2.18 1.470e+04  23.1511 
OBS: 59976.1507 i WFD  2.3303e+01  3.102e-02 4096  1.000 43.830  1.92 1.546e+04  24.0820 
OBS: 59978.1818 Y WFD  5.4619e+01  7.358e-02 4096  1.000 42.560  1.52 1.436e+04  23.1564 
