SURVEY:   LSST
SNID:     2013603
IAUC:     NULL
SNTYPE:   40
RA:       31.908654  # deg
DEC:      -42.217251  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0122 +- 0.0006  # MW E(B-V) 
PEAKMJD:  59808.336     # estimate for LC fit codes
MJD_TRIGGER:       59798.312  
MJD_DETECT_FIRST:  59796.367  
MJD_DETECT_LAST:   60670.055  

REDSHIFT_HELIO:   1.513198 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.511815 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  529   # template index for SIMSED,NONIa
SIM_LIBID:           13602    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.51320  
SIM_REDSHIFT_CMB:    1.51182  
SIM_REDSHIFT_HOST:   1.46600  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10575021018 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.590 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.036 -9.000 
SIM_DLMU:            45.2113   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2470   # mag 
SIM_RA:              31.908655     # deg  
SIM_DEC:             -42.217251      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0123   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59808.336    #  true PEAKMJD, days 
SIM_SALT2x0:         8.2317e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6595  # spectro-search efficiency 
SIM_TRESTMIN:        -4.76  # days 
SIM_TRESTMAX:        344.28  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    529.000000
SIMSED_param(bfield):    0.068727
SIMSED_param(mns):    1.561279
SIMSED_param(pspin):    1.265459
SIMSED_param(kappa):    0.147419
SIMSED_param(kappagamma):    2.061921
SIMSED_param(mej):    2.088664
SIMSED_param(temp):    6626.053711
SIMSED_param(vej):    14608.687500

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.83  23.36  22.45  21.98  21.85  21.82  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59796.3674 g WFD  5.0960e+01  6.710e-03 4096  1.000 44.810  2.34 6.315e+03  23.2322 
OBS: 59798.3124 r WFD  1.0856e+02  1.775e-02 6144  1.000 44.050  2.73 7.324e+03  22.4108 
OBS: 59799.2942 z WFD  1.7642e+02  2.192e-02 4096  1.000 45.000  1.93 3.145e+04  21.8834 
OBS: 59800.3256 Y WFD  1.7915e+02  4.270e-02 4096  1.000 43.760  1.61 2.351e+04  21.8676 
OBS: 59801.3258 z WFD  1.7817e+02  3.141e-02 4096  1.000 44.270  1.78 2.496e+04  21.8729 
OBS: 59802.3094 Y WFD  1.8140e+02  4.891e-02 4096  1.000 44.080  1.92 3.052e+04  21.8535 
OBS: 59803.2872 Y WFD  1.8251e+02  6.636e-02 4096  1.000 43.310  1.71 2.286e+04  21.8466 
OBS: 59804.3827 z WFD  1.8045e+02  2.430e-02 4096  1.000 44.730  1.42 3.689e+04  21.8592 
OBS: 59806.2919 z WFD  1.8144e+02  3.213e-02 4096  1.000 44.270  1.71 2.659e+04  21.8530 
OBS: 59809.3295 r WFD  1.0443e+02  1.131e-02 4096  1.000 44.920  1.61 1.758e+04  22.4529 
OBS: 59810.3276 i WFD  1.6045e+02  1.461e-02 4096  1.000 44.600  1.70 1.584e+04  21.9867 
OBS: 59818.2075 u WFD  9.2069e+00  2.664e-02 4096  1.000 41.030  2.00 9.424e+02  25.0950 
OBS: 59820.2760 u WFD  8.6910e+00  2.144e-02 4096  1.000 41.260  1.88 9.930e+02  25.1522 
OBS: 59823.1878 g WFD  3.6585e+01  7.906e-03 4096  1.000 44.680  2.47 6.454e+03  23.5915 
OBS: 59837.3641 i WFD  1.4665e+02  1.521e-02 4096  1.000 45.070  1.77 2.507e+04  22.0841 
OBS: 59843.1739 i WFD  1.4249e+02  1.090e-02 4096  1.000 45.320  1.88 2.095e+04  22.1155 
OBS: 59844.1431 r WFD  7.8991e+01  1.095e-02 4096  1.000 44.780  2.22 1.090e+04  22.7561 
OBS: 59850.1142 i WFD  1.3728e+02  2.290e-02 4096  1.000 44.560  2.76 1.530e+04  22.1558 
OBS: 59851.1583 u WFD  3.7653e+00  2.635e-02 4096  1.000 41.870  3.07 1.344e+03  26.0548 
OBS: 59853.2373 r WFD  7.2368e+01  8.446e-03 4096  1.000 44.850  1.90 1.026e+04  22.8512 
OBS: 59859.2097 Y WFD  1.9086e+02  8.852e-02 4096  1.000 42.600  1.88 1.440e+04  21.7984 
OBS: 59862.0926 z WFD  1.6806e+02  4.200e-02 4096  1.000 44.260  1.68 3.533e+04  21.9365 
OBS: 59866.0990 i WFD  1.2508e+02  1.830e-02 4096  1.000 44.550  2.20 1.506e+04  22.2571 
OBS: 59867.2549 r WFD  6.2942e+01  1.073e-02 4096  1.000 44.930  1.43 1.926e+04  23.0027 
OBS: 59871.0685 r WFD  6.0555e+01  8.722e-03 4096  1.000 44.780  1.75 1.091e+04  23.0447 
OBS: 59878.0891 g WFD  1.5021e+01  5.057e-03 4096  1.000 44.790  1.74 6.511e+03  24.5580 
OBS: 59883.0840 i WFD  1.1225e+02  1.110e-02 4096  1.000 44.580  1.31 1.510e+04  22.3745 
OBS: 59885.0408 Y WFD  1.8056e+02  4.770e-02 4096  1.000 43.280  1.37 1.975e+04  21.8586 
OBS: 59886.0206 z WFD  1.5306e+02  2.885e-02 4096  1.000 44.240  1.57 2.526e+04  22.0379 
OBS: 59908.0308 z WFD  1.3836e+02  3.790e-02 4096  1.000 44.260  2.44 2.195e+04  22.1473 
OBS: 59914.1049 r WFD  3.8529e+01  1.163e-02 4096  1.000 44.920  1.75 1.714e+04  23.5355 
OBS: 59916.1948 i WFD  8.9197e+01  2.008e-02 4096  1.000 44.610  1.62 2.402e+04  22.6239 
OBS: 59920.1028 Y WFD  1.6185e+02  4.524e-02 4096  1.000 43.790  1.62 2.553e+04  21.9770 
OBS: 59934.0803 u WFD  4.6470e-01  1.333e-02 4096  1.000 41.410  1.30 1.053e+03  28.3809 
OBS: 59935.1745 i WFD  7.7533e+01  1.367e-02 4096  1.000 44.560  1.64 1.519e+04  22.7762 
OBS: 59943.0768 r WFD  2.8146e+01  1.250e-02 4096  1.000 44.900  1.92 1.658e+04  23.8765 
OBS: 59944.1556 i WFD  7.2460e+01  1.666e-02 4096  1.000 44.570  1.47 2.109e+04  22.8501 
OBS: 59945.0510 Y WFD  1.4716e+02  8.251e-02 4096  1.000 42.600  1.85 1.366e+04  22.0799 
OBS: 59949.0798 z WFD  1.1163e+02  3.500e-02 4096  1.000 44.270  1.97 2.536e+04  22.3807 
OBS: 59950.1303 Y WFD  1.4438e+02  1.101e-01 4096  1.000 42.540  2.08 1.541e+04  22.1023 
OBS: 59965.0942 r WFD  2.2109e+01  1.427e-02 4096  1.000 44.050  2.10 7.887e+03  24.1397 
OBS: 59968.0773 u WFD  1.9592e-01  2.885e-02    0  1.000 41.100  2.30 9.708e+02  29.2847 
OBS: 59986.0420 Y WFD  1.2336e+02  9.894e-02 4096  1.000 42.510  2.01 1.393e+04  22.2730 
OBS: 59987.0336 Y WFD  1.2264e+02  9.676e-02 4096  1.000 42.540  1.94 1.451e+04  22.2779 
OBS: 60111.4368 z WFD  7.1081e+01  3.761e-02 4096  1.000 43.500  1.66 1.589e+04  22.8697 
OBS: 60118.3970 u WFD  1.1436e-01  2.365e-02    0  1.000 41.130  1.92 9.803e+02  30.3765 
OBS: 60120.4371 z WFD  7.0367e+01  3.533e-02 4096  1.000 44.260  1.98 2.532e+04  22.8813 
OBS: 60121.3774 i WFD  3.9267e+01  1.574e-02 4096  1.000 44.560  1.89 1.547e+04  23.5146 
OBS: 60121.4360 Y WFD  9.8696e+01  7.700e-02 4096  1.000 42.580  1.67 1.389e+04  22.5131 
OBS: 60131.4255 z WFD  6.9499e+01  3.360e-02 4096  1.000 44.270  1.92 2.505e+04  22.8958 
OBS: 60138.3464 i WFD  3.8478e+01  1.315e-02 4096  1.000 45.310  2.30 2.127e+04  23.5371 
OBS: 60140.3364 u WFD  8.6665e-02  3.573e-02    0  1.000 41.060  2.81 9.487e+02  30.4055 
OBS: 60145.3641 g WFD  1.6630e+00  6.112e-03 4096  1.000 44.800  2.22 6.442e+03  26.9490 
OBS: 60153.2768 Y WFD  9.4934e+01  8.611e-02 4096  1.000 42.490  1.66 1.440e+04  22.5560 
OBS: 60158.2715 Y WFD  9.4465e+01  7.221e-02 4096  1.000 43.280  1.75 2.377e+04  22.5629 
OBS: 60160.3012 z WFD  6.6973e+01  1.997e-02 4096  1.000 45.450  1.76 4.818e+04  22.9353 
OBS: 60162.2841 Y WFD  9.3841e+01  4.429e-02 4096  1.000 44.040  1.75 2.932e+04  22.5686 
OBS: 60162.4237 z WFD  6.6788e+01  3.489e-02 4096  1.000 43.520  1.57 1.587e+04  22.9384 
OBS: 60164.3511 r WFD  1.1787e+01  1.151e-02 4096  1.000 45.650  2.72 2.166e+04  24.8200 
OBS: 60166.3948 r WFD  1.1772e+01  7.143e-03 4096  1.000 44.860  1.58 1.106e+04  24.8230 
OBS: 60168.2629 r WFD  1.1747e+01  4.918e-03 4096  1.000 45.540  1.49 1.508e+04  24.8257 
OBS: 60175.2231 r WFD  1.1620e+01  7.916e-03 4096  1.000 44.780  1.66 1.086e+04  24.8358 
OBS: 60183.2239 Y WFD  9.1213e+01  1.133e-01 4096  1.000 42.530  2.31 1.418e+04  22.5991 
OBS: 60185.3047 z WFD  6.4711e+01  3.449e-02 4096  1.000 44.280  1.95 2.557e+04  22.9718 
OBS: 60187.2808 z WFD  6.4625e+01  3.061e-02 4096  1.000 45.040  2.01 4.442e+04  22.9747 
OBS: 60196.2177 g WFD  1.5595e+00  6.874e-03 4096  1.000 44.760  2.42 6.410e+03  27.0227 
OBS: 60200.1613 u WFD  6.0911e-02  1.333e-02    0  1.000 42.970  2.52 2.293e+03  30.4923 
OBS: 60201.2179 i WFD  3.5363e+01  1.353e-02 4096  1.000 44.580  1.78 1.436e+04  23.6282 
OBS: 60211.1584 Y WFD  8.7850e+01  1.000e-01 4096  1.000 42.550  2.13 1.382e+04  22.6422 
OBS: 60211.2464 r WFD  1.1038e+01  1.111e-02 4096  1.000 44.910  1.74 1.650e+04  24.8909 
