SURVEY:   LSST
SNID:     2013730
IAUC:     NULL
SNTYPE:   40
RA:       132.067597  # deg
DEC:      -16.533751  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0577 +- 0.0029  # MW E(B-V) 
PEAKMJD:  59693.730     # estimate for LC fit codes
MJD_TRIGGER:       59623.078  
MJD_DETECT_FIRST:  59597.152  
MJD_DETECT_LAST:   60456.965  

REDSHIFT_HELIO:   2.073160 +- 0.000010  # Helio 
REDSHIFT_FINAL:   2.076216 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8888664278  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.0731  +- 0.0100 
HOSTGAL_SPECZ:       2.0732  +- 0.0000 
HOSTGAL_RA:          132.067419    # deg 
HOSTGAL_DEC:         -16.533747    # deg 
HOSTGAL_SNSEP:       0.252       # arcsec 
HOSTGAL_DDLR:        1.172       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.669 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.367
HOSTGAL_SQRADIUS:     14.074   # Ixx + Iyy
HOSTGAL_MAG:     26.90  26.53  26.93  26.96  26.88  26.90 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  927   # template index for SIMSED,NONIa
SIM_LIBID:           13729    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.07315  
SIM_REDSHIFT_CMB:    2.07621  
SIM_REDSHIFT_HOST:   2.07398  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8888664278 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.623 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.669 -9.000 
SIM_DLMU:            46.0544   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0416   # mag 
SIM_RA:              132.067596     # deg  
SIM_DEC:             -16.533751      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0541   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59693.730    #  true PEAKMJD, days 
SIM_SALT2x0:         3.7866e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1297  # spectro-search efficiency 
SIM_TRESTMIN:        -35.91  # days 
SIM_TRESTMAX:        318.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    927.000000
SIMSED_param(bfield):    0.827257
SIMSED_param(mns):    2.300019
SIMSED_param(pspin):    3.290586
SIMSED_param(kappa):    0.107878
SIMSED_param(kappagamma):    0.087102
SIMSED_param(mej):    3.863975
SIMSED_param(temp):    5260.131348
SIMSED_param(vej):    7651.485352

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.33  24.10  23.33  22.93  22.72  22.67  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2676 u WFD  6.1531e-03  1.728e-02    0  1.000 41.370  1.64 1.047e+03  99.0000 
OBS: 59588.1498 Y WFD -9.6190e-02  8.852e-02    0  1.000 42.530  1.89 1.358e+04  99.0000 
OBS: 59589.3468 i WFD -1.4953e-03  2.277e-02    0  1.000 43.820  2.07 1.046e+04  99.0000 
OBS: 59594.1186 Y WFD -2.6253e-02  7.277e-02    0  1.000 43.270  1.89 2.207e+04  99.0000 
OBS: 59597.1504 Y WFD  1.8860e+00  1.325e-01 4096  1.000 42.570  2.25 1.772e+04  26.8487 
OBS: 59623.0789 z WFD  2.3016e+01  3.726e-02 6144  1.000 44.260  1.98 2.681e+04  24.0987 
OBS: 59625.0665 Y WFD  2.4872e+01  9.188e-02 4096  1.000 42.570  1.58 1.747e+04  24.0112 
OBS: 59631.1943 i WFD  2.8921e+01  1.431e-02 4096  1.000 45.380  1.94 2.939e+04  23.8476 
OBS: 59633.1305 g WFD  1.5497e+01  1.036e-02 4096  1.000 44.100  2.60 4.826e+03  24.5247 
OBS: 59647.0074 Y WFD  5.0652e+01  1.407e-01 4096  1.000 42.560  2.69 1.557e+04  23.2372 
OBS: 59660.2018 Y WFD  6.4779e+01  1.055e-01 4096  1.000 42.490  2.00 1.470e+04  22.9713 
OBS: 59665.9866 Y WFD  7.0107e+01  1.518e-01 4096  1.000 42.590  2.32 2.003e+04  22.8861 
OBS: 59674.9906 z WFD  7.4931e+01  2.022e-02 4096  1.000 44.260  1.40 2.023e+04  22.8133 
OBS: 59684.0491 Y WFD  8.2123e+01  4.686e-02 4096  1.000 43.350  1.32 2.172e+04  22.7140 
OBS: 59685.0436 Y WFD  8.2593e+01  5.920e-02 4096  1.000 42.580  1.17 1.519e+04  22.7080 
OBS: 59686.1038 Y WFD  8.3106e+01  8.108e-02 4096  1.000 42.540  1.50 1.572e+04  22.7017 
OBS: 59711.9853 Y WFD  8.6917e+01  5.618e-02 4096  1.000 43.330  1.69 2.001e+04  22.6524 
OBS: 59713.0052 Y WFD  8.6866e+01  8.642e-02 4096  1.000 42.580  1.79 1.458e+04  22.6539 
OBS: 59723.9633 z WFD  7.7316e+01  2.876e-02 4096  1.000 44.260  1.85 2.198e+04  22.7791 
OBS: 59861.3768 Y WFD  2.9810e+01  8.400e-02 4096  1.000 43.250  2.01 2.350e+04  23.8159 
OBS: 59872.3714 z WFD  1.8651e+01  4.026e-02 4096  1.000 43.500  1.58 1.802e+04  24.3193 
OBS: 59877.3668 z WFD  1.7668e+01  3.557e-02 4096  1.000 44.250  1.88 2.671e+04  24.3836 
OBS: 59878.3377 g WFD  4.0763e-01  5.167e-03 4096  1.000 44.730  1.60 7.096e+03  28.4809 
OBS: 59880.3599 z WFD  1.6980e+01  3.037e-02 4096  1.000 43.500  1.42 1.510e+04  24.4228 
OBS: 59883.3563 z WFD  1.6339e+01  3.226e-02 4096  1.000 43.480  1.50 1.491e+04  24.4622 
OBS: 59884.3398 r WFD  2.5714e+00  9.168e-03 4096  1.000 44.050  1.35 7.956e+03  26.4810 
OBS: 59887.3598 z WFD  1.5635e+01  2.824e-02 4096  1.000 44.260  1.72 2.338e+04  24.5154 
OBS: 59896.3299 i WFD  6.7765e+00  2.441e-02 4096  1.000 45.060  2.41 3.018e+04  25.4209 
OBS: 59897.3558 z WFD  1.3793e+01  4.079e-02 4096  1.000 43.520  1.50 1.960e+04  24.6487 
OBS: 59901.3086 r WFD  1.8474e+00  7.353e-03 4096  1.000 46.020  2.45 2.165e+04  26.8420 
OBS: 59903.3166 r WFD  1.7630e+00  1.325e-02 4096  1.000 44.060  2.05 7.662e+03  26.8901 
OBS: 59905.2753 u WFD  2.8993e-02  2.953e-02    0  1.000 41.100  2.34 9.771e+02  33.2022 
OBS: 59906.2909 r WFD  1.6663e+00  1.068e-02 4096  1.000 44.800  2.30 1.088e+04  26.9511 
OBS: 59906.3459 z WFD  1.2327e+01  4.602e-02 4096  1.000 43.500  2.29 1.422e+04  24.7742 
OBS: 59911.2913 r WFD  1.5091e+00  7.285e-03 4096  1.000 44.820  1.61 1.080e+04  27.0598 
OBS: 59918.2626 Y WFD  1.6453e+01  8.783e-02 4096  1.000 42.550  1.84 1.408e+04  24.4621 
OBS: 59919.2621 z WFD  1.0419e+01  2.545e-02 4096  1.000 45.020  2.01 3.636e+04  24.9581 
OBS: 59920.2540 Y WFD  1.6030e+01  5.903e-02 4096  1.000 43.310  1.63 2.152e+04  24.4861 
OBS: 59928.2608 i WFD  4.0407e+00  1.249e-02 4096  1.000 45.800  2.19 3.360e+04  25.9807 
OBS: 59931.2720 g WFD  9.5744e-02  2.657e-03 4096  1.000 46.360  1.74 1.507e+04  30.0563 
OBS: 59932.1960 g WFD  9.7422e-02  5.014e-03 4096  1.000 44.730  1.65 6.682e+03  30.0832 
OBS: 59937.2250 r WFD  8.5348e-01  7.932e-03 4096  1.000 44.820  1.78 1.064e+04  27.6548 
OBS: 59938.2215 r WFD  8.3603e-01  8.607e-03 4096  1.000 44.820  1.93 1.065e+04  27.6798 
OBS: 59941.1718 i WFD  3.2700e+00  1.487e-02 4096  1.000 44.560  1.82 1.535e+04  26.2166 
OBS: 59950.1870 Y WFD  1.1219e+01  7.998e-02 4096  1.000 42.560  1.49 1.599e+04  24.8729 
OBS: 59958.3393 r WFD  5.2683e-01  8.108e-03 4096  1.000 45.630  1.62 2.522e+04  28.1615 
OBS: 59964.1260 u WFD -4.3461e-03  1.643e-02    0  1.000 41.920  1.92 1.410e+03  36.2933 
OBS: 59972.1144 r WFD  4.0186e-01  7.532e-03 4096  1.000 45.590  1.99 1.838e+04  28.5053 
OBS: 59975.1655 i WFD  1.7841e+00  1.361e-02 4096  1.000 44.620  1.42 1.904e+04  26.8719 
OBS: 59979.1638 Y WFD  7.7076e+00  5.994e-02 4096  1.000 42.610  1.17 1.598e+04  25.2786 
OBS: 59980.0540 Y WFD  7.7873e+00  9.405e-02 4096  1.000 42.530  1.46 1.867e+04  25.2909 
OBS: 59982.0793 z WFD  4.2225e+00  3.944e-02 4096  1.000 44.270  1.66 3.421e+04  25.9454 
OBS: 59986.2976 i WFD  1.3967e+00  2.183e-02 4096  1.000 44.590  1.91 2.210e+04  27.0972 
OBS: 60006.0255 z WFD  2.8445e+00  3.126e-02 4096  1.000 44.260  1.69 2.639e+04  26.3636 
OBS: 60008.1843 Y WFD  5.1993e+00  1.145e-01 4096  1.000 42.580  2.14 1.624e+04  25.7129 
OBS: 60011.1891 Y WFD  4.9660e+00  1.137e-01 4096  1.000 42.560  2.02 1.677e+04  25.7604 
OBS: 60037.1444 Y WFD  3.3074e+00  7.643e-02 4096  1.000 43.300  1.95 2.310e+04  26.1799 
OBS: 60038.9978 Y WFD  3.2253e+00  1.219e-01 4096  1.000 42.580  2.42 1.529e+04  26.2127 
OBS: 60040.0978 Y WFD  3.0988e+00  1.124e-01 4096  1.000 42.560  2.13 1.573e+04  26.2305 
OBS: 60041.0497 z WFD  1.5969e+00  3.177e-02 4096  1.000 44.280  1.72 2.684e+04  27.0177 
OBS: 60052.0570 u WFD  1.6921e-02  1.440e-02    0  1.000 41.350  1.33 1.056e+03  99.0000 
OBS: 60067.0054 z WFD  1.0109e+00  2.634e-02 4096  1.000 44.270  1.48 2.563e+04  27.4758 
OBS: 60077.9853 g WFD -5.4642e-03  5.495e-03    0  1.000 44.820  1.91 6.875e+03  34.9876 
OBS: 60080.0172 u WFD  2.7923e-03  1.634e-02    0  1.000 41.930  1.91 1.423e+03  99.0000 
OBS: 60093.9620 Y WFD  1.8879e+00  4.241e-02 4096  1.000 43.760  1.44 2.651e+04  26.7915 
OBS: 60095.0063 Y WFD  2.1210e+00  9.377e-02 4096  1.000 42.500  1.74 1.520e+04  26.7972 
OBS: 60099.9933 Y WFD  1.8399e+00  1.287e-01 4096  1.000 42.520  2.36 1.567e+04  26.8245 
OBS: 60100.9847 i WFD  2.2123e-01  2.958e-02 4096  1.000 43.830  1.70 1.671e+04  29.0246 
OBS: 60245.3538 Y WFD  8.5930e-01  5.600e-02 4096  1.000 43.730  1.80 2.724e+04  27.5714 
OBS: 60250.3348 i WFD  8.3053e-02  4.241e-02    0  1.000 43.850  2.39 1.735e+04  29.7906 
OBS: 60250.3604 z WFD  4.0360e-01  5.528e-02 4096  1.000 43.510  2.10 1.883e+04  28.4268 
OBS: 60261.3280 r WFD  1.7213e-02  1.093e-02    0  1.000 44.800  2.32 1.106e+04  32.0761 
OBS: 60262.3361 r WFD  5.3056e-02  1.406e-02    0  1.000 44.060  2.15 7.760e+03  32.0809 
OBS: 60269.3206 i WFD  6.9104e-02  1.833e-02 4096  1.000 44.580  2.41 1.457e+04  29.8818 
OBS: 60274.2920 Y WFD  8.6146e-01  4.860e-02 4096  1.000 44.060  1.94 2.973e+04  27.7113 
OBS: 60275.2939 z WFD  3.9060e-01  4.143e-02 4096  1.000 44.260  2.13 2.775e+04  28.5467 
OBS: 60278.3396 z WFD  3.4159e-01  3.265e-02    0  1.000 44.280  1.83 2.593e+04  28.5610 
OBS: 60283.2542 r WFD  3.6618e-02  1.119e-02    0  1.000 44.860  1.82 1.524e+04  32.1805 
OBS: 60290.2249 u WFD -2.2499e-02  2.063e-02    0  1.000 42.240  2.77 1.648e+03  99.0000 
OBS: 60290.3548 z WFD  3.7715e-01  4.885e-02    0  1.000 43.540  1.61 2.230e+04  28.6178 
OBS: 60291.3460 z WFD  3.6452e-01  2.456e-02 4096  1.000 44.270  1.70 2.080e+04  28.6224 
OBS: 60303.2757 z WFD  3.4750e-01  2.776e-02 4096  1.000 44.280  1.62 2.491e+04  28.6783 
OBS: 60306.2134 z WFD  3.5038e-01  2.817e-02 4096  1.000 45.030  1.79 4.563e+04  28.6919 
OBS: 60310.3206 i WFD  1.1138e-01  1.458e-02 4096  1.000 45.390  1.72 3.424e+04  30.0752 
OBS: 60315.1564 g WFD  2.1631e-03  5.581e-03    0  1.000 45.470  2.56 9.481e+03  36.1850 
OBS: 60318.1483 r WFD  1.4888e-02  6.679e-03    0  1.000 45.540  1.98 1.565e+04  32.3432 
OBS: 60323.3600 z WFD  3.0641e-01  3.489e-02    0  1.000 44.250  1.92 2.569e+04  28.7715 
OBS: 60327.1614 r WFD  1.8509e-02  1.315e-02    0  1.000 44.850  2.62 1.233e+04  32.3846 
OBS: 60331.1206 Y WFD  5.7456e-01  8.471e-02 4096  1.000 43.290  2.38 2.079e+04  27.9758 
OBS: 60331.2848 i WFD  7.0658e-02  1.392e-02 4096  1.000 45.350  2.26 2.398e+04  30.1712 
OBS: 60332.1860 Y WFD  5.2727e-01  8.503e-02 4096  1.000 42.580  1.81 1.427e+04  27.9807 
OBS: 60334.1161 Y WFD  6.8081e-01  8.483e-02 4096  1.000 43.750  2.46 3.076e+04  27.9896 
OBS: 60340.3381 i WFD  7.9096e-02  4.197e-02    0  1.000 43.830  2.39 1.686e+04  30.2122 
OBS: 60354.0730 g WFD  1.3247e-02  7.097e-03    0  1.000 44.800  2.34 7.115e+03  36.3618 
OBS: 60355.0232 Y WFD  8.4704e-01  1.330e-01    0  1.000 42.510  2.00 1.894e+04  28.0836 
OBS: 60357.0846 r WFD  3.2196e-02  1.096e-02    0  1.000 44.890  1.83 1.526e+04  32.5197 
OBS: 60360.0240 Y WFD  5.9572e-01  9.294e-02 4096  1.000 42.520  1.63 1.638e+04  28.1063 
OBS: 60366.2159 Y WFD  5.7237e-01  7.570e-02 4096  1.000 43.330  1.98 2.316e+04  28.1333 
OBS: 60367.0493 i WFD  6.0674e-02  2.718e-02    0  1.000 44.620  2.16 2.501e+04  30.3317 
OBS: 60372.0403 i WFD  1.0164e-01  2.262e-02    0  1.000 44.580  2.99 1.450e+04  30.3540 
OBS: 60383.1489 u WFD -1.3461e-02  3.351e-02    0  1.000 41.210  2.92 9.835e+02  99.0000 
OBS: 60385.1356 r WFD -4.1229e-03  9.242e-03    0  1.000 44.830  2.12 1.051e+04  32.6437 
OBS: 60390.1341 z WFD  2.2504e-01  3.309e-02 4096  1.000 44.270  1.75 2.723e+04  29.0690 
OBS: 60392.1039 Y WFD  4.1380e-01  7.642e-02    0  1.000 43.330  2.06 2.248e+04  28.2468 
OBS: 60393.1968 Y WFD  4.2671e-01  1.895e-01    0  1.000 42.500  2.94 1.818e+04  28.2515 
OBS: 60395.1144 z WFD  2.5656e-01  3.904e-02 4096  1.000 44.280  1.94 2.925e+04  29.0907 
OBS: 60398.0471 r WFD  1.3649e-02  3.027e-02    0  1.000 44.180  3.02 1.328e+04  32.6996 
OBS: 60420.0893 z WFD  1.7188e-01  3.632e-02    0  1.000 44.260  1.85 2.801e+04  29.1977 
OBS: 60425.9761 Y WFD  4.5416e-01  7.091e-02 4096  1.000 42.600  1.63 1.346e+04  28.3917 
OBS: 60428.0282 r WFD  5.2663e-03  1.098e-02    0  1.000 44.870  1.95 1.409e+04  32.8271 
OBS: 60428.1016 i WFD  9.9519e-02  3.842e-02    0  1.000 43.810  2.23 1.624e+04  30.5952 
OBS: 60429.0425 g WFD  1.0531e-02  6.320e-03    0  1.000 44.030  1.54 4.737e+03  36.6870 
OBS: 60434.0703 r WFD  1.1968e-02  8.285e-03    0  1.000 44.790  1.72 1.120e+04  32.8529 
OBS: 60436.0162 u WFD -4.4417e-03  2.965e-02    0  1.000 41.240  2.59 1.009e+03  99.0000 
OBS: 60442.9728 Y WFD  4.4971e-01  7.292e-02 4096  1.000 42.570  1.71 1.283e+04  28.4629 
OBS: 60444.9582 Y WFD  4.8364e-01  9.789e-02    0  1.000 42.590  1.85 1.622e+04  28.4713 
OBS: 60456.9665 Y WFD  4.7416e-01  6.044e-02 4096  1.000 42.550  1.35 1.322e+04  28.5209 
OBS: 60461.9705 Y WFD  3.6249e-01  8.535e-02    0  1.000 43.290  2.61 1.910e+04  28.5413 
OBS: 60463.0073 r WFD  3.6451e-02  1.822e-02    0  1.000 44.010  2.49 8.295e+03  32.9724 
OBS: 60593.3779 Y WFD  2.6940e-01  9.065e-02    0  1.000 42.520  1.63 1.598e+04  29.0531 
OBS: 60596.3657 i WFD -4.2361e-03  3.121e-02    0  1.000 43.800  2.51 1.162e+04  31.2587 
OBS: 60600.3779 Y WFD  3.6223e-01  9.540e-02    0  1.000 43.310  1.77 3.206e+04  29.0787 
OBS: 60602.3667 z WFD  9.2642e-02  3.012e-02    0  1.000 44.250  1.44 2.957e+04  29.9168 
OBS: 60608.3637 Y WFD  1.7280e-01  7.058e-02    0  1.000 42.560  1.42 1.482e+04  29.1082 
OBS: 60609.3590 Y WFD  3.1335e-01  7.341e-02    0  1.000 42.530  1.53 1.391e+04  29.1118 
OBS: 60610.3704 z WFD  9.5860e-02  3.050e-02    0  1.000 44.270  1.34 3.278e+04  29.9462 
OBS: 60611.3330 r WFD  4.2555e-03  6.930e-03    0  1.000 44.790  1.39 1.159e+04  33.5458 
OBS: 60613.3264 u WFD  1.3690e-02  1.426e-02    0  1.000 41.850  1.57 1.404e+03  99.0000 
OBS: 60619.3536 z WFD  5.4935e-02  3.205e-02    0  1.000 43.490  1.54 1.461e+04  29.9791 
OBS: 60620.3566 z WFD  6.7560e-02  3.630e-02    0  1.000 43.510  1.67 1.555e+04  29.9827 
OBS: 60629.3108 Y WFD  2.3102e-01  9.280e-02    0  1.000 42.560  1.85 1.495e+04  29.1841 
OBS: 60645.2979 g WFD  4.6166e-03  5.321e-03    0  1.000 44.810  1.88 6.701e+03  37.5239 
OBS: 60646.2409 u WFD -3.9891e-02  2.987e-02    0  1.000 41.020  2.28 9.424e+02  99.0000 
OBS: 60648.2551 r WFD  1.1112e-02  5.347e-03    0  1.000 45.550  1.63 1.536e+04  33.6787 
OBS: 60649.3451 z WFD  7.0541e-02  2.549e-02    0  1.000 43.520  1.27 1.448e+04  30.0864 
OBS: 60652.2829 i WFD  2.3111e-02  1.070e-02    0  1.000 44.580  1.43 1.434e+04  31.4607 
OBS: 60657.2090 Y WFD  1.5455e-01  7.053e-02    0  1.000 43.270  1.92 2.106e+04  29.2837 
OBS: 60658.2452 z WFD  8.5754e-02  3.531e-02    0  1.000 44.270  1.90 2.676e+04  30.1180 
OBS: 60665.2480 i WFD  2.1614e-02  1.541e-02    0  1.000 44.620  1.40 2.189e+04  31.5064 
OBS: 60666.3111 r WFD  2.6513e-03  1.156e-02    0  1.000 44.930  1.65 1.853e+04  33.7424 
OBS: 60667.2471 i WFD  2.7240e-02  1.412e-02    0  1.000 44.600  1.68 1.640e+04  31.5135 
OBS: 60668.1923 i WFD  5.2089e-02  1.853e-02    0  1.000 44.550  2.26 1.528e+04  31.5169 
OBS: 60672.1674 u WFD -1.9373e-02  1.300e-02    0  1.000 41.850  1.45 1.385e+03  99.0000 
END_PHOTOMETRY: 

