SURVEY:   LSST
SNID:     2014116
IAUC:     NULL
SNTYPE:   140
RA:       240.096463  # deg
DEC:      -61.840906  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2532 +- 0.0127  # MW E(B-V) 
PEAKMJD:  59540.672     # estimate for LC fit codes
MJD_TRIGGER:       59656.250  
MJD_DETECT_FIRST:  59653.273  
MJD_DETECT_LAST:   60567.023  

REDSHIFT_HELIO:   2.286542 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.287557 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6139326990  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.2865  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          240.096455    # deg 
HOSTGAL_DEC:         -61.840900    # deg 
HOSTGAL_SNSEP:       0.018       # arcsec 
HOSTGAL_DDLR:        0.173       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.921 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.415
HOSTGAL_SQRADIUS:     8.748   # Ixx + Iyy
HOSTGAL_MAG:     27.02  26.66  26.50  26.51  26.50  26.52 # ugrizY
HOSTGAL_MAGERR:   0.33   0.09   0.08   0.16   0.29   0.86 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  462   # template index for SIMSED,NONIa
SIM_LIBID:           14115    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.28654  
SIM_REDSHIFT_CMB:    2.28755  
SIM_REDSHIFT_HOST:   2.33428  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6139326990 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.281 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.921 -9.000 
SIM_DLMU:            46.3127   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0953   # mag 
SIM_RA:              240.096466     # deg  
SIM_DEC:             -61.840904      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2541   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59540.672    #  true PEAKMJD, days 
SIM_SALT2x0:         2.9848e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0289  # spectro-search efficiency 
SIM_TRESTMIN:        34.25  # days 
SIM_TRESTMAX:        312.29  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    462.000000
SIMSED_param(bfield):    0.750057
SIMSED_param(mns):    1.662507
SIMSED_param(pspin):    2.211251
SIMSED_param(kappa):    0.098029
SIMSED_param(kappagamma):    5.840571
SIMSED_param(mej):    9.363966
SIMSED_param(temp):    6033.640625
SIMSED_param(vej):    6333.552246

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.55  25.08  24.04  23.51  23.20  23.05  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59653.2722 Y WFD  3.6717e+01  1.155e-01 4096  1.000 42.530  2.31 1.448e+04  23.5833 
OBS: 59656.2510 z WFD  2.6402e+01  2.995e-02 6144  1.000 45.000  2.03 4.155e+04  23.9452 
OBS: 59660.4041 Y WFD  3.4396e+01  6.359e-02 4096  1.000 43.750  2.04 2.777e+04  23.6599 
OBS: 59661.3101 z WFD  2.4891e+01  3.149e-02 4096  1.000 45.000  2.07 4.286e+04  24.0105 
OBS: 59666.4104 Y WFD  3.2258e+01  7.926e-02 4096  1.000 43.320  1.96 2.425e+04  23.7271 
OBS: 59670.4073 z WFD  2.2223e+01  5.517e-02 4096  1.000 43.500  2.60 1.501e+04  24.1321 
OBS: 59679.4138 z WFD  1.9808e+01  3.880e-02 4096  1.000 43.490  1.66 1.636e+04  24.2584 
OBS: 59681.4088 z WFD  1.9325e+01  2.197e-02 4096  1.000 44.240  1.47 2.085e+04  24.2865 
OBS: 59688.3990 z WFD  1.7617e+01  5.358e-02 4096  1.000 44.690  2.53 4.488e+04  24.3883 
OBS: 59689.4094 z WFD  1.7304e+01  3.777e-02 4096  1.000 44.250  1.79 2.979e+04  24.4031 
OBS: 59690.4147 z WFD  1.7043e+01  3.995e-02 4096  1.000 43.490  1.44 1.944e+04  24.4181 
OBS: 59712.1324 Y WFD  1.8999e+01  6.371e-02 4096  1.000 43.740  2.22 2.535e+04  24.3011 
OBS: 59713.1847 Y WFD  1.8741e+01  1.247e-01 4096  1.000 42.560  2.45 1.516e+04  24.3150 
OBS: 59716.2654 Y WFD  1.8051e+01  8.892e-02 4096  1.000 43.320  2.14 2.493e+04  24.3563 
OBS: 59748.2040 i WFD  3.3469e+00  1.819e-02 4096  1.000 45.350  2.18 3.248e+04  26.1912 
OBS: 59757.1700 r WFD  7.0164e-01  1.412e-02 4096  1.000 44.810  3.09 1.082e+04  27.8252 
OBS: 59776.0608 i WFD  2.0161e+00  1.624e-02 4096  1.000 45.800  2.51 3.812e+04  26.7390 
OBS: 59790.0865 g WFD  4.7428e-02  8.018e-03    0  1.000 44.750  2.76 6.508e+03  31.3673 
OBS: 59791.0602 u WFD -1.6117e-02  3.029e-02    0  1.000 41.150  2.53 9.708e+02  35.5754 
OBS: 59809.0713 r WFD  2.2955e-01  7.302e-03 4096  1.000 44.780  1.54 1.092e+04  29.0909 
OBS: 59821.0082 r WFD  1.6919e-01  7.552e-03 4096  1.000 44.800  1.62 1.094e+04  29.3801 
OBS: 59830.0175 Y WFD  4.0995e+00  7.129e-02 4096  1.000 43.280  1.91 2.159e+04  25.9633 
OBS: 59985.3686 i WFD  1.9705e-01  2.957e-02 4096  1.000 43.850  1.72 1.682e+04  29.2911 
OBS: 59994.3660 r WFD  4.4966e-02  1.190e-02    0  1.000 44.040  1.78 7.789e+03  31.3821 
OBS: 60000.3030 g WFD  1.3754e-02  5.934e-03    0  1.000 44.710  1.89 6.780e+03  34.7818 
OBS: 60008.3388 Y WFD  1.1325e+00  1.304e-01 4096  1.000 42.550  2.72 1.416e+04  27.2625 
OBS: 60012.3561 z WFD  6.2450e-01  3.993e-02 4096  1.000 44.260  2.09 2.726e+04  28.1058 
OBS: 60013.3865 z WFD  5.6321e-01  4.346e-02 4096  1.000 43.510  1.68 1.850e+04  28.1095 
OBS: 60027.2804 u WFD -1.5005e-02  1.122e-02    0  1.000 42.370  1.63 1.717e+03  40.1697 
OBS: 60037.2525 Y WFD  1.2043e+00  8.292e-02 4096  1.000 42.530  1.69 1.423e+04  27.3632 
OBS: 60039.2468 Y WFD  1.0229e+00  6.849e-02 4096  1.000 44.060  2.62 3.103e+04  27.3701 
OBS: 60042.3576 z WFD  5.5393e-01  3.436e-02 4096  1.000 44.270  1.63 3.036e+04  28.2097 
OBS: 60051.1696 u WFD  2.8060e-02  2.889e-02    0  1.000 41.020  2.22 9.360e+02  40.2505 
OBS: 60051.2059 r WFD  3.0864e-02  5.643e-03    0  1.000 45.550  1.73 1.527e+04  31.5803 
OBS: 60052.1801 i WFD  1.5584e-01  1.221e-02 4096  1.000 44.550  1.50 1.517e+04  29.5258 
OBS: 60061.2985 i WFD  1.8422e-01  1.362e-02    0  1.000 44.570  1.77 1.460e+04  29.5557 
OBS: 60062.1661 r WFD  2.8771e-02  1.326e-02    0  1.000 44.820  2.43 1.304e+04  31.6163 
OBS: 60063.3288 r WFD  3.2291e-02  1.022e-02    0  1.000 44.810  2.25 1.076e+04  31.6201 
OBS: 60064.2959 i WFD  1.5211e-01  2.251e-02    0  1.000 44.570  2.92 1.464e+04  29.5655 
