SURVEY:   LSST
SNID:     2014398
IAUC:     NULL
SNTYPE:   140
RA:       60.385832  # deg
DEC:      -29.424040  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0085 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60202.449     # estimate for LC fit codes
MJD_TRIGGER:       60159.359  
MJD_DETECT_FIRST:  60158.398  
MJD_DETECT_LAST:   60671.035  

REDSHIFT_HELIO:   1.965037 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.964300 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6820922149  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9650  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          60.385638    # deg 
HOSTGAL_DEC:         -29.424129    # deg 
HOSTGAL_SNSEP:       0.325       # arcsec 
HOSTGAL_DDLR:        3.258       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.390 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.667
HOSTGAL_SQRADIUS:     12.743   # Ixx + Iyy
HOSTGAL_MAG:     26.89  26.56  26.84  26.66  26.50  26.40 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  527   # template index for SIMSED,NONIa
SIM_LIBID:           14397    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.96504  
SIM_REDSHIFT_CMB:    1.96430  
SIM_REDSHIFT_HOST:   1.98284  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6820922149 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.129 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.390 -9.000 
SIM_DLMU:            45.9098   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0428   # mag 
SIM_RA:              60.385834     # deg  
SIM_DEC:             -29.424040      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0084   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60202.449    #  true PEAKMJD, days 
SIM_SALT2x0:         4.3258e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3082  # spectro-search efficiency 
SIM_TRESTMIN:        -208.59  # days 
SIM_TRESTMAX:        158.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    527.000000
SIMSED_param(bfield):    1.743560
SIMSED_param(mns):    1.840128
SIMSED_param(pspin):    2.568787
SIMSED_param(kappa):    0.173308
SIMSED_param(kappagamma):    0.116212
SIMSED_param(mej):    3.123866
SIMSED_param(temp):    6519.000000
SIMSED_param(vej):    10548.162109

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.10  23.26  22.75  22.52  22.42  22.44  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1107 u WFD  4.6029e-02  2.265e-02    0  1.000 41.310  2.13 9.993e+02  99.0000 
OBS: 59588.0991 Y WFD  1.0000e-02  8.100e-02    0  1.000 42.590  1.96 1.266e+04  99.0000 
OBS: 59591.1055 z WFD -1.4107e-02  2.606e-02    0  1.000 44.270  1.65 2.274e+04  99.0000 
OBS: 59597.0825 Y WFD  1.2206e-01  6.961e-02    0  1.000 43.350  2.11 2.036e+04  99.0000 
OBS: 59598.0743 z WFD  5.3707e-03  4.006e-02    0  1.000 44.280  2.42 2.406e+04  99.0000 
OBS: 59630.0201 Y WFD  1.6580e-02  7.339e-02    0  1.000 42.590  1.39 1.618e+04  99.0000 
OBS: 59641.0144 z WFD  5.0779e-02  4.718e-02    0  1.000 44.260  2.60 2.589e+04  99.0000 
OBS: 59645.0069 z WFD  4.1692e-02  5.091e-02    0  1.000 43.510  1.91 1.906e+04  99.0000 
OBS: 59650.0052 Y WFD  1.9194e-01  1.041e-01    0  1.000 42.560  1.95 1.591e+04  99.0000 
OBS: 59791.4025 g WFD -2.5105e-03  8.593e-03    0  1.000 44.020  2.11 4.658e+03  99.0000 
OBS: 59797.4280 Y WFD -1.1724e-01  9.887e-02    0  1.000 42.570  2.20 1.352e+04  99.0000 
OBS: 59802.4207 Y WFD  1.0897e-02  7.160e-02    0  1.000 42.600  1.56 1.420e+04  99.0000 
OBS: 59803.3574 Y WFD  1.2577e-01  8.115e-02    0  1.000 42.560  1.58 1.531e+04  99.0000 
OBS: 59805.3518 Y WFD -5.1538e-02  5.785e-02    0  1.000 43.310  1.63 2.111e+04  99.0000 
OBS: 59810.3691 i WFD  1.2319e-02  1.019e-02    0  1.000 45.350  1.65 2.405e+04  99.0000 
OBS: 59819.2929 u WFD  2.2487e-02  2.489e-02    0  1.000 41.740  2.66 1.306e+03  99.0000 
OBS: 59821.2983 r WFD  6.9660e-03  7.811e-03    0  1.000 45.550  2.40 1.524e+04  99.0000 
OBS: 59835.2453 Y WFD -9.0384e-02  8.015e-02    0  1.000 42.520  1.46 1.577e+04  99.0000 
OBS: 59836.2855 z WFD  2.6165e-02  3.311e-02    0  1.000 44.270  1.86 2.563e+04  99.0000 
OBS: 59839.3328 r WFD -1.7369e-02  1.130e-02    0  1.000 44.910  1.78 1.648e+04  99.0000 
OBS: 59841.3147 g WFD -3.7127e-03  8.418e-03    0  1.000 44.870  2.74 7.687e+03  99.0000 
OBS: 59843.2689 i WFD -1.5467e-02  1.378e-02    0  1.000 44.580  1.84 1.435e+04  99.0000 
OBS: 59844.2524 r WFD -3.7458e-04  8.276e-03    0  1.000 44.810  1.86 1.054e+04  99.0000 
OBS: 59850.2516 i WFD  4.9985e-03  1.688e-02    0  1.000 44.570  2.24 1.431e+04  99.0000 
OBS: 59851.2095 u WFD  2.1583e-02  3.181e-02    0  1.000 41.080  2.54 9.518e+02  99.0000 
OBS: 59857.2603 i WFD -7.2966e-03  1.050e-02    0  1.000 45.370  1.58 2.636e+04  99.0000 
OBS: 59859.1780 Y WFD  1.1481e-01  8.703e-02    0  1.000 42.520  1.66 1.507e+04  99.0000 
OBS: 59861.1696 Y WFD  7.3939e-02  1.249e-01    0  1.000 42.520  2.09 1.717e+04  99.0000 
OBS: 59863.3599 z WFD -2.6849e-02  2.846e-02    0  1.000 44.290  1.41 2.961e+04  99.0000 
OBS: 59864.2489 z WFD  4.2859e-02  3.007e-02    0  1.000 44.280  1.57 2.784e+04  99.0000 
OBS: 59866.2995 i WFD -3.9393e-03  1.882e-02    0  1.000 44.640  1.67 2.282e+04  99.0000 
OBS: 59869.1525 r WFD  2.6550e-03  7.722e-03    0  1.000 44.760  1.59 1.098e+04  99.0000 
OBS: 59876.1323 u WFD  3.6091e-02  3.048e-02    0  1.000 41.010  2.32 9.360e+02  99.0000 
OBS: 59877.1331 r WFD  6.2832e-03  7.700e-03    0  1.000 44.780  1.62 1.095e+04  99.0000 
OBS: 59879.1907 g WFD  2.5047e-03  3.745e-03    0  1.000 44.810  1.36 6.521e+03  99.0000 
OBS: 59887.1834 i WFD  3.3014e-03  1.537e-02    0  1.000 44.630  1.43 2.157e+04  99.0000 
OBS: 59906.2144 r WFD -6.9139e-03  7.509e-03    0  1.000 44.850  1.81 1.019e+04  99.0000 
OBS: 59907.0912 r WFD -7.6588e-04  9.256e-03    0  1.000 44.820  2.09 1.058e+04  99.0000 
OBS: 59908.1168 i WFD -7.1115e-03  1.704e-02    0  1.000 44.580  2.32 1.408e+04  99.0000 
OBS: 59909.0347 z WFD -2.6996e-02  3.372e-02    0  1.000 44.220  2.02 2.296e+04  99.0000 
