SURVEY:   LSST
SNID:     2014767
IAUC:     NULL
SNTYPE:   140
RA:       107.409540  # deg
DEC:      -39.081974  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1275 +- 0.0064  # MW E(B-V) 
PEAKMJD:  60434.488     # estimate for LC fit codes
MJD_TRIGGER:       60366.148  
MJD_DETECT_FIRST:  60360.152  
MJD_DETECT_LAST:   60574.332  

REDSHIFT_HELIO:   2.900347 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.902539 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10582698202  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.9003  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          107.409595    # deg 
HOSTGAL_DEC:         -39.082003    # deg 
HOSTGAL_SNSEP:       0.091       # arcsec 
HOSTGAL_DDLR:        0.294       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.026 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.274
HOSTGAL_SQRADIUS:     9.830   # Ixx + Iyy
HOSTGAL_MAG:     29.00  27.44  26.88  26.90  27.07  26.97 # ugrizY
HOSTGAL_MAGERR:  26.62   0.16   0.14   0.18   0.68  26.48 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  282   # template index for SIMSED,NONIa
SIM_LIBID:           14766    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.90035  
SIM_REDSHIFT_CMB:    2.90253  
SIM_REDSHIFT_HOST:   2.78690  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10582698202 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.452 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.026 -9.000 
SIM_DLMU:            46.9385   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1812   # mag 
SIM_RA:              107.409538     # deg  
SIM_DEC:             -39.081974      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1206   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60434.488    #  true PEAKMJD, days 
SIM_SALT2x0:         1.6772e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -218.22  # days 
SIM_TRESTMAX:        61.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    282.000000
SIMSED_param(bfield):    4.599828
SIMSED_param(mns):    1.761427
SIMSED_param(pspin):    6.064050
SIMSED_param(kappa):    0.082454
SIMSED_param(kappagamma):    8.260892
SIMSED_param(mej):    5.823100
SIMSED_param(temp):    6002.692871
SIMSED_param(vej):    5133.685547

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.93  28.26  26.95  26.24  25.84  25.60  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2974 u WFD -2.1931e-02  1.937e-02    0  1.000 41.270  1.75 1.002e+03  99.0000 
OBS: 59583.3556 z WFD -3.8494e-02  5.148e-02    0  1.000 43.480  2.15 1.666e+04  99.0000 
OBS: 59589.0612 Y WFD  1.8494e-02  7.971e-02    0  1.000 42.530  1.68 1.376e+04  99.0000 
OBS: 59593.0504 z WFD  1.5167e-02  3.407e-02    0  1.000 44.250  1.69 2.850e+04  99.0000 
OBS: 59594.1594 Y WFD  9.0531e-02  6.128e-02    0  1.000 42.600  1.37 1.383e+04  99.0000 
OBS: 59596.0572 Y WFD  1.4623e-01  8.672e-02    0  1.000 42.560  1.64 1.576e+04  99.0000 
OBS: 59601.0391 Y WFD -7.0093e-02  9.718e-02    0  1.000 42.560  1.82 1.592e+04  99.0000 
OBS: 59601.2548 i WFD  3.1094e-03  1.927e-02    0  1.000 44.620  1.76 2.176e+04  99.0000 
OBS: 59611.0379 z WFD  5.8005e-02  4.171e-02    0  1.000 43.510  2.00 1.491e+04  99.0000 
OBS: 59620.0415 Y WFD  4.8221e-02  6.322e-02    0  1.000 42.570  1.46 1.303e+04  99.0000 
OBS: 59629.0295 z WFD -1.0693e-02  2.104e-02    0  1.000 44.270  1.18 2.568e+04  99.0000 
OBS: 59637.0177 Y WFD -2.5369e-02  8.483e-02    0  1.000 42.600  1.87 1.403e+04  99.0000 
OBS: 59652.0366 Y WFD  9.5783e-02  1.199e-01    0  1.000 42.590  2.75 1.336e+04  99.0000 
OBS: 59654.0020 Y WFD  1.4383e-01  9.295e-02    0  1.000 42.610  1.87 1.552e+04  99.0000 
OBS: 59654.9969 Y WFD -4.9301e-04  1.170e-01    0  1.000 42.620  1.91 1.930e+04  99.0000 
OBS: 59676.9961 Y WFD  9.0765e-04  9.751e-02    0  1.000 42.570  2.32 1.265e+04  99.0000 
OBS: 59683.9875 Y WFD -8.2467e-02  5.909e-02    0  1.000 42.580  1.28 1.402e+04  99.0000 
OBS: 59686.0511 Y WFD -6.9094e-03  7.503e-02    0  1.000 42.540  1.45 1.514e+04  99.0000 
OBS: 59687.0703 z WFD  4.4805e-02  3.746e-02    0  1.000 44.250  1.93 2.744e+04  99.0000 
OBS: 59691.9841 z WFD -5.6968e-02  3.994e-02    0  1.000 43.500  2.07 1.367e+04  99.0000 
OBS: 59701.9741 z WFD -4.2479e-02  3.935e-02    0  1.000 43.500  2.00 1.394e+04  99.0000 
OBS: 59717.9693 Y WFD -1.2351e-01  1.093e-01    0  1.000 42.530  2.33 1.360e+04  99.0000 
OBS: 59842.3688 r WFD -3.8579e-03  8.664e-03    0  1.000 45.240  2.15 1.418e+04  99.0000 
OBS: 59851.3223 u WFD  1.4274e-02  2.682e-02    0  1.000 41.030  2.08 9.360e+02  99.0000 
OBS: 59860.3003 Y WFD -5.1170e-02  6.732e-02    0  1.000 43.270  1.78 2.168e+04  99.0000 
OBS: 59861.2937 Y WFD -5.9986e-02  8.015e-02    0  1.000 42.520  1.48 1.556e+04  99.0000 
OBS: 59862.3831 z WFD  6.2688e-02  4.829e-02    0  1.000 43.540  1.60 2.219e+04  99.0000 
OBS: 59871.3458 g WFD  1.0198e-02  4.946e-03    0  1.000 44.890  1.47 8.576e+03  99.0000 
OBS: 59874.2909 u WFD -1.1313e-02  1.409e-02    0  1.000 42.320  2.01 1.670e+03  99.0000 
OBS: 59875.2778 r WFD -6.0169e-03  6.538e-03    0  1.000 45.530  1.99 1.510e+04  99.0000 
OBS: 59877.2839 u WFD  1.7334e-02  3.263e-02    0  1.000 41.130  2.72 9.550e+02  99.0000 
OBS: 59901.2107 r WFD -1.8446e-02  1.112e-02    0  1.000 44.780  2.43 1.054e+04  99.0000 
OBS: 59904.1849 u WFD -4.4313e-02  2.848e-02    0  1.000 41.010  2.19 9.265e+02  99.0000 
OBS: 59906.2489 r WFD  1.2280e-02  8.058e-03    0  1.000 44.820  1.89 1.019e+04  99.0000 
OBS: 59907.1695 r WFD  6.4184e-03  1.131e-02    0  1.000 44.750  2.35 1.078e+04  99.0000 
OBS: 59908.2111 i WFD  4.9006e-03  8.510e-03    0  1.000 45.760  1.91 2.531e+04  99.0000 
OBS: 59916.2784 i WFD  1.7108e-02  1.234e-02    0  1.000 44.600  1.58 1.525e+04  99.0000 
OBS: 59921.1444 z WFD  2.6956e-02  4.139e-02    0  1.000 44.250  1.96 2.986e+04  99.0000 
OBS: 59926.3144 i WFD  6.4228e-03  2.448e-02    0  1.000 43.870  1.68 1.451e+04  99.0000 
