SURVEY:   LSST
SNID:     2014883
IAUC:     NULL
SNTYPE:   40
RA:       6.366539  # deg
DEC:      1.270538  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0190 +- 0.0009  # MW E(B-V) 
PEAKMJD:  60109.832     # estimate for LC fit codes
MJD_TRIGGER:       60095.418  
MJD_DETECT_FIRST:  60094.422  
MJD_DETECT_LAST:   60659.066  

REDSHIFT_HELIO:   1.961881 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.958435 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10445990301  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9619  +- 0.0100 
HOSTGAL_SPECZ:       1.9619  +- 0.0000 
HOSTGAL_RA:          6.366199    # deg 
HOSTGAL_DEC:         1.270542    # deg 
HOSTGAL_SNSEP:       0.450       # arcsec 
HOSTGAL_DDLR:        2.169       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.777 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.752
HOSTGAL_SQRADIUS:     6.314   # Ixx + Iyy
HOSTGAL_MAG:     27.65  27.33  27.26  27.01  26.45  26.06 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  708   # template index for SIMSED,NONIa
SIM_LIBID:           14882    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.96188  
SIM_REDSHIFT_CMB:    1.95844  
SIM_REDSHIFT_HOST:   1.90393  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10445990301 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.411 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.777 -9.000 
SIM_DLMU:            45.9039   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0113   # mag 
SIM_RA:              6.366539     # deg  
SIM_DEC:             1.270538      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0214   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60109.832    #  true PEAKMJD, days 
SIM_SALT2x0:         4.3496e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2544  # spectro-search efficiency 
SIM_TRESTMIN:        -114.75  # days 
SIM_TRESTMAX:        185.65  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    708.000000
SIMSED_param(bfield):    0.671495
SIMSED_param(mns):    1.909927
SIMSED_param(pspin):    1.597957
SIMSED_param(kappa):    0.197880
SIMSED_param(kappagamma):    47.749252
SIMSED_param(mej):    20.050114
SIMSED_param(temp):    5937.199219
SIMSED_param(vej):    8237.269531

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.82  24.19  23.17  22.63  22.34  22.24  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 98 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3373 Y WFD -4.4935e-02  9.541e-02    0  1.000 42.530  1.94 1.426e+04  99.0000 
OBS: 59771.3580 z WFD  2.5634e-02  2.957e-02    0  1.000 44.250  1.76 2.375e+04  99.0000 
OBS: 59772.3574 Y WFD -3.7570e-02  4.760e-02    0  1.000 44.050  1.89 2.962e+04  99.0000 
OBS: 59782.3987 i WFD  2.2080e-02  2.971e-02    0  1.000 43.830  2.48 1.150e+04  99.0000 
OBS: 59783.2948 r WFD  1.0394e-02  1.505e-02    0  1.000 44.790  2.94 1.190e+04  99.0000 
OBS: 59789.3584 r WFD  5.1646e-03  1.368e-02    0  1.000 44.820  2.82 1.160e+04  99.0000 
OBS: 59790.3373 g WFD -4.9594e-03  6.565e-03    0  1.000 45.570  2.96 1.057e+04  99.0000 
OBS: 59790.4351 z WFD -5.9547e-03  5.837e-02    0  1.000 43.490  2.33 1.759e+04  99.0000 
OBS: 59791.2597 i WFD  7.3965e-04  1.588e-02    0  1.000 45.300  2.59 2.280e+04  99.0000 
OBS: 59842.1603 r WFD -7.9730e-03  7.833e-03    0  1.000 45.260  1.93 1.455e+04  99.0000 
OBS: 59855.0911 z WFD -2.1221e-02  3.117e-02    0  1.000 44.230  1.93 2.241e+04  99.0000 
OBS: 59863.2352 z WFD  5.4147e-02  4.765e-02    0  1.000 44.260  1.68 4.047e+04  99.0000 
OBS: 59864.2297 z WFD -4.6344e-02  4.354e-02    0  1.000 44.250  1.92 3.206e+04  99.0000 
OBS: 59870.0745 i WFD  3.5443e-03  1.732e-02    0  1.000 44.560  2.07 1.574e+04  99.0000 
OBS: 59875.0625 u WFD -7.5789e-03  2.139e-02    0  1.000 41.170  1.72 1.028e+03  99.0000 
OBS: 59880.0993 r WFD  1.4188e-03  6.207e-03    0  1.000 44.830  1.30 1.152e+04  99.0000 
OBS: 59883.0155 Y WFD -9.2189e-02  4.868e-02    0  1.000 43.270  1.36 2.052e+04  99.0000 
OBS: 59886.1080 z WFD  2.7078e-02  2.601e-02    0  1.000 44.260  1.45 2.560e+04  99.0000 
OBS: 59895.1706 i WFD  8.2236e-02  4.246e-02    0  1.000 43.820  2.41 1.676e+04  99.0000 
OBS: 59897.0119 z WFD -5.9586e-02  7.925e-02    0  1.000 43.500  2.53 2.220e+04  99.0000 
OBS: 59906.0870 u WFD -6.3829e-03  2.727e-02    0  1.000 41.210  2.24 1.044e+03  99.0000 
OBS: 59922.0431 z WFD -1.4696e-02  3.513e-02    0  1.000 44.260  1.88 2.666e+04  99.0000 
OBS: 59931.0778 g WFD -2.0207e-03  5.991e-03    0  1.000 44.730  1.71 7.706e+03  99.0000 
OBS: 59937.0550 z WFD -5.0111e-02  2.836e-02    0  1.000 44.230  1.79 2.199e+04  99.0000 
OBS: 60094.4205 i WFD  8.9017e+01  2.312e-02 4096  1.000 43.800  1.64 1.284e+04  22.6265 
OBS: 60094.4307 Y WFD  1.2309e+02  5.808e-02 4096  1.000 43.270  1.48 2.230e+04  22.2747 
OBS: 60095.4199 i WFD  8.9083e+01  2.672e-02 6144  1.000 43.810  1.93 1.281e+04  22.6261 
OBS: 60095.4393 Y WFD  1.2337e+02  1.558e-01 4096  1.000 42.560  1.86 2.492e+04  22.2717 
OBS: 60096.4169 i WFD  8.9099e+01  3.478e-02 4096  1.000 43.810  2.55 1.272e+04  22.6257 
OBS: 60100.4107 Y WFD  1.2483e+02  1.090e-01 4096  1.000 42.500  1.91 1.601e+04  22.2588 
OBS: 60101.4238 z WFD  1.1507e+02  4.371e-02 4096  1.000 43.490  1.57 1.931e+04  22.3470 
OBS: 60111.3841 r WFD  5.3566e+01  1.157e-02 4096  1.000 44.800  2.03 1.304e+04  23.1777 
OBS: 60118.3711 u WFD  4.1598e+00  2.979e-02 4096  1.000 41.100  2.16 1.059e+03  25.9450 
OBS: 60119.4355 z WFD  1.1586e+02  5.164e-02 4096  1.000 43.500  2.35 1.544e+04  22.3398 
OBS: 60120.3806 g WFD  1.9353e+01  8.330e-03 4096  1.000 44.780  2.29 8.235e+03  24.2828 
OBS: 60124.3581 i WFD  8.6482e+01  1.859e-02 4096  1.000 44.560  2.10 1.633e+04  22.6576 
OBS: 60127.3365 Y WFD  1.2835e+02  7.313e-02 4096  1.000 43.260  1.87 2.208e+04  22.2275 
OBS: 60139.3359 i WFD  8.2875e+01  1.159e-02 4096  1.000 45.320  1.91 2.245e+04  22.7039 
OBS: 60140.3064 u WFD  2.9387e+00  3.240e-02 4096  1.000 41.060  2.40 1.002e+03  26.3118 
