SURVEY:   LSST
SNID:     2016101
IAUC:     NULL
SNTYPE:   140
RA:       202.264895  # deg
DEC:      -57.122612  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.8410 +- 0.0420  # MW E(B-V) 
PEAKMJD:  59790.027     # estimate for LC fit codes
MJD_TRIGGER:       59770.105  
MJD_DETECT_FIRST:  59769.055  
MJD_DETECT_LAST:   60009.191  

REDSHIFT_HELIO:   1.938780 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.940763 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  173   # template index for SIMSED,NONIa
SIM_LIBID:           16100    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.95981  
SIM_REDSHIFT_CMB:    1.96179  
SIM_REDSHIFT_HOST:   1.93878  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8883513195 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.135 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.715 -9.000 
SIM_DLMU:            45.9045   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0392   # mag 
SIM_RA:              202.264893     # deg  
SIM_DEC:             -57.122612      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.8224   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59790.027    #  true PEAKMJD, days 
SIM_SALT2x0:         4.3473e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -57.37  # days 
SIM_TRESTMAX:        297.43  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    173.000000
SIMSED_param(bfield):    2.215638
SIMSED_param(mns):    1.916474
SIMSED_param(pspin):    3.869064
SIMSED_param(kappa):    0.053618
SIMSED_param(kappagamma):    382.296112
SIMSED_param(mej):    1.419504
SIMSED_param(temp):    4624.113281
SIMSED_param(vej):    12521.282227

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.92  25.65  24.50  23.94  23.56  23.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2132 Y WFD -2.4549e-02  6.887e-02    0  1.000 43.250  1.96 1.978e+04  99.0000 
OBS: 59621.2379 Y WFD  7.6692e-02  7.679e-02    0  1.000 42.530  1.64 1.358e+04  99.0000 
OBS: 59623.3864 z WFD -2.7273e-02  3.658e-02    0  1.000 43.510  1.59 1.645e+04  99.0000 
OBS: 59624.3822 z WFD -3.9433e-02  3.810e-02    0  1.000 43.500  1.87 1.444e+04  99.0000 
OBS: 59626.3810 z WFD -9.5405e-03  4.049e-02    0  1.000 43.520  1.62 1.804e+04  99.0000 
OBS: 59627.3839 z WFD -2.8430e-03  4.997e-02    0  1.000 43.520  1.86 1.939e+04  99.0000 
OBS: 59629.3321 z WFD -5.7903e-03  1.438e-02    0  1.000 45.460  1.34 4.624e+04  99.0000 
OBS: 59631.3762 i WFD -1.3340e-02  1.935e-02    0  1.000 44.630  1.58 2.457e+04  99.0000 
OBS: 59652.1375 Y WFD -1.0780e-01  1.107e-01    0  1.000 43.250  3.01 2.070e+04  99.0000 
OBS: 59654.1179 Y WFD  2.9576e-03  7.969e-02    0  1.000 43.690  2.51 2.680e+04  99.0000 
OBS: 59658.4097 z WFD  6.0632e-02  1.068e-01    0  1.000 43.500  2.76 2.743e+04  99.0000 
OBS: 59661.4011 z WFD -3.9923e-02  4.070e-02    0  1.000 44.240  2.19 2.604e+04  99.0000 
OBS: 59675.0716 r WFD  6.2098e-04  1.260e-02    0  1.000 44.760  2.60 1.096e+04  99.0000 
OBS: 59682.0504 Y WFD  8.8607e-02  5.633e-02    0  1.000 43.260  1.51 2.119e+04  99.0000 
OBS: 59683.1192 Y WFD  2.1384e-02  6.859e-02    0  1.000 42.560  1.41 1.450e+04  99.0000 
OBS: 59684.1589 Y WFD  4.1564e-02  7.199e-02    0  1.000 42.580  1.43 1.529e+04  99.0000 
OBS: 59685.1959 Y WFD -2.0856e-02  5.111e-02    0  1.000 43.340  1.35 2.315e+04  99.0000 
OBS: 59686.2816 Y WFD -7.6194e-02  6.498e-02    0  1.000 43.300  1.53 2.503e+04  99.0000 
OBS: 59688.3408 z WFD -6.7904e-02  8.191e-02    0  1.000 43.480  2.60 2.191e+04  99.0000 
OBS: 59690.1597 i WFD  2.0229e-02  1.246e-02    0  1.000 45.360  1.61 3.041e+04  99.0000 
OBS: 59709.9958 i WFD -1.8410e-02  1.993e-02    0  1.000 44.580  1.88 2.031e+04  99.0000 
OBS: 59716.2608 Y WFD  2.2511e-01  1.345e-01    0  1.000 42.500  2.13 1.781e+04  99.0000 
OBS: 59717.2349 z WFD -5.0809e-02  4.229e-02    0  1.000 44.250  2.02 2.960e+04  99.0000 
OBS: 59769.0559 z WFD  8.4970e+00  2.809e-02 4096  1.000 44.250  1.62 2.449e+04  25.1759 
OBS: 59770.1037 z WFD  1.0097e+01  5.110e-02 6144  1.000 43.490  1.81 1.981e+04  24.9868 
OBS: 59784.9753 z WFD  3.2964e+01  5.317e-02 4096  1.000 43.490  2.65 1.405e+04  23.7038 
OBS: 59801.9778 Y WFD  4.3911e+01  4.741e-02 4096  1.000 44.060  1.80 3.119e+04  23.3939 
OBS: 59806.0307 r WFD  1.2828e+01  1.699e-02 4096  1.000 44.000  2.38 7.972e+03  24.7308 
OBS: 59807.0218 g WFD  3.4695e+00  1.020e-02 4096  1.000 43.920  2.24 4.731e+03  26.1534 
OBS: 59951.3480 z WFD  8.2485e-01  4.255e-02 4096  1.000 43.500  1.53 1.970e+04  27.7244 
OBS: 59952.2994 Y WFD  1.6710e+00  9.599e-02 4096  1.000 42.500  1.72 1.574e+04  26.9366 
OBS: 59956.3357 i WFD  1.9383e-01  2.248e-02 4096  1.000 44.590  1.97 2.206e+04  29.3346 
