SURVEY:   LSST
SNID:     2016271
IAUC:     NULL
SNTYPE:   140
RA:       228.393521  # deg
DEC:      1.717623  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0393 +- 0.0020  # MW E(B-V) 
PEAKMJD:  59787.957     # estimate for LC fit codes
MJD_TRIGGER:       59771.121  
MJD_DETECT_FIRST:  59766.961  
MJD_DETECT_LAST:   60547.008  

REDSHIFT_HELIO:   1.152127 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.153418 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6126882787  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1521  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          228.393511    # deg 
HOSTGAL_DEC:         1.717627    # deg 
HOSTGAL_SNSEP:       0.019       # arcsec 
HOSTGAL_DDLR:        0.196       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.994 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.541
HOSTGAL_SQRADIUS:     9.324   # Ixx + Iyy
HOSTGAL_MAG:     26.39  26.49  26.58  26.36  26.37  26.42 # ugrizY
HOSTGAL_MAGERR:   0.29   0.10   0.12   0.11   0.40   0.23 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  475   # template index for SIMSED,NONIa
SIM_LIBID:           16270    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.15213  
SIM_REDSHIFT_CMB:    1.15342  
SIM_REDSHIFT_HOST:   1.14699  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6126882787 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.072 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.994 -9.000 
SIM_DLMU:            44.4823   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0555   # mag 
SIM_RA:              228.393524     # deg  
SIM_DEC:             1.717623      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0436   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59787.957    #  true PEAKMJD, days 
SIM_SALT2x0:         1.6109e-18 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7451  # spectro-search efficiency 
SIM_TRESTMIN:        -63.05  # days 
SIM_TRESTMAX:        352.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    475.000000
SIMSED_param(bfield):    1.808320
SIMSED_param(mns):    2.043204
SIMSED_param(pspin):    2.414723
SIMSED_param(kappa):    0.176803
SIMSED_param(kappagamma):    312.380890
SIMSED_param(mej):    3.201681
SIMSED_param(temp):    8049.263184
SIMSED_param(vej):    5027.634766

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.32  21.95  21.75  21.83  21.98  22.12  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2660 Y WFD -3.1198e-02  9.785e-02    0  1.000 42.510  1.94 1.436e+04  99.0000 
OBS: 59675.2000 r WFD  2.7378e-03  1.020e-02    0  1.000 44.790  2.06 1.151e+04  99.0000 
OBS: 59681.2078 z WFD -7.5545e-04  2.337e-02    0  1.000 44.240  1.40 2.339e+04  99.0000 
OBS: 59689.3158 z WFD -1.6358e-02  2.160e-02    0  1.000 45.250  1.60 4.795e+04  99.0000 
OBS: 59694.1408 g WFD  2.6765e-03  8.101e-03    0  1.000 44.710  2.45 7.140e+03  99.0000 
OBS: 59709.1138 i WFD  1.0760e-02  2.137e-02    0  1.000 44.580  2.13 1.922e+04  99.0000 
OBS: 59710.0954 i WFD -2.6113e-02  2.228e-02    0  1.000 44.570  1.87 2.261e+04  99.0000 
OBS: 59711.0921 Y WFD -7.6958e-02  1.006e-01    0  1.000 42.520  1.86 1.554e+04  99.0000 
OBS: 59716.1432 Y WFD -1.1790e-01  9.002e-02    0  1.000 44.050  2.65 3.995e+04  99.0000 
OBS: 59766.9621 Y WFD  9.6303e+01  1.372e-01 4096  1.000 42.520  2.54 1.549e+04  22.5410 
OBS: 59771.1195 z WFD  1.2314e+02  3.443e-02 6144  1.000 45.010  1.99 4.901e+04  22.2745 
OBS: 59772.0501 Y WFD  1.0919e+02  7.258e-02 4096  1.000 43.300  1.83 2.326e+04  22.4045 
OBS: 59780.1080 r WFD  1.8517e+02  1.244e-02 4096  1.000 44.770  2.26 1.159e+04  21.8310 
OBS: 59978.3630 i WFD  1.9963e+01  1.807e-02 4096  1.000 43.800  1.46 1.145e+04  24.2510 
OBS: 59979.3582 Y WFD  3.0687e+01  7.930e-02 4096  1.000 42.520  1.52 1.495e+04  23.7857 
OBS: 59980.3692 Y WFD  3.0294e+01  5.589e-02 4096  1.000 43.720  1.66 2.917e+04  23.7958 
OBS: 59991.3320 r WFD  9.5737e+00  9.666e-03 4096  1.000 44.800  1.82 1.238e+04  25.0459 
OBS: 59992.3843 z WFD  2.3320e+01  4.178e-02 4096  1.000 43.500  1.96 1.507e+04  24.0768 
OBS: 59997.3529 u WFD  3.0875e-01  2.444e-02 4096  1.000 41.840  2.70 1.385e+03  28.7986 
OBS: 60003.3146 i WFD  1.6133e+01  1.871e-02 4096  1.000 44.560  2.26 1.552e+04  24.4807 
OBS: 60004.3350 r WFD  8.6253e+00  9.220e-03 4096  1.000 44.810  1.92 1.130e+04  25.1599 
OBS: 60006.3701 g WFD  2.2793e+00  1.065e-02 4096  1.000 44.040  2.48 4.990e+03  26.6133 
OBS: 60008.3976 z WFD  2.0670e+01  4.476e-02 4096  1.000 44.260  2.12 3.010e+04  24.2169 
OBS: 60009.2881 Y WFD  2.3815e+01  8.788e-02 4096  1.000 43.270  2.24 2.247e+04  24.0566 
OBS: 60094.0908 Y WFD  1.3702e+01  1.056e-01 4096  1.000 42.560  2.14 1.470e+04  24.6576 
OBS: 60103.2127 i WFD  8.4499e+00  3.723e-02 4096  1.000 43.830  2.31 1.546e+04  25.1879 
OBS: 60126.1469 z WFD  9.9136e+00  5.573e-02 4096  1.000 44.250  2.15 3.664e+04  25.0116 
OBS: 60126.9791 Y WFD  1.1545e+01  6.316e-02 4096  1.000 43.740  1.63 3.423e+04  24.8489 
OBS: 60129.1467 Y WFD  1.1407e+01  1.196e-01 4096  1.000 42.500  2.04 1.653e+04  24.8612 
OBS: 60131.0602 i WFD  7.2515e+00  2.172e-02 4096  1.000 44.600  2.00 2.117e+04  25.3467 
OBS: 60133.0767 r WFD  3.8741e+00  9.588e-03 4096  1.000 44.820  2.05 1.115e+04  26.0282 
OBS: 60133.9725 z WFD  9.5979e+00  4.027e-02 4096  1.000 43.480  1.91 1.465e+04  25.0547 
OBS: 60134.0351 i WFD  7.1481e+00  1.443e-02 4096  1.000 44.570  1.84 1.485e+04  25.3629 
OBS: 60140.0698 u WFD  1.5855e-01  2.121e-02    0  1.000 41.240  1.79 1.044e+03  29.7655 
OBS: 60146.0575 g WFD  9.6646e-01  6.930e-03 4096  1.000 44.780  2.21 7.213e+03  27.5340 
OBS: 60147.9952 r WFD  3.6136e+00  1.117e-02 4096  1.000 44.830  2.26 1.190e+04  26.1084 
OBS: 60154.0559 z WFD  8.6064e+00  3.789e-02 4096  1.000 44.250  1.71 3.131e+04  25.1617 
OBS: 60160.0544 i WFD  6.1967e+00  4.953e-02 4096  1.000 43.830  2.88 1.651e+04  25.5001 
OBS: 60165.0362 r WFD  3.3337e+00  8.792e-03 4096  1.000 44.790  1.74 1.172e+04  26.1961 
