SURVEY:   LSST
SNID:     2016388
IAUC:     NULL
SNTYPE:   140
RA:       330.084561  # deg
DEC:      -12.079599  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0404 +- 0.0020  # MW E(B-V) 
PEAKMJD:  59804.133     # estimate for LC fit codes
MJD_TRIGGER:       59769.215  
MJD_DETECT_FIRST:  59752.324  
MJD_DETECT_LAST:   60630.039  

REDSHIFT_HELIO:   1.168878 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.166476 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8940834174  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1689  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          330.084539    # deg 
HOSTGAL_DEC:         -12.079515    # deg 
HOSTGAL_SNSEP:       0.154       # arcsec 
HOSTGAL_DDLR:        0.389       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.534 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.363
HOSTGAL_SQRADIUS:     20.497   # Ixx + Iyy
HOSTGAL_MAG:     27.78  27.14  25.93  24.94  24.09  23.53 # ugrizY
HOSTGAL_MAGERR:   1.88   0.32   0.07   0.04   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  463   # template index for SIMSED,NONIa
SIM_LIBID:           16387    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.16888  
SIM_REDSHIFT_CMB:    1.16647  
SIM_REDSHIFT_HOST:   1.20507  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8940834174 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.099 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.534 -9.000 
SIM_DLMU:            44.5163   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0189   # mag 
SIM_RA:              330.084564     # deg  
SIM_DEC:             -12.079598      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0411   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59804.133    #  true PEAKMJD, days 
SIM_SALT2x0:         1.5613e-18 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3387  # spectro-search efficiency 
SIM_TRESTMIN:        -23.91  # days 
SIM_TRESTMAX:        381.22  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    463.000000
SIMSED_param(bfield):    0.311952
SIMSED_param(mns):    1.580495
SIMSED_param(pspin):    2.784190
SIMSED_param(kappa):    0.160653
SIMSED_param(kappagamma):    0.930955
SIMSED_param(mej):    7.569924
SIMSED_param(temp):    5294.700195
SIMSED_param(vej):    7074.441406

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.38  23.84  22.86  22.47  22.35  22.30  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.3258 i WFD  7.8937e+01  1.625e-02 4096  1.000 44.590  1.91 1.609e+04  22.7568 
OBS: 59769.2153 z WFD  9.8428e+01  2.849e-02 6144  1.000 44.250  1.75 2.273e+04  22.5174 
OBS: 59770.2024 z WFD  9.9160e+01  3.995e-02 4096  1.000 43.490  1.62 1.710e+04  22.5090 
OBS: 59770.2926 Y WFD  9.9950e+01  6.847e-02 4096  1.000 42.570  1.54 1.324e+04  22.4996 
OBS: 59772.3585 Y WFD  1.0183e+02  7.288e-02 4096  1.000 43.330  2.07 2.124e+04  22.4804 
OBS: 59774.3565 z WFD  1.0238e+02  5.374e-02 4096  1.000 44.280  1.97 3.951e+04  22.4752 
OBS: 59784.3816 r WFD  7.3447e+01  1.114e-02 4096  1.000 44.820  2.15 1.194e+04  22.8352 
OBS: 59788.2792 g WFD  3.2005e+01  1.133e-02 4096  1.000 44.090  2.54 5.281e+03  23.7372 
OBS: 59789.3068 u WFD  8.5215e+00  3.617e-02 4096  1.000 41.250  3.06 1.040e+03  25.1788 
OBS: 59796.1254 Y WFD  1.1715e+02  7.988e-02 4096  1.000 43.710  2.83 2.419e+04  22.3288 
OBS: 59798.1452 Y WFD  1.1798e+02  7.993e-02 4096  1.000 42.530  1.64 1.401e+04  22.3213 
OBS: 59799.1205 Y WFD  1.1834e+02  8.672e-02 4096  1.000 42.520  1.66 1.489e+04  22.3177 
OBS: 59800.1701 Y WFD  1.1881e+02  8.063e-02 4096  1.000 42.580  1.64 1.480e+04  22.3141 
OBS: 59808.1960 r WFD  7.0777e+01  1.189e-02 4096  1.000 44.920  1.50 2.021e+04  22.8755 
OBS: 59808.3346 i WFD  1.0218e+02  3.036e-02 4096  1.000 43.830  1.84 1.558e+04  22.4768 
OBS: 59810.1765 g WFD  2.7765e+01  5.796e-03 4096  1.000 44.860  1.78 7.684e+03  23.8908 
OBS: 59811.1056 r WFD  6.9919e+01  1.571e-02 4096  1.000 44.060  2.15 8.377e+03  22.8886 
OBS: 59813.2747 i WFD  1.0141e+02  1.726e-02 4096  1.000 44.580  2.08 1.550e+04  22.4847 
OBS: 59818.1160 u WFD  5.6295e+00  2.444e-02 4096  1.000 41.230  1.99 1.056e+03  25.6212 
OBS: 59825.0444 z WFD  1.1452e+02  3.901e-02 4096  1.000 44.240  2.47 2.196e+04  22.3524 
OBS: 59826.0376 z WFD  1.1442e+02  4.327e-02 4096  1.000 44.230  2.63 2.270e+04  22.3540 
OBS: 59827.0525 z WFD  1.1417e+02  3.302e-02 4096  1.000 44.240  1.93 2.371e+04  22.3561 
OBS: 59836.0130 r WFD  5.9977e+01  1.041e-02 4096  1.000 44.790  1.96 1.193e+04  23.0550 
OBS: 59837.0782 r WFD  5.9478e+01  7.511e-03 4096  1.000 44.850  1.50 1.153e+04  23.0641 
OBS: 59839.0119 i WFD  9.2621e+01  1.790e-02 4096  1.000 44.550  2.03 1.607e+04  22.5828 
OBS: 59840.0133 g WFD  1.9902e+01  4.162e-03 4096  1.000 45.520  1.73 1.056e+04  24.2527 
OBS: 59841.9961 Y WFD  1.1994e+02  9.627e-02 4096  1.000 42.510  1.93 1.411e+04  22.3018 
OBS: 59843.9925 z WFD  1.0915e+02  4.107e-02 4096  1.000 43.480  1.81 1.558e+04  22.4051 
OBS: 59844.9929 z WFD  1.0878e+02  4.890e-02 4096  1.000 43.470  2.16 1.546e+04  22.4090 
OBS: 59845.9893 z WFD  1.0831e+02  3.597e-02 4096  1.000 44.680  2.32 3.239e+04  22.4129 
OBS: 59848.9914 z WFD  1.0714e+02  5.874e-02 4096  1.000 43.490  2.57 1.595e+04  22.4252 
OBS: 59853.9902 Y WFD  1.1652e+02  5.654e-02 4096  1.000 43.750  1.64 3.058e+04  22.3338 
OBS: 59856.0043 Y WFD  1.1588e+02  8.763e-02 4096  1.000 42.560  1.83 1.417e+04  22.3402 
OBS: 59861.0596 Y WFD  1.1397e+02  2.782e-02 4096  1.000 44.980  1.46 5.237e+04  22.3579 
OBS: 59863.0087 z WFD  1.0071e+02  2.439e-02 4096  1.000 44.270  1.35 2.558e+04  22.4927 
OBS: 59875.1461 u WFD  1.6701e+00  2.770e-02 4096  1.000 41.070  2.08 9.993e+02  26.9715 
OBS: 59876.0720 u WFD  1.6277e+00  3.713e-02 4096  1.000 41.250  3.14 1.050e+03  26.9964 
OBS: 60057.4219 z WFD  2.3466e+01  5.484e-02 4096  1.000 43.490  1.82 2.112e+04  24.0772 
OBS: 60058.4199 z WFD  2.3285e+01  3.990e-02 4096  1.000 43.500  1.51 1.867e+04  24.0815 
