SURVEY:   LSST
SNID:     2016473
IAUC:     NULL
SNTYPE:   40
RA:       311.373950  # deg
DEC:      -4.533252  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0421 +- 0.0021  # MW E(B-V) 
PEAKMJD:  59545.125     # estimate for LC fit codes
MJD_TRIGGER:       59728.328  
MJD_DETECT_FIRST:  59722.324  
MJD_DETECT_LAST:   60627.023  

REDSHIFT_HELIO:   0.310749 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.309482 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10312945188  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3108  +- 0.0100 
HOSTGAL_SPECZ:       0.3107  +- 0.0000 
HOSTGAL_RA:          311.374021    # deg 
HOSTGAL_DEC:         -4.533313    # deg 
HOSTGAL_SNSEP:       0.146       # arcsec 
HOSTGAL_DDLR:        1.754       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.882 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.585
HOSTGAL_SQRADIUS:     14.585   # Ixx + Iyy
HOSTGAL_MAG:     26.42  26.02  25.17  24.87  24.72  24.60 # ugrizY
HOSTGAL_MAGERR:   0.60   0.07   0.03   0.04   0.06   0.11 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  317   # template index for SIMSED,NONIa
SIM_LIBID:           16472    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.31075  
SIM_REDSHIFT_CMB:    0.30949  
SIM_REDSHIFT_HOST:   0.29974  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10312945188 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.714 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.882 -9.000 
SIM_DLMU:            41.0356   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0063   # mag 
SIM_RA:              311.373962     # deg  
SIM_DEC:             -4.533252      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0461   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59545.125    #  true PEAKMJD, days 
SIM_SALT2x0:         3.8525e-17 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        135.19  # days 
SIM_TRESTMAX:        826.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    317.000000
SIMSED_param(bfield):    0.709288
SIMSED_param(mns):    1.416579
SIMSED_param(pspin):    2.589164
SIMSED_param(kappa):    0.158421
SIMSED_param(kappagamma):    2.899827
SIMSED_param(mej):    10.882876
SIMSED_param(temp):    5805.192871
SIMSED_param(vej):    9468.827148

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   19.52  19.18  19.14  19.23  19.34  19.44  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59722.3246 z WFD  4.6711e+02  1.824e-02 4096  1.000 45.750  2.26 4.381e+04  20.8264 
OBS: 59728.3293 u WFD  2.6432e+01  2.335e-02 6144  1.000 41.230  1.80 1.040e+03  23.9445 
OBS: 59729.3262 i WFD  3.6753e+02  1.621e-02 4096  1.000 44.580  1.83 1.513e+04  21.0868 
OBS: 59752.2299 i WFD  3.0775e+02  1.922e-02 4096  1.000 44.570  2.24 1.525e+04  21.2795 
OBS: 59770.1969 z WFD  3.2451e+02  2.775e-02 4096  1.000 44.250  1.59 2.361e+04  21.2219 
OBS: 59770.3067 Y WFD  3.5268e+02  7.730e-02 4096  1.000 42.570  1.66 1.362e+04  21.1315 
OBS: 59772.2720 Y WFD  3.4773e+02  8.802e-02 4096  1.000 43.300  2.20 2.332e+04  21.1462 
OBS: 59777.2495 Y WFD  3.3640e+02  6.056e-02 4096  1.000 44.330  2.71 3.372e+04  21.1829 
OBS: 59779.1887 z WFD  3.0535e+02  2.862e-02 4096  1.000 44.260  1.80 2.184e+04  21.2880 
OBS: 59789.1312 r WFD  1.6235e+02  1.177e-02 4096  1.000 44.810  2.21 1.170e+04  21.9739 
OBS: 59790.2222 g WFD  7.0909e+01  8.436e-03 4096  1.000 44.840  2.59 7.457e+03  22.8730 
OBS: 59804.2033 z WFD  2.6031e+02  3.228e-02 4096  1.000 45.020  1.63 5.620e+04  21.4616 
OBS: 59806.1165 i WFD  2.1461e+02  1.731e-02 4096  1.000 45.380  1.82 3.709e+04  21.6711 
OBS: 59807.1143 r WFD  1.4508e+02  1.538e-02 4096  1.000 44.130  1.43 1.265e+04  22.0960 
OBS: 59808.1420 r WFD  1.4415e+02  9.147e-03 4096  1.000 44.870  1.55 1.326e+04  22.1029 
OBS: 59811.0823 r WFD  1.4165e+02  1.133e-02 4096  1.000 44.810  2.18 1.147e+04  22.1219 
OBS: 59818.0633 u WFD  1.4253e+01  1.812e-02 4096  1.000 41.970  2.06 1.464e+03  24.6155 
OBS: 59836.1141 r WFD  1.2259e+02  1.474e-02 4096  1.000 44.160  1.32 1.361e+04  22.2787 
OBS: 59838.9857 z WFD  2.1261e+02  3.493e-02 4096  1.000 44.250  1.78 2.726e+04  21.6809 
OBS: 59839.0121 i WFD  1.7733e+02  2.140e-02 4096  1.000 43.820  1.79 1.070e+04  21.8780 
OBS: 59840.9913 Y WFD  2.2863e+02  4.931e-02 4096  1.000 43.740  1.70 2.525e+04  21.6017 
OBS: 59841.0242 g WFD  5.2509e+01  5.815e-03 4096  1.000 44.800  1.73 7.112e+03  23.1997 
OBS: 59842.9827 Y WFD  2.2632e+02  1.007e-01 4096  1.000 42.550  1.53 1.924e+04  21.6134 
OBS: 59843.9934 z WFD  2.0690e+02  2.565e-02 4096  1.000 44.240  1.56 2.229e+04  21.7107 
OBS: 59859.0092 Y WFD  2.0781e+02  5.848e-02 4096  1.000 43.340  1.49 2.366e+04  21.7062 
OBS: 59869.0798 r WFD  1.0292e+02  1.107e-02 4096  1.000 44.790  2.10 1.161e+04  22.4687 
OBS: 59877.0440 u WFD  1.0400e+01  2.348e-02 4096  1.000 41.160  1.82 1.021e+03  24.9608 
OBS: 60051.4139 z WFD  8.5069e+01  3.057e-02 4096  1.000 43.490  1.33 1.584e+04  22.6755 
OBS: 60055.3863 g WFD  2.0951e+01  6.074e-03 4096  1.000 44.770  1.69 7.909e+03  24.1970 
OBS: 60058.3968 r WFD  4.7122e+01  1.395e-02 4096  1.000 44.060  1.88 8.551e+03  23.3165 
OBS: 60060.3825 r WFD  4.6809e+01  1.037e-02 4096  1.000 44.800  1.96 1.208e+04  23.3239 
OBS: 60062.3888 r WFD  4.6499e+01  1.367e-02 4096  1.000 44.820  2.68 1.201e+04  23.3313 
OBS: 60064.3818 i WFD  6.7905e+01  1.197e-02 4096  1.000 45.320  2.00 2.226e+04  22.9203 
OBS: 60065.4178 Y WFD  8.8290e+01  7.490e-02 4096  1.000 43.320  2.28 1.965e+04  22.6361 
OBS: 60066.3961 i WFD  6.7425e+01  1.432e-02 4096  1.000 44.580  1.73 1.547e+04  22.9277 
OBS: 60067.3782 z WFD  8.0600e+01  2.579e-02 4096  1.000 44.690  1.83 2.963e+04  22.7344 
OBS: 60073.3476 Y WFD  8.5900e+01  4.207e-02 4096  1.000 44.040  1.54 3.164e+04  22.6648 
OBS: 60080.3514 u WFD  4.6130e+00  2.001e-02 4096  1.000 41.260  1.65 1.069e+03  25.8447 
OBS: 60084.3249 i WFD  6.3566e+01  8.037e-03 4096  1.000 45.760  1.65 2.698e+04  22.9920 
OBS: 60087.2932 g WFD  1.8839e+01  6.499e-03 4096  1.000 44.760  1.94 7.362e+03  24.3124 
OBS: 60094.3060 i WFD  6.1515e+01  1.443e-02 4096  1.000 44.570  1.75 1.530e+04  23.0271 
