SURVEY:   LSST
SNID:     2016876
IAUC:     NULL
SNTYPE:   40
RA:       160.143151  # deg
DEC:      -51.176680  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.4044 +- 0.0202  # MW E(B-V) 
PEAKMJD:  59890.480     # estimate for LC fit codes
MJD_TRIGGER:       59911.355  
MJD_DETECT_FIRST:  59902.332  
MJD_DETECT_LAST:   60665.348  

REDSHIFT_HELIO:   1.551675 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.553910 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  337   # template index for SIMSED,NONIa
SIM_LIBID:           16875    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.55166  
SIM_REDSHIFT_CMB:    1.55390  
SIM_REDSHIFT_HOST:   1.52270  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8942715692 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.319 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.551 -9.000 
SIM_DLMU:            45.2817   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0348   # mag 
SIM_RA:              160.143158     # deg  
SIM_DEC:             -51.176682      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3944   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59890.480    #  true PEAKMJD, days 
SIM_SALT2x0:         7.7145e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2610  # spectro-search efficiency 
SIM_TRESTMIN:        -119.52  # days 
SIM_TRESTMAX:        306.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    337.000000
SIMSED_param(bfield):    1.264675
SIMSED_param(mns):    1.431421
SIMSED_param(pspin):    1.589731
SIMSED_param(kappa):    0.126066
SIMSED_param(kappagamma):    281.444397
SIMSED_param(mej):    4.388498
SIMSED_param(temp):    6020.760254
SIMSED_param(vej):    9140.926758

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.45  23.60  22.92  22.62  22.53  22.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59585.2454 u WFD  3.8267e-02  2.938e-02    0  1.000 41.150  2.47 9.645e+02  99.0000 
OBS: 59589.1882 Y WFD  3.9117e-02  9.801e-02    0  1.000 42.510  1.97 1.416e+04  99.0000 
OBS: 59590.2339 i WFD -1.0568e-02  1.261e-02    0  1.000 44.570  1.63 1.469e+04  99.0000 
OBS: 59594.1675 Y WFD  1.0936e-01  8.482e-02    0  1.000 42.520  1.63 1.495e+04  99.0000 
OBS: 59597.2169 Y WFD -2.5783e-01  1.421e-01    0  1.000 42.560  2.81 1.507e+04  99.0000 
OBS: 59599.3646 z WFD  2.8757e-02  4.564e-02    0  1.000 43.520  1.76 1.872e+04  99.0000 
OBS: 59601.2951 i WFD  3.2526e-03  2.177e-02    0  1.000 44.620  1.86 2.326e+04  99.0000 
OBS: 59604.3673 z WFD -1.2336e-01  4.508e-02    0  1.000 43.510  2.09 1.543e+04  99.0000 
OBS: 59612.1363 g WFD -8.3676e-03  5.571e-03    0  1.000 44.720  1.87 6.492e+03  99.0000 
OBS: 59628.3751 z WFD  4.8755e-02  3.768e-02    0  1.000 44.240  1.71 3.087e+04  99.0000 
OBS: 59631.3546 i WFD  7.9951e-03  2.341e-02    0  1.000 44.590  1.88 2.408e+04  99.0000 
OBS: 59650.1063 r WFD -7.5933e-03  1.165e-02    0  1.000 45.650  2.43 2.461e+04  99.0000 
OBS: 59654.1014 Y WFD  2.3531e-02  6.426e-02    0  1.000 43.770  2.33 2.506e+04  99.0000 
OBS: 59656.0045 z WFD  1.9611e-02  5.751e-02    0  1.000 44.250  2.32 3.504e+04  99.0000 
OBS: 59678.9923 Y WFD  5.7795e-03  6.857e-02    0  1.000 42.550  1.51 1.341e+04  99.0000 
OBS: 59684.1065 Y WFD -5.3299e-03  6.302e-02    0  1.000 42.580  1.27 1.507e+04  99.0000 
OBS: 59685.1361 Y WFD -1.2666e-01  7.009e-02    0  1.000 42.590  1.34 1.603e+04  99.0000 
OBS: 59686.1636 Y WFD -6.1509e-02  8.082e-02    0  1.000 42.560  1.48 1.628e+04  99.0000 
OBS: 59712.0440 Y WFD -6.9422e-02  5.911e-02    0  1.000 43.330  1.78 2.012e+04  99.0000 
OBS: 59713.0771 Y WFD  1.3502e-01  7.394e-02    0  1.000 42.560  1.47 1.500e+04  99.0000 
OBS: 59718.1111 i WFD -2.4487e-02  2.380e-02    0  1.000 44.590  1.98 2.324e+04  99.0000 
OBS: 59768.9928 z WFD  1.1324e-02  2.512e-02    0  1.000 44.680  1.77 2.982e+04  99.0000 
OBS: 59771.0072 z WFD -1.0918e-02  5.008e-02    0  1.000 43.480  1.83 1.904e+04  99.0000 
OBS: 59777.9674 z WFD -7.2259e-02  6.136e-02    0  1.000 44.240  2.72 3.160e+04  99.0000 
OBS: 59778.9677 z WFD  2.3253e-02  4.895e-02    0  1.000 43.480  2.15 1.584e+04  99.0000 
OBS: 59902.3316 r WFD  7.0149e+01  1.623e-02 4096  1.000 44.780  3.05 1.206e+04  22.8852 
OBS: 59911.3554 z WFD  1.0960e+02  6.304e-02 6144  1.000 43.520  1.84 2.459e+04  22.4006 
OBS: 59913.3013 r WFD  6.6255e+01  6.625e-03 4096  1.000 45.540  1.85 1.583e+04  22.9470 
OBS: 59918.3485 z WFD  1.0756e+02  3.704e-02 4096  1.000 43.500  1.51 1.711e+04  22.4205 
OBS: 59928.2744 i WFD  8.4796e+01  2.308e-02 4096  1.000 44.580  2.28 1.916e+04  22.6789 
OBS: 59928.3437 Y WFD  1.0409e+02  9.252e-02 4096  1.000 42.580  1.99 1.404e+04  22.4564 
OBS: 59929.2723 r WFD  5.3518e+01  5.769e-03 4096  1.000 46.480  1.91 3.261e+04  23.1788 
