SURVEY:   LSST
SNID:     2018306
IAUC:     NULL
SNTYPE:   40
RA:       67.342227  # deg
DEC:      -45.014072  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0152 +- 0.0008  # MW E(B-V) 
PEAKMJD:  60390.531     # estimate for LC fit codes
MJD_TRIGGER:       60352.031  
MJD_DETECT_FIRST:  60348.035  
MJD_DETECT_LAST:   60672.047  

REDSHIFT_HELIO:   1.252432 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.252310 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6128705465  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2524  +- 0.0100 
HOSTGAL_SPECZ:       1.2524  +- 0.0000 
HOSTGAL_RA:          67.341615    # deg 
HOSTGAL_DEC:         -45.013889    # deg 
HOSTGAL_SNSEP:       0.974       # arcsec 
HOSTGAL_DDLR:        2.568       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.446 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.372
HOSTGAL_SQRADIUS:     16.976   # Ixx + Iyy
HOSTGAL_MAG:     25.91  25.68  24.87  23.93  23.18  22.58 # ugrizY
HOSTGAL_MAGERR:   0.50   0.06   0.03   0.02   0.02   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  315   # template index for SIMSED,NONIa
SIM_LIBID:           18305    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.25242  
SIM_REDSHIFT_CMB:    1.25229  
SIM_REDSHIFT_HOST:   1.24801  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6128705465 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.154 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.446 -9.000 
SIM_DLMU:            44.7048   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0244   # mag 
SIM_RA:              67.342224     # deg  
SIM_DEC:             -45.014072      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0153   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60390.531    #  true PEAKMJD, days 
SIM_SALT2x0:         1.3125e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9800  # spectro-search efficiency 
SIM_TRESTMIN:        -358.52  # days 
SIM_TRESTMAX:        124.99  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    315.000000
SIMSED_param(bfield):    1.140083
SIMSED_param(mns):    1.813609
SIMSED_param(pspin):    1.533728
SIMSED_param(kappa):    0.108229
SIMSED_param(kappagamma):    0.014187
SIMSED_param(mej):    5.199046
SIMSED_param(temp):    5479.261719
SIMSED_param(vej):    9240.438477

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   21.32  21.01  20.86  20.93  21.09  21.24  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0476 z WFD -5.7283e-02  4.917e-02    0  1.000 43.500  2.49 1.399e+04  99.0000 
OBS: 59584.1510 u WFD -4.8620e-02  3.032e-02    0  1.000 41.190  2.68 9.518e+02  99.0000 
OBS: 59591.0457 z WFD  6.0756e-02  2.276e-02    0  1.000 45.030  1.79 3.687e+04  99.0000 
OBS: 59597.0929 Y WFD  1.1827e-01  8.105e-02    0  1.000 42.600  1.74 1.441e+04  99.0000 
OBS: 59603.0380 Y WFD  5.7269e-03  7.101e-02    0  1.000 43.800  1.81 3.664e+04  99.0000 
OBS: 59624.0382 z WFD -7.1382e-02  3.974e-02    0  1.000 44.270  2.37 2.415e+04  99.0000 
OBS: 59625.1337 Y WFD -1.6778e-02  8.680e-02    0  1.000 42.520  1.61 1.549e+04  99.0000 
OBS: 59634.0568 r WFD -4.4567e-03  5.959e-03    0  1.000 45.570  1.90 1.495e+04  99.0000 
OBS: 59648.0147 Y WFD  7.0485e-02  9.301e-02    0  1.000 42.550  2.02 1.360e+04  99.0000 
OBS: 59653.0013 Y WFD -8.6161e-02  1.548e-01    0  1.000 42.560  2.75 1.678e+04  99.0000 
OBS: 59662.9952 z WFD  7.5614e-03  5.194e-02    0  1.000 44.250  2.41 3.047e+04  99.0000 
OBS: 59793.3715 g WFD -4.2980e-03  8.028e-03    0  1.000 44.700  2.66 6.457e+03  99.0000 
OBS: 59803.3476 Y WFD -1.5185e-01  1.054e-01    0  1.000 42.520  1.93 1.568e+04  99.0000 
OBS: 59805.3294 Y WFD -1.0774e-01  6.794e-02    0  1.000 43.270  1.78 2.188e+04  99.0000 
OBS: 59819.2952 u WFD -3.8843e-03  3.419e-02    0  1.000 40.990  2.59 9.234e+02  99.0000 
OBS: 59822.3046 i WFD -6.1049e-03  1.384e-02    0  1.000 45.300  2.43 2.118e+04  99.0000 
OBS: 59824.3651 i WFD -5.3955e-04  1.074e-02    0  1.000 44.580  1.47 1.400e+04  99.0000 
OBS: 59825.3584 r WFD -9.8380e-03  1.010e-02    0  1.000 44.820  2.37 1.018e+04  99.0000 
OBS: 59835.2644 Y WFD -5.4631e-02  5.124e-02    0  1.000 43.280  1.39 2.133e+04  99.0000 
OBS: 59839.3193 r WFD -2.3098e-03  1.136e-02    0  1.000 44.880  1.82 1.576e+04  99.0000 
OBS: 59843.2844 g WFD -1.5181e-03  4.940e-03    0  1.000 44.780  1.80 6.321e+03  99.0000 
OBS: 59851.2881 u WFD  2.9982e-02  2.256e-02    0  1.000 41.240  2.04 9.740e+02  99.0000 
OBS: 59853.2563 r WFD  1.3805e-02  7.213e-03    0  1.000 45.560  2.33 1.463e+04  99.0000 
OBS: 59859.1852 Y WFD -1.4538e-01  9.211e-02    0  1.000 42.520  1.74 1.521e+04  99.0000 
OBS: 59862.2709 z WFD  5.9438e-04  1.397e-02    0  1.000 45.780  1.39 5.815e+04  99.0000 
OBS: 59869.1580 r WFD -5.6901e-03  7.369e-03    0  1.000 44.760  1.54 1.082e+04  99.0000 
OBS: 59870.3182 i WFD -7.1431e-03  1.111e-02    0  1.000 44.600  1.47 1.475e+04  99.0000 
OBS: 59874.2213 u WFD  1.7215e-02  1.870e-02    0  1.000 41.270  1.70 9.961e+02  99.0000 
OBS: 59876.1577 g WFD  2.4694e-03  5.405e-03    0  1.000 44.710  1.85 6.309e+03  99.0000 
OBS: 59886.1227 z WFD  2.2316e-02  2.581e-02    0  1.000 44.240  1.56 2.317e+04  99.0000 
OBS: 59887.2390 i WFD  4.0329e-03  9.797e-03    0  1.000 45.380  1.35 2.905e+04  99.0000 
OBS: 59905.0667 u WFD  5.1102e-02  3.315e-02    0  1.000 40.990  2.52 9.202e+02  99.0000 
OBS: 59912.0511 z WFD  1.4368e-02  3.807e-02    0  1.000 44.230  2.54 2.080e+04  99.0000 
OBS: 59914.1397 r WFD -3.1662e-03  7.545e-03    0  1.000 45.650  1.79 2.164e+04  99.0000 
OBS: 59918.1395 Y WFD  1.1231e-02  5.113e-02    0  1.000 43.330  1.58 1.961e+04  99.0000 
OBS: 59921.0336 z WFD  5.2907e-02  5.568e-02    0  1.000 44.250  2.22 3.546e+04  99.0000 
OBS: 59927.0381 Y WFD -3.3313e-02  5.557e-02    0  1.000 43.310  1.56 2.119e+04  99.0000 
OBS: 59929.0543 Y WFD  1.4027e-01  7.444e-02    0  1.000 42.570  1.72 1.302e+04  99.0000 
OBS: 59938.0427 z WFD  7.5126e-02  3.356e-02    0  1.000 44.260  1.74 2.752e+04  99.0000 
