SURVEY:   LSST
SNID:     2018895
IAUC:     NULL
SNTYPE:   140
RA:       355.650624  # deg
DEC:      -23.651265  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0171 +- 0.0009  # MW E(B-V) 
PEAKMJD:  60155.754     # estimate for LC fit codes
MJD_TRIGGER:       60084.406  
MJD_DETECT_FIRST:  60082.426  
MJD_DETECT_LAST:   60666.039  

REDSHIFT_HELIO:   1.622901 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.620145 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9631280958  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.6229  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          355.650630    # deg 
HOSTGAL_DEC:         -23.651283    # deg 
HOSTGAL_SNSEP:       0.035       # arcsec 
HOSTGAL_DDLR:        0.950       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.179 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.368
HOSTGAL_SQRADIUS:     9.015   # Ixx + Iyy
HOSTGAL_MAG:     25.93  26.16  26.38  26.37  26.49  26.40 # ugrizY
HOSTGAL_MAGERR:   0.28   0.10   0.11   0.13   0.44   0.61 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  420   # template index for SIMSED,NONIa
SIM_LIBID:           18894    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.62290  
SIM_REDSHIFT_CMB:    1.62015  
SIM_REDSHIFT_HOST:   1.58423  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9631280958 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.499 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.179 -9.000 
SIM_DLMU:            45.3977   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0469   # mag 
SIM_RA:              355.650635     # deg  
SIM_DEC:             -23.651264      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0167   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60155.754    #  true PEAKMJD, days 
SIM_SALT2x0:         6.9332e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -147.10  # days 
SIM_TRESTMAX:        194.76  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    420.000000
SIMSED_param(bfield):    0.181762
SIMSED_param(mns):    1.699866
SIMSED_param(pspin):    2.711085
SIMSED_param(kappa):    0.123970
SIMSED_param(kappagamma):    0.114147
SIMSED_param(mej):    2.707203
SIMSED_param(temp):    9311.663086
SIMSED_param(vej):    13940.934570

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.40  26.16  24.76  23.98  23.64  23.48  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3228 Y WFD  2.6080e-02  5.048e-02    0  1.000 43.320  1.64 1.848e+04  99.0000 
OBS: 59771.3481 z WFD  5.8992e-05  2.444e-02    0  1.000 44.270  1.60 2.199e+04  99.0000 
OBS: 59772.2896 Y WFD -2.5808e-02  6.731e-02    0  1.000 43.320  1.95 2.072e+04  99.0000 
OBS: 59774.3881 z WFD -1.3517e-02  3.736e-02    0  1.000 44.290  1.74 3.149e+04  99.0000 
OBS: 59779.2311 z WFD  1.9672e-03  4.015e-02    0  1.000 44.240  2.20 2.557e+04  99.0000 
OBS: 59782.4055 g WFD  1.5581e-02  1.337e-02    0  1.000 44.140  2.71 6.302e+03  99.0000 
OBS: 59784.3233 r WFD  3.1513e-03  1.006e-02    0  1.000 44.850  2.32 1.066e+04  99.0000 
OBS: 59788.4011 i WFD  1.2431e-02  1.227e-02    0  1.000 45.340  2.34 2.023e+04  99.0000 
OBS: 59797.2079 z WFD  6.0831e-02  4.341e-02    0  1.000 44.240  2.89 2.104e+04  99.0000 
OBS: 59807.2994 Y WFD -5.7976e-02  3.275e-02    0  1.000 44.340  1.56 3.225e+04  99.0000 
OBS: 59809.3167 r WFD -9.8779e-03  1.131e-02    0  1.000 44.930  1.68 1.780e+04  99.0000 
OBS: 59810.2177 g WFD -7.1335e-03  5.387e-03    0  1.000 44.860  1.71 7.811e+03  99.0000 
OBS: 59810.2802 i WFD  1.3549e-02  1.263e-02    0  1.000 44.610  1.58 1.575e+04  99.0000 
OBS: 59811.1828 i WFD  7.1533e-03  1.509e-02    0  1.000 44.580  1.94 1.490e+04  99.0000 
OBS: 59818.1757 u WFD  1.1168e-02  2.069e-02    0  1.000 41.300  1.83 1.053e+03  99.0000 
OBS: 59819.1996 u WFD -1.3417e-02  2.575e-02    0  1.000 41.260  2.27 1.018e+03  99.0000 
OBS: 59822.1428 i WFD -2.8694e-02  1.585e-02    0  1.000 44.580  2.02 1.503e+04  99.0000 
OBS: 59824.1246 i WFD -6.4247e-03  1.499e-02    0  1.000 44.570  1.83 1.555e+04  99.0000 
OBS: 59826.1490 z WFD  3.7052e-02  2.697e-02    0  1.000 44.260  1.88 2.047e+04  99.0000 
OBS: 59827.1078 z WFD -7.3269e-04  3.173e-02    0  1.000 44.240  1.96 2.268e+04  99.0000 
OBS: 59835.1290 Y WFD -2.0182e-02  5.483e-02    0  1.000 43.330  1.55 2.143e+04  99.0000 
OBS: 59837.1421 r WFD  8.4330e-03  1.059e-02    0  1.000 44.910  1.71 1.608e+04  99.0000 
OBS: 59841.0645 g WFD  7.2347e-03  7.199e-03    0  1.000 44.750  2.26 7.137e+03  99.0000 
OBS: 59855.0206 z WFD  1.8243e-02  2.375e-02    0  1.000 44.230  1.48 2.228e+04  99.0000 
OBS: 59856.0330 Y WFD -1.8596e-02  9.424e-02    0  1.000 42.530  1.93 1.416e+04  99.0000 
OBS: 59856.1328 i WFD -4.0308e-03  1.565e-02    0  1.000 44.630  1.64 1.914e+04  99.0000 
OBS: 59862.0556 z WFD -3.4254e-02  3.363e-02    0  1.000 44.280  1.36 3.594e+04  99.0000 
OBS: 59863.9925 Y WFD  1.4184e-01  7.692e-02    0  1.000 43.290  1.62 2.773e+04  99.0000 
OBS: 59866.9972 Y WFD  1.4013e-01  1.245e-01    0  1.000 42.540  2.25 1.619e+04  99.0000 
OBS: 59867.9965 Y WFD  8.1561e-03  5.677e-02    0  1.000 43.740  1.62 3.097e+04  99.0000 
OBS: 59875.1089 u WFD -7.5597e-03  1.318e-02    0  1.000 42.090  1.71 1.486e+03  99.0000 
OBS: 59878.0066 z WFD -6.6130e-03  3.139e-02    0  1.000 43.510  1.50 1.496e+04  99.0000 
OBS: 59885.0083 Y WFD -2.3498e-02  7.105e-02    0  1.000 42.580  1.36 1.587e+04  99.0000 
OBS: 59901.1749 r WFD  6.9719e-03  1.694e-02    0  1.000 44.010  2.36 8.133e+03  99.0000 
OBS: 59906.1156 u WFD  9.4256e-03  1.855e-02    0  1.000 41.950  2.18 1.442e+03  99.0000 
OBS: 59922.1013 z WFD  1.7671e-02  2.907e-02    0  1.000 44.250  1.48 2.777e+04  99.0000 
OBS: 59923.0811 i WFD  1.0602e-02  2.126e-02    0  1.000 44.610  1.75 2.393e+04  99.0000 
OBS: 59928.0411 Y WFD -2.3380e-02  6.976e-02    0  1.000 42.560  1.47 1.415e+04  99.0000 
OBS: 59929.0807 r WFD  4.5532e-03  9.255e-03    0  1.000 44.790  1.80 1.195e+04  99.0000 
OBS: 59937.0451 z WFD  2.9499e-02  3.082e-02    0  1.000 44.250  1.80 2.421e+04  99.0000 
