SURVEY:   LSST
SNID:     2019250
IAUC:     NULL
SNTYPE:   140
RA:       109.648822  # deg
DEC:      -53.761875  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1305 +- 0.0065  # MW E(B-V) 
PEAKMJD:  59650.434     # estimate for LC fit codes
MJD_TRIGGER:       59637.023  
MJD_DETECT_FIRST:  59625.145  
MJD_DETECT_LAST:   59916.254  

REDSHIFT_HELIO:   1.401744 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.402947 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6130391342  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4017  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          109.648872    # deg 
HOSTGAL_DEC:         -53.761847    # deg 
HOSTGAL_SNSEP:       0.092       # arcsec 
HOSTGAL_DDLR:        1.736       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.400 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.263
HOSTGAL_SQRADIUS:     6.537   # Ixx + Iyy
HOSTGAL_MAG:     25.89  26.09  26.04  26.00  26.01  25.83 # ugrizY
HOSTGAL_MAGERR:   0.15   0.06   0.06   0.10   0.24   0.32 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  28   # template index for SIMSED,NONIa
SIM_LIBID:           19249    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.40174  
SIM_REDSHIFT_CMB:    1.40295  
SIM_REDSHIFT_HOST:   1.40774  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6130391342 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.517 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.400 -9.000 
SIM_DLMU:            45.0086   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0518   # mag 
SIM_RA:              109.648819     # deg  
SIM_DEC:             -53.761875      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1289   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59650.434    #  true PEAKMJD, days 
SIM_SALT2x0:         9.9213e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -28.76  # days 
SIM_TRESTMAX:        424.76  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    28.000000
SIMSED_param(bfield):    0.039220
SIMSED_param(mns):    1.739597
SIMSED_param(pspin):    2.231456
SIMSED_param(kappa):    0.090674
SIMSED_param(kappagamma):    0.003571
SIMSED_param(mej):    2.141845
SIMSED_param(temp):    8633.618164
SIMSED_param(vej):    11184.014648

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.73  29.26  27.64  26.78  26.38  26.17  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 144 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.3580 z WFD -4.0381e-02  4.052e-02    0  1.000 44.250  2.17 2.640e+04  99.0000 
OBS: 59582.3526 z WFD -4.1445e-02  6.850e-02    0  1.000 43.490  3.10 1.551e+04  99.0000 
OBS: 59583.3534 z WFD  2.8672e-02  4.876e-02    0  1.000 43.480  2.14 1.585e+04  99.0000 
OBS: 59584.1698 u WFD -3.0449e-02  2.902e-02    0  1.000 41.200  2.58 9.550e+02  99.0000 
OBS: 59595.3033 Y WFD  1.3168e-01  9.458e-02    0  1.000 42.540  1.86 1.488e+04  99.0000 
OBS: 59596.0658 Y WFD -8.1199e-02  8.071e-02    0  1.000 42.560  1.58 1.523e+04  99.0000 
OBS: 59600.0399 z WFD  5.4268e-02  3.960e-02    0  1.000 44.240  1.96 2.831e+04  99.0000 
OBS: 59601.2016 i WFD -1.5460e-02  2.027e-02    0  1.000 44.620  1.92 2.098e+04  99.0000 
OBS: 59609.0407 z WFD  1.1829e-02  2.805e-02    0  1.000 44.240  1.88 2.090e+04  99.0000 
OBS: 59625.1460 Y WFD  1.4993e+00  6.868e-02 4096  1.000 42.580  1.44 1.448e+04  27.0910 
OBS: 59637.0245 Y WFD  3.0718e+00  9.076e-02 6144  1.000 42.570  2.09 1.306e+04  26.3405 
OBS: 59640.0237 z WFD  2.6325e+00  2.420e-02 4096  1.000 44.250  1.77 1.932e+04  26.4611 
OBS: 59653.9978 Y WFD  3.1785e+00  1.200e-01 4096  1.000 42.590  1.91 1.925e+04  26.1989 
OBS: 59654.9956 Y WFD  3.2736e+00  1.397e-01 4096  1.000 42.600  1.99 2.172e+04  26.2064 
OBS: 59675.9796 Y WFD  2.0718e+00  1.452e-01 4096  1.000 42.590  2.47 1.801e+04  26.5785 
OBS: 59683.9847 Y WFD  1.9773e+00  6.202e-02 4096  1.000 42.580  1.31 1.437e+04  26.7541 
OBS: 59686.0419 Y WFD  1.9255e+00  5.466e-02 4096  1.000 43.300  1.50 2.147e+04  26.7980 
OBS: 59709.9590 Y WFD  1.2604e+00  1.119e-01 4096  1.000 42.570  1.85 1.820e+04  27.2896 
OBS: 59712.9886 Y WFD  1.1250e+00  9.299e-02 4096  1.000 43.300  2.10 2.610e+04  27.3476 
OBS: 59717.9534 Y WFD  1.2126e+00  2.144e-01    0  1.000 42.550  2.81 2.254e+04  27.4384 
OBS: 59725.9595 z WFD  7.8080e-01  4.587e-02 4096  1.000 44.240  2.38 2.700e+04  27.7822 
OBS: 59827.3939 g WFD  1.4734e-02  9.070e-03    0  1.000 43.920  2.02 4.683e+03  31.9581 
OBS: 59842.3584 r WFD  6.9341e-02  1.103e-02    0  1.000 44.770  2.18 1.155e+04  30.4771 
OBS: 59853.3501 g WFD  6.3874e-03  7.090e-03    0  1.000 44.720  2.38 6.492e+03  32.1985 
OBS: 59857.3248 r WFD  4.5817e-02  6.813e-03 4096  1.000 45.550  1.77 1.802e+04  30.6095 
OBS: 59860.3028 Y WFD  2.4367e-01  9.495e-02    0  1.000 42.520  1.78 1.533e+04  29.1704 
OBS: 59864.3420 z WFD  1.7716e-01  3.011e-02 4096  1.000 44.250  1.73 2.461e+04  29.4100 
OBS: 59868.3218 r WFD  3.2771e-02  1.234e-02 4096  1.000 44.870  1.73 1.786e+04  30.7029 
OBS: 59874.2725 u WFD -1.1624e-02  2.130e-02    0  1.000 41.800  2.36 1.331e+03  34.8421 
OBS: 59876.2600 g WFD  2.7460e-03  6.058e-03    0  1.000 44.700  2.02 6.416e+03  32.3906 
OBS: 59897.2521 r WFD  4.3215e-02  9.115e-03    0  1.000 45.630  1.66 2.767e+04  30.9316 
OBS: 59904.1871 u WFD -2.4480e-02  2.558e-02    0  1.000 41.030  1.99 9.329e+02  35.0731 
OBS: 59908.2006 i WFD  6.2145e-02  1.211e-02    0  1.000 45.320  2.18 2.104e+04  30.1525 
OBS: 59916.2553 i WFD  8.5456e-02  1.067e-02 4096  1.000 45.360  1.66 2.525e+04  30.2101 
OBS: 59918.1736 Y WFD  6.7447e-02  5.654e-02    0  1.000 43.290  1.61 2.051e+04  29.6189 
OBS: 59919.2761 z WFD  6.7946e-02  3.376e-02    0  1.000 44.270  1.98 2.455e+04  29.8318 
OBS: 59921.1446 z WFD  9.4687e-02  4.051e-02    0  1.000 44.250  1.98 2.893e+04  29.8451 
OBS: 59931.1377 g WFD  2.5266e-02  6.106e-03    0  1.000 44.710  2.09 6.309e+03  32.7963 
OBS: 59943.1295 r WFD  2.6434e-02  1.079e-02    0  1.000 44.860  1.90 1.408e+04  31.2529 
