SURVEY:   LSST
SNID:     2019413
IAUC:     NULL
SNTYPE:   140
RA:       124.786565  # deg
DEC:      -2.485487  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0671 +- 0.0034  # MW E(B-V) 
PEAKMJD:  60675.395     # estimate for LC fit codes
MJD_TRIGGER:       60622.320  
MJD_DETECT_FIRST:  60620.305  
MJD_DETECT_LAST:   60672.219  

REDSHIFT_HELIO:   1.778024 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.780524 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5875261563  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.7780  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          124.786543    # deg 
HOSTGAL_DEC:         -2.485475    # deg 
HOSTGAL_SNSEP:       0.041       # arcsec 
HOSTGAL_DDLR:        0.772       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.035 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.011
HOSTGAL_SQRADIUS:     10.276   # Ixx + Iyy
HOSTGAL_MAG:     28.49  27.80  26.74  26.41  26.23  26.11 # ugrizY
HOSTGAL_MAGERR:   1.52   0.34   0.14   0.17   0.23   0.85 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  137   # template index for SIMSED,NONIa
SIM_LIBID:           19412    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.77802  
SIM_REDSHIFT_CMB:    1.78052  
SIM_REDSHIFT_HOST:   1.76331  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5875261563 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.282 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.035 -9.000 
SIM_DLMU:            45.6456   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0422   # mag 
SIM_RA:              124.786568     # deg  
SIM_DEC:             -2.485487      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0665   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60675.395    #  true PEAKMJD, days 
SIM_SALT2x0:         5.5175e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3323  # spectro-search efficiency 
SIM_TRESTMIN:        -392.74  # days 
SIM_TRESTMAX:        -1.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    137.000000
SIMSED_param(bfield):    0.643699
SIMSED_param(mns):    1.934093
SIMSED_param(pspin):    3.000612
SIMSED_param(kappa):    0.102381
SIMSED_param(kappagamma):    0.218059
SIMSED_param(mej):    1.607448
SIMSED_param(temp):    6217.123047
SIMSED_param(vej):    9146.018555

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.03  23.22  22.71  22.48  22.40  22.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2598 u WFD -4.7199e-03  2.458e-02    0  1.000 41.280  2.16 1.040e+03  99.0000 
OBS: 59584.3590 z WFD -4.3168e-03  5.026e-02    0  1.000 44.240  2.08 3.385e+04  99.0000 
OBS: 59600.1175 z WFD  4.5343e-02  4.504e-02    0  1.000 44.250  2.16 2.948e+04  99.0000 
OBS: 59603.2645 i WFD -3.5744e-04  2.762e-02    0  1.000 44.590  2.78 1.921e+04  99.0000 
OBS: 59620.0486 Y WFD -4.2100e-02  7.083e-02    0  1.000 43.250  1.93 2.066e+04  99.0000 
OBS: 59628.1540 z WFD -3.1839e-02  3.654e-02    0  1.000 44.280  1.65 3.219e+04  99.0000 
OBS: 59631.2143 i WFD -3.4282e-03  2.123e-02    0  1.000 44.590  1.86 2.208e+04  99.0000 
OBS: 59633.0185 Y WFD -4.4774e-02  6.170e-02    0  1.000 44.030  1.98 3.597e+04  99.0000 
OBS: 59655.0886 Y WFD  1.4267e-01  1.033e-01    0  1.000 42.570  1.82 1.708e+04  99.0000 
OBS: 59659.9928 Y WFD -4.9446e-02  8.176e-02    0  1.000 43.320  1.86 2.639e+04  99.0000 
OBS: 59681.0085 Y WFD  5.2518e-03  5.015e-02    0  1.000 43.330  1.44 2.110e+04  99.0000 
OBS: 59682.0923 Y WFD  9.9134e-02  8.408e-02    0  1.000 42.520  1.46 1.655e+04  99.0000 
OBS: 59684.0612 Y WFD  1.8193e-02  8.380e-02    0  1.000 42.540  1.53 1.603e+04  99.0000 
OBS: 59688.9754 z WFD  4.1183e-03  1.840e-02    0  1.000 45.020  1.42 3.724e+04  99.0000 
OBS: 59694.9774 Y WFD -4.4292e-02  7.481e-02    0  1.000 42.570  1.69 1.332e+04  99.0000 
OBS: 59712.0027 Y WFD -2.2789e-01  1.127e-01    0  1.000 42.520  2.14 1.513e+04  99.0000 
OBS: 59719.9597 Y WFD -1.5449e-02  8.163e-02    0  1.000 43.290  2.20 2.167e+04  99.0000 
OBS: 59861.3874 Y WFD  1.7291e-01  1.912e-01    0  1.000 42.520  1.90 2.892e+04  99.0000 
OBS: 59873.3639 z WFD  5.2627e-02  3.916e-02    0  1.000 43.480  1.73 1.574e+04  99.0000 
OBS: 59876.3496 g WFD -5.5945e-03  1.055e-02    0  1.000 43.990  2.22 5.287e+03  99.0000 
OBS: 59904.3149 r WFD -2.5332e-03  1.288e-02    0  1.000 44.810  2.71 1.125e+04  99.0000 
OBS: 59905.2827 u WFD  4.2640e-03  1.829e-02    0  1.000 42.570  2.82 1.945e+03  99.0000 
OBS: 59907.2723 r WFD  3.5119e-03  7.309e-03    0  1.000 45.550  2.12 1.614e+04  99.0000 
OBS: 59908.3341 i WFD -2.2707e-02  1.822e-02    0  1.000 44.580  2.35 1.485e+04  99.0000 
OBS: 59909.2812 i WFD  4.4155e-03  1.416e-02    0  1.000 45.320  2.47 2.172e+04  99.0000 
OBS: 59910.2786 g WFD -3.7841e-03  4.702e-03    0  1.000 45.520  2.18 9.822e+03  99.0000 
OBS: 59911.2596 r WFD  1.3288e-02  9.866e-03    0  1.000 44.790  2.03 1.130e+04  99.0000 
OBS: 59915.2771 z WFD -3.3657e-02  3.189e-02    0  1.000 44.240  2.18 2.049e+04  99.0000 
OBS: 59915.3014 g WFD  2.7862e-04  8.571e-03    0  1.000 44.790  2.86 6.966e+03  99.0000 
OBS: 59917.2501 z WFD  2.1796e-02  2.931e-02    0  1.000 44.240  1.70 2.415e+04  99.0000 
OBS: 59921.3113 z WFD -4.5213e-02  2.562e-02    0  1.000 45.030  1.70 4.370e+04  99.0000 
OBS: 59922.2445 z WFD  3.8129e-02  2.764e-02    0  1.000 45.020  1.62 4.902e+04  99.0000 
OBS: 59924.2839 Y WFD  1.8872e-03  5.699e-02    0  1.000 43.330  1.50 2.302e+04  99.0000 
OBS: 59932.2606 g WFD  3.1454e-03  4.083e-03    0  1.000 44.820  1.39 7.020e+03  99.0000 
OBS: 59933.2279 i WFD -6.9294e-03  8.562e-03    0  1.000 45.320  1.51 2.148e+04  99.0000 
OBS: 59934.2069 g WFD  5.9603e-03  5.811e-03    0  1.000 44.740  1.85 6.973e+03  99.0000 
OBS: 59939.2417 i WFD -9.7178e-03  1.378e-02    0  1.000 44.570  1.76 1.487e+04  99.0000 
OBS: 59943.2501 r WFD  1.0719e-02  8.870e-03    0  1.000 44.840  1.97 1.096e+04  99.0000 
OBS: 59945.2032 i WFD -1.0723e-02  1.565e-02    0  1.000 44.590  1.64 1.845e+04  99.0000 
OBS: 59950.1634 Y WFD -1.6463e-02  6.101e-02    0  1.000 44.050  1.94 3.698e+04  99.0000 
