SURVEY:   LSST
SNID:     2019617
IAUC:     NULL
SNTYPE:   40
RA:       314.329379  # deg
DEC:      -17.984827  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0565 +- 0.0028  # MW E(B-V) 
PEAKMJD:  59933.855     # estimate for LC fit codes
MJD_TRIGGER:       59861.113  
MJD_DETECT_FIRST:  59860.141  
MJD_DETECT_LAST:   60627.031  

REDSHIFT_HELIO:   1.722169 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.719651 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10501696616  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.7222  +- 0.0100 
HOSTGAL_SPECZ:       1.7222  +- 0.0000 
HOSTGAL_RA:          314.329411    # deg 
HOSTGAL_DEC:         -17.984765    # deg 
HOSTGAL_SNSEP:       0.119       # arcsec 
HOSTGAL_DDLR:        0.622       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.063 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.083
HOSTGAL_SQRADIUS:     8.270   # Ixx + Iyy
HOSTGAL_MAG:     26.22  25.79  24.97  23.94  23.45  23.33 # ugrizY
HOSTGAL_MAGERR:   0.25   0.05   0.02   0.01   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  790   # template index for SIMSED,NONIa
SIM_LIBID:           19616    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.72219  
SIM_REDSHIFT_CMB:    1.71967  
SIM_REDSHIFT_HOST:   1.62754  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10501696616 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.876 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.063 -9.000 
SIM_DLMU:            45.5568   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0580   # mag 
SIM_RA:              314.329376     # deg  
SIM_DEC:             -17.984827      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0563   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59933.855    #  true PEAKMJD, days 
SIM_SALT2x0:         5.9881e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.8163  # spectro-search efficiency 
SIM_TRESTMIN:        -75.56  # days 
SIM_TRESTMAX:        254.87  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    790.000000
SIMSED_param(bfield):    0.177785
SIMSED_param(mns):    1.892975
SIMSED_param(pspin):    1.536282
SIMSED_param(kappa):    0.106935
SIMSED_param(kappagamma):    2.119194
SIMSED_param(mej):    2.201710
SIMSED_param(temp):    6112.285156
SIMSED_param(vej):    10496.486328

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.43  22.52  21.96  21.68  21.62  21.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3428 u WFD -3.1783e-03  1.846e-02    0  1.000 41.340  1.64 1.088e+03  99.0000 
OBS: 59729.2793 i WFD  8.8221e-04  1.018e-02    0  1.000 45.320  1.74 2.216e+04  99.0000 
OBS: 59767.1431 Y WFD -1.3694e-01  7.789e-02    0  1.000 43.690  2.67 2.462e+04  99.0000 
OBS: 59772.3837 Y WFD -8.0511e-02  8.555e-02    0  1.000 43.280  2.10 2.357e+04  99.0000 
OBS: 59777.2634 Y WFD  2.4298e-02  7.114e-02    0  1.000 43.790  2.51 2.623e+04  99.0000 
OBS: 59779.2094 z WFD -1.3309e-02  1.352e-02    0  1.000 45.770  1.82 4.260e+04  99.0000 
OBS: 59781.2821 g WFD  6.5353e-03  8.906e-03    0  1.000 44.940  2.28 1.043e+04  99.0000 
OBS: 59789.1157 r WFD  2.7296e-03  1.015e-02    0  1.000 44.820  2.05 1.183e+04  99.0000 
OBS: 59790.2373 g WFD  1.0035e-02  7.353e-03    0  1.000 44.890  2.42 7.744e+03  99.0000 
OBS: 59797.0810 z WFD  4.7816e-02  3.683e-02    0  1.000 44.240  2.30 2.243e+04  99.0000 
OBS: 59798.1164 Y WFD  4.2810e-02  6.055e-02    0  1.000 43.290  1.80 1.964e+04  99.0000 
OBS: 59800.1548 Y WFD -7.3091e-02  7.456e-02    0  1.000 42.580  1.50 1.509e+04  99.0000 
OBS: 59807.1062 r WFD -1.2112e-02  6.517e-03    0  1.000 45.640  1.42 2.334e+04  99.0000 
OBS: 59808.0459 g WFD  2.9308e-03  6.222e-03    0  1.000 44.750  1.84 7.577e+03  99.0000 
OBS: 59811.0529 r WFD  9.4003e-03  1.109e-02    0  1.000 44.820  2.24 1.184e+04  99.0000 
OBS: 59813.2495 i WFD -8.6407e-04  1.874e-02    0  1.000 44.570  2.31 1.540e+04  99.0000 
OBS: 59818.0528 u WFD  1.4521e-02  1.672e-02    0  1.000 41.980  1.96 1.486e+03  99.0000 
OBS: 59820.1995 i WFD  1.1289e-02  8.190e-03    0  1.000 45.340  1.49 2.121e+04  99.0000 
OBS: 59821.9933 z WFD -1.6206e-02  4.593e-02    0  1.000 43.470  2.06 1.537e+04  99.0000 
OBS: 59822.0342 i WFD -1.9666e-03  1.480e-02    0  1.000 45.330  2.60 2.177e+04  99.0000 
OBS: 59823.9895 Y WFD -6.6330e-03  5.141e-02    0  1.000 44.020  2.07 2.841e+04  99.0000 
OBS: 59825.9850 z WFD -1.3244e-03  3.897e-02    0  1.000 45.000  2.32 4.739e+04  99.0000 
OBS: 59827.0142 z WFD -2.4618e-03  2.791e-02    0  1.000 44.250  1.67 2.363e+04  99.0000 
OBS: 59836.9862 Y WFD  6.6052e-03  6.782e-02    0  1.000 42.560  1.39 1.455e+04  99.0000 
OBS: 59841.0127 g WFD  4.3056e-03  5.307e-03    0  1.000 44.850  1.75 7.450e+03  99.0000 
OBS: 59842.9890 Y WFD -9.8772e-02  6.962e-02    0  1.000 42.580  1.49 1.419e+04  99.0000 
OBS: 59844.9924 z WFD  2.9321e-02  3.018e-02    0  1.000 44.260  1.84 2.341e+04  99.0000 
OBS: 59849.0442 r WFD -1.2981e-02  1.390e-02    0  1.000 44.860  3.04 1.134e+04  99.0000 
OBS: 59860.1395 Y WFD  6.5671e+00  6.877e-02 4096  1.000 43.300  1.64 2.471e+04  25.4614 
OBS: 59861.1152 Y WFD  7.9775e+00  9.812e-02 6144  1.000 42.560  1.77 1.652e+04  25.2563 
OBS: 59863.0482 z WFD  1.1839e+01  2.276e-02 4096  1.000 44.280  1.30 2.539e+04  24.8187 
OBS: 59864.1048 i WFD  1.4692e+01  1.525e-02 4096  1.000 45.370  1.69 3.572e+04  24.5811 
OBS: 59876.0613 u WFD  2.0572e+01  3.854e-02 4096  1.000 41.270  3.15 1.085e+03  24.2203 
OBS: 59877.0133 z WFD  5.3507e+01  2.938e-02 4096  1.000 43.510  1.49 1.393e+04  23.1803 
OBS: 59887.0151 Y WFD  8.5701e+01  5.425e-02 4096  1.000 43.330  1.49 2.191e+04  22.6684 
OBS: 60036.4155 z WFD  1.9661e+02  4.069e-02 4096  1.000 44.250  1.52 3.740e+04  21.7661 
OBS: 60037.4108 z WFD  1.9592e+02  6.051e-02 4096  1.000 43.480  2.28 1.826e+04  21.7702 
OBS: 60040.3914 Y WFD  2.1411e+02  1.217e-01 4096  1.000 42.500  2.10 1.623e+04  21.6737 
OBS: 60044.4077 z WFD  1.9069e+02  3.070e-02 4096  1.000 45.010  1.98 4.370e+04  21.7994 
