SURVEY:   LSST
SNID:     2019700
IAUC:     NULL
SNTYPE:   40
RA:       300.755428  # deg
DEC:      -61.609292  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0355 +- 0.0018  # MW E(B-V) 
PEAKMJD:  60496.961     # estimate for LC fit codes
MJD_TRIGGER:       60400.398  
MJD_DETECT_FIRST:  60389.395  
MJD_DETECT_LAST:   60587.051  

REDSHIFT_HELIO:   1.451760 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.451102 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9567705473  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4517  +- 0.0100 
HOSTGAL_SPECZ:       1.4518  +- 0.0000 
HOSTGAL_RA:          300.755465    # deg 
HOSTGAL_DEC:         -61.609318    # deg 
HOSTGAL_SNSEP:       0.069       # arcsec 
HOSTGAL_DDLR:        1.154       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.189 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.369
HOSTGAL_SQRADIUS:     7.567   # Ixx + Iyy
HOSTGAL_MAG:     26.79  26.93  26.97  26.95  26.96  26.54 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  187   # template index for SIMSED,NONIa
SIM_LIBID:           19699    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.45175  
SIM_REDSHIFT_CMB:    1.45109  
SIM_REDSHIFT_HOST:   1.42700  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9567705473 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.752 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.189 -9.000 
SIM_DLMU:            45.1008   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1474   # mag 
SIM_RA:              300.755432     # deg  
SIM_DEC:             -61.609291      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0339   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60496.961    #  true PEAKMJD, days 
SIM_SALT2x0:         9.1138e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -318.47  # days 
SIM_TRESTMAX:        36.76  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    187.000000
SIMSED_param(bfield):    0.126390
SIMSED_param(mns):    1.632819
SIMSED_param(pspin):    1.016676
SIMSED_param(kappa):    0.137596
SIMSED_param(kappagamma):    0.437370
SIMSED_param(mej):    10.009912
SIMSED_param(temp):    7621.916016
SIMSED_param(vej):    10333.797852

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.36  21.37  20.76  20.49  20.47  20.52  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 80 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59716.3496 Y WFD  6.1080e-03  5.935e-02    0  1.000 44.300  2.40 3.661e+04  99.0000 
OBS: 59718.3227 z WFD  4.1777e-03  1.946e-02    0  1.000 46.110  2.19 6.966e+04  99.0000 
OBS: 59726.4320 z WFD -4.5627e-02  4.532e-02    0  1.000 43.500  1.96 1.638e+04  99.0000 
OBS: 59749.4353 z WFD -7.4395e-02  5.443e-02    0  1.000 43.480  2.06 1.838e+04  99.0000 
OBS: 59800.1034 Y WFD -1.5560e-01  8.823e-02    0  1.000 42.560  1.72 1.529e+04  99.0000 
OBS: 59802.1848 Y WFD -3.6249e-02  6.915e-02    0  1.000 43.320  1.69 2.456e+04  99.0000 
OBS: 59804.0012 z WFD -6.5042e-02  3.881e-02    0  1.000 44.240  1.76 3.089e+04  99.0000 
OBS: 59806.2157 i WFD -4.6377e-03  1.822e-02    0  1.000 45.040  1.84 2.898e+04  99.0000 
OBS: 59812.0631 g WFD  7.5348e-03  5.037e-03    0  1.000 44.770  1.75 6.568e+03  99.0000 
OBS: 59819.0832 u WFD -8.1897e-03  2.218e-02    0  1.000 41.190  1.91 9.771e+02  99.0000 
OBS: 59821.0561 r WFD -4.1365e-03  7.239e-03    0  1.000 44.810  1.62 1.058e+04  99.0000 
OBS: 59821.9781 z WFD -1.0711e-01  4.890e-02    0  1.000 43.490  1.98 1.734e+04  99.0000 
OBS: 59824.0324 i WFD -1.6635e-02  1.502e-02    0  1.000 44.570  1.88 1.517e+04  99.0000 
OBS: 59824.9892 z WFD -1.0559e-02  2.699e-02    0  1.000 44.240  1.68 2.251e+04  99.0000 
OBS: 59830.0171 Y WFD -1.3857e-02  6.774e-02    0  1.000 43.750  2.10 2.877e+04  99.0000 
OBS: 59853.1292 r WFD  3.3516e-04  1.162e-02    0  1.000 44.800  2.31 1.180e+04  99.0000 
OBS: 59871.0601 r WFD -5.3680e-03  7.638e-03    0  1.000 44.800  1.62 1.106e+04  99.0000 
OBS: 59872.0820 i WFD -5.9912e-04  1.252e-02    0  1.000 44.560  1.52 1.550e+04  99.0000 
OBS: 59876.0382 u WFD  4.4364e-02  2.705e-02    0  1.000 41.110  2.17 9.740e+02  99.0000 
OBS: 59883.0378 i WFD -1.3767e-02  1.220e-02    0  1.000 44.570  1.34 1.728e+04  99.0000 
OBS: 60036.3834 i WFD  1.8998e-02  2.178e-02    0  1.000 43.810  1.88 1.092e+04  99.0000 
OBS: 60041.4074 z WFD -3.3260e-02  5.504e-02    0  1.000 43.510  1.99 1.978e+04  99.0000 
OBS: 60050.3453 g WFD  2.0911e-03  5.033e-03    0  1.000 44.750  1.56 7.229e+03  99.0000 
OBS: 60053.3124 i WFD -2.5944e-03  1.464e-02    0  1.000 44.540  1.73 1.563e+04  99.0000 
OBS: 60057.3187 g WFD -4.6564e-03  6.524e-03    0  1.000 44.720  2.13 6.676e+03  99.0000 
OBS: 60061.3107 i WFD -1.1923e-02  1.615e-02    0  1.000 44.560  1.98 1.534e+04  99.0000 
OBS: 60063.3331 r WFD  1.1836e-02  1.048e-02    0  1.000 44.800  2.26 1.088e+04  99.0000 
OBS: 60065.3748 r WFD  5.7237e-03  8.426e-03    0  1.000 44.810  1.87 1.067e+04  99.0000 
OBS: 60068.2651 Y WFD  8.0881e-03  1.238e-01    0  1.000 42.500  2.22 1.573e+04  99.0000 
OBS: 60069.3730 z WFD -6.1394e-03  2.750e-02    0  1.000 45.020  1.99 3.971e+04  99.0000 
OBS: 60070.3214 z WFD  5.9853e-02  3.604e-02    0  1.000 44.260  1.68 3.061e+04  99.0000 
OBS: 60073.2737 Y WFD -3.4700e-02  5.652e-02    0  1.000 43.720  1.74 2.819e+04  99.0000 
OBS: 60078.2411 g WFD  7.8942e-03  6.298e-03    0  1.000 44.690  2.03 6.578e+03  99.0000 
OBS: 60095.2204 Y WFD  1.2987e-01  8.315e-02    0  1.000 42.540  1.68 1.449e+04  99.0000 
OBS: 60096.2465 Y WFD  2.2193e-02  8.916e-02    0  1.000 42.540  1.81 1.442e+04  99.0000 
OBS: 60102.2478 Y WFD  2.6206e-02  4.105e-02    0  1.000 44.060  1.52 3.205e+04  99.0000 
OBS: 60113.1967 u WFD -1.3502e-02  1.587e-02    0  1.000 42.280  2.19 1.663e+03  99.0000 
OBS: 60118.2098 u WFD -5.1879e-03  2.375e-02    0  1.000 41.190  2.00 9.993e+02  99.0000 
OBS: 60121.1421 i WFD  1.0936e-02  1.625e-02    0  1.000 44.570  1.83 1.686e+04  99.0000 
OBS: 60126.1585 z WFD -1.3639e-02  4.038e-02    0  1.000 44.250  1.99 2.869e+04  99.0000 
