SURVEY:   LSST
SNID:     2019822
IAUC:     NULL
SNTYPE:   140
RA:       19.044532  # deg
DEC:      -2.441132  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0364 +- 0.0018  # MW E(B-V) 
PEAKMJD:  60109.836     # estimate for LC fit codes
MJD_TRIGGER:       60123.410  
MJD_DETECT_FIRST:  60118.438  
MJD_DETECT_LAST:   60199.242  

REDSHIFT_HELIO:   2.615045 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.611285 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8079952477  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.6150  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          19.044470    # deg 
HOSTGAL_DEC:         -2.441138    # deg 
HOSTGAL_SNSEP:       0.090       # arcsec 
HOSTGAL_DDLR:        1.132       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.655 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.537
HOSTGAL_SQRADIUS:     14.127   # Ixx + Iyy
HOSTGAL_MAG:     27.32  26.86  26.80  26.98  27.05  27.03 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  899   # template index for SIMSED,NONIa
SIM_LIBID:           19821    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.61505  
SIM_REDSHIFT_CMB:    2.61129  
SIM_REDSHIFT_HOST:   2.65464  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8079952477 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.022 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.655 -9.000 
SIM_DLMU:            46.6646   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0571   # mag 
SIM_RA:              19.044533     # deg  
SIM_DEC:             -2.441132      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0370   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60109.836    #  true PEAKMJD, days 
SIM_SALT2x0:         2.1584e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -90.70  # days 
SIM_TRESTMAX:        152.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    899.000000
SIMSED_param(bfield):    0.108248
SIMSED_param(mns):    1.899825
SIMSED_param(pspin):    3.459080
SIMSED_param(kappa):    0.107754
SIMSED_param(kappagamma):    0.003498
SIMSED_param(mej):    4.315861
SIMSED_param(temp):    7987.428711
SIMSED_param(vej):    7751.546387

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   39.14  34.31  31.50  29.86  28.88  28.22  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3066 Y WFD -2.8597e-02  1.001e-01    0  1.000 43.240  2.77 2.015e+04  99.0000 
OBS: 59782.3782 i WFD  2.2614e-02  2.461e-02    0  1.000 44.590  2.88 1.653e+04  99.0000 
OBS: 59783.3865 r WFD  2.9867e-03  8.123e-03    0  1.000 45.600  2.27 1.754e+04  99.0000 
OBS: 59784.3190 r WFD  1.0865e-02  1.376e-02    0  1.000 44.790  2.71 1.181e+04  99.0000 
OBS: 59785.4370 z WFD -9.2402e-04  5.182e-02    0  1.000 44.270  2.54 2.938e+04  99.0000 
OBS: 59787.4204 i WFD -1.8212e-02  3.510e-02    0  1.000 43.830  3.15 1.070e+04  99.0000 
OBS: 59788.3630 i WFD  2.1526e-02  2.433e-02    0  1.000 44.580  3.07 1.518e+04  99.0000 
OBS: 59788.4355 z WFD  1.5160e-02  4.474e-02    0  1.000 44.260  2.24 2.850e+04  99.0000 
OBS: 59790.4109 g WFD  9.8602e-03  8.408e-03    0  1.000 44.850  2.74 7.539e+03  99.0000 
OBS: 59798.2770 z WFD  6.3417e-02  3.598e-02    0  1.000 44.230  2.19 2.280e+04  99.0000 
OBS: 59801.4203 Y WFD  1.0896e-02  7.659e-02    0  1.000 42.560  1.60 1.427e+04  99.0000 
OBS: 59810.4270 Y WFD  1.8507e-02  1.068e-01    0  1.000 42.550  1.60 1.971e+04  99.0000 
OBS: 59811.2766 i WFD  1.5712e-02  1.451e-02    0  1.000 44.570  1.72 1.602e+04  99.0000 
OBS: 59811.4232 z WFD -2.8428e-02  4.214e-02    0  1.000 44.250  1.81 3.292e+04  99.0000 
OBS: 59812.2596 r WFD -2.1113e-02  1.064e-02    0  1.000 44.800  2.15 1.161e+04  99.0000 
OBS: 59817.4197 z WFD  5.0401e-02  4.530e-02    0  1.000 43.490  1.73 1.839e+04  99.0000 
OBS: 59818.3264 u WFD -5.2690e-03  2.075e-02    0  1.000 41.310  1.82 1.072e+03  99.0000 
OBS: 59819.2430 u WFD -5.0281e-02  2.913e-02    0  1.000 41.120  2.30 9.993e+02  99.0000 
OBS: 59827.2167 z WFD -5.0348e-03  3.256e-02    0  1.000 44.240  2.02 2.258e+04  99.0000 
OBS: 59831.2028 Y WFD -1.4966e-02  3.827e-02    0  1.000 44.490  1.59 4.244e+04  99.0000 
OBS: 59840.1719 g WFD  9.8739e-03  6.313e-03    0  1.000 44.760  1.94 7.359e+03  99.0000 
OBS: 59841.1556 g WFD -5.2117e-03  8.512e-03    0  1.000 44.730  2.55 7.343e+03  99.0000 
OBS: 59842.1577 r WFD  7.8108e-03  1.046e-02    0  1.000 44.800  2.07 1.185e+04  99.0000 
OBS: 59846.1422 i WFD  1.7894e-02  2.130e-02    0  1.000 44.550  2.47 1.607e+04  99.0000 
OBS: 59850.2151 i WFD -2.9896e-02  1.676e-02    0  1.000 44.580  2.12 1.514e+04  99.0000 
OBS: 59864.2823 z WFD -2.1838e-02  6.960e-02    0  1.000 43.500  1.97 2.504e+04  99.0000 
OBS: 59869.1960 r WFD  1.0952e-03  5.086e-03    0  1.000 45.600  1.52 1.640e+04  99.0000 
OBS: 59871.1032 r WFD  9.7869e-03  5.524e-03    0  1.000 45.580  1.60 1.661e+04  99.0000 
OBS: 59873.0740 i WFD -1.1500e-02  1.466e-02    0  1.000 44.560  1.72 1.603e+04  99.0000 
OBS: 59875.1830 u WFD  4.8403e-03  3.160e-02    0  1.000 41.180  2.58 1.021e+03  99.0000 
OBS: 59876.1065 u WFD -3.9276e-03  2.404e-02    0  1.000 41.230  2.00 1.050e+03  99.0000 
OBS: 59879.1531 g WFD -1.3323e-03  4.567e-03    0  1.000 44.850  1.49 7.529e+03  99.0000 
OBS: 59883.1147 i WFD -6.1862e-03  1.010e-02    0  1.000 44.590  1.25 1.562e+04  99.0000 
OBS: 59884.0247 Y WFD  3.0423e-02  8.736e-02    0  1.000 42.490  1.69 1.445e+04  99.0000 
OBS: 59885.0409 Y WFD -1.6074e-02  4.361e-02    0  1.000 43.720  1.52 2.490e+04  99.0000 
OBS: 59885.0832 z WFD  5.2923e-03  1.608e-02    0  1.000 45.010  1.46 3.135e+04  99.0000 
OBS: 59886.0983 z WFD -1.9776e-02  2.567e-02    0  1.000 44.260  1.50 2.442e+04  99.0000 
OBS: 59896.0270 Y WFD  1.3416e-01  9.606e-02    0  1.000 42.530  2.02 1.379e+04  99.0000 
OBS: 59897.0097 z WFD  5.2960e-02  1.082e-01    0  1.000 43.500  2.72 2.819e+04  99.0000 
OBS: 59898.0269 Y WFD  8.9942e-03  8.442e-02    0  1.000 42.530  1.79 1.368e+04  99.0000 
