SURVEY:   LSST
SNID:     1055199
IAUC:     NULL
SNTYPE:   136
RA:       170.680982  # deg
DEC:      -16.103208  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0414 +- 0.0021  # MW E(B-V) 
PEAKMJD:  60225.500     # estimate for LC fit codes
MJD_TRIGGER:       60297.312  
MJD_DETECT_FIRST:  60281.340  
MJD_DETECT_LAST:   60341.285  

REDSHIFT_HELIO:   0.554534 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.556427 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5938072359  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5545  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          170.681057    # deg 
HOSTGAL_DEC:         -16.103251    # deg 
HOSTGAL_SNSEP:       0.136       # arcsec 
HOSTGAL_DDLR:        1.090       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.433 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.862
HOSTGAL_SQRADIUS:     10.741   # Ixx + Iyy
HOSTGAL_MAG:     28.98  27.77  26.48  25.85  25.64  25.50 # ugrizY
HOSTGAL_MAGERR:  26.62   0.28   0.12   0.09   0.14   0.21 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           4198    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55453  
SIM_REDSHIFT_CMB:    0.55643  
SIM_REDSHIFT_HOST:   0.55882  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5938072359 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.724 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.433 -9.000 
SIM_DLMU:            42.5381   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0118   # mag 
SIM_RA:              170.680984     # deg  
SIM_DEC:             -16.103209      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0444   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60225.500    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0358  # spectro-search efficiency 
SIM_TRESTMIN:        -404.17  # days 
SIM_TRESTMAX:        287.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.54  23.15  23.32  23.44  23.82  23.58  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59597.2062 Y WFD -3.8527e-02  1.623e-01    0  1.000 42.520  2.71 1.721e+04  99.0000 
OBS: 59609.3787 z WFD  3.0108e-02  5.711e-02    0  1.000 43.520  2.20 1.874e+04  99.0000 
OBS: 59612.3822 z WFD  2.9337e-03  4.965e-02    0  1.000 43.520  1.75 2.048e+04  99.0000 
OBS: 59614.2132 i WFD -1.6338e-02  1.553e-02    0  1.000 45.330  2.80 2.120e+04  99.0000 
OBS: 59618.1709 Y WFD -1.7694e-01  1.045e-01    0  1.000 42.530  2.19 1.383e+04  99.0000 
OBS: 59645.1245 u WFD  1.1555e-02  3.094e-02    0  1.000 41.170  2.55 1.002e+03  99.0000 
OBS: 59658.1578 z WFD  1.4532e-02  2.467e-02    0  1.000 46.210  2.46 8.624e+04  99.0000 
OBS: 59660.2128 Y WFD  4.3863e-03  4.285e-02    0  1.000 44.080  1.82 2.846e+04  99.0000 
OBS: 59686.1828 Y WFD -5.1494e-02  7.616e-02    0  1.000 42.570  1.26 1.819e+04  99.0000 
OBS: 59688.2363 z WFD  1.1237e-01  5.957e-02    0  1.000 43.480  2.07 2.002e+04  99.0000 
OBS: 59694.0880 g WFD -1.3159e-04  5.382e-03    0  1.000 44.860  1.90 7.023e+03  99.0000 
OBS: 59713.0911 Y WFD -2.4872e-02  4.657e-02    0  1.000 44.320  1.82 3.859e+04  99.0000 
OBS: 59718.0678 i WFD -1.1013e-02  2.011e-02    0  1.000 44.620  1.91 2.093e+04  99.0000 
OBS: 59721.9640 z WFD -2.2535e-02  2.493e-02    0  1.000 44.260  1.81 1.965e+04  99.0000 
OBS: 59769.9978 z WFD -2.9257e-02  3.111e-02    0  1.000 44.250  1.68 2.618e+04  99.0000 
OBS: 59777.9730 z WFD -1.0479e-02  6.067e-02    0  1.000 43.470  2.73 1.532e+04  99.0000 
OBS: 59779.9662 z WFD -3.4124e-02  4.926e-02    0  1.000 44.250  2.48 2.808e+04  99.0000 
OBS: 59911.3406 z WFD -4.5307e-03  4.830e-02    0  1.000 43.470  2.07 1.608e+04  99.0000 
OBS: 59914.3435 z WFD -4.5284e-02  4.508e-02    0  1.000 43.470  1.87 1.661e+04  99.0000 
OBS: 59924.3200 Y WFD -7.9532e-02  8.330e-02    0  1.000 42.520  1.57 1.525e+04  99.0000 
OBS: 59927.3316 i WFD -1.2380e-03  4.710e-02    0  1.000 43.850  2.58 1.786e+04  99.0000 
OBS: 59927.3510 Y WFD -8.8540e-02  8.727e-02    0  1.000 43.320  2.03 2.581e+04  99.0000 
OBS: 59939.2850 i WFD  2.9936e-02  2.130e-02    0  1.000 44.560  2.56 1.565e+04  99.0000 
OBS: 59941.2755 i WFD  3.1179e-02  1.325e-02    0  1.000 44.560  1.58 1.577e+04  99.0000 
OBS: 59945.3546 z WFD  2.0307e-02  3.070e-02    0  1.000 44.270  1.70 2.600e+04  99.0000 
OBS: 59948.2905 z WFD -8.4709e-03  3.217e-02    0  1.000 44.250  1.93 2.357e+04  99.0000 
OBS: 59962.3592 Y WFD  1.4347e-02  3.371e-02    0  1.000 43.790  1.36 2.294e+04  99.0000 
OBS: 59964.2229 u WFD -1.5367e-02  1.827e-02    0  1.000 41.840  2.01 1.391e+03  99.0000 
OBS: 59965.2315 r WFD -7.5480e-03  6.795e-03    0  1.000 45.570  2.05 1.581e+04  99.0000 
OBS: 59968.2166 u WFD -4.9254e-02  2.784e-02    0  1.000 41.110  2.22 9.803e+02  99.0000 
OBS: 59972.3501 r WFD -3.1215e-03  5.023e-03    0  1.000 46.050  1.97 1.892e+04  99.0000 
OBS: 59973.2903 g WFD  3.5538e-04  3.913e-03    0  1.000 44.850  1.36 7.068e+03  99.0000 
OBS: 59976.2477 r WFD  8.9360e-03  1.115e-02    0  1.000 44.900  1.68 1.707e+04  99.0000 
OBS: 59980.1700 Y WFD -3.8445e-03  5.367e-02    0  1.000 43.720  1.57 2.967e+04  99.0000 
OBS: 59982.1768 z WFD  2.0800e-03  2.768e-02    0  1.000 45.020  1.48 5.375e+04  99.0000 
OBS: 59994.2020 r WFD -6.2298e-03  6.782e-03    0  1.000 45.600  2.15 1.546e+04  99.0000 
OBS: 59995.1667 r WFD -4.3634e-03  5.149e-03    0  1.000 45.580  1.57 1.578e+04  99.0000 
OBS: 59997.1207 u WFD -2.9761e-02  2.962e-02    0  1.000 41.040  2.25 9.645e+02  99.0000 
OBS: 60002.1640 r WFD -1.4954e-03  7.227e-03    0  1.000 44.840  1.59 1.106e+04  99.0000 
OBS: 60005.3405 g WFD -1.8010e-03  6.386e-03    0  1.000 44.780  2.07 7.106e+03  99.0000 
OBS: 60013.3407 z WFD  1.9197e-01  8.813e-02    0  1.000 43.500  2.45 2.549e+04  99.0000 
OBS: 60014.3316 z WFD  5.7216e-02  4.647e-02    0  1.000 44.240  2.13 3.056e+04  99.0000 
