SURVEY:   LSST
SNID:     1065869
IAUC:     NULL
SNTYPE:   136
RA:       335.999881  # deg
DEC:      -32.662272  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0006  # MW E(B-V) 
PEAKMJD:  59814.422     # estimate for LC fit codes
MJD_TRIGGER:       59814.109  
MJD_DETECT_FIRST:  59813.246  
MJD_DETECT_LAST:   60215.996  

REDSHIFT_HELIO:   0.746837 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.745218 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           14870    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.76589  
SIM_REDSHIFT_CMB:    0.76425  
SIM_REDSHIFT_HOST:   0.74684  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10314438876 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.377 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.490 -9.000 
SIM_DLMU:            43.3826   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0087   # mag 
SIM_RA:              335.999878     # deg  
SIM_DEC:             -32.662273      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0129   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59814.422    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0253  # spectro-search efficiency 
SIM_TRESTMIN:        -34.67  # days 
SIM_TRESTMAX:        479.88  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.51  23.53  23.78  23.55  23.48  23.52  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.2493 g WFD  1.6081e-03  6.342e-03    0  1.000 45.520  2.94 9.822e+03  99.0000 
OBS: 59767.4412 z WFD  1.5683e-02  5.112e-02    0  1.000 43.510  2.10 1.741e+04  99.0000 
OBS: 59770.2724 Y WFD  7.9093e-04  7.087e-02    0  1.000 42.570  1.61 1.324e+04  99.0000 
OBS: 59771.1947 z WFD  1.2987e-02  3.187e-02    0  1.000 44.250  1.75 2.575e+04  99.0000 
OBS: 59773.3490 Y WFD  6.2463e-03  4.624e-02    0  1.000 43.800  1.53 2.823e+04  99.0000 
OBS: 59774.4149 z WFD  2.6952e-02  5.740e-02    0  1.000 44.280  2.14 3.898e+04  99.0000 
OBS: 59778.4426 Y WFD -1.7701e-01  2.057e-01    0  1.000 42.550  2.81 2.162e+04  99.0000 
OBS: 59779.2596 z WFD  2.7046e-03  3.573e-02    0  1.000 44.270  2.38 2.162e+04  99.0000 
OBS: 59781.3767 r WFD -2.1454e-02  1.153e-02    0  1.000 44.870  2.15 1.342e+04  99.0000 
OBS: 59791.1367 u WFD -1.6058e-02  2.388e-02    0  1.000 41.810  2.58 1.379e+03  99.0000 
OBS: 59793.1401 r WFD -1.0060e-02  1.271e-02    0  1.000 44.800  2.62 1.138e+04  99.0000 
OBS: 59793.2930 i WFD  4.7591e-04  1.021e-02    0  1.000 45.780  2.39 2.472e+04  99.0000 
OBS: 59798.1096 Y WFD -2.2616e-02  6.593e-02    0  1.000 43.270  1.85 2.043e+04  99.0000 
OBS: 59799.1401 Y WFD -5.9566e-02  5.270e-02    0  1.000 43.310  1.56 2.009e+04  99.0000 
OBS: 59805.1557 Y WFD -3.1410e-02  4.931e-02    0  1.000 43.340  1.27 2.374e+04  99.0000 
OBS: 59807.3447 Y WFD -7.5032e-02  9.376e-02    0  1.000 42.560  1.94 1.441e+04  99.0000 
OBS: 59808.1046 g WFD -1.2265e-03  5.245e-03    0  1.000 44.790  1.70 7.172e+03  99.0000 
OBS: 59813.2458 i WFD  3.4912e+01  1.452e-02 4096  1.000 44.590  1.93 1.437e+04  23.6430 
OBS: 59814.1090 i WFD  3.7279e+01  1.832e-02 6144  1.000 43.830  1.64 1.055e+04  23.5711 
OBS: 59821.2153 r WFD  2.9402e+01  7.916e-03 4096  1.000 44.860  1.75 1.091e+04  23.8289 
OBS: 59822.1358 i WFD  4.2121e+01  1.620e-02 4096  1.000 44.590  2.15 1.439e+04  23.4391 
OBS: 59825.0518 z WFD  4.8150e+01  3.454e-02 4096  1.000 44.240  2.30 2.095e+04  23.2932 
OBS: 59826.0636 z WFD  4.8170e+01  4.085e-02 4096  1.000 44.250  2.72 2.117e+04  23.2945 
OBS: 59835.0203 r WFD  2.0269e+01  6.386e-03 4096  1.000 45.240  1.58 1.394e+04  24.2332 
OBS: 59835.1072 Y WFD  5.0774e+01  6.926e-02 4096  1.000 42.600  1.53 1.393e+04  23.2351 
OBS: 59836.1092 r WFD  1.9613e+01  9.134e-03 4096  1.000 44.930  1.30 1.835e+04  24.2689 
OBS: 59843.0115 i WFD  3.1121e+01  1.292e-02 4096  1.000 44.570  1.59 1.521e+04  23.7677 
OBS: 59845.9946 z WFD  3.9421e+01  4.891e-02 4096  1.000 43.480  2.27 1.494e+04  23.5104 
OBS: 59851.1338 u WFD  9.3156e-01  1.621e-02 4096  1.000 42.090  2.12 1.470e+03  27.6064 
OBS: 59852.9878 Y WFD  3.8352e+01  9.186e-02 4096  1.000 43.310  1.84 2.967e+04  23.5395 
OBS: 59860.0733 Y WFD  3.2616e+01  2.589e-02 4096  1.000 45.210  1.54 5.742e+04  23.7178 
OBS: 59863.1243 z WFD  2.7026e+01  2.784e-02 4096  1.000 44.280  1.50 2.689e+04  23.9209 
OBS: 59864.1430 i WFD  1.6261e+01  2.197e-02 4096  1.000 44.630  1.77 2.484e+04  24.4716 
OBS: 59874.0029 z WFD  2.1537e+01  2.799e-02 4096  1.000 43.520  1.34 1.500e+04  24.1682 
OBS: 59880.1401 r WFD  2.4706e+00  6.896e-03 4096  1.000 44.810  1.44 1.131e+04  26.5173 
OBS: 59906.0758 u WFD  6.7288e-02  2.825e-02    0  1.000 41.200  2.32 1.034e+03  30.6811 
OBS: 59919.0542 z WFD  1.2152e+01  3.755e-02 4096  1.000 44.250  1.97 2.693e+04  24.7915 
OBS: 59924.0337 Y WFD  1.6796e+01  8.997e-02 4096  1.000 42.550  1.51 1.758e+04  24.4438 
OBS: 59926.0643 r WFD  6.9194e-01  1.308e-02 4096  1.000 44.020  1.70 8.797e+03  27.9171 
OBS: 60053.4029 i WFD  2.3852e-01  2.116e-02 4096  1.000 43.800  1.69 1.169e+04  29.0482 
OBS: 60053.4150 z WFD  1.3199e+00  4.355e-02 4096  1.000 43.490  1.88 1.626e+04  27.2628 
OBS: 60055.3992 g WFD  8.2492e-04  5.652e-03    0  1.000 44.760  1.59 8.039e+03  32.9414 
OBS: 60061.3956 i WFD  1.6464e-01  1.803e-02 4096  1.000 44.560  2.10 1.615e+04  29.2555 
OBS: 60068.4018 Y WFD  2.7434e+00  1.279e-01 4096  1.000 42.550  2.68 1.410e+04  26.3925 
OBS: 60069.3923 z WFD  9.1850e-01  4.099e-02 4096  1.000 44.260  2.13 2.745e+04  27.5778 
OBS: 60070.3778 z WFD  8.8673e-01  3.094e-02 4096  1.000 44.250  1.55 2.822e+04  27.5973 
OBS: 60071.3899 Y WFD  2.6846e+00  3.592e-02 4096  1.000 44.060  1.41 3.023e+04  26.4315 
OBS: 60072.3715 z WFD  8.7709e-01  3.087e-02 4096  1.000 44.250  1.62 2.694e+04  27.6366 
OBS: 60083.3322 r WFD  1.3859e-02  9.525e-03    0  1.000 44.790  1.89 1.172e+04  31.7415 
OBS: 60085.3259 r WFD  2.0025e-02  9.751e-03    0  1.000 44.780  1.93 1.164e+04  31.7846 
OBS: 60087.4057 g WFD  6.1411e-03  5.539e-03    0  1.000 44.850  1.88 7.238e+03  33.7788 
OBS: 60095.3809 i WFD  7.3606e-02  1.036e-02 4096  1.000 45.340  1.96 2.040e+04  30.1369 
OBS: 60096.2868 Y WFD  1.9235e+00  1.003e-01 4096  1.000 42.520  1.95 1.477e+04  26.7562 
OBS: 60113.2601 u WFD -1.6872e-02  2.432e-02    0  1.000 41.130  1.95 9.930e+02  35.4024 
OBS: 60118.2319 u WFD -1.1836e-03  3.303e-02    0  1.000 41.020  2.48 9.582e+02  35.5331 
OBS: 60120.2452 g WFD -1.1767e-03  7.769e-03    0  1.000 44.750  2.51 6.935e+03  34.6380 
OBS: 60123.2853 i WFD  2.6886e-02  1.190e-02    0  1.000 44.580  1.57 1.453e+04  30.8606 
OBS: 60126.2222 z WFD  3.2926e-01  3.958e-02 4096  1.000 44.250  2.13 2.627e+04  28.6983 
OBS: 60127.2295 Y WFD  1.3280e+00  6.681e-02 4096  1.000 43.310  1.77 2.245e+04  27.1597 
OBS: 60138.2394 i WFD  3.0958e-02  1.357e-02    0  1.000 44.580  1.78 1.460e+04  31.2485 
OBS: 60141.1782 g WFD -1.3704e-02  5.777e-03    0  1.000 45.510  2.63 9.911e+03  35.1857 
OBS: 60142.1687 i WFD -1.2999e-02  1.784e-02    0  1.000 45.310  3.03 2.210e+04  31.3504 
OBS: 60145.1932 u WFD -2.3212e-02  2.581e-02    0  1.000 41.190  2.16 1.006e+03  36.2418 
OBS: 60151.1515 r WFD -2.5639e-03  1.510e-02    0  1.000 44.830  2.35 1.550e+04  33.2087 
OBS: 60153.1484 Y WFD  1.0041e+00  8.774e-02 4096  1.000 42.530  1.78 1.429e+04  27.4977 
OBS: 60164.2285 r WFD  5.7944e-03  9.313e-03    0  1.000 44.890  1.84 1.290e+04  33.4917 
OBS: 60169.1038 r WFD  2.3009e-03  9.574e-03    0  1.000 44.790  1.94 1.147e+04  33.5971 
OBS: 60175.1200 r WFD -2.4685e-03  8.833e-03    0  1.000 44.830  1.90 1.121e+04  33.7273 
OBS: 60176.0936 u WFD  1.3468e-02  3.198e-02    0  1.000 41.100  2.51 9.866e+02  37.0541 
OBS: 60178.1229 g WFD -3.7572e-03  4.817e-03    0  1.000 44.830  1.58 7.352e+03  36.1522 
OBS: 60179.0750 i WFD  2.1080e-02  1.656e-02    0  1.000 44.560  1.91 1.630e+04  32.3076 
OBS: 60183.1077 Y WFD  7.2506e-01  1.051e-01 4096  1.000 42.580  2.22 1.437e+04  27.8884 
OBS: 60188.0410 Y WFD  5.4441e-01  1.140e-01 4096  1.000 43.280  2.49 2.650e+04  27.9528 
OBS: 60193.0710 i WFD -6.5657e-03  1.275e-02    0  1.000 44.580  1.63 1.499e+04  32.6706 
OBS: 60202.0252 r WFD  7.8120e-04  7.923e-03    0  1.000 44.810  1.66 1.130e+04  34.3094 
OBS: 60209.0442 r WFD  3.0665e-03  6.649e-03    0  1.000 45.630  1.74 1.926e+04  34.4612 
OBS: 60215.9950 Y WFD  5.3859e-01  1.173e-01 4096  1.000 43.320  2.02 3.485e+04  28.3173 
OBS: 60218.0617 i WFD  2.4247e-02  2.673e-02    0  1.000 44.640  2.10 2.578e+04  33.3188 
OBS: 60220.9944 z WFD  2.8302e-02  3.831e-02    0  1.000 44.260  2.12 2.579e+04  30.5669 
OBS: 60224.0029 z WFD  4.3386e-02  4.197e-02    0  1.000 43.500  2.13 1.396e+04  30.6263 
OBS: 60224.9951 z WFD  8.7710e-02  2.765e-02    0  1.000 44.260  1.57 2.513e+04  30.6458 
OBS: 60228.0023 z WFD  4.5415e-02  2.842e-02    0  1.000 44.260  1.97 2.058e+04  30.7051 
OBS: 60245.1186 Y WFD  4.4678e-01  6.609e-02    0  1.000 43.330  1.80 2.225e+04  28.6971 
OBS: 60272.0652 Y WFD  2.7724e-01  7.936e-02    0  1.000 42.560  1.59 1.488e+04  29.0486 
OBS: 60278.0339 z WFD  2.2955e-03  2.551e-02    0  1.000 44.260  1.56 2.334e+04  31.6916 
OBS: 60416.4148 Y WFD -1.0068e-02  7.861e-02    0  1.000 42.520  1.48 1.526e+04  30.9311 
OBS: 60420.4016 i WFD  6.1644e-03  2.577e-02    0  1.000 43.800  2.05 1.174e+04  38.5666 
OBS: 60423.4123 Y WFD -2.9943e-03  9.097e-02    0  1.000 43.290  2.45 2.168e+04  31.0224 
OBS: 60425.4016 Y WFD  7.3953e-02  6.246e-02    0  1.000 43.290  1.66 2.197e+04  31.0483 
OBS: 60426.4042 z WFD  8.7546e-03  2.510e-02    0  1.000 45.010  1.90 3.762e+04  34.6170 
OBS: 60436.3775 u WFD  6.9115e-02  3.515e-02    0  1.000 41.100  2.75 9.898e+02  43.8960 
OBS: 60442.3717 g WFD -3.6762e-03  8.778e-03    0  1.000 44.790  2.78 7.340e+03  43.0658 
OBS: 60444.3386 r WFD  1.5439e-02  1.074e-02    0  1.000 45.540  3.02 1.650e+04  39.5518 
