SURVEY:   LSST
SNID:     1066216
IAUC:     NULL
SNTYPE:   136
RA:       171.679687  # deg
DEC:      -38.372983  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0831 +- 0.0042  # MW E(B-V) 
PEAKMJD:  60245.609     # estimate for LC fit codes
MJD_TRIGGER:       60300.277  
MJD_DETECT_FIRST:  60297.273  
MJD_DETECT_LAST:   60397.215  

REDSHIFT_HELIO:   1.518538 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.521187 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6126009135  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5185  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          171.679736    # deg 
HOSTGAL_DEC:         -38.372886    # deg 
HOSTGAL_SNSEP:       0.189       # arcsec 
HOSTGAL_DDLR:        1.702       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.502 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.256
HOSTGAL_SQRADIUS:     7.551   # Ixx + Iyy
HOSTGAL_MAG:     26.92  26.31  25.35  24.42  24.26  24.15 # ugrizY
HOSTGAL_MAGERR:   0.40   0.09   0.03   0.02   0.03   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           15217    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.51854  
SIM_REDSHIFT_CMB:    1.52118  
SIM_REDSHIFT_HOST:   1.44662  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6126009135 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.437 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.502 -9.000 
SIM_DLMU:            45.2243   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1021   # mag 
SIM_RA:              171.679688     # deg  
SIM_DEC:             -38.372982      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0870   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60245.609    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -258.62  # days 
SIM_TRESTMAX:        169.62  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.67  25.42  24.94  25.19  25.27  25.16  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59594.2637 Y WFD -1.2749e-02  5.648e-02    0  1.000 43.310  1.74 1.931e+04  99.0000 
OBS: 59597.2107 Y WFD  1.0074e-01  1.352e-01    0  1.000 42.540  2.51 1.576e+04  99.0000 
OBS: 59602.3296 i WFD -9.0652e-03  2.466e-02    0  1.000 44.640  2.12 2.356e+04  99.0000 
OBS: 59607.2515 g WFD  4.6851e-03  6.211e-03    0  1.000 44.830  2.26 6.628e+03  99.0000 
OBS: 59608.3780 z WFD  6.2793e-02  5.652e-02    0  1.000 43.520  2.24 1.821e+04  99.0000 
OBS: 59615.3815 z WFD -4.0311e-02  5.253e-02    0  1.000 43.510  2.23 1.685e+04  99.0000 
OBS: 59626.3812 z WFD  6.3057e-02  3.808e-02    0  1.000 44.270  1.83 2.997e+04  99.0000 
OBS: 59628.3245 z WFD  1.0705e-02  3.008e-02    0  1.000 44.280  1.43 3.057e+04  99.0000 
OBS: 59629.3656 z WFD -1.3046e-02  2.797e-02    0  1.000 44.270  1.35 2.983e+04  99.0000 
OBS: 59652.0532 Y WFD  2.0889e-01  1.063e-01    0  1.000 43.260  2.91 2.076e+04  99.0000 
OBS: 59654.0620 Y WFD -1.2907e-01  9.649e-02    0  1.000 43.290  2.55 2.210e+04  99.0000 
OBS: 59656.0506 z WFD -3.8629e-02  5.241e-02    0  1.000 44.270  2.12 3.560e+04  99.0000 
OBS: 59658.3143 z WFD -1.2485e-01  1.035e-01    0  1.000 43.510  3.17 2.335e+04  99.0000 
OBS: 59670.0145 u WFD  7.6149e-02  4.021e-02    0  1.000 41.070  3.14 9.645e+02  99.0000 
OBS: 59682.0171 Y WFD  3.7150e-02  4.382e-02    0  1.000 43.310  1.28 2.036e+04  99.0000 
OBS: 59683.0584 Y WFD -4.2826e-02  3.965e-02    0  1.000 43.330  1.16 2.071e+04  99.0000 
OBS: 59685.1561 Y WFD -8.6800e-02  4.763e-02    0  1.000 43.360  1.22 2.431e+04  99.0000 
OBS: 59686.1738 Y WFD -3.2173e-02  4.931e-02    0  1.000 43.780  1.50 3.015e+04  99.0000 
OBS: 59690.2450 i WFD  2.4864e-02  3.669e-02    0  1.000 43.810  2.26 1.531e+04  99.0000 
OBS: 59695.9668 z WFD -8.0338e-02  4.786e-02    0  1.000 43.510  1.91 1.792e+04  99.0000 
OBS: 59700.9725 z WFD -1.9407e-02  2.988e-02    0  1.000 43.500  1.49 1.421e+04  99.0000 
OBS: 59709.0413 i WFD -3.3705e-03  1.493e-02    0  1.000 44.620  1.64 1.809e+04  99.0000 
OBS: 59710.0484 i WFD  8.2513e-03  1.842e-02    0  1.000 44.630  1.75 2.111e+04  99.0000 
OBS: 59713.1519 Y WFD -1.8073e-02  8.894e-02    0  1.000 42.560  1.61 1.647e+04  99.0000 
OBS: 59769.0364 z WFD -1.9647e-02  3.499e-02    0  1.000 44.230  1.88 2.584e+04  99.0000 
OBS: 59769.9870 z WFD  6.5434e-02  2.718e-02    0  1.000 44.260  1.56 2.486e+04  99.0000 
OBS: 59913.3234 r WFD  1.7004e-02  9.940e-03    0  1.000 44.770  1.94 1.169e+04  99.0000 
OBS: 59916.3437 z WFD  3.4470e-02  3.448e-02    0  1.000 43.490  1.53 1.582e+04  99.0000 
OBS: 59924.3550 Y WFD  2.6804e-02  1.032e-01    0  1.000 42.600  1.36 2.347e+04  99.0000 
OBS: 59929.3460 Y WFD  8.5882e-02  6.672e-02    0  1.000 42.580  1.39 1.457e+04  99.0000 
OBS: 59932.2985 g WFD  6.0863e-03  5.556e-03    0  1.000 44.760  1.69 7.435e+03  99.0000 
OBS: 59935.2823 i WFD  4.2115e-03  1.297e-02    0  1.000 44.560  1.57 1.554e+04  99.0000 
OBS: 59946.2892 i WFD  8.3072e-03  1.320e-02    0  1.000 44.580  1.71 1.479e+04  99.0000 
OBS: 59948.2487 z WFD -2.2417e-02  3.667e-02    0  1.000 44.240  2.02 2.543e+04  99.0000 
