SURVEY:   LSST
SNID:     1070015
IAUC:     NULL
SNTYPE:   136
RA:       165.759579  # deg
DEC:      -0.601692  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0294 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59560.500     # estimate for LC fit codes
MJD_TRIGGER:       59594.309  
MJD_DETECT_FIRST:  59591.250  
MJD_DETECT_LAST:   59721.969  

REDSHIFT_HELIO:   1.206270 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.208977 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9003090610  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2063  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          165.759554    # deg 
HOSTGAL_DEC:         -0.601658    # deg 
HOSTGAL_SNSEP:       0.070       # arcsec 
HOSTGAL_DDLR:        0.329       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.428 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.431
HOSTGAL_SQRADIUS:     13.252   # Ixx + Iyy
HOSTGAL_MAG:     27.89  27.15  25.98  25.10  24.22  23.77 # ugrizY
HOSTGAL_MAGERR:   1.11   0.17   0.06   0.05   0.04   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           19016    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.20627  
SIM_REDSHIFT_CMB:    1.20898  
SIM_REDSHIFT_HOST:   1.16001  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9003090610 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.361 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.428 -9.000 
SIM_DLMU:            44.6074   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0079   # mag 
SIM_RA:              165.759583     # deg  
SIM_DEC:             -0.601692      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0271   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59560.500    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        13.92  # days 
SIM_TRESTMAX:        503.95  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.13  26.47  25.98  25.82  25.70  25.69  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59591.2517 Y WFD  4.9117e+00  8.377e-02 4096  1.000 42.510  1.71 1.394e+04  25.7772 
OBS: 59594.3084 Y WFD  4.6929e+00  6.843e-02 6144  1.000 43.300  2.07 1.948e+04  25.7950 
OBS: 59603.3106 i WFD  3.4796e+00  3.024e-02 4096  1.000 44.620  2.57 2.339e+04  26.1489 
OBS: 59610.3000 i WFD  3.2508e+00  1.670e-02 4096  1.000 44.570  2.09 1.515e+04  26.2301 
OBS: 59610.3761 z WFD  3.9980e+00  3.394e-02 4096  1.000 44.250  1.95 2.460e+04  25.9982 
OBS: 59611.3770 z WFD  3.9777e+00  4.035e-02 4096  1.000 43.490  1.63 1.737e+04  26.0090 
OBS: 59612.3732 z WFD  3.8311e+00  4.477e-02 4096  1.000 43.490  2.00 1.571e+04  26.0197 
OBS: 59623.2517 z WFD  3.4639e+00  4.581e-02 4096  1.000 44.260  2.71 2.412e+04  26.1499 
OBS: 59645.1138 u WFD  6.1890e-01  2.491e-02 4096  1.000 41.830  2.66 1.420e+03  28.0556 
OBS: 59653.1184 Y WFD  2.9292e+00  1.158e-01 4096  1.000 42.560  2.11 1.636e+04  26.3281 
OBS: 59658.0930 z WFD  2.0254e+00  3.709e-02 4096  1.000 45.020  2.14 4.980e+04  26.7282 
OBS: 59660.1345 Y WFD  2.7123e+00  5.918e-02 4096  1.000 43.320  1.76 2.018e+04  26.4241 
OBS: 59685.0866 Y WFD  2.0058e+00  4.398e-02 4096  1.000 43.780  1.22 3.306e+04  26.7752 
OBS: 59686.0684 Y WFD  1.9887e+00  7.992e-02 4096  1.000 42.570  1.39 1.730e+04  26.7928 
OBS: 59694.0844 g WFD  2.7100e-01  6.536e-03 4096  1.000 44.820  2.12 7.365e+03  28.8912 
OBS: 59713.0573 Y WFD  1.2667e+00  6.320e-02 4096  1.000 43.730  1.88 2.944e+04  27.3009 
OBS: 59721.9703 z WFD  4.3416e-01  4.008e-02 4096  1.000 43.490  1.98 1.421e+04  28.3675 
OBS: 59920.3479 Y WFD -5.1315e-02  8.292e-02    0  1.000 43.280  1.86 2.579e+04  31.1004 
OBS: 59932.3433 z WFD -4.7097e-04  2.420e-02    0  1.000 44.250  1.48 2.312e+04  32.2658 
OBS: 59933.3462 z WFD -8.0375e-03  2.368e-02    0  1.000 44.250  1.39 2.409e+04  32.2832 
OBS: 59934.3188 g WFD  2.2537e-03  5.232e-03    0  1.000 44.770  1.54 7.754e+03  34.8186 
OBS: 59934.3463 z WFD  4.0505e-02  2.482e-02    0  1.000 44.250  1.46 2.403e+04  32.3006 
OBS: 59935.3200 i WFD  1.0414e-02  1.389e-02    0  1.000 44.560  1.63 1.603e+04  33.2792 
OBS: 59936.3474 z WFD -5.0534e-02  2.821e-02    0  1.000 44.260  1.71 2.354e+04  32.3354 
OBS: 59937.3274 r WFD  6.9417e-03  1.808e-02    0  1.000 44.060  2.54 8.446e+03  34.2353 
OBS: 59941.3240 i WFD  5.4295e-03  1.527e-02    0  1.000 44.570  1.85 1.567e+04  33.3803 
OBS: 59942.3158 r WFD  1.1941e-04  7.921e-03    0  1.000 44.820  1.59 1.191e+04  34.3305 
OBS: 59944.2855 i WFD  5.3456e-03  1.165e-02    0  1.000 45.310  1.93 2.265e+04  33.4302 
OBS: 59953.3239 Y WFD  6.6990e-02  4.338e-02    0  1.000 44.080  1.53 3.428e+04  31.6764 
OBS: 59962.3650 Y WFD  4.9523e-02  7.084e-02    0  1.000 42.560  1.43 1.477e+04  31.8344 
OBS: 59965.3647 z WFD -3.6560e-02  3.501e-02    0  1.000 43.500  1.64 1.513e+04  32.8402 
OBS: 59966.2530 i WFD -5.5394e-03  2.104e-02    0  1.000 44.570  2.58 1.548e+04  33.8000 
OBS: 59968.3087 u WFD  7.6034e-02  3.379e-02    0  1.000 41.250  2.88 1.044e+03  36.0938 
OBS: 59972.2355 r WFD -1.4151e-03  7.013e-03    0  1.000 45.560  2.02 1.640e+04  34.9013 
