SURVEY:   LSST
SNID:     1102224
IAUC:     NULL
SNTYPE:   132
RA:       330.823279  # deg
DEC:      -16.737245  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0300 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59596.020     # estimate for LC fit codes
MJD_TRIGGER:       59769.215  
MJD_DETECT_FIRST:  59752.293  
MJD_DETECT_LAST:   59880.137  

REDSHIFT_HELIO:   1.053314 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.051103 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8065602352  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0533  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          330.823359    # deg 
HOSTGAL_DEC:         -16.737368    # deg 
HOSTGAL_SNSEP:       0.249       # arcsec 
HOSTGAL_DDLR:        0.998       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.602 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.559
HOSTGAL_SQRADIUS:     12.196   # Ixx + Iyy
HOSTGAL_MAG:     24.45  24.80  24.34  23.97  23.34  23.09 # ugrizY
HOSTGAL_MAGERR:   0.09   0.03   0.02   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  701   # template index for SIMSED,NONIa
SIM_LIBID:           223    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.05331  
SIM_REDSHIFT_CMB:    1.05110  
SIM_REDSHIFT_HOST:   1.05220  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8065602352 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.343 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.602 -9.000 
SIM_DLMU:            44.2364   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0169   # mag 
SIM_RA:              330.823273     # deg  
SIM_DEC:             -16.737246      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0322   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59596.020    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        76.11  # days 
SIM_TRESTMAX:        505.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.05  26.43  26.58  26.86  27.04  27.00  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.2931 i WFD  3.9277e-01  1.804e-02 4096  1.000 44.590  2.16 1.615e+04  28.4855 
OBS: 59769.2167 z WFD  4.6888e-01  2.701e-02 6144  1.000 44.250  1.71 2.233e+04  28.2709 
OBS: 59770.2899 Y WFD  7.2522e-01  6.523e-02 4096  1.000 42.600  1.52 1.327e+04  27.7261 
OBS: 59770.4447 z WFD  5.0878e-01  5.769e-02 4096  1.000 43.500  1.68 2.433e+04  28.2989 
OBS: 59771.2222 z WFD  5.0048e-01  3.481e-02 4096  1.000 44.270  2.02 2.481e+04  28.3159 
OBS: 59772.3579 Y WFD  6.9978e-01  6.960e-02 4096  1.000 43.330  2.00 2.108e+04  27.7608 
OBS: 59773.3879 Y WFD  7.7486e-01  9.476e-02 4096  1.000 42.590  1.67 1.739e+04  27.7781 
OBS: 59781.2849 g WFD  3.3552e-02  1.256e-02    0  1.000 44.220  2.26 7.643e+03  31.1936 
OBS: 59781.4139 r WFD  1.1954e-01  2.181e-02    0  1.000 44.060  2.52 1.027e+04  29.9768 
OBS: 59783.1560 r WFD  9.9447e-02  1.528e-02    0  1.000 44.790  3.01 1.180e+04  30.0140 
OBS: 59796.1251 Y WFD  3.5820e-01  1.339e-01    0  1.000 42.530  2.79 1.391e+04  28.2770 
OBS: 59798.1188 Y WFD  4.8868e-01  6.524e-02 4096  1.000 43.260  1.82 2.036e+04  28.3337 
OBS: 59799.1219 Y WFD  4.0835e-01  8.166e-02    0  1.000 42.540  1.62 1.475e+04  28.3633 
OBS: 59800.1737 Y WFD  3.5546e-01  8.181e-02    0  1.000 42.580  1.70 1.461e+04  28.3941 
OBS: 59808.0986 g WFD  2.1378e-02  8.198e-03    0  1.000 44.030  1.75 5.407e+03  31.7252 
OBS: 59808.1991 r WFD  5.0541e-02  1.082e-02 4096  1.000 44.940  1.43 2.020e+04  30.5132 
OBS: 59810.1765 g WFD  2.2264e-02  5.336e-03    0  1.000 44.880  1.75 7.700e+03  31.7691 
OBS: 59810.2810 i WFD  1.3697e-01  1.501e-02 4096  1.000 44.590  1.76 1.649e+04  29.7315 
OBS: 59811.1148 r WFD  6.5399e-02  1.052e-02 4096  1.000 44.830  2.15 1.180e+04  30.5726 
OBS: 59813.2815 i WFD  1.4332e-01  1.739e-02 4096  1.000 44.570  2.14 1.542e+04  29.7918 
OBS: 59818.0834 u WFD -3.0048e-03  2.322e-02    0  1.000 41.170  1.85 1.037e+03  33.2133 
OBS: 59820.0782 i WFD  1.0515e-01  1.309e-02 4096  1.000 44.570  1.58 1.572e+04  29.9257 
OBS: 59824.2047 i WFD  9.7711e-02  1.420e-02 4096  1.000 44.580  1.83 1.486e+04  30.0000 
OBS: 59825.0457 z WFD  1.4099e-01  3.722e-02    0  1.000 44.230  2.40 2.152e+04  29.5075 
OBS: 59827.0507 z WFD  1.8443e-01  3.180e-02    0  1.000 44.240  1.90 2.344e+04  29.5404 
OBS: 59835.0198 r WFD  4.1618e-02  7.880e-03    0  1.000 44.800  1.57 1.178e+04  30.9127 
OBS: 59840.0139 g WFD  1.5910e-02  5.584e-03    0  1.000 44.760  1.71 7.384e+03  32.1624 
OBS: 59841.9930 Y WFD  2.1688e-01  5.765e-02    0  1.000 43.700  1.91 2.571e+04  29.3158 
OBS: 59845.9857 z WFD  1.9825e-01  5.874e-02    0  1.000 43.500  2.20 1.892e+04  29.6693 
OBS: 59853.9971 Y WFD  1.0091e-01  7.225e-02    0  1.000 42.550  1.54 1.386e+04  29.3862 
OBS: 59861.0745 Y WFD  1.2999e-01  4.619e-02    0  1.000 43.800  1.45 2.975e+04  29.4263 
OBS: 59863.0091 z WFD  1.7009e-01  2.320e-02 4096  1.000 44.270  1.33 2.511e+04  29.7554 
OBS: 59864.1277 i WFD -1.8485e-03  2.917e-02    0  1.000 43.880  1.61 1.822e+04  30.2381 
OBS: 59875.1484 u WFD -1.4201e-02  2.090e-02    0  1.000 41.850  2.26 1.429e+03  33.6133 
