SURVEY:   LSST
SNID:     1108250
IAUC:     NULL
SNTYPE:   132
RA:       242.916976  # deg
DEC:      -61.684408  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1543 +- 0.0077  # MW E(B-V) 
PEAKMJD:  59725.148     # estimate for LC fit codes
MJD_TRIGGER:       59776.062  
MJD_DETECT_FIRST:  59748.203  
MJD_DETECT_LAST:   60066.137  

REDSHIFT_HELIO:   1.301191 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.301840 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5875500338  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3012  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          242.916960    # deg 
HOSTGAL_DEC:         -61.684386    # deg 
HOSTGAL_SNSEP:       0.047       # arcsec 
HOSTGAL_DDLR:        0.249       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.199 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.108
HOSTGAL_SQRADIUS:     6.425   # Ixx + Iyy
HOSTGAL_MAG:     29.49  28.35  26.96  26.39  26.15  26.01 # ugrizY
HOSTGAL_MAGERR:  26.62   0.30   0.12   0.11   0.13   0.46 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           6250    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.30119  
SIM_REDSHIFT_CMB:    1.30183  
SIM_REDSHIFT_HOST:   1.22790  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5875500338 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.591 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.199 -9.000 
SIM_DLMU:            44.8083   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0308   # mag 
SIM_RA:              242.916977     # deg  
SIM_DEC:             -61.684406      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1508   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59725.148    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -29.94  # days 
SIM_TRESTMAX:        365.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.68  27.45  27.04  26.74  26.44  26.27  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59656.2510 z WFD  5.1589e-02  2.990e-02    0  1.000 45.000  2.03 4.155e+04  99.0000 
OBS: 59660.4041 Y WFD  9.9477e-02  6.351e-02    0  1.000 43.750  2.04 2.777e+04  99.0000 
OBS: 59661.3101 z WFD -2.6423e-02  3.145e-02    0  1.000 45.000  2.07 4.286e+04  99.0000 
OBS: 59666.4100 Y WFD -3.4506e-02  7.505e-02    0  1.000 43.320  1.93 2.334e+04  99.0000 
OBS: 59670.4068 z WFD -6.9237e-02  5.347e-02    0  1.000 43.490  2.55 1.472e+04  99.0000 
OBS: 59679.4138 z WFD -6.2080e-02  3.869e-02    0  1.000 43.490  1.66 1.636e+04  99.0000 
OBS: 59681.4091 z WFD  3.9947e-02  3.030e-02    0  1.000 43.490  1.45 1.467e+04  99.0000 
OBS: 59684.3746 Y WFD  3.3495e-02  7.678e-02    0  1.000 42.560  1.60 1.431e+04  99.0000 
OBS: 59688.3941 z WFD -2.1023e-02  3.700e-02    0  1.000 45.450  2.53 6.244e+04  99.0000 
OBS: 59689.4094 z WFD -2.3988e-02  3.772e-02    0  1.000 44.250  1.79 2.979e+04  99.0000 
OBS: 59690.4147 z WFD -6.1906e-02  3.987e-02    0  1.000 43.490  1.44 1.944e+04  99.0000 
OBS: 59712.1324 Y WFD  4.7078e-02  6.366e-02    0  1.000 43.740  2.22 2.535e+04  99.0000 
OBS: 59713.1842 Y WFD  9.4499e-02  1.157e-01    0  1.000 42.560  2.28 1.513e+04  99.0000 
OBS: 59716.2654 Y WFD -2.0510e-03  8.748e-02    0  1.000 43.320  2.11 2.489e+04  99.0000 
OBS: 59748.2040 i WFD  1.3164e+00  1.819e-02 4096  1.000 45.350  2.18 3.248e+04  27.1852 
OBS: 59776.0608 i WFD  4.4116e-01  1.623e-02 6144  1.000 45.800  2.51 3.812e+04  28.4265 
OBS: 59798.9774 Y WFD  1.4725e+00  8.426e-02 4096  1.000 42.560  1.66 1.513e+04  27.0857 
OBS: 59800.1005 Y WFD  1.2989e+00  9.818e-02 4096  1.000 42.540  1.81 1.587e+04  27.1092 
OBS: 59821.0078 r WFD  1.5415e-02  7.186e-03    0  1.000 44.820  1.58 1.087e+04  31.8967 
OBS: 59830.0176 Y WFD  9.0547e-01  6.787e-02 4096  1.000 43.300  1.86 2.150e+04  27.6358 
OBS: 59994.3660 r WFD  5.3217e-03  1.190e-02    0  1.000 44.040  1.78 7.789e+03  32.3015 
OBS: 60012.3561 z WFD  1.6016e-01  3.993e-02    0  1.000 44.260  2.09 2.726e+04  29.6897 
OBS: 60013.3865 z WFD  1.7363e-01  4.346e-02    0  1.000 43.510  1.68 1.850e+04  29.6895 
OBS: 60014.3906 z WFD  1.6627e-01  4.687e-02    0  1.000 43.510  1.84 1.822e+04  29.6893 
OBS: 60027.2798 u WFD -1.6926e-02  1.194e-02    0  1.000 42.340  1.70 1.704e+03  35.1222 
OBS: 60037.2521 Y WFD  1.8815e-01  8.396e-02    0  1.000 42.540  1.71 1.437e+04  29.1352 
OBS: 60039.2464 Y WFD  2.2384e-01  7.029e-02    0  1.000 44.050  2.66 3.108e+04  29.1518 
OBS: 60042.3576 z WFD  1.0691e-01  3.436e-02    0  1.000 44.270  1.63 3.036e+04  29.7207 
OBS: 60050.2974 g WFD  7.5703e-03  4.069e-03    0  1.000 44.780  1.42 6.600e+03  33.7850 
OBS: 60051.1696 u WFD -1.1437e-02  2.889e-02    0  1.000 41.020  2.22 9.360e+02  35.1650 
OBS: 60051.2038 r WFD  1.3812e-02  3.623e-03    0  1.000 46.540  1.74 2.426e+04  32.2151 
OBS: 60052.1801 i WFD  5.1325e-02  1.221e-02    0  1.000 44.550  1.50 1.517e+04  30.8059 
OBS: 60059.3065 i WFD  5.7784e-02  1.550e-02    0  1.000 44.570  2.03 1.450e+04  30.8107 
OBS: 60062.1764 r WFD  9.4624e-03  8.336e-03    0  1.000 45.560  2.23 1.766e+04  32.2193 
