SURVEY:   LSST
SNID:     1108433
IAUC:     NULL
SNTYPE:   132
RA:       253.277530  # deg
DEC:      -4.920208  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2610 +- 0.0131  # MW E(B-V) 
PEAKMJD:  60396.801     # estimate for LC fit codes
MJD_TRIGGER:       60404.332  
MJD_DETECT_FIRST:  60395.398  
MJD_DETECT_LAST:   60568.020  

REDSHIFT_HELIO:   1.168089 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.168332 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8940858386  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1681  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          253.277166    # deg 
HOSTGAL_DEC:         -4.919775    # deg 
HOSTGAL_SNSEP:       0.929       # arcsec 
HOSTGAL_DDLR:        2.169       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.442 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.533
HOSTGAL_SQRADIUS:     8.863   # Ixx + Iyy
HOSTGAL_MAG:     28.81  27.95  26.53  25.42  24.46  23.84 # ugrizY
HOSTGAL_MAGERR:   0.66   0.31   0.09   0.05   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           6434    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.16809  
SIM_REDSHIFT_CMB:    1.16834  
SIM_REDSHIFT_HOST:   1.21495  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8940858386 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.082 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.442 -9.000 
SIM_DLMU:            44.5179   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0255   # mag 
SIM_RA:              253.277527     # deg  
SIM_DEC:             -4.920208      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2612   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60396.801    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -331.34  # days 
SIM_TRESTMAX:        78.97  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.66  27.46  27.02  26.59  26.24  26.17  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59678.4196 z WFD -9.1889e-02  6.964e-02    0  1.000 43.520  2.11 2.382e+04  99.0000 
OBS: 59681.2338 z WFD  3.2210e-02  2.542e-02    0  1.000 44.230  1.50 2.352e+04  99.0000 
OBS: 59685.2666 Y WFD -2.7933e-02  7.164e-02    0  1.000 42.570  1.30 1.658e+04  99.0000 
OBS: 59694.3503 g WFD -1.5426e-02  7.016e-03    0  1.000 44.870  2.03 8.649e+03  99.0000 
OBS: 59699.2345 i WFD -9.7626e-03  1.538e-02    0  1.000 44.570  1.95 1.497e+04  99.0000 
OBS: 59709.1865 i WFD -4.4413e-03  1.641e-02    0  1.000 45.330  2.53 2.480e+04  99.0000 
OBS: 59711.1663 Y WFD -1.9690e-01  7.570e-02    0  1.000 43.280  2.15 2.037e+04  99.0000 
OBS: 59763.1611 u WFD  4.7697e-02  2.405e-02    0  1.000 41.990  2.92 1.448e+03  99.0000 
OBS: 59767.0046 Y WFD -5.5914e-02  6.588e-02    0  1.000 43.700  2.29 2.451e+04  99.0000 
OBS: 59768.0012 Y WFD  3.3961e-02  5.846e-02    0  1.000 44.020  2.29 2.920e+04  99.0000 
OBS: 59773.0532 Y WFD  3.9016e-02  3.253e-02    0  1.000 45.270  1.81 6.502e+04  99.0000 
OBS: 59774.0604 z WFD  2.4341e-02  1.892e-02    0  1.000 46.210  1.95 8.341e+04  99.0000 
OBS: 59775.1211 z WFD  1.8443e-02  4.358e-02    0  1.000 44.270  2.23 2.814e+04  99.0000 
OBS: 59775.9822 z WFD  3.7021e-02  3.781e-02    0  1.000 44.240  2.46 2.153e+04  99.0000 
OBS: 59781.9698 z WFD  1.9926e-02  2.491e-02    0  1.000 44.680  1.84 2.844e+04  99.0000 
OBS: 59788.0413 r WFD -5.5130e-04  7.359e-03    0  1.000 45.600  2.31 1.562e+04  99.0000 
OBS: 59800.0777 Y WFD -1.1965e-01  1.093e-01    0  1.000 42.560  1.92 1.698e+04  99.0000 
OBS: 59801.1273 z WFD  1.7658e-02  3.033e-02    0  1.000 45.000  1.74 4.916e+04  99.0000 
OBS: 59810.0835 r WFD -2.1552e-03  8.410e-03    0  1.000 44.800  1.71 1.154e+04  99.0000 
OBS: 59813.0590 r WFD -6.4715e-03  1.026e-02    0  1.000 44.810  2.12 1.146e+04  99.0000 
OBS: 59819.0409 u WFD  5.8709e-03  2.501e-02    0  1.000 41.220  2.08 1.040e+03  99.0000 
OBS: 59820.0158 i WFD -3.4882e-03  1.440e-02    0  1.000 44.580  1.83 1.508e+04  99.0000 
OBS: 59993.3865 z WFD -7.7371e-03  3.274e-02    0  1.000 44.680  2.23 3.085e+04  99.0000 
OBS: 59997.3739 u WFD -3.9858e-03  3.627e-02    0  1.000 41.050  2.66 1.009e+03  99.0000 
OBS: 59997.3927 z WFD  6.8927e-02  4.889e-02    0  1.000 43.500  1.90 1.823e+04  99.0000 
OBS: 59999.3831 z WFD -1.8431e-02  3.575e-02    0  1.000 43.480  1.68 1.480e+04  99.0000 
OBS: 60000.3562 g WFD  5.8937e-03  4.718e-03    0  1.000 45.480  1.94 1.067e+04  99.0000 
OBS: 60001.3895 Y WFD  1.2625e-02  1.006e-01    0  1.000 42.560  2.10 1.428e+04  99.0000 
OBS: 60002.3729 r WFD -7.7389e-03  7.875e-03    0  1.000 45.570  2.22 1.692e+04  99.0000 
OBS: 60002.3866 Y WFD  3.8211e-03  5.904e-02    0  1.000 43.300  1.79 1.944e+04  99.0000 
OBS: 60008.3221 Y WFD -9.1267e-02  1.448e-01    0  1.000 42.500  2.70 1.513e+04  99.0000 
OBS: 60009.3495 Y WFD -1.5412e-01  6.690e-02    0  1.000 43.730  2.25 2.604e+04  99.0000 
OBS: 60011.3551 Y WFD -5.7030e-02  6.081e-02    0  1.000 44.300  2.53 3.559e+04  99.0000 
OBS: 60020.4025 z WFD -2.0963e-02  3.242e-02    0  1.000 44.270  1.56 2.992e+04  99.0000 
