SURVEY:   LSST
SNID:     1109467
IAUC:     NULL
SNTYPE:   132
RA:       42.569142  # deg
DEC:      -26.299591  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0137 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60500.961     # estimate for LC fit codes
MJD_TRIGGER:       60494.445  
MJD_DETECT_FIRST:  60493.414  
MJD_DETECT_LAST:   60570.223  

REDSHIFT_HELIO:   1.349644 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.348307 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5941486608  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3496  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          42.569799    # deg 
HOSTGAL_DEC:         -26.299253    # deg 
HOSTGAL_SNSEP:       1.147       # arcsec 
HOSTGAL_DDLR:        3.751       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.878 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.154
HOSTGAL_SQRADIUS:     11.337   # Ixx + Iyy
HOSTGAL_MAG:     23.46  23.51  23.56  23.54  23.28  22.93 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  752   # template index for SIMSED,NONIa
SIM_LIBID:           7468    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.34964  
SIM_REDSHIFT_CMB:    1.34831  
SIM_REDSHIFT_HOST:   1.40770  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5941486608 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.910 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.878 -9.000 
SIM_DLMU:            44.9043   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0516   # mag 
SIM_RA:              42.569141     # deg  
SIM_DEC:             -26.299591      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0142   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60500.961    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -293.24  # days 
SIM_TRESTMAX:        72.87  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.94  27.72  27.33  27.36  27.42  27.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59812.3518 g WFD -4.0050e-03  4.078e-03    0  1.000 46.050  2.31 1.310e+04  99.0000 
OBS: 59813.3749 i WFD -8.1748e-03  1.148e-02    0  1.000 44.590  1.59 1.396e+04  99.0000 
OBS: 59817.2674 r WFD  9.8093e-03  8.420e-03    0  1.000 44.790  1.81 1.081e+04  99.0000 
OBS: 59818.2836 u WFD  1.3215e-02  1.744e-02    0  1.000 41.930  2.09 1.388e+03  99.0000 
OBS: 59820.3959 i WFD  1.4676e-02  1.526e-02    0  1.000 43.840  1.52 9.730e+03  99.0000 
OBS: 59821.2529 u WFD  1.1921e-03  2.765e-02    0  1.000 41.100  2.22 9.645e+02  99.0000 
OBS: 59821.2760 r WFD -1.7340e-02  5.979e-03    0  1.000 45.570  1.90 1.501e+04  99.0000 
OBS: 59822.2774 i WFD -6.1998e-03  1.145e-02    0  1.000 45.330  2.14 2.045e+04  99.0000 
OBS: 59823.4171 z WFD -2.7354e-02  3.523e-02    0  1.000 44.280  1.97 2.599e+04  99.0000 
OBS: 59827.2518 z WFD  1.3063e-03  1.833e-02    0  1.000 45.000  1.70 3.041e+04  99.0000 
OBS: 59831.2669 Y WFD  8.1173e-02  4.705e-02    0  1.000 44.080  1.87 3.041e+04  99.0000 
OBS: 59832.2886 Y WFD  5.0758e-02  4.791e-02    0  1.000 44.090  1.84 3.177e+04  99.0000 
OBS: 59835.2009 Y WFD  6.7298e-02  5.971e-02    0  1.000 43.270  1.46 2.345e+04  99.0000 
OBS: 59836.2976 z WFD -1.5076e-02  3.071e-02    0  1.000 44.280  1.74 2.565e+04  99.0000 
OBS: 59839.4067 z WFD  5.0066e-02  4.866e-02    0  1.000 43.530  1.41 2.514e+04  99.0000 
OBS: 59843.2115 i WFD -2.4699e-03  1.383e-02    0  1.000 44.560  1.77 1.470e+04  99.0000 
OBS: 59844.2283 r WFD  1.1473e-02  7.498e-03    0  1.000 44.820  1.70 1.054e+04  99.0000 
OBS: 59849.1850 r WFD  6.0126e-04  1.225e-02    0  1.000 44.800  2.67 1.077e+04  99.0000 
OBS: 59856.2081 i WFD -1.0297e-02  1.612e-02    0  1.000 44.600  1.81 1.738e+04  99.0000 
OBS: 59861.1631 Y WFD  1.3548e-01  5.178e-02    0  1.000 44.320  1.97 3.963e+04  99.0000 
OBS: 59862.1983 z WFD -6.1355e-02  3.087e-02    0  1.000 44.290  1.26 3.594e+04  99.0000 
OBS: 59863.2983 z WFD  2.8911e-02  2.913e-02    0  1.000 44.290  1.31 3.262e+04  99.0000 
OBS: 59866.1876 i WFD -4.9702e-02  1.947e-02    0  1.000 44.620  1.72 2.250e+04  99.0000 
OBS: 59868.1426 r WFD -5.9609e-03  7.008e-03    0  1.000 44.800  1.52 1.082e+04  99.0000 
OBS: 59874.1561 u WFD -2.6479e-02  2.214e-02    0  1.000 41.260  1.97 1.009e+03  99.0000 
OBS: 59886.1548 z WFD -9.5446e-03  1.916e-02    0  1.000 44.270  1.28 2.155e+04  99.0000 
OBS: 59895.2301 i WFD -1.6581e-02  2.128e-02    0  1.000 44.620  1.89 2.238e+04  99.0000 
OBS: 59904.1136 u WFD  1.4432e-02  2.581e-02    0  1.000 41.300  2.39 1.006e+03  99.0000 
OBS: 59906.0259 z WFD  6.0176e-02  3.801e-02    0  1.000 44.250  1.84 2.921e+04  99.0000 
OBS: 59911.0301 z WFD  1.5971e-02  3.049e-02    0  1.000 44.260  1.81 2.404e+04  99.0000 
OBS: 59920.0607 Y WFD -1.0687e-01  7.900e-02    0  1.000 42.610  1.57 1.571e+04  99.0000 
OBS: 59923.1448 i WFD -1.1632e-02  1.938e-02    0  1.000 44.640  1.53 2.565e+04  99.0000 
OBS: 59926.1605 r WFD  5.3302e-04  6.480e-03    0  1.000 45.650  1.44 2.310e+04  99.0000 
OBS: 59932.0923 g WFD  3.5529e-03  3.589e-03    0  1.000 44.840  1.35 6.470e+03  99.0000 
