SURVEY:   LSST
SNID:     1113254
IAUC:     NULL
SNTYPE:   132
RA:       240.298342  # deg
DEC:      -33.901749  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2590 +- 0.0130  # MW E(B-V) 
PEAKMJD:  59556.395     # estimate for LC fit codes
MJD_TRIGGER:       59655.262  
MJD_DETECT_FIRST:  59654.230  
MJD_DETECT_LAST:   60165.051  

REDSHIFT_HELIO:   0.391944 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.392489 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625112069  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3919  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          240.297628    # deg 
HOSTGAL_DEC:         -33.902206    # deg 
HOSTGAL_SNSEP:       1.289       # arcsec 
HOSTGAL_DDLR:        2.878       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.284 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.477
HOSTGAL_SQRADIUS:     17.452   # Ixx + Iyy
HOSTGAL_MAG:     24.78  23.66  22.47  21.96  21.62  21.40 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  756   # template index for SIMSED,NONIa
SIM_LIBID:           11255    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.39194  
SIM_REDSHIFT_CMB:    0.39248  
SIM_REDSHIFT_HOST:   0.40001  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625112069 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.554 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.284 -9.000 
SIM_DLMU:            41.6350   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0064   # mag 
SIM_RA:              240.298340     # deg  
SIM_DEC:             -33.901749      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2520   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59556.395    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        70.26  # days 
SIM_TRESTMAX:        726.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.78  24.42  24.35  24.26  24.25  24.24  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59654.2324 Y WFD  1.6681e+01  7.448e-02 4096  1.000 43.700  2.38 2.665e+04  24.4448 
OBS: 59655.2615 Y WFD  1.6635e+01  1.340e-01 6144  1.000 42.560  2.62 1.525e+04  24.4469 
OBS: 59668.4166 z WFD  1.3498e+01  9.180e-02 4096  1.000 43.530  2.66 2.513e+04  24.6877 
OBS: 59669.4157 z WFD  1.3214e+01  8.554e-02 4096  1.000 43.530  2.83 2.201e+04  24.6904 
OBS: 59675.1876 r WFD  3.5548e+00  9.469e-03 4096  1.000 44.790  1.90 1.156e+04  26.1234 
OBS: 59676.3834 i WFD  8.5447e+00  1.564e-02 4096  1.000 44.590  2.07 1.457e+04  25.1741 
OBS: 59678.1794 z WFD  1.2058e+01  4.634e-02 4096  1.000 43.480  2.17 1.484e+04  24.7975 
OBS: 59680.1983 i WFD  7.7635e+00  1.400e-02 4096  1.000 44.590  1.48 1.824e+04  25.2730 
OBS: 59683.1686 Y WFD  1.1431e+01  3.606e-02 4096  1.000 44.040  1.40 2.998e+04  24.8579 
OBS: 59684.1796 Y WFD  1.0870e+01  8.024e-02 4096  1.000 42.540  1.50 1.564e+04  24.9130 
OBS: 59685.1939 Y WFD  1.0277e+01  8.413e-02 4096  1.000 42.570  1.50 1.686e+04  24.9701 
OBS: 59703.1490 u WFD  2.2272e-02  1.731e-02    0  1.000 41.260  1.48 1.050e+03  31.8189 
OBS: 59709.2541 i WFD  1.9804e+00  1.290e-02 4096  1.000 44.590  1.73 1.440e+04  26.7483 
OBS: 59710.2104 i WFD  1.9808e+00  1.494e-02 4096  1.000 44.620  1.62 1.832e+04  26.7670 
OBS: 59748.2579 i WFD  1.4140e+00  2.159e-02 4096  1.000 45.350  2.59 3.246e+04  27.1310 
OBS: 59749.9603 z WFD  3.0788e+00  4.839e-02 4096  1.000 43.470  2.06 1.619e+04  26.2545 
OBS: 59750.9599 z WFD  3.0855e+00  5.512e-02 4096  1.000 43.480  2.35 1.631e+04  26.2645 
OBS: 59753.9602 z WFD  3.0447e+00  3.998e-02 4096  1.000 44.240  1.72 3.256e+04  26.2761 
OBS: 59756.9604 z WFD  3.1189e+00  5.039e-02 4096  1.000 44.240  2.08 3.393e+04  26.2648 
OBS: 59758.9595 z WFD  3.1205e+00  3.640e-02 4096  1.000 44.240  1.88 2.712e+04  26.2691 
OBS: 59773.1704 Y WFD  2.6110e+00  4.768e-02 4096  1.000 44.510  1.98 4.325e+04  26.4556 
OBS: 59774.2062 z WFD  2.9636e+00  3.931e-02 4096  1.000 45.000  2.34 4.739e+04  26.3238 
OBS: 59780.9584 z WFD  2.8204e+00  7.039e-02 4096  1.000 43.530  2.13 2.407e+04  26.3769 
OBS: 59784.0208 r WFD  4.7849e-01  8.032e-03 4096  1.000 44.860  1.81 1.100e+04  28.2977 
OBS: 59784.9593 z WFD  2.6515e+00  7.768e-02 4096  1.000 43.530  2.29 2.471e+04  26.4201 
OBS: 59787.0965 r WFD  4.5202e-01  1.415e-02 4096  1.000 44.840  3.08 1.118e+04  28.3207 
OBS: 59790.0683 g WFD  6.1734e-02  7.046e-03 4096  1.000 44.850  2.39 7.242e+03  30.3520 
OBS: 59800.0490 Y WFD  2.1992e+00  7.198e-02 4096  1.000 43.330  2.01 2.170e+04  26.6256 
OBS: 59802.0776 Y WFD  2.2680e+00  4.185e-02 4096  1.000 44.310  1.74 3.593e+04  26.5862 
OBS: 59813.0330 r WFD  4.4644e-01  8.576e-03 4096  1.000 44.850  1.79 1.177e+04  28.3758 
OBS: 59830.0291 Y WFD  2.4251e+00  8.616e-02 4096  1.000 42.540  1.68 1.501e+04  26.5755 
OBS: 59978.3738 z WFD  8.8911e-01  2.947e-02 4096  1.000 43.500  1.34 1.558e+04  27.6387 
OBS: 59986.3750 z WFD  7.4473e-01  4.697e-02 4096  1.000 43.510  1.88 1.787e+04  27.6961 
OBS: 59987.3800 z WFD  9.2141e-01  3.677e-02    0  1.000 44.270  1.95 2.715e+04  27.7034 
