SURVEY:   LSST
SNID:     1117340
IAUC:     NULL
SNTYPE:   132
RA:       99.651907  # deg
DEC:      -40.940465  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0849 +- 0.0042  # MW E(B-V) 
PEAKMJD:  59809.859     # estimate for LC fit codes
MJD_TRIGGER:       59685.023  
MJD_DETECT_FIRST:  59683.988  
MJD_DETECT_LAST:   59918.141  

REDSHIFT_HELIO:   0.932467 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.933317 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6126733901  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9325  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          99.651883    # deg 
HOSTGAL_DEC:         -40.940540    # deg 
HOSTGAL_SNSEP:       0.139       # arcsec 
HOSTGAL_DDLR:        0.710       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.387 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.227
HOSTGAL_SQRADIUS:     5.953   # Ixx + Iyy
HOSTGAL_MAG:     28.52  27.55  26.28  25.16  24.56  24.37 # ugrizY
HOSTGAL_MAGERR:   2.51   0.20   0.09   0.04   0.05   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  767   # template index for SIMSED,NONIa
SIM_LIBID:           15341    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.93247  
SIM_REDSHIFT_CMB:    0.93332  
SIM_REDSHIFT_HOST:   0.89449  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6126733901 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.826 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.387 -9.000 
SIM_DLMU:            43.9141   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0443   # mag 
SIM_RA:              99.651909     # deg  
SIM_DEC:             -40.940464      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0937   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59809.859    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -118.93  # days 
SIM_TRESTMAX:        443.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.89  33.75  32.52  30.56  28.15  27.37  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 140 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0374 Y WFD  4.7445e-02  1.991e-01    0  1.000 42.510  2.69 2.108e+04  99.0000 
OBS: 59584.0395 z WFD -5.6147e-02  5.839e-02    0  1.000 43.490  2.06 1.990e+04  99.0000 
OBS: 59584.1609 u WFD -1.4898e-02  3.396e-02    0  1.000 41.250  3.12 9.677e+02  99.0000 
OBS: 59589.0417 Y WFD -8.8589e-02  9.412e-02    0  1.000 42.540  1.68 1.640e+04  99.0000 
OBS: 59591.0577 z WFD  2.0286e-02  3.361e-02    0  1.000 44.250  2.12 2.241e+04  99.0000 
OBS: 59596.0395 Y WFD  3.1813e-02  5.452e-02    0  1.000 43.760  1.48 3.316e+04  99.0000 
OBS: 59599.0681 z WFD  2.8002e-02  3.345e-02    0  1.000 44.260  2.08 2.295e+04  99.0000 
OBS: 59601.2787 i WFD  9.3352e-03  2.249e-02    0  1.000 44.590  1.93 2.253e+04  99.0000 
OBS: 59611.0370 z WFD -2.4781e-02  4.060e-02    0  1.000 43.510  1.95 1.489e+04  99.0000 
OBS: 59625.1401 Y WFD -3.0137e-02  6.588e-02    0  1.000 42.580  1.37 1.460e+04  99.0000 
OBS: 59637.0304 Y WFD  7.1334e-02  7.703e-02    0  1.000 42.590  1.89 1.249e+04  99.0000 
OBS: 59654.9993 Y WFD  3.0943e-01  1.040e-01    0  1.000 42.610  1.94 1.673e+04  28.4542 
OBS: 59659.1175 i WFD  4.0325e-02  3.689e-02    0  1.000 43.830  2.08 1.703e+04  30.1772 
OBS: 59676.9829 Y WFD  2.5459e-01  1.180e-01    0  1.000 42.580  2.49 1.439e+04  28.5770 
OBS: 59683.9889 Y WFD  3.4848e-01  6.335e-02 4096  1.000 42.580  1.36 1.414e+04  28.5917 
OBS: 59685.0217 Y WFD  4.3941e-01  6.562e-02 6144  1.000 42.560  1.31 1.493e+04  28.5939 
OBS: 59686.0483 Y WFD  2.7532e-01  8.318e-02    0  1.000 42.540  1.56 1.561e+04  28.5960 
OBS: 59687.0247 z WFD  1.7821e-01  2.204e-02 4096  1.000 45.010  1.71 3.669e+04  29.3883 
OBS: 59692.9683 Y WFD  6.0395e-01  1.404e-01    0  1.000 42.590  2.49 1.728e+04  28.5331 
OBS: 59710.9752 Y WFD  4.2769e-01  1.175e-01 4096  1.000 42.510  2.31 1.448e+04  28.3792 
OBS: 59717.9620 Y WFD  4.7039e-01  1.130e-01 4096  1.000 43.280  2.67 2.450e+04  28.2605 
OBS: 59825.3993 r WFD  4.1172e-02  1.380e-02    0  1.000 44.060  2.14 7.653e+03  32.6935 
OBS: 59827.3889 g WFD  1.3086e-02  7.364e-03    0  1.000 43.990  1.74 4.709e+03  33.8922 
OBS: 59842.3499 r WFD -5.3899e-03  7.304e-03    0  1.000 45.550  2.14 1.598e+04  32.8160 
OBS: 59843.3433 g WFD  7.2513e-03  5.290e-03    0  1.000 44.740  1.77 6.634e+03  34.1397 
OBS: 59851.3101 u WFD  2.7445e-02  2.943e-02    0  1.000 41.080  2.35 9.518e+02  35.4404 
OBS: 59853.3019 r WFD  1.1749e-02  1.126e-02    0  1.000 44.770  2.36 1.088e+04  33.0517 
OBS: 59861.2683 Y WFD  5.3350e-01  6.429e-02 4096  1.000 43.260  1.63 2.240e+04  28.1909 
OBS: 59862.3589 z WFD  2.2458e-01  2.584e-02 4096  1.000 44.280  1.44 2.608e+04  29.1428 
OBS: 59863.3556 z WFD  2.5046e-01  2.702e-02 4096  1.000 44.280  1.54 2.550e+04  29.1771 
OBS: 59868.2551 r WFD  7.8965e-04  1.603e-02    0  1.000 44.840  2.14 1.824e+04  33.5489 
OBS: 59869.2680 r WFD  1.2770e-02  1.080e-02    0  1.000 44.830  1.83 1.424e+04  33.6074 
OBS: 59871.2591 g WFD  6.4957e-03  5.484e-03    0  1.000 44.720  1.86 6.426e+03  34.9915 
OBS: 59897.2843 r WFD  1.1336e-02  8.048e-03    0  1.000 45.670  1.50 2.805e+04  34.0951 
OBS: 59899.2034 i WFD  4.7561e-02  1.445e-02    0  1.000 45.320  2.64 2.073e+04  32.1017 
OBS: 59904.2744 u WFD  5.2354e-04  2.317e-02    0  1.000 42.010  3.03 1.369e+03  36.7054 
OBS: 59905.1600 u WFD  6.5426e-03  2.081e-02    0  1.000 41.760  2.26 1.309e+03  36.7101 
OBS: 59916.2669 i WFD  1.6895e-02  8.721e-03    0  1.000 45.360  1.49 2.300e+04  32.1931 
OBS: 59917.1748 z WFD  1.2277e-01  1.719e-02 4096  1.000 45.010  1.51 3.242e+04  29.8148 
OBS: 59918.1409 Y WFD  2.9375e-01  3.837e-02 4096  1.000 44.040  1.53 2.922e+04  28.9513 
OBS: 59919.1240 z WFD  1.1085e-01  2.668e-02    0  1.000 45.000  1.92 3.920e+04  29.8311 
OBS: 59926.3239 i WFD  2.5730e-02  1.832e-02    0  1.000 44.620  1.76 2.069e+04  32.2963 
OBS: 59932.1713 g WFD  3.9245e-03  2.875e-03    0  1.000 45.550  1.53 8.794e+03  35.9346 
OBS: 59935.1928 i WFD  2.4048e-02  1.018e-02    0  1.000 44.580  1.42 1.373e+04  32.2487 
OBS: 59943.1649 r WFD -3.8667e-03  8.145e-03    0  1.000 44.890  1.65 1.258e+04  34.4742 
OBS: 59948.0496 z WFD  1.6143e-01  6.086e-02    0  1.000 44.250  2.86 3.009e+04  29.9876 
OBS: 59952.1480 Y WFD  2.5902e-01  6.439e-02    0  1.000 42.600  1.37 1.454e+04  29.1119 
OBS: 59954.0480 Y WFD  2.9360e-01  8.732e-02    0  1.000 42.530  1.81 1.399e+04  29.1208 
OBS: 59954.2690 i WFD -2.4821e-03  3.584e-02    0  1.000 43.860  2.08 1.701e+04  32.2462 
OBS: 59963.0485 z WFD  9.9079e-02  3.957e-02    0  1.000 43.490  1.96 1.417e+04  30.0855 
OBS: 59967.0766 i WFD  1.5682e-02  1.850e-02    0  1.000 44.570  2.53 1.388e+04  32.2820 
OBS: 59975.0933 i WFD  7.2290e-03  1.382e-02    0  1.000 44.630  1.45 1.913e+04  32.2517 
OBS: 59979.1382 Y WFD  3.0397e-02  5.569e-02    0  1.000 42.600  1.19 1.447e+04  29.2308 
OBS: 59985.2371 i WFD  2.9835e-02  2.820e-02    0  1.000 43.830  1.70 1.593e+04  32.1457 
OBS: 60002.0589 r WFD -6.1831e-03  9.525e-03    0  1.000 44.890  1.84 1.320e+04  34.4806 
OBS: 60008.1304 Y WFD  2.1532e-01  7.368e-02    0  1.000 43.310  2.12 2.067e+04  29.4532 
OBS: 60011.1541 Y WFD  1.8578e-01  1.115e-01    0  1.000 42.540  2.08 1.569e+04  29.4672 
OBS: 60012.0985 z WFD  3.0800e-02  5.466e-02    0  1.000 44.270  3.09 2.548e+04  30.3524 
OBS: 60037.0104 Y WFD  1.4266e-02  7.020e-02    0  1.000 42.580  1.56 1.366e+04  29.5485 
OBS: 60038.0649 Y WFD  1.9374e-01  8.484e-02    0  1.000 42.560  1.70 1.488e+04  29.5540 
OBS: 60040.0811 Y WFD  2.4131e-01  7.751e-02    0  1.000 43.270  1.99 2.233e+04  29.5644 
OBS: 60051.0376 u WFD  1.1117e-02  2.311e-02    0  1.000 41.120  1.89 9.645e+02  38.3340 
OBS: 60056.9763 z WFD  2.9839e-02  3.443e-02    0  1.000 43.500  1.71 1.427e+04  30.5141 
OBS: 60063.9944 i WFD  5.3359e-02  1.731e-02    0  1.000 45.340  2.38 2.807e+04  32.0973 
OBS: 60066.9713 z WFD  8.0633e-02  3.429e-02    0  1.000 44.250  1.83 2.649e+04  30.5658 
OBS: 60069.9794 z WFD  6.0495e-02  3.865e-02    0  1.000 44.260  2.01 2.744e+04  30.5814 
OBS: 60079.9744 z WFD  2.2087e-02  3.750e-02    0  1.000 43.470  1.70 1.520e+04  30.6331 
OBS: 60193.3739 i WFD -3.8078e-03  2.051e-02    0  1.000 44.570  2.15 1.811e+04  32.7668 
OBS: 60196.3583 g WFD -1.3282e-02  8.836e-03    0  1.000 44.730  2.67 7.280e+03  38.1450 
OBS: 60198.3769 u WFD  2.7399e-02  3.460e-02    0  1.000 41.060  2.74 9.424e+02  39.0965 
OBS: 60206.3713 r WFD  9.9896e-03  1.018e-02    0  1.000 44.060  1.61 7.507e+03  35.6154 
OBS: 60215.3527 Y WFD -4.3708e-03  6.189e-02    0  1.000 43.750  1.75 3.155e+04  30.4714 
OBS: 60216.3373 z WFD  5.9480e-02  3.229e-02    0  1.000 44.260  1.69 2.726e+04  31.3388 
OBS: 60232.2872 r WFD -8.0383e-03  1.386e-02    0  1.000 44.800  3.06 1.063e+04  35.7990 
OBS: 60236.2679 u WFD  4.3983e-02  2.726e-02    0  1.000 41.090  2.19 9.550e+02  39.2925 
OBS: 60242.3129 i WFD  1.2383e-03  1.417e-02    0  1.000 44.610  1.53 1.824e+04  33.0200 
OBS: 60244.2280 z WFD -3.6547e-03  3.516e-02    0  1.000 44.240  1.81 2.721e+04  31.4831 
OBS: 60245.3004 Y WFD -1.4783e-02  6.100e-02    0  1.000 43.330  1.80 2.053e+04  30.6263 
OBS: 60247.2256 z WFD  2.9199e-02  4.328e-02    0  1.000 44.250  2.17 2.820e+04  31.4986 
OBS: 60250.2883 i WFD  1.1204e-03  1.658e-02    0  1.000 45.370  2.22 2.963e+04  33.0613 
OBS: 60260.1738 g WFD -2.3918e-03  9.110e-03    0  1.000 44.690  3.04 6.353e+03  38.6784 
OBS: 60262.2058 r WFD -1.2641e-04  8.226e-03    0  1.000 44.800  1.83 1.055e+04  36.0109 
OBS: 60263.1782 r WFD  5.2275e-03  1.292e-02    0  1.000 44.770  2.74 1.076e+04  36.0178 
OBS: 60268.1766 r WFD  5.4468e-03  9.677e-03    0  1.000 44.820  1.74 1.329e+04  36.0532 
OBS: 60269.1598 i WFD  1.9899e-02  1.524e-02    0  1.000 45.320  2.29 2.521e+04  33.1590 
OBS: 60274.1659 Y WFD  4.8206e-02  9.259e-02    0  1.000 42.540  1.76 1.540e+04  30.7757 
OBS: 60278.2375 i WFD -6.5634e-03  1.664e-02    0  1.000 45.070  1.67 2.999e+04  33.2059 
