SURVEY:   LSST
SNID:     1119663
IAUC:     NULL
SNTYPE:   132
RA:       136.008299  # deg
DEC:      -26.827815  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1175 +- 0.0059  # MW E(B-V) 
PEAKMJD:  59899.723     # estimate for LC fit codes
MJD_TRIGGER:       59899.324  
MJD_DETECT_FIRST:  59896.328  
MJD_DETECT_LAST:   59945.164  

REDSHIFT_HELIO:   1.488638 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.491116 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10313678137  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4886  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          136.008268    # deg 
HOSTGAL_DEC:         -26.827828    # deg 
HOSTGAL_SNSEP:       0.049       # arcsec 
HOSTGAL_DDLR:        0.489       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.160 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.822
HOSTGAL_SQRADIUS:     19.445   # Ixx + Iyy
HOSTGAL_MAG:     27.58  26.81  25.71  24.65  24.36  24.21 # ugrizY
HOSTGAL_MAGERR:   0.88   0.13   0.05   0.03   0.05   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  743   # template index for SIMSED,NONIa
SIM_LIBID:           17664    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.48864  
SIM_REDSHIFT_CMB:    1.49112  
SIM_REDSHIFT_HOST:   1.54078  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10313678137 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.364 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.160 -9.000 
SIM_DLMU:            45.1710   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0287   # mag 
SIM_RA:              136.008301     # deg  
SIM_DEC:             -26.827814      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1137   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59899.723    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -127.04  # days 
SIM_TRESTMAX:        310.90  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.19  28.80  27.93  27.62  27.41  27.36  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2552 u WFD  1.2558e-03  1.770e-02    0  1.000 41.350  1.69 1.021e+03  99.0000 
OBS: 59588.1592 Y WFD  5.7009e-02  8.897e-02    0  1.000 42.550  1.95 1.348e+04  99.0000 
OBS: 59589.3222 i WFD -1.8160e-02  1.242e-02    0  1.000 44.590  1.72 1.396e+04  99.0000 
OBS: 59594.2458 Y WFD -3.1463e-02  6.251e-02    0  1.000 43.300  1.79 2.058e+04  99.0000 
OBS: 59598.2818 z WFD  3.0101e-02  3.215e-02    0  1.000 45.480  2.66 5.305e+04  99.0000 
OBS: 59625.0701 Y WFD -3.0210e-02  7.903e-02    0  1.000 42.560  1.46 1.614e+04  99.0000 
OBS: 59626.0582 z WFD  3.9565e-02  3.329e-02    0  1.000 44.270  1.42 3.376e+04  99.0000 
OBS: 59629.0388 z WFD  2.4497e-03  2.288e-02    0  1.000 44.250  1.37 2.361e+04  99.0000 
OBS: 59631.2755 i WFD  6.9483e-02  2.370e-02    0  1.000 44.600  2.06 2.245e+04  99.0000 
OBS: 59647.0038 Y WFD  2.0606e-02  1.859e-01    0  1.000 42.570  2.91 1.922e+04  99.0000 
OBS: 59659.1884 i WFD  8.9655e-02  5.458e-02    0  1.000 43.860  3.11 1.733e+04  99.0000 
OBS: 59681.0069 Y WFD  1.4193e-03  4.393e-02    0  1.000 43.350  1.41 1.923e+04  99.0000 
OBS: 59682.0807 Y WFD -2.9172e-02  3.997e-02    0  1.000 43.330  1.20 2.018e+04  99.0000 
OBS: 59684.1254 Y WFD -1.0352e-01  7.481e-02    0  1.000 42.560  1.39 1.605e+04  99.0000 
OBS: 59686.0957 Y WFD -1.8722e-02  7.096e-02    0  1.000 42.580  1.40 1.539e+04  99.0000 
OBS: 59697.9715 z WFD  4.4089e-02  4.027e-02    0  1.000 43.510  2.08 1.384e+04  99.0000 
OBS: 59712.0263 Y WFD -3.2769e-02  7.206e-02    0  1.000 43.310  2.09 2.051e+04  99.0000 
OBS: 59713.0658 Y WFD  1.5724e-01  8.621e-02    0  1.000 42.540  1.64 1.538e+04  99.0000 
OBS: 59714.0815 Y WFD  6.6799e-02  1.337e-01    0  1.000 42.520  2.37 1.621e+04  99.0000 
OBS: 59723.9595 z WFD -3.1740e-02  3.304e-02    0  1.000 44.270  1.71 2.783e+04  99.0000 
OBS: 59862.3759 z WFD  5.8967e-03  5.752e-02    0  1.000 43.480  1.87 2.140e+04  99.0000 
OBS: 59872.3665 z WFD -9.7012e-03  3.596e-02    0  1.000 43.490  1.60 1.578e+04  99.0000 
OBS: 59873.3608 r WFD -1.6805e-02  1.291e-02    0  1.000 44.060  1.80 8.510e+03  99.0000 
OBS: 59880.3619 z WFD -3.0292e-02  1.627e-02    0  1.000 45.000  1.34 3.425e+04  99.0000 
OBS: 59881.3671 z WFD -6.4000e-03  3.587e-02    0  1.000 43.510  1.29 1.988e+04  99.0000 
OBS: 59883.3599 z WFD  8.7866e-03  3.232e-02    0  1.000 43.500  1.48 1.548e+04  99.0000 
OBS: 59896.3299 i WFD  8.1331e-01  4.250e-02 4096  1.000 43.870  2.61 1.622e+04  27.6748 
OBS: 59899.3247 i WFD  8.7240e-01  2.320e-02 6144  1.000 44.590  2.45 1.831e+04  27.6316 
OBS: 59901.3135 r WFD  6.1759e-01  1.176e-02 4096  1.000 44.840  2.33 1.229e+04  28.0273 
OBS: 59903.2890 r WFD  5.5168e-01  9.740e-03 4096  1.000 44.800  2.07 1.104e+04  28.1533 
OBS: 59905.2661 u WFD  8.2663e-02  2.297e-02    0  1.000 41.770  2.47 1.334e+03  30.4670 
OBS: 59906.2984 r WFD  4.7186e-01  8.285e-03 4096  1.000 45.570  2.58 1.531e+04  28.2918 
OBS: 59907.3472 z WFD  9.8166e-01  3.193e-02 4096  1.000 43.520  1.58 1.458e+04  27.5042 
OBS: 59918.2496 Y WFD  9.7273e-01  9.773e-02 4096  1.000 42.530  1.98 1.431e+04  27.4905 
