SURVEY:   LSST
SNID:     1120636
IAUC:     NULL
SNTYPE:   132
RA:       302.560612  # deg
DEC:      -21.140249  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1213 +- 0.0061  # MW E(B-V) 
PEAKMJD:  59929.402     # estimate for LC fit codes
MJD_TRIGGER:       60038.371  
MJD_DETECT_FIRST:  60026.406  
MJD_DETECT_LAST:   60095.215  

REDSHIFT_HELIO:   1.174321 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.172695 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10378335659  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1743  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          302.560622    # deg 
HOSTGAL_DEC:         -21.140187    # deg 
HOSTGAL_SNSEP:       0.113       # arcsec 
HOSTGAL_DDLR:        2.350       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.249 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.127
HOSTGAL_SQRADIUS:     5.195   # Ixx + Iyy
HOSTGAL_MAG:     29.48  28.08  26.68  25.63  24.75  24.17 # ugrizY
HOSTGAL_MAGERR:  26.62   0.28   0.12   0.08   0.06   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  763   # template index for SIMSED,NONIa
SIM_LIBID:           18637    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.17432  
SIM_REDSHIFT_CMB:    1.17270  
SIM_REDSHIFT_HOST:   1.21028  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10378335659 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.805 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.249 -9.000 
SIM_DLMU:            44.5298   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0215   # mag 
SIM_RA:              302.560608     # deg  
SIM_DEC:             -21.140249      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1312   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59929.402    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -100.41  # days 
SIM_TRESTMAX:        321.55  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.33  25.43  25.34  25.36  25.36  25.38  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59711.2522 Y WFD  5.0475e-02  1.040e-01    0  1.000 43.250  2.82 2.075e+04  99.0000 
OBS: 59712.2605 Y WFD  1.9866e-02  8.751e-02    0  1.000 43.280  2.44 2.075e+04  99.0000 
OBS: 59713.2522 Y WFD -9.7648e-04  1.261e-01    0  1.000 42.500  2.31 1.540e+04  99.0000 
OBS: 59715.3099 Y WFD  1.2607e-02  7.113e-02    0  1.000 43.330  1.93 2.233e+04  99.0000 
OBS: 59722.3143 z WFD -1.7736e-02  2.716e-02    0  1.000 44.270  1.90 2.059e+04  99.0000 
OBS: 59729.2210 i WFD -4.0725e-03  1.746e-02    0  1.000 44.560  2.06 1.594e+04  99.0000 
OBS: 59730.4346 z WFD  3.7038e-02  4.825e-02    0  1.000 43.520  2.05 1.699e+04  99.0000 
OBS: 59753.1439 g WFD  4.4678e-03  6.069e-03    0  1.000 44.740  1.82 7.403e+03  99.0000 
OBS: 59754.1609 i WFD -1.1889e-02  1.552e-02    0  1.000 44.570  1.89 1.559e+04  99.0000 
OBS: 59769.1343 z WFD -4.6564e-03  1.753e-02    0  1.000 45.000  1.53 3.233e+04  99.0000 
OBS: 59776.3101 z WFD -2.5747e-02  4.089e-02    0  1.000 45.020  2.57 4.572e+04  99.0000 
OBS: 59777.2982 Y WFD -4.6777e-02  1.024e-01    0  1.000 43.330  2.96 2.096e+04  99.0000 
OBS: 59778.1102 r WFD -1.8602e-02  1.227e-02    0  1.000 44.850  1.99 1.515e+04  99.0000 
OBS: 59793.0550 r WFD -2.1054e-02  1.057e-02    0  1.000 44.800  2.06 1.204e+04  99.0000 
OBS: 59797.0549 z WFD  6.9242e-02  3.858e-02    0  1.000 44.250  2.45 2.227e+04  99.0000 
OBS: 59799.0857 Y WFD -1.3954e-02  6.045e-02    0  1.000 43.330  1.77 2.069e+04  99.0000 
OBS: 59804.1414 z WFD  2.0247e-02  1.772e-02    0  1.000 45.790  1.47 7.039e+04  99.0000 
OBS: 59806.1488 i WFD  8.7649e-04  1.027e-02    0  1.000 46.270  1.83 5.097e+04  99.0000 
OBS: 59807.1006 r WFD  8.2162e-03  5.549e-03    0  1.000 45.660  1.34 2.145e+04  99.0000 
OBS: 59811.0034 r WFD -6.3002e-03  1.143e-02    0  1.000 44.790  2.26 1.176e+04  99.0000 
OBS: 59812.0298 g WFD  3.0371e-03  5.209e-03    0  1.000 44.830  1.67 7.523e+03  99.0000 
OBS: 59817.1435 u WFD -4.2856e-03  1.032e-02    0  1.000 42.190  1.38 1.581e+03  99.0000 
OBS: 59818.0543 u WFD -1.6471e-02  2.156e-02    0  1.000 41.300  1.89 1.063e+03  99.0000 
OBS: 59834.9829 Y WFD  6.5148e-02  4.223e-02    0  1.000 43.780  1.31 2.956e+04  99.0000 
OBS: 59835.0517 r WFD -5.5953e-03  1.463e-02    0  1.000 44.180  1.51 1.284e+04  99.0000 
OBS: 59842.9908 Y WFD  3.0083e-02  6.258e-02    0  1.000 42.570  1.42 1.326e+04  99.0000 
OBS: 59849.9932 z WFD  2.4087e-02  3.524e-02    0  1.000 43.520  1.78 1.429e+04  99.0000 
OBS: 59859.0457 Y WFD -1.8315e-02  8.223e-02    0  1.000 42.580  1.62 1.541e+04  99.0000 
OBS: 59860.9956 Y WFD  6.5079e-02  7.325e-02    0  1.000 42.610  1.41 1.622e+04  99.0000 
OBS: 59864.0776 i WFD -2.3614e-02  2.118e-02    0  1.000 44.610  1.74 2.397e+04  99.0000 
OBS: 59868.0244 r WFD -4.6894e-03  6.911e-03    0  1.000 44.870  1.45 1.193e+04  99.0000 
OBS: 59874.0910 u WFD  7.1654e-03  2.543e-02    0  1.000 41.110  1.90 1.047e+03  99.0000 
OBS: 59877.0051 z WFD  3.1649e-02  3.165e-02    0  1.000 43.510  1.46 1.550e+04  99.0000 
OBS: 59877.0581 u WFD -1.3539e-02  1.576e-02    0  1.000 41.960  1.74 1.550e+03  99.0000 
