SURVEY:   LSST
SNID:     1154800
IAUC:     NULL
SNTYPE:   121
RA:       11.952976  # deg
DEC:      -26.305587  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0126 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60028.234     # estimate for LC fit codes
MJD_TRIGGER:       60120.414  
MJD_DETECT_FIRST:  60119.391  
MJD_DETECT_LAST:   60304.070  

REDSHIFT_HELIO:   1.214213 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.212141 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10565850483  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2142  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          11.952878    # deg 
HOSTGAL_DEC:         -26.305705    # deg 
HOSTGAL_SNSEP:       0.249       # arcsec 
HOSTGAL_DDLR:        0.986       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.480 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.302
HOSTGAL_SQRADIUS:     5.106   # Ixx + Iyy
HOSTGAL_MAG:     28.76  27.68  26.35  25.36  24.51  23.98 # ugrizY
HOSTGAL_MAGERR:  72.81   0.37   0.11   0.07   0.05   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  754   # template index for SIMSED,NONIa
SIM_LIBID:           1799    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.21421  
SIM_REDSHIFT_CMB:    1.21214  
SIM_REDSHIFT_HOST:   1.20492  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10565850483 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.823 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.480 -9.000 
SIM_DLMU:            44.6191   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0112   # mag 
SIM_RA:              11.952976     # deg  
SIM_DEC:             -26.305588      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0116   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60028.234    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -115.25  # days 
SIM_TRESTMAX:        291.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.31  30.18  28.21  27.04  26.47  26.18  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59773.2877 Y WFD -9.9831e-02  1.002e-01    0  1.000 42.520  1.80 1.599e+04  99.0000 
OBS: 59776.4343 z WFD  8.2696e-02  7.522e-02    0  1.000 43.540  2.75 2.011e+04  99.0000 
OBS: 59782.3622 g WFD -8.7675e-03  9.240e-03    0  1.000 44.930  2.72 8.984e+03  99.0000 
OBS: 59783.2843 r WFD -2.5927e-02  1.283e-02    0  1.000 44.800  2.78 1.082e+04  99.0000 
OBS: 59787.3472 r WFD  9.7625e-03  1.261e-02    0  1.000 44.850  2.97 1.043e+04  99.0000 
OBS: 59788.3797 i WFD -2.3769e-02  1.927e-02    0  1.000 44.590  2.69 1.385e+04  99.0000 
OBS: 59798.2832 z WFD  4.9183e-03  2.833e-02    0  1.000 44.260  2.03 1.992e+04  99.0000 
OBS: 59799.2435 z WFD  1.3074e-02  2.067e-02    0  1.000 45.000  1.82 3.203e+04  99.0000 
OBS: 59801.2879 z WFD  6.2614e-02  3.859e-02    0  1.000 44.280  2.18 2.573e+04  99.0000 
OBS: 59802.2511 Y WFD  5.9284e-02  9.022e-02    0  1.000 42.590  1.71 1.617e+04  99.0000 
OBS: 59803.2041 Y WFD  4.1770e-02  9.700e-02    0  1.000 42.530  1.52 1.851e+04  99.0000 
OBS: 59807.2939 Y WFD  2.0913e-02  3.862e-02    0  1.000 44.080  1.55 3.012e+04  99.0000 
OBS: 59808.3659 i WFD -1.4573e-02  1.602e-02    0  1.000 44.640  1.47 2.206e+04  99.0000 
OBS: 59808.4286 z WFD  1.8527e-02  3.135e-02    0  1.000 44.270  1.43 3.157e+04  99.0000 
OBS: 59809.3658 r WFD  6.0025e-03  1.145e-02    0  1.000 44.920  1.63 1.841e+04  99.0000 
OBS: 59818.2685 u WFD  2.3112e-02  1.503e-02    0  1.000 42.000  1.85 1.442e+03  99.0000 
OBS: 59819.2055 u WFD  2.0947e-02  2.164e-02    0  1.000 41.950  2.60 1.410e+03  99.0000 
OBS: 59822.1487 i WFD -1.8487e-03  1.828e-02    0  1.000 44.560  2.20 1.563e+04  99.0000 
OBS: 59823.2153 g WFD  7.1653e-03  7.006e-03    0  1.000 44.820  2.45 6.834e+03  99.0000 
OBS: 59831.1451 Y WFD -3.2132e-02  1.181e-01    0  1.000 42.550  1.93 1.808e+04  99.0000 
OBS: 59835.1659 Y WFD -2.9157e-03  5.638e-02    0  1.000 43.320  1.53 2.212e+04  99.0000 
OBS: 59845.0984 r WFD -1.9310e-03  8.464e-03    0  1.000 44.800  1.76 1.128e+04  99.0000 
OBS: 59850.1476 i WFD  3.9750e-02  1.547e-02    0  1.000 44.590  2.08 1.438e+04  99.0000 
OBS: 59851.1684 u WFD  3.1679e-03  2.749e-02    0  1.000 41.320  2.53 1.031e+03  99.0000 
OBS: 59855.0586 z WFD  1.3095e-02  2.776e-02    0  1.000 44.230  1.75 2.202e+04  99.0000 
OBS: 59856.1716 i WFD  6.0762e-03  1.462e-02    0  1.000 44.620  1.61 1.806e+04  99.0000 
OBS: 59863.2235 z WFD  4.2468e-02  3.242e-02    0  1.000 44.290  1.49 3.192e+04  99.0000 
OBS: 59871.0751 r WFD -6.4443e-03  7.174e-03    0  1.000 44.830  1.60 1.081e+04  99.0000 
OBS: 59873.0013 Y WFD -6.2854e-02  5.421e-02    0  1.000 44.030  1.60 3.911e+04  99.0000 
OBS: 59874.0038 z WFD  3.5210e-02  3.171e-02    0  1.000 44.230  1.64 2.684e+04  99.0000 
OBS: 59884.0036 Y WFD  1.5592e-02  8.800e-02    0  1.000 42.550  1.30 2.000e+04  99.0000 
OBS: 59895.1880 i WFD  4.3369e-02  2.193e-02    0  1.000 44.610  1.97 2.192e+04  99.0000 
OBS: 59905.1759 u WFD  1.3852e-04  2.774e-02    0  1.000 41.100  2.22 9.677e+02  99.0000 
OBS: 59923.1052 i WFD -6.2349e-03  2.760e-02    0  1.000 43.860  1.58 1.725e+04  99.0000 
OBS: 59926.1086 r WFD  4.2310e-03  7.364e-03    0  1.000 44.810  1.58 1.104e+04  99.0000 
OBS: 59928.1046 g WFD  5.1919e-05  5.667e-03    0  1.000 44.770  1.87 6.916e+03  99.0000 
OBS: 59937.0475 z WFD  2.4381e-02  2.518e-02    0  1.000 44.250  1.77 2.012e+04  99.0000 
OBS: 59944.0410 Y WFD -7.2206e-02  9.683e-02    0  1.000 42.590  1.74 1.705e+04  99.0000 
OBS: 60118.3420 u WFD  3.2770e-02  3.397e-02    0  1.000 41.020  2.55 9.582e+02  31.4360 
OBS: 60119.3913 r WFD  7.8371e-02  8.360e-03 4096  1.000 45.580  2.59 1.553e+04  30.1496 
OBS: 60120.4154 g WFD  4.7610e-02  6.191e-03 6144  1.000 44.840  2.16 6.976e+03  30.7599 
OBS: 60121.4234 i WFD  1.6306e-01  1.750e-02 4096  1.000 43.840  1.68 1.010e+04  29.3673 
OBS: 60122.3800 r WFD  7.4192e-02  9.844e-03 4096  1.000 44.820  2.16 1.089e+04  30.1667 
OBS: 60122.4272 Y WFD  5.8913e-01  8.216e-02    0  1.000 42.590  1.99 1.265e+04  28.1874 
OBS: 60125.3166 z WFD  2.9330e-01  3.563e-02 4096  1.000 44.230  2.03 2.436e+04  28.9026 
OBS: 60128.3626 Y WFD  4.6254e-01  5.908e-02 4096  1.000 43.320  1.67 2.124e+04  28.2985 
OBS: 60129.3011 Y WFD  3.3924e-01  1.247e-01    0  1.000 42.520  2.15 1.667e+04  28.3363 
OBS: 60137.3189 i WFD  1.3954e-01  1.214e-02 4096  1.000 45.330  2.17 2.138e+04  29.6534 
OBS: 60138.3578 i WFD  1.3682e-01  1.192e-02 4096  1.000 45.340  2.24 2.052e+04  29.6684 
OBS: 60143.2700 r WFD  6.9233e-02  1.151e-02 4096  1.000 44.770  2.35 1.118e+04  30.3315 
OBS: 60145.2707 u WFD  2.2671e-02  3.142e-02    0  1.000 41.100  2.49 9.771e+02  31.3744 
OBS: 60162.2266 Y WFD  4.0724e-01  7.816e-02 4096  1.000 43.730  2.57 2.663e+04  28.8444 
OBS: 60164.2701 r WFD  6.4465e-02  9.176e-03 4096  1.000 45.620  2.20 2.083e+04  30.4975 
OBS: 60169.1947 r WFD  7.7170e-02  1.149e-02 4096  1.000 44.030  1.67 7.944e+03  30.5374 
OBS: 60175.1914 r WFD  6.1680e-02  7.443e-03    0  1.000 44.810  1.59 1.108e+04  30.5860 
OBS: 60180.2527 i WFD  7.4734e-02  1.494e-02 4096  1.000 44.590  2.04 1.416e+04  30.0710 
OBS: 60182.2122 z WFD  1.1954e-01  4.525e-02    0  1.000 44.260  3.03 2.131e+04  29.6261 
OBS: 60184.1800 Y WFD  2.3019e-01  7.263e-02    0  1.000 43.300  2.07 2.068e+04  28.9307 
OBS: 60187.2350 z WFD  1.9795e-01  3.307e-02    0  1.000 45.050  1.78 5.488e+04  29.6595 
OBS: 60193.1534 i WFD  8.6579e-02  1.679e-02    0  1.000 44.570  2.10 1.518e+04  30.1696 
OBS: 60196.1380 g WFD  2.6980e-02  8.737e-03    0  1.000 44.750  2.85 6.868e+03  31.0406 
OBS: 60198.1531 u WFD  1.8808e-02  3.277e-02    0  1.000 41.160  2.71 9.898e+02  31.6178 
OBS: 60199.1233 i WFD  6.1066e-02  2.350e-02    0  1.000 44.560  2.89 1.529e+04  30.1880 
OBS: 60208.1236 i WFD  5.3762e-02  2.144e-02    0  1.000 44.570  2.65 1.536e+04  30.2107 
OBS: 60217.0984 Y WFD  1.8077e-01  6.893e-02    0  1.000 43.760  1.91 3.249e+04  29.1086 
OBS: 60224.1161 r WFD  3.6794e-02  7.757e-03 4096  1.000 44.830  1.74 1.075e+04  30.9878 
OBS: 60228.0401 u WFD  1.5235e-02  3.563e-02    0  1.000 41.000  2.67 9.424e+02  31.8551 
OBS: 60229.0981 r WFD  4.3981e-02  8.043e-03    0  1.000 44.830  1.81 1.072e+04  31.0328 
OBS: 60239.0027 z WFD  1.7456e-01  4.739e-02    0  1.000 44.240  2.10 3.161e+04  29.5088 
OBS: 60245.0064 Y WFD  1.9861e-01  8.937e-02    0  1.000 43.750  2.04 3.908e+04  29.2518 
OBS: 60268.1393 r WFD  1.3504e-02  1.098e-02    0  1.000 44.890  1.78 1.573e+04  31.3315 
OBS: 60290.0841 u WFD  3.3148e-02  1.748e-02    0  1.000 42.010  2.18 1.436e+03  32.5832 
OBS: 60294.1221 i WFD  2.9704e-02  1.590e-02    0  1.000 44.560  1.94 1.542e+04  30.7244 
OBS: 60304.0697 z WFD  8.1441e-02  2.118e-02 4096  1.000 45.020  1.60 3.804e+04  29.8767 
OBS: 60318.0489 z WFD  5.3963e-02  3.815e-02    0  1.000 43.500  1.79 1.510e+04  30.0026 
OBS: 60331.0440 Y WFD  2.7629e-01  1.026e-01    0  1.000 43.260  2.52 2.314e+04  29.8055 
OBS: 60458.3983 Y WFD  5.7850e-02  7.373e-02    0  1.000 43.250  1.94 2.139e+04  30.6599 
OBS: 60460.4137 i WFD  9.9898e-03  2.242e-02    0  1.000 44.590  2.04 2.125e+04  31.9416 
OBS: 60463.4134 r WFD  1.6369e-03  1.159e-02    0  1.000 44.830  2.24 1.248e+04  32.7341 
OBS: 60463.4337 Y WFD -9.5493e-02  9.843e-02    0  1.000 42.560  1.94 1.513e+04  30.6995 
OBS: 60492.3567 i WFD -2.4269e-02  2.064e-02    0  1.000 44.570  2.58 1.519e+04  32.2231 
OBS: 60493.4460 Y WFD  3.7638e-02  1.065e-01    0  1.000 42.620  1.52 2.208e+04  30.9359 
OBS: 60494.3112 r WFD  3.8909e-03  6.882e-03    0  1.000 45.540  1.99 1.604e+04  33.0039 
OBS: 60496.3285 r WFD  2.0717e-02  7.548e-03    0  1.000 44.810  1.62 1.103e+04  33.0215 
OBS: 60497.3785 i WFD  1.5848e-02  1.307e-02    0  1.000 44.590  1.77 1.428e+04  32.2674 
OBS: 60498.2929 i WFD  2.6427e-02  2.204e-02    0  1.000 44.540  2.60 1.566e+04  32.2755 
OBS: 60499.3092 u WFD -4.0585e-02  3.150e-02    0  1.000 41.090  2.49 9.708e+02  34.6852 
OBS: 60501.2870 u WFD  4.4130e-02  3.052e-02    0  1.000 41.030  2.32 9.550e+02  34.7047 
OBS: 60502.3052 r WFD  1.3822e-02  1.024e-02    0  1.000 44.810  2.19 1.107e+04  33.0737 
OBS: 60503.2882 i WFD  1.8028e-02  1.760e-02    0  1.000 44.540  2.08 1.563e+04  32.3195 
OBS: 60507.3153 z WFD -1.5028e-02  6.318e-02    0  1.000 43.490  3.15 1.408e+04  31.6607 
OBS: 60508.2564 Y WFD  3.1049e-01  1.309e-01    0  1.000 42.490  2.48 1.475e+04  31.0526 
OBS: 60512.3851 z WFD  9.9955e-03  2.250e-02    0  1.000 45.040  1.63 4.040e+04  31.7076 
OBS: 60518.2550 i WFD -3.1753e-02  2.430e-02    0  1.000 44.590  2.11 2.227e+04  32.4514 
OBS: 60529.2426 g WFD  5.4572e-03  5.607e-03    0  1.000 44.780  1.91 6.761e+03  34.1616 
OBS: 60535.2384 r WFD  1.7856e-02  1.164e-02    0  1.000 44.830  2.31 1.215e+04  33.3613 
OBS: 60541.2587 Y WFD -1.8083e-03  1.029e-01    0  1.000 42.590  1.89 1.668e+04  31.3125 
OBS: 60546.1737 Y WFD  3.6559e-02  5.824e-02    0  1.000 43.730  2.01 2.538e+04  31.3512 
OBS: 60548.1926 g WFD  8.1320e-03  6.387e-03    0  1.000 44.770  2.14 6.812e+03  34.3492 
OBS: 60553.1854 r WFD  1.2115e-02  8.816e-03    0  1.000 44.800  1.89 1.094e+04  33.5180 
OBS: 60554.1562 u WFD  5.8746e-03  2.151e-02    0  1.000 41.850  2.40 1.385e+03  35.2258 
OBS: 60556.1843 i WFD  2.6634e-02  1.449e-02    0  1.000 44.580  1.89 1.469e+04  32.7856 
OBS: 60556.4085 z WFD  1.2647e-02  4.587e-02    0  1.000 43.480  2.04 1.564e+04  32.1150 
OBS: 60558.1337 u WFD  3.3756e-02  3.282e-02    0  1.000 41.020  2.48 9.518e+02  35.2650 
OBS: 60560.1435 g WFD -3.0771e-03  8.235e-03    0  1.000 44.770  2.70 6.960e+03  34.4675 
OBS: 60567.1300 Y WFD  2.7138e-02  4.830e-02    0  1.000 43.290  1.38 2.044e+04  31.5163 
OBS: 60568.1364 Y WFD  8.0217e-03  7.626e-02    0  1.000 42.540  1.49 1.498e+04  31.5242 
OBS: 60569.1201 z WFD  2.0967e-02  3.881e-02    0  1.000 45.010  2.42 4.565e+04  32.2326 
OBS: 60570.1229 Y WFD -3.4774e-02  1.052e-01    0  1.000 42.550  1.65 1.884e+04  31.5399 
OBS: 60572.1971 z WFD  5.8261e-02  3.038e-02    0  1.000 45.050  1.77 5.071e+04  32.2611 
