SURVEY:   LSST
SNID:     1155333
IAUC:     NULL
SNTYPE:   121
RA:       64.451952  # deg
DEC:      -13.871500  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0397 +- 0.0020  # MW E(B-V) 
PEAKMJD:  59820.988     # estimate for LC fit codes
MJD_TRIGGER:       59802.426  
MJD_DETECT_FIRST:  59797.434  
MJD_DETECT_LAST:   59979.055  

REDSHIFT_HELIO:   1.286201 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.285649 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5941484367  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2862  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          64.452116    # deg 
HOSTGAL_DEC:         -13.871503    # deg 
HOSTGAL_SNSEP:       0.245       # arcsec 
HOSTGAL_DDLR:        2.304       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.884 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.466
HOSTGAL_SQRADIUS:     7.332   # Ixx + Iyy
HOSTGAL_MAG:     26.98  26.71  26.06  25.06  24.43  23.71 # ugrizY
HOSTGAL_MAGERR:   0.97   0.14   0.08   0.05   0.05   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  754   # template index for SIMSED,NONIa
SIM_LIBID:           2332    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.28620  
SIM_REDSHIFT_CMB:    1.28564  
SIM_REDSHIFT_HOST:   1.29197  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5941484367 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.635 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.884 -9.000 
SIM_DLMU:            44.7758   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0426   # mag 
SIM_RA:              64.451950     # deg  
SIM_DEC:             -13.871500      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0379   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59820.988    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -104.08  # days 
SIM_TRESTMAX:        371.92  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.69  30.52  28.74  27.39  26.81  26.52  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 152 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0900 u WFD  1.5191e-02  1.765e-02    0  1.000 41.980  2.22 1.385e+03  99.0000 
OBS: 59588.1253 Y WFD  1.0208e-01  8.547e-02    0  1.000 42.570  1.97 1.305e+04  99.0000 
OBS: 59589.2059 i WFD  2.6147e-03  2.426e-02    0  1.000 43.780  2.01 1.107e+04  99.0000 
OBS: 59590.0479 Y WFD  8.3302e-02  6.779e-02    0  1.000 42.580  1.47 1.400e+04  99.0000 
OBS: 59591.1283 z WFD  6.8163e-03  2.948e-02    0  1.000 44.270  1.72 2.468e+04  99.0000 
OBS: 59594.0466 Y WFD  9.2825e-02  8.413e-02    0  1.000 42.580  1.65 1.548e+04  99.0000 
OBS: 59598.0455 z WFD  4.6191e-02  4.297e-02    0  1.000 44.270  2.47 2.505e+04  99.0000 
OBS: 59617.0354 Y WFD  9.4667e-02  1.146e-01    0  1.000 42.570  2.52 1.369e+04  99.0000 
OBS: 59623.1144 z WFD  4.7023e-02  6.745e-02    0  1.000 43.480  2.34 2.005e+04  99.0000 
OBS: 59628.0292 z WFD  2.0171e-02  3.017e-02    0  1.000 44.280  1.60 2.740e+04  99.0000 
OBS: 59653.0119 Y WFD -5.2644e-03  9.505e-02    0  1.000 43.290  2.64 2.103e+04  99.0000 
OBS: 59659.0037 Y WFD  5.6355e-02  1.150e-01    0  1.000 42.510  2.24 1.462e+04  99.0000 
OBS: 59660.9940 z WFD  1.8342e-02  6.373e-02    0  1.000 43.490  2.26 1.980e+04  99.0000 
OBS: 59666.9922 z WFD  3.3048e-02  4.229e-02    0  1.000 44.220  2.38 2.444e+04  99.0000 
OBS: 59797.4323 Y WFD  7.9947e-01  1.173e-01 4096  1.000 43.330  2.39 2.973e+04  27.7867 
OBS: 59802.4270 Y WFD  1.4334e+00  8.431e-02 6144  1.000 42.580  1.65 1.551e+04  27.2307 
OBS: 59803.3752 Y WFD  1.3989e+00  1.035e-01 4096  1.000 42.540  1.96 1.545e+04  27.1451 
OBS: 59805.4046 Y WFD  1.6257e+00  6.481e-02 4096  1.000 42.560  1.34 1.442e+04  26.9803 
OBS: 59819.3284 u WFD  7.4091e-02  3.264e-02    0  1.000 41.010  2.46 9.455e+02  30.5849 
OBS: 59823.3488 g WFD  5.9009e-02  7.390e-03 4096  1.000 44.800  2.55 6.799e+03  30.5533 
OBS: 59824.3351 i WFD  1.0045e+00  1.231e-02 4096  1.000 44.570  1.57 1.488e+04  27.5056 
OBS: 59832.2955 Y WFD  1.8962e+00  1.206e-01 4096  1.000 42.540  2.21 1.597e+04  26.7889 
OBS: 59835.2924 Y WFD  1.6374e+00  8.753e-02 4096  1.000 42.540  1.62 1.581e+04  26.9281 
OBS: 59836.3076 z WFD  1.0321e+00  2.672e-02 4096  1.000 45.010  1.90 4.004e+04  27.4456 
OBS: 59840.3180 r WFD  1.5744e-01  9.686e-03 4096  1.000 44.880  1.62 1.510e+04  29.4275 
OBS: 59841.3427 i WFD  3.9390e-01  1.670e-02 4096  1.000 44.590  2.14 1.508e+04  28.4743 
OBS: 59843.2657 i WFD  3.3373e-01  1.657e-02 4096  1.000 44.560  2.03 1.535e+04  28.6490 
OBS: 59849.2447 r WFD  1.4967e-01  1.431e-02 4096  1.000 44.780  3.01 1.095e+04  29.7708 
OBS: 59850.2279 i WFD  2.1380e-01  2.140e-02 4096  1.000 44.540  2.54 1.556e+04  29.0554 
OBS: 59860.2099 Y WFD  6.8916e-01  8.911e-02 4096  1.000 42.520  1.62 1.581e+04  27.9359 
OBS: 59861.2041 Y WFD  5.8939e-01  1.150e-01 4096  1.000 42.520  1.93 1.712e+04  27.9498 
OBS: 59864.3561 z WFD  2.6812e-01  3.742e-02 4096  1.000 44.280  1.78 3.056e+04  28.9417 
OBS: 59867.3263 i WFD  1.9883e-01  1.996e-02 4096  1.000 44.620  1.77 2.241e+04  29.4988 
OBS: 59869.3561 r WFD  9.5477e-02  1.415e-02    0  1.000 44.140  1.59 1.137e+04  30.2043 
