SURVEY:   LSST
SNID:     1155918
IAUC:     NULL
SNTYPE:   121
RA:       93.402911  # deg
DEC:      -2.075904  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3018 +- 0.0151  # MW E(B-V) 
PEAKMJD:  59859.949     # estimate for LC fit codes
MJD_TRIGGER:       59854.363  
MJD_DETECT_FIRST:  59835.371  
MJD_DETECT_LAST:   60204.398  

REDSHIFT_HELIO:   0.778342 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.778932 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9626744637  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7783  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          93.402855    # deg 
HOSTGAL_DEC:         -2.075851    # deg 
HOSTGAL_SNSEP:       0.124       # arcsec 
HOSTGAL_DDLR:        0.575       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.301 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.180
HOSTGAL_SQRADIUS:     8.807   # Ixx + Iyy
HOSTGAL_MAG:     28.13  27.56  26.50  25.34  24.89  24.59 # ugrizY
HOSTGAL_MAGERR:  26.62   0.14   0.07   0.04   0.06   0.11 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  754   # template index for SIMSED,NONIa
SIM_LIBID:           2917    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.77834  
SIM_REDSHIFT_CMB:    0.77894  
SIM_REDSHIFT_HOST:   0.81583  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9626744637 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.248 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.301 -9.000 
SIM_DLMU:            43.4306   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0108   # mag 
SIM_RA:              93.402908     # deg  
SIM_DEC:             -2.075904      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3217   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59859.949    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -155.12  # days 
SIM_TRESTMAX:        456.69  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.86  28.69  26.86  25.96  25.48  25.10  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0867 u WFD -2.3897e-02  4.047e-02    0  1.000 41.070  3.13 9.740e+02  99.0000 
OBS: 59588.0682 Y WFD -3.7798e-02  1.336e-01    0  1.000 42.530  2.78 1.394e+04  99.0000 
OBS: 59592.1601 z WFD  3.0146e-02  3.375e-02    0  1.000 44.270  1.87 2.599e+04  99.0000 
OBS: 59597.1188 Y WFD  7.8841e-02  8.150e-02    0  1.000 43.330  1.95 2.532e+04  99.0000 
OBS: 59598.1119 z WFD  5.8470e-02  5.935e-02    0  1.000 44.280  2.68 3.219e+04  99.0000 
OBS: 59605.0363 Y WFD -1.6166e-01  1.212e-01    0  1.000 42.540  2.11 1.682e+04  99.0000 
OBS: 59608.0387 z WFD -4.7526e-02  3.765e-02    0  1.000 44.250  2.00 2.661e+04  99.0000 
OBS: 59633.0995 g WFD -1.7377e-03  8.239e-03    0  1.000 44.760  2.71 6.875e+03  99.0000 
OBS: 59655.0823 Y WFD -1.5952e-01  1.174e-01    0  1.000 42.500  2.03 1.631e+04  99.0000 
OBS: 59662.0014 Y WFD -6.7898e-03  9.263e-02    0  1.000 42.550  2.00 1.368e+04  99.0000 
OBS: 59682.0021 Y WFD -1.2738e-02  7.730e-02    0  1.000 42.520  1.49 1.491e+04  99.0000 
OBS: 59682.9987 Y WFD -4.0286e-02  7.320e-02    0  1.000 42.520  1.38 1.524e+04  99.0000 
OBS: 59684.0089 Y WFD  1.1145e-01  8.536e-02    0  1.000 42.520  1.57 1.562e+04  99.0000 
OBS: 59684.9971 Y WFD -8.1724e-03  8.052e-02    0  1.000 42.500  1.44 1.577e+04  99.0000 
OBS: 59690.9757 z WFD  2.3790e-02  4.198e-02    0  1.000 44.230  2.09 2.788e+04  99.0000 
OBS: 59691.9662 z WFD  1.5957e-01  8.748e-02    0  1.000 43.500  2.38 2.604e+04  99.0000 
OBS: 59692.9851 Y WFD -2.1025e-01  1.387e-01    0  1.000 42.490  2.69 1.441e+04  99.0000 
OBS: 59835.3716 Y WFD  5.7515e-01  9.636e-02 4096  1.000 42.500  1.76 1.544e+04  28.2523 
OBS: 59854.3614 r WFD  2.0178e+00  8.395e-03 6144  1.000 44.810  1.75 1.134e+04  26.7304 
OBS: 59858.3862 z WFD  5.9906e+00  4.707e-02 4096  1.000 43.510  1.79 1.880e+04  25.5474 
OBS: 59860.3262 Y WFD  9.0522e+00  6.465e-02 4096  1.000 43.290  1.76 2.144e+04  25.1019 
OBS: 59860.3607 i WFD  4.0709e+00  3.275e-02 4096  1.000 43.860  1.80 1.795e+04  25.9666 
OBS: 59861.3001 Y WFD  9.0435e+00  8.516e-02 4096  1.000 42.500  1.49 1.611e+04  25.0998 
OBS: 59866.3660 z WFD  5.9196e+00  3.327e-02 4096  1.000 44.270  1.76 2.721e+04  25.5675 
OBS: 59869.3678 z WFD  5.3484e+00  2.788e-02 4096  1.000 44.260  1.75 2.272e+04  25.6750 
OBS: 59870.3736 z WFD  5.1128e+00  4.258e-02 4096  1.000 43.520  1.77 1.735e+04  25.7199 
OBS: 59874.3053 u WFD  4.4079e-02  2.523e-02    0  1.000 41.120  2.03 9.803e+02  31.0482 
OBS: 59876.2971 g WFD  1.6889e-01  5.472e-03 4096  1.000 44.770  1.80 6.935e+03  29.4747 
OBS: 59880.3267 r WFD  4.2849e-01  6.239e-03 4096  1.000 44.830  1.38 1.090e+04  28.4239 
OBS: 59881.2607 r WFD  3.9322e-01  5.079e-03 4096  1.000 45.550  1.49 1.595e+04  28.5034 
OBS: 59884.3619 z WFD  2.3107e+00  2.621e-02 4096  1.000 44.270  1.35 2.795e+04  26.6222 
OBS: 59903.2319 r WFD  2.4297e-01  5.936e-03 4096  1.000 45.550  1.78 1.561e+04  29.0373 
OBS: 59904.2681 u WFD -8.6744e-03  3.492e-02    0  1.000 41.140  2.89 9.708e+02  31.1833 
OBS: 59905.2009 u WFD -5.8651e-03  2.748e-02    0  1.000 41.120  2.19 9.898e+02  31.1815 
