SURVEY:   LSST
SNID:     1157842
IAUC:     NULL
SNTYPE:   121
RA:       348.261032  # deg
DEC:      -46.985074  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0085 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60229.645     # estimate for LC fit codes
MJD_TRIGGER:       60204.039  
MJD_DETECT_FIRST:  60201.141  
MJD_DETECT_LAST:   60242.008  

REDSHIFT_HELIO:   1.433949 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.432183 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9817303762  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4339  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          348.261006    # deg 
HOSTGAL_DEC:         -46.984884    # deg 
HOSTGAL_SNSEP:       0.344       # arcsec 
HOSTGAL_DDLR:        1.614       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.083 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.514
HOSTGAL_SQRADIUS:     6.621   # Ixx + Iyy
HOSTGAL_MAG:     26.81  26.62  26.19  25.22  24.66  23.94 # ugrizY
HOSTGAL_MAGERR:   2.24   0.22   0.10   0.06   0.07   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           4841    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.43395  
SIM_REDSHIFT_CMB:    1.43219  
SIM_REDSHIFT_HOST:   1.43953  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9817303762 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.576 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.083 -9.000 
SIM_DLMU:            45.0666   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1076   # mag 
SIM_RA:              348.261047     # deg  
SIM_DEC:             -46.985073      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0083   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60229.645    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -197.50  # days 
SIM_TRESTMAX:        181.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.86  30.86  29.53  28.07  27.09  26.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.2842 z WFD -2.8101e-02  3.557e-02    0  1.000 44.250  1.89 2.661e+04  99.0000 
OBS: 59753.3433 g WFD -7.8825e-04  5.103e-03    0  1.000 44.860  1.61 7.858e+03  99.0000 
OBS: 59761.4132 g WFD  1.3999e-02  1.235e-02    0  1.000 44.040  3.17 4.538e+03  99.0000 
OBS: 59770.2669 Y WFD  6.7241e-02  8.445e-02    0  1.000 42.550  1.81 1.378e+04  99.0000 
OBS: 59771.2501 z WFD -3.8324e-03  3.771e-02    0  1.000 44.250  2.16 2.468e+04  99.0000 
OBS: 59773.2192 Y WFD -8.3070e-02  5.702e-02    0  1.000 43.730  1.68 2.972e+04  99.0000 
OBS: 59775.3616 z WFD  3.4091e-02  5.145e-02    0  1.000 44.290  2.30 3.281e+04  99.0000 
OBS: 59776.3644 z WFD  4.4022e-02  5.109e-02    0  1.000 44.730  3.08 3.649e+04  99.0000 
OBS: 59777.3634 Y WFD  6.9504e-02  1.055e-01    0  1.000 42.580  2.19 1.463e+04  99.0000 
OBS: 59778.4193 i WFD  2.0468e-02  5.253e-02    0  1.000 43.870  3.18 1.646e+04  99.0000 
OBS: 59779.4445 Y WFD -1.1323e-01  1.953e-01    0  1.000 42.580  2.40 2.472e+04  99.0000 
OBS: 59782.4264 Y WFD  5.9580e-02  1.079e-01    0  1.000 42.550  2.42 1.317e+04  99.0000 
OBS: 59784.3951 r WFD  5.5778e-04  7.727e-03    0  1.000 44.830  1.74 1.071e+04  99.0000 
OBS: 59793.2634 i WFD -6.7860e-04  1.824e-02    0  1.000 44.580  2.47 1.414e+04  99.0000 
OBS: 59796.2357 r WFD  1.4988e-03  1.010e-02    0  1.000 44.830  2.30 1.059e+04  99.0000 
OBS: 59800.1293 Y WFD -6.6368e-02  6.282e-02    0  1.000 43.270  1.65 2.183e+04  99.0000 
OBS: 59802.2091 Y WFD -4.7600e-02  8.958e-02    0  1.000 42.590  1.57 1.749e+04  99.0000 
OBS: 59803.1308 Y WFD  2.7766e-02  8.684e-02    0  1.000 43.730  2.17 3.505e+04  99.0000 
OBS: 59804.2568 z WFD  2.5048e-03  2.661e-02    0  1.000 45.040  1.53 5.090e+04  99.0000 
OBS: 59809.1075 r WFD  9.4899e-03  7.264e-03    0  1.000 44.780  1.49 1.123e+04  99.0000 
OBS: 59810.2462 g WFD  5.1508e-03  4.945e-03    0  1.000 44.940  1.42 9.294e+03  99.0000 
OBS: 59813.1698 i WFD -1.7333e-02  1.322e-02    0  1.000 44.580  1.75 1.447e+04  99.0000 
OBS: 59819.1416 u WFD -2.2680e-02  2.051e-02    0  1.000 41.290  1.83 1.034e+03  99.0000 
OBS: 59821.0831 r WFD  1.7980e-03  1.030e-02    0  1.000 44.780  2.13 1.114e+04  99.0000 
OBS: 59822.1237 u WFD -4.0089e-02  3.683e-02    0  1.000 41.130  3.03 9.677e+02  99.0000 
OBS: 59824.0936 i WFD -3.1375e-02  1.583e-02    0  1.000 44.570  1.94 1.549e+04  99.0000 
OBS: 59831.0500 Y WFD  7.1331e-02  6.779e-02    0  1.000 44.030  2.05 3.818e+04  99.0000 
OBS: 59832.1193 Y WFD  7.5025e-02  5.885e-02    0  1.000 43.780  1.69 3.193e+04  99.0000 
OBS: 59841.0496 g WFD -7.6001e-03  5.867e-03    0  1.000 44.760  1.99 6.666e+03  99.0000 
OBS: 59843.0472 i WFD  2.1105e-02  1.442e-02    0  1.000 44.570  1.83 1.496e+04  99.0000 
OBS: 59844.0816 r WFD -8.2397e-04  9.218e-03    0  1.000 44.830  2.09 1.064e+04  99.0000 
OBS: 59853.0663 r WFD  1.7739e-03  8.607e-03    0  1.000 44.850  1.86 1.137e+04  99.0000 
OBS: 59857.0285 z WFD  3.1703e-03  4.057e-02    0  1.000 43.510  1.67 1.737e+04  99.0000 
OBS: 59858.0362 z WFD  1.3764e-02  1.607e-02    0  1.000 45.770  1.52 6.062e+04  99.0000 
OBS: 59860.0426 Y WFD -2.4151e-02  9.426e-02    0  1.000 42.590  1.74 1.660e+04  99.0000 
OBS: 59864.1670 i WFD  3.8915e-02  2.900e-02    0  1.000 43.880  1.66 1.756e+04  99.0000 
OBS: 59874.1124 u WFD  1.0939e-02  1.625e-02    0  1.000 41.300  1.50 1.009e+03  99.0000 
OBS: 59880.1751 r WFD -1.1687e-02  7.372e-03    0  1.000 44.800  1.59 1.088e+04  99.0000 
OBS: 59883.0729 i WFD  3.6444e-03  9.298e-03    0  1.000 44.600  1.19 1.525e+04  99.0000 
OBS: 59908.0886 u WFD -1.6470e-02  3.917e-02    0  1.000 41.140  3.20 9.835e+02  99.0000 
OBS: 59928.0839 g WFD -6.1376e-03  1.111e-02    0  1.000 43.940  2.35 5.025e+03  99.0000 
OBS: 59929.0786 r WFD -3.2585e-03  1.354e-02    0  1.000 44.010  1.86 8.254e+03  99.0000 
OBS: 59932.0688 g WFD  3.7779e-03  7.357e-03    0  1.000 43.980  1.61 5.038e+03  99.0000 
OBS: 59941.0646 i WFD -6.8217e-03  2.672e-02    0  1.000 43.790  2.02 1.224e+04  99.0000 
OBS: 60068.3750 Y WFD -1.2880e-01  1.275e-01    0  1.000 42.500  2.33 1.543e+04  99.0000 
OBS: 60069.4203 z WFD -1.2083e-01  5.927e-02    0  1.000 43.500  2.15 1.953e+04  99.0000 
OBS: 60077.4229 Y WFD -7.8374e-03  4.890e-02    0  1.000 43.310  1.43 2.034e+04  99.0000 
OBS: 60078.3859 r WFD  1.1581e-04  6.387e-03    0  1.000 45.570  1.63 1.869e+04  99.0000 
OBS: 60080.4157 u WFD  1.2840e-02  2.035e-02    0  1.000 41.270  1.69 1.091e+03  99.0000 
OBS: 60082.3591 r WFD -1.1377e-02  1.034e-02    0  1.000 44.780  2.14 1.113e+04  99.0000 
OBS: 60085.3582 r WFD  6.3486e-03  9.652e-03    0  1.000 44.780  1.99 1.117e+04  99.0000 
OBS: 60095.3006 Y WFD  6.7363e-03  1.237e-01    0  1.000 42.490  2.37 1.459e+04  99.0000 
OBS: 60095.3239 i WFD -8.4817e-03  1.877e-02    0  1.000 44.570  2.03 1.755e+04  99.0000 
OBS: 60102.3037 Y WFD  1.0440e-01  6.554e-02    0  1.000 43.270  1.63 2.305e+04  99.0000 
OBS: 60103.3716 z WFD  2.3522e-02  1.688e-02    0  1.000 45.460  1.62 4.491e+04  99.0000 
OBS: 60118.3214 u WFD -2.8184e-02  3.765e-02    0  1.000 41.120  3.13 9.487e+02  99.0000 
OBS: 60121.2620 i WFD  5.8893e-03  1.721e-02    0  1.000 44.560  2.11 1.534e+04  99.0000 
OBS: 60122.2558 r WFD -9.3658e-03  9.904e-03    0  1.000 44.780  2.07 1.102e+04  99.0000 
OBS: 60123.2932 i WFD -6.5759e-04  1.209e-02    0  1.000 44.570  1.56 1.471e+04  99.0000 
OBS: 60126.2884 z WFD  3.9418e-02  2.123e-02    0  1.000 45.020  1.73 3.526e+04  99.0000 
OBS: 60128.2326 Y WFD  1.1928e-01  4.951e-02    0  1.000 44.040  1.67 3.454e+04  99.0000 
OBS: 60130.3172 z WFD -2.6863e-02  3.717e-02    0  1.000 44.280  1.69 3.197e+04  99.0000 
OBS: 60140.2227 u WFD  1.2448e-03  2.546e-02    0  1.000 41.110  2.05 9.708e+02  99.0000 
OBS: 60141.2143 g WFD  1.0611e-02  5.546e-03    0  1.000 45.490  2.62 9.376e+03  99.0000 
OBS: 60143.1760 r WFD -2.3534e-02  1.179e-02    0  1.000 44.760  2.39 1.116e+04  99.0000 
OBS: 60145.2067 u WFD  4.4604e-02  2.530e-02    0  1.000 41.110  2.05 9.645e+02  99.0000 
OBS: 60158.2385 Y WFD -4.3347e-02  4.051e-02    0  1.000 44.540  1.72 4.350e+04  99.0000 
OBS: 60159.2485 Y WFD -2.9896e-02  1.018e-01    0  1.000 42.590  1.81 1.724e+04  99.0000 
OBS: 60163.1322 g WFD  6.3324e-03  9.030e-03    0  1.000 44.690  2.85 6.717e+03  99.0000 
OBS: 60163.3265 i WFD  2.0108e-03  1.715e-02    0  1.000 44.600  1.88 1.781e+04  99.0000 
OBS: 60169.1232 r WFD  4.8915e-04  9.111e-03    0  1.000 44.760  1.85 1.114e+04  99.0000 
OBS: 60175.1129 r WFD -1.1227e-02  9.133e-03    0  1.000 44.800  1.93 1.110e+04  99.0000 
OBS: 60176.1047 u WFD  3.5251e-03  3.304e-02    0  1.000 41.010  2.49 9.455e+02  99.0000 
OBS: 60184.1276 Y WFD  1.8714e-01  9.542e-02    0  1.000 43.310  2.65 2.142e+04  99.0000 
OBS: 60196.1231 g WFD -3.7732e-04  7.937e-03    0  1.000 44.810  2.81 6.688e+03  33.9906 
OBS: 60199.0825 u WFD -4.1542e-02  3.851e-02    0  1.000 41.120  3.16 9.613e+02  34.1040 
OBS: 60201.1393 i WFD  1.6842e-01  1.509e-02 4096  1.000 44.580  2.04 1.417e+04  29.5558 
OBS: 60204.0382 i WFD  2.3083e-01  1.403e-02 6144  1.000 44.560  1.72 1.534e+04  29.0709 
OBS: 60207.1102 i WFD  3.5044e-01  1.959e-02 4096  1.000 44.580  2.62 1.433e+04  28.6827 
OBS: 60222.9982 z WFD  1.4987e+00  3.284e-02 4096  1.000 44.240  2.05 2.244e+04  27.0391 
OBS: 60224.1586 r WFD  1.6047e-01  7.114e-03 4096  1.000 44.830  1.66 1.033e+04  29.4685 
OBS: 60229.0722 r WFD  1.6776e-01  9.857e-03 4096  1.000 44.820  2.28 1.033e+04  29.5249 
OBS: 60241.0106 z WFD  8.5343e-01  3.095e-02 4096  1.000 44.270  1.70 2.622e+04  27.6746 
OBS: 60242.0081 Y WFD  1.8384e+00  9.813e-02 4096  1.000 42.580  1.93 1.544e+04  26.9010 
OBS: 60279.0339 z WFD  9.4983e-02  2.557e-02    0  1.000 45.020  2.01 3.656e+04  30.0112 
