SURVEY:   LSST
SNID:     1172258
IAUC:     NULL
SNTYPE:   121
RA:       110.219276  # deg
DEC:      -2.495201  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1481 +- 0.0074  # MW E(B-V) 
PEAKMJD:  60588.164     # estimate for LC fit codes
MJD_TRIGGER:       60585.379  
MJD_DETECT_FIRST:  60580.391  
MJD_DETECT_LAST:   60659.184  

REDSHIFT_HELIO:   1.413891 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.415485 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9004435302  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4139  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          110.219294    # deg 
HOSTGAL_DEC:         -2.495207    # deg 
HOSTGAL_SNSEP:       0.030       # arcsec 
HOSTGAL_DDLR:        0.066       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.605 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.520
HOSTGAL_SQRADIUS:     8.839   # Ixx + Iyy
HOSTGAL_MAG:     29.11  28.16  27.18  26.01  25.31  24.53 # ugrizY
HOSTGAL_MAGERR:  26.62   2.44   0.18   0.09   0.08   0.14 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  718   # template index for SIMSED,NONIa
SIM_LIBID:           19259    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.41389  
SIM_REDSHIFT_CMB:    1.41549  
SIM_REDSHIFT_HOST:   1.40935  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9004435302 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.228 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.605 -9.000 
SIM_DLMU:            45.0321   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0194   # mag 
SIM_RA:              110.219276     # deg  
SIM_DEC:             -2.495201      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1604   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60588.164    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -415.61  # days 
SIM_TRESTMAX:        35.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.89  31.79  30.21  28.47  27.66  26.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2652 u WFD -1.9323e-02  2.771e-02    0  1.000 41.190  2.29 1.018e+03  99.0000 
OBS: 59588.1316 Y WFD  7.0413e-03  8.703e-02    0  1.000 42.530  1.86 1.357e+04  99.0000 
OBS: 59589.2318 i WFD -1.4535e-02  1.298e-02    0  1.000 44.580  1.68 1.480e+04  99.0000 
OBS: 59593.0941 z WFD  4.4318e-03  2.769e-02    0  1.000 45.000  1.92 4.068e+04  99.0000 
OBS: 59594.1009 Y WFD -3.1822e-02  7.945e-02    0  1.000 43.290  1.96 2.367e+04  99.0000 
OBS: 59600.2743 z WFD -3.3469e-02  5.626e-02    0  1.000 43.490  1.95 2.026e+04  99.0000 
OBS: 59605.0470 Y WFD -6.4313e-02  6.899e-02    0  1.000 43.680  2.32 2.487e+04  99.0000 
OBS: 59613.0372 z WFD  2.8547e-02  3.061e-02    0  1.000 44.240  1.65 2.598e+04  99.0000 
OBS: 59625.0477 Y WFD  6.8384e-02  1.025e-01    0  1.000 42.570  1.74 1.773e+04  99.0000 
OBS: 59642.0138 z WFD  2.0652e-02  4.706e-02    0  1.000 44.250  2.62 2.539e+04  99.0000 
OBS: 59660.0065 Y WFD  4.7093e-02  7.942e-02    0  1.000 42.570  1.82 1.313e+04  99.0000 
OBS: 59673.9893 z WFD -4.7625e-02  3.568e-02    0  1.000 44.700  2.62 2.914e+04  99.0000 
OBS: 59683.0106 Y WFD -1.1383e-03  6.448e-02    0  1.000 42.560  1.29 1.490e+04  99.0000 
OBS: 59684.9990 Y WFD -6.4610e-02  6.537e-02    0  1.000 42.560  1.29 1.511e+04  99.0000 
OBS: 59692.9811 Y WFD  1.7573e-01  1.209e-01    0  1.000 42.530  2.59 1.353e+04  99.0000 
OBS: 59713.9601 Y WFD -1.2909e-01  1.339e-01    0  1.000 42.530  2.15 1.806e+04  99.0000 
OBS: 59717.9591 Y WFD -2.7693e-01  1.739e-01    0  1.000 42.520  2.93 1.705e+04  99.0000 
OBS: 59851.3812 u WFD -4.0278e-02  3.979e-02    0  1.000 41.120  2.79 1.126e+03  99.0000 
OBS: 59860.3492 Y WFD  7.4971e-02  1.007e-01    0  1.000 42.500  1.84 1.544e+04  99.0000 
OBS: 59861.3550 Y WFD  3.7755e-04  5.987e-02    0  1.000 43.280  1.57 2.206e+04  99.0000 
OBS: 59867.3691 z WFD  1.4033e-01  5.685e-02    0  1.000 43.510  2.20 1.848e+04  99.0000 
OBS: 59873.3670 z WFD -1.9638e-02  3.437e-02    0  1.000 43.500  1.60 1.522e+04  99.0000 
OBS: 59874.3303 u WFD  7.3530e-03  3.087e-02    0  1.000 41.110  2.43 9.930e+02  99.0000 
OBS: 59876.3518 g WFD  2.2944e-03  8.681e-03    0  1.000 44.050  2.02 5.053e+03  99.0000 
OBS: 59879.3184 g WFD  7.7979e-03  5.402e-03    0  1.000 44.780  1.77 7.030e+03  99.0000 
OBS: 59899.2689 i WFD  1.1488e-02  2.863e-02    0  1.000 44.580  2.95 1.859e+04  99.0000 
OBS: 59900.2849 r WFD  5.6828e-03  1.178e-02    0  1.000 44.840  2.14 1.340e+04  99.0000 
OBS: 59904.2452 u WFD  1.3927e-02  2.310e-02    0  1.000 41.810  2.53 1.360e+03  99.0000 
OBS: 59904.3095 r WFD -1.0456e-03  1.181e-02    0  1.000 44.820  2.60 1.086e+04  99.0000 
OBS: 59907.2427 r WFD -4.8004e-03  7.252e-03    0  1.000 45.540  2.13 1.579e+04  99.0000 
OBS: 59911.2551 r WFD  3.1645e-03  8.655e-03    0  1.000 44.820  1.89 1.094e+04  99.0000 
OBS: 59912.2817 i WFD -3.8572e-03  1.319e-02    0  1.000 44.580  1.73 1.461e+04  99.0000 
OBS: 59917.2550 z WFD  5.6115e-03  2.584e-02    0  1.000 44.250  1.60 2.283e+04  99.0000 
OBS: 59921.2842 z WFD  3.4004e-02  3.783e-02    0  1.000 44.280  1.64 3.353e+04  99.0000 
