SURVEY:   LSST
SNID:     1206972
IAUC:     NULL
SNTYPE:   126
RA:       15.871775  # deg
DEC:      2.355919  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0194 +- 0.0010  # MW E(B-V) 
PEAKMJD:  59682.078     # estimate for LC fit codes
MJD_TRIGGER:       59782.406  
MJD_DETECT_FIRST:  59782.305  
MJD_DETECT_LAST:   59885.043  

REDSHIFT_HELIO:   0.958600 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.956473 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9814643192  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9586  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          15.871722    # deg 
HOSTGAL_DEC:         2.355908    # deg 
HOSTGAL_SNSEP:       0.076       # arcsec 
HOSTGAL_DDLR:        0.684       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.975 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.225
HOSTGAL_SQRADIUS:     9.261   # Ixx + Iyy
HOSTGAL_MAG:     26.27  25.79  24.57  23.63  22.86  22.53 # ugrizY
HOSTGAL_MAGERR:   0.68   0.08   0.02   0.02   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           2971    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.95860  
SIM_REDSHIFT_CMB:    0.95648  
SIM_REDSHIFT_HOST:   0.99147  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9814643192 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.724 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.975 -9.000 
SIM_DLMU:            43.9832   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0075   # mag 
SIM_RA:              15.871775     # deg  
SIM_DEC:             2.355919      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0191   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59682.078    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        51.17  # days 
SIM_TRESTMAX:        498.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.08  29.60  27.39  25.95  25.46  25.29  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 72 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3066 Y WFD  1.1524e+00  1.022e-01 4096  1.000 43.240  2.80 2.035e+04  27.2851 
OBS: 59782.4075 i WFD  4.3764e-01  2.260e-02 6144  1.000 44.580  2.60 1.666e+04  28.4597 
OBS: 59783.3838 r WFD  7.3439e-02  6.090e-03 4096  1.000 46.350  2.37 2.513e+04  30.3818 
OBS: 59785.4321 z WFD  9.0127e-01  5.516e-02 4096  1.000 43.500  2.58 1.515e+04  27.6497 
OBS: 59788.4307 z WFD  8.5551e-01  4.718e-02 4096  1.000 43.500  2.22 1.506e+04  27.6422 
OBS: 59790.3871 g WFD  1.4109e-02  8.409e-03    0  1.000 44.810  2.63 7.570e+03  31.7228 
OBS: 59793.4282 z WFD  8.2964e-01  4.923e-02 4096  1.000 43.500  2.30 1.517e+04  27.7077 
OBS: 59869.2002 r WFD  3.6253e-02  8.271e-03 4096  1.000 44.830  1.70 1.174e+04  31.1164 
OBS: 59885.0437 Y WFD  3.2370e-01  5.376e-02 4096  1.000 43.280  1.52 2.046e+04  28.6265 
OBS: 59885.0847 z WFD  1.1706e-01  2.365e-02    0  1.000 44.250  1.49 2.244e+04  29.7120 
OBS: 59886.1059 z WFD  1.0839e-01  2.555e-02    0  1.000 44.260  1.48 2.464e+04  29.7310 
OBS: 59896.0297 Y WFD  3.3473e-01  9.367e-02    0  1.000 42.530  2.00 1.358e+04  28.7487 
OBS: 59897.0105 z WFD  1.7026e-01  9.668e-02    0  1.000 43.500  2.67 2.566e+04  29.9339 
OBS: 59898.0225 Y WFD  3.6796e-01  9.166e-02    0  1.000 42.540  1.86 1.442e+04  28.7709 
OBS: 59910.0926 g WFD  2.0324e-02  5.881e-03    0  1.000 44.810  1.85 7.526e+03  32.2893 
OBS: 59922.0403 z WFD  8.9814e-02  3.587e-02    0  1.000 44.260  1.85 2.767e+04  30.3998 
OBS: 59952.0389 Y WFD  1.9069e-01  9.106e-02    0  1.000 43.280  1.67 3.155e+04  29.3721 
OBS: 60100.4371 Y WFD  2.3400e-02  1.423e-01    0  1.000 42.510  1.95 2.078e+04  31.0236 
OBS: 60118.4370 z WFD  2.2383e-02  3.003e-02    0  1.000 44.260  1.55 2.764e+04  34.0556 
OBS: 60119.4138 r WFD  7.3598e-03  2.049e-02    0  1.000 44.070  2.66 9.224e+03  33.4909 
OBS: 60120.4078 g WFD -1.6809e-03  9.071e-03    0  1.000 44.790  2.49 8.469e+03  33.3781 
OBS: 60139.3417 i WFD -1.8722e-02  1.959e-02    0  1.000 44.550  2.22 1.645e+04  35.2096 
OBS: 60145.4416 z WFD  5.4222e-03  5.537e-02    0  1.000 43.510  1.92 2.062e+04  34.5582 
OBS: 60147.4086 r WFD -1.0494e-02  1.351e-02    0  1.000 44.080  1.95 8.377e+03  33.7565 
OBS: 60148.3614 r WFD -4.6880e-03  9.234e-03    0  1.000 44.820  1.85 1.193e+04  33.7656 
OBS: 60151.3250 r WFD -5.6367e-03  1.206e-02    0  1.000 44.800  2.36 1.199e+04  33.7937 
OBS: 60153.3437 r WFD  7.2662e-03  8.049e-03    0  1.000 44.820  1.62 1.187e+04  33.8128 
OBS: 60158.3177 Y WFD -4.6075e-02  9.009e-02    0  1.000 42.560  1.60 1.679e+04  31.6678 
OBS: 60165.4262 Y WFD  1.3168e-01  8.833e-02    0  1.000 42.540  1.78 1.452e+04  31.7469 
OBS: 60176.2644 u WFD  1.9629e-02  2.340e-02    0  1.000 41.160  1.87 1.025e+03  34.5985 
OBS: 60178.2761 g WFD -3.0850e-03  5.700e-03    0  1.000 44.790  1.80 7.362e+03  33.6777 
OBS: 60181.2271 z WFD  1.4515e-02  4.888e-02    0  1.000 44.230  3.03 2.239e+04  35.2243 
OBS: 60187.2453 z WFD -1.9182e-02  5.638e-02    0  1.000 44.270  2.04 3.980e+04  35.3364 
OBS: 60197.1773 g WFD  1.4482e-02  6.083e-03    0  1.000 44.760  1.85 7.435e+03  33.7755 
OBS: 60198.1784 u WFD -4.1524e-02  3.501e-02    0  1.000 41.030  2.61 9.740e+02  34.7208 
OBS: 60199.2424 i WFD  1.9929e-02  1.319e-02    0  1.000 45.010  2.01 1.868e+04  36.3170 
OBS: 60202.1999 r WFD  9.6871e-03  6.331e-03    0  1.000 45.560  1.81 1.653e+04  34.2765 
OBS: 60206.1669 r WFD -1.2123e-02  1.067e-02    0  1.000 44.800  2.11 1.186e+04  34.3141 
OBS: 60207.1787 i WFD -1.2257e-02  1.422e-02    0  1.000 45.320  2.43 2.216e+04  36.4638 
OBS: 60208.2024 i WFD  3.5679e-02  2.503e-02    0  1.000 44.570  3.08 1.543e+04  36.4827 
OBS: 60211.1456 Y WFD  8.5111e-02  1.080e-01    0  1.000 42.510  2.17 1.417e+04  32.2557 
OBS: 60214.1596 z WFD -4.7926e-02  4.458e-02    0  1.000 44.250  2.05 3.074e+04  35.8374 
OBS: 60222.1530 i WFD  2.5238e-02  1.546e-02    0  1.000 44.570  1.88 1.562e+04  36.7406 
OBS: 60228.0925 u WFD  3.6446e-02  3.008e-02    0  1.000 41.060  2.24 1.002e+03  34.8878 
OBS: 60228.1082 r WFD -4.7535e-03  6.554e-03    0  1.000 45.560  1.83 1.692e+04  34.5223 
OBS: 60304.0885 z WFD  1.2959e-02  6.691e-02    0  1.000 43.480  2.08 2.238e+04  37.5113 
OBS: 60319.0431 z WFD -6.2466e-02  4.339e-02    0  1.000 43.470  1.66 1.802e+04  37.7897 
OBS: 60520.2976 r WFD -3.4299e-02  1.486e-02    0  1.000 44.800  2.52 1.383e+04  37.2951 
OBS: 60537.2841 i WFD  6.7548e-04  1.668e-02    0  1.000 44.600  1.64 1.985e+04  42.5667 
OBS: 60537.4314 Y WFD  5.3878e-02  1.342e-01    0  1.000 42.530  1.67 2.330e+04  35.8870 
OBS: 60547.2176 i WFD  4.9724e-02  2.352e-02    0  1.000 44.580  2.03 2.220e+04  42.7503 
OBS: 60566.2049 i WFD -4.1722e-03  1.876e-02    0  1.000 44.590  1.84 1.972e+04  43.1014 
OBS: 60567.1760 Y WFD -7.7252e-02  7.334e-02    0  1.000 42.520  1.44 1.464e+04  36.2180 
OBS: 60570.1865 Y WFD -2.3381e-02  6.211e-02    0  1.000 43.740  1.67 3.287e+04  36.2515 
OBS: 60578.1439 g WFD  9.7078e-03  1.029e-02    0  1.000 44.750  3.07 7.507e+03  35.7478 
OBS: 60579.1554 i WFD  3.8032e-03  2.481e-02    0  1.000 44.560  2.97 1.571e+04  43.3408 
OBS: 60580.1248 r WFD  8.1179e-03  1.517e-02    0  1.000 44.770  2.89 1.198e+04  37.8629 
OBS: 60585.1532 r WFD  3.9460e-03  8.207e-03    0  1.000 44.820  1.65 1.189e+04  37.9106 
OBS: 60587.1124 i WFD  1.2306e-03  1.656e-02    0  1.000 44.550  1.90 1.624e+04  43.4879 
OBS: 60589.1304 r WFD -6.8215e-03  8.611e-03    0  1.000 44.800  1.70 1.188e+04  37.9483 
OBS: 60595.1191 i WFD -8.9832e-04  2.180e-02    0  1.000 44.590  2.11 1.998e+04  43.6359 
OBS: 60602.1574 z WFD  1.1785e-02  3.174e-02    0  1.000 44.270  1.34 3.411e+04  43.0595 
OBS: 60605.0584 r WFD -7.3522e-03  9.233e-03    0  1.000 44.770  1.77 1.191e+04  38.0995 
