SURVEY:   LSST
SNID:     1207483
IAUC:     NULL
SNTYPE:   126
RA:       237.881738  # deg
DEC:      -19.343140  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1797 +- 0.0090  # MW E(B-V) 
PEAKMJD:  59999.906     # estimate for LC fit codes
MJD_TRIGGER:       59991.355  
MJD_DETECT_FIRST:  59980.359  
MJD_DETECT_LAST:   60123.074  

REDSHIFT_HELIO:   1.316093 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.317126 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6816544338  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3161  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          237.881853    # deg 
HOSTGAL_DEC:         -19.343180    # deg 
HOSTGAL_SNSEP:       0.182       # arcsec 
HOSTGAL_DDLR:        1.206       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.899 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.621
HOSTGAL_SQRADIUS:     20.596   # Ixx + Iyy
HOSTGAL_MAG:     31.26  29.16  27.75  26.57  25.73  25.04 # ugrizY
HOSTGAL_MAGERR:   2.78   0.74   0.22   0.14   0.11   0.15 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           3482    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.31609  
SIM_REDSHIFT_CMB:    1.31714  
SIM_REDSHIFT_HOST:   1.26294  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6816544338 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.426 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.899 -9.000 
SIM_DLMU:            44.8393   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0077   # mag 
SIM_RA:              237.881744     # deg  
SIM_DEC:             -19.343140      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1799   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59999.906    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -150.10  # days 
SIM_TRESTMAX:        239.67  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.59  32.31  29.83  28.26  26.99  26.59  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 118 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2624 Y WFD -1.3220e-01  8.850e-02    0  1.000 42.530  1.80 1.426e+04  99.0000 
OBS: 59653.2388 Y WFD -1.2353e-01  1.375e-01    0  1.000 42.500  2.57 1.510e+04  99.0000 
OBS: 59655.3287 Y WFD -3.7752e-02  4.431e-02    0  1.000 44.330  2.07 3.258e+04  99.0000 
OBS: 59657.4082 z WFD -3.5309e-02  5.530e-02    0  1.000 44.290  2.27 3.573e+04  99.0000 
OBS: 59672.4148 z WFD -4.5596e-02  3.982e-02    0  1.000 44.260  2.09 2.719e+04  99.0000 
OBS: 59675.2355 r WFD -1.2456e-03  9.062e-03    0  1.000 44.830  1.91 1.144e+04  99.0000 
OBS: 59676.3622 i WFD  2.0551e-02  1.513e-02    0  1.000 44.580  1.97 1.472e+04  99.0000 
OBS: 59681.1772 z WFD -2.1116e-02  2.424e-02    0  1.000 44.230  1.42 2.369e+04  99.0000 
OBS: 59699.2315 i WFD  7.7714e-03  1.341e-02    0  1.000 44.600  1.78 1.470e+04  99.0000 
OBS: 59710.2369 i WFD -2.6690e-02  1.494e-02    0  1.000 44.620  1.65 1.800e+04  99.0000 
OBS: 59711.0978 Y WFD  1.3840e-01  7.315e-02    0  1.000 43.280  2.03 2.085e+04  99.0000 
OBS: 59746.1567 z WFD -2.2171e-02  2.840e-02    0  1.000 44.290  1.43 2.913e+04  99.0000 
OBS: 59751.1833 g WFD  9.2879e-03  5.602e-03    0  1.000 44.850  1.84 7.479e+03  99.0000 
OBS: 59753.9546 z WFD -1.4326e-02  5.352e-02    0  1.000 43.480  1.83 2.035e+04  99.0000 
OBS: 59757.9618 z WFD  1.7733e-03  6.317e-02    0  1.000 44.240  2.82 3.138e+04  99.0000 
OBS: 59762.9701 z WFD  6.1272e-02  3.595e-02    0  1.000 43.490  1.73 1.459e+04  99.0000 
OBS: 59766.9818 Y WFD  4.5990e-02  1.067e-01    0  1.000 42.550  2.34 1.347e+04  99.0000 
OBS: 59768.0185 Y WFD  1.2670e-01  1.015e-01    0  1.000 42.600  2.29 1.371e+04  99.0000 
OBS: 59773.0143 Y WFD -5.1006e-02  3.930e-02    0  1.000 44.540  1.59 4.564e+04  99.0000 
OBS: 59774.0334 z WFD -1.9926e-02  3.375e-02    0  1.000 44.290  1.66 2.983e+04  99.0000 
OBS: 59775.1759 z WFD -2.2617e-02  6.651e-02    0  1.000 43.490  2.28 2.048e+04  99.0000 
OBS: 59776.1422 i WFD  2.9075e-02  2.389e-02    0  1.000 45.050  2.37 2.978e+04  99.0000 
OBS: 59776.9691 z WFD  1.3505e-02  6.057e-02    0  1.000 43.500  3.01 1.426e+04  99.0000 
OBS: 59791.0050 u WFD -1.9334e-02  2.120e-02    0  1.000 41.390  1.95 1.100e+03  99.0000 
OBS: 59800.0787 Y WFD -3.1917e-02  6.325e-02    0  1.000 43.750  2.00 2.821e+04  99.0000 
OBS: 59801.0857 z WFD -6.0758e-03  1.857e-02    0  1.000 45.450  1.53 5.181e+04  99.0000 
OBS: 59809.0100 r WFD -9.4918e-03  7.362e-03    0  1.000 44.860  1.52 1.201e+04  99.0000 
OBS: 59819.0200 u WFD  5.2164e-03  1.733e-02    0  1.000 42.020  1.99 1.575e+03  99.0000 
OBS: 59980.3611 Y WFD  2.5424e+00  8.213e-02 4096  1.000 42.540  1.57 1.531e+04  26.4629 
OBS: 59991.3558 r WFD  1.4530e-01  9.730e-03 6144  1.000 44.860  1.79 1.348e+04  29.6914 
OBS: 59997.3243 u WFD  3.3852e-02  1.987e-02    0  1.000 41.960  2.23 1.524e+03  32.6604 
OBS: 60000.2939 g WFD  1.4095e-02  6.141e-03    0  1.000 44.780  1.77 7.991e+03  32.3192 
OBS: 60003.2822 i WFD  4.0664e-01  1.984e-02 4096  1.000 44.550  2.26 1.636e+04  28.4281 
OBS: 60008.2648 Y WFD  1.8364e+00  1.684e-01 4096  1.000 42.520  3.14 1.541e+04  26.8358 
OBS: 60008.4021 z WFD  1.2508e+00  5.576e-02 4096  1.000 43.530  2.06 1.972e+04  27.2733 
OBS: 60009.2935 Y WFD  1.6920e+00  1.037e-01 4096  1.000 42.560  2.04 1.515e+04  26.8763 
OBS: 60019.3715 i WFD  1.8191e-01  1.522e-02 4096  1.000 44.610  1.88 1.594e+04  29.3328 
OBS: 60020.2599 r WFD  6.5631e-02  1.029e-02 4096  1.000 44.810  2.00 1.218e+04  30.7796 
OBS: 60023.3409 r WFD  4.1699e-02  5.422e-03 4096  1.000 44.870  1.18 1.150e+04  30.9923 
OBS: 60027.2332 u WFD  8.0093e-03  2.002e-02    0  1.000 41.190  1.60 1.053e+03  33.3925 
OBS: 60029.2555 i WFD  1.2452e-01  8.690e-03 4096  1.000 45.330  1.54 2.157e+04  29.7674 
OBS: 60031.2140 r WFD  3.8447e-02  7.509e-03    0  1.000 44.800  1.49 1.182e+04  31.1514 
OBS: 60032.2334 i WFD  1.1703e-01  1.029e-02 4096  1.000 44.570  1.27 1.538e+04  29.9264 
OBS: 60036.2608 i WFD  9.4607e-02  1.052e-02 4096  1.000 45.360  1.41 2.931e+04  30.1318 
OBS: 60040.2898 Y WFD  4.4172e-01  5.039e-02 4096  1.000 44.120  1.84 3.435e+04  28.4343 
OBS: 60046.3947 i WFD  7.4228e-02  1.846e-02    0  1.000 44.610  1.72 2.114e+04  30.6088 
OBS: 60050.1681 g WFD  7.8996e-03  4.678e-03    0  1.000 44.780  1.45 7.431e+03  33.6714 
OBS: 60051.1536 u WFD -2.7177e-02  2.578e-02    0  1.000 41.070  1.95 9.961e+02  34.3910 
OBS: 60059.2974 r WFD  1.9656e-02  8.878e-03    0  1.000 44.870  1.95 1.139e+04  32.2472 
OBS: 60063.1881 r WFD  7.1844e-03  8.479e-03    0  1.000 45.640  2.00 2.156e+04  32.3351 
OBS: 60065.1985 z WFD  9.3649e-02  2.511e-02 4096  1.000 44.270  1.61 2.246e+04  29.6929 
OBS: 60066.2655 z WFD  1.2748e-01  2.746e-02    0  1.000 44.280  1.65 2.419e+04  29.6858 
OBS: 60067.2823 z WFD  1.6014e-01  3.285e-02    0  1.000 44.280  1.70 2.808e+04  29.6704 
OBS: 60077.0875 g WFD  1.2622e-02  4.957e-03    0  1.000 45.500  2.07 1.070e+04  33.6519 
OBS: 60080.1033 u WFD  1.3509e-02  2.442e-02    0  1.000 41.240  2.02 1.066e+03  34.4836 
OBS: 60094.2385 i WFD  2.7828e-02  1.739e-02    0  1.000 44.610  1.59 2.154e+04  31.2205 
OBS: 60101.2749 z WFD  1.8625e-01  4.899e-02    0  1.000 44.250  2.27 3.051e+04  29.6427 
OBS: 60103.1018 r WFD  2.3191e-02  1.139e-02    0  1.000 45.360  1.90 2.356e+04  32.4346 
OBS: 60121.9860 z WFD  1.7268e-01  3.951e-02    0  1.000 44.250  2.44 2.289e+04  29.5841 
OBS: 60123.0723 z WFD  1.2446e-01  2.763e-02 4096  1.000 44.280  1.69 2.376e+04  29.5851 
OBS: 60128.0851 Y WFD  3.6086e-01  4.938e-02    0  1.000 44.330  1.88 3.997e+04  28.8685 
OBS: 60131.1386 i WFD  3.6689e-02  1.340e-02    0  1.000 45.990  2.15 4.374e+04  31.2080 
OBS: 60138.9646 z WFD  1.3835e-01  2.554e-02    0  1.000 44.700  1.78 3.071e+04  29.7560 
OBS: 60143.0743 r WFD  1.6885e-02  8.140e-03    0  1.000 44.860  1.77 1.140e+04  32.4529 
OBS: 60148.0944 r WFD  1.2295e-02  9.152e-03    0  1.000 44.850  1.93 1.165e+04  32.5117 
OBS: 60162.1069 r WFD  6.5603e-03  1.026e-02    0  1.000 45.250  2.48 1.469e+04  32.5929 
OBS: 60166.0621 r WFD  1.4931e-03  9.114e-03    0  1.000 44.840  1.86 1.193e+04  32.6183 
OBS: 60176.0258 u WFD -3.4853e-03  1.764e-02    0  1.000 42.080  2.12 1.591e+03  34.6159 
OBS: 60184.0387 Y WFD  8.2419e-02  5.229e-02    0  1.000 44.050  2.00 3.074e+04  30.0185 
OBS: 60185.0203 z WFD  8.4231e-02  2.882e-02    0  1.000 45.010  2.15 3.817e+04  30.7584 
OBS: 60201.0092 u WFD -1.0929e-02  3.246e-02    0  1.000 41.130  2.31 1.119e+03  34.6867 
OBS: 60339.3709 z WFD  9.4164e-02  7.129e-02    0  1.000 43.490  2.51 1.994e+04  33.0292 
OBS: 60340.3721 Y WFD -8.2180e-03  8.527e-02    0  1.000 43.280  2.15 2.295e+04  32.6676 
OBS: 60359.3233 i WFD  3.1818e-02  1.248e-02    0  1.000 44.570  1.46 1.623e+04  33.2119 
OBS: 60363.3400 Y WFD -1.2788e-01  1.004e-01    0  1.000 42.560  2.05 1.460e+04  33.0549 
OBS: 60367.3167 Y WFD  1.3613e-01  8.422e-02    0  1.000 43.290  2.19 2.246e+04  33.1220 
OBS: 60376.2660 g WFD  3.4782e-03  8.774e-03    0  1.000 44.740  2.56 7.608e+03  34.5430 
OBS: 60380.3947 z WFD  1.6548e-02  3.410e-02    0  1.000 43.510  1.76 1.386e+04  33.6333 
OBS: 60385.3804 r WFD -5.5104e-03  9.398e-03    0  1.000 44.870  2.05 1.147e+04  33.6691 
OBS: 60386.3305 i WFD -2.3079e-02  1.106e-02    0  1.000 44.600  1.46 1.478e+04  33.4430 
OBS: 60388.2594 r WFD  2.2069e-03  7.798e-03    0  1.000 45.570  2.25 1.653e+04  33.6827 
OBS: 60391.2471 Y WFD  2.4037e-01  1.457e-01    0  1.000 42.560  3.01 1.443e+04  33.5255 
OBS: 60394.2491 Y WFD -7.8702e-02  6.306e-02    0  1.000 43.750  1.94 2.900e+04  33.5761 
OBS: 60401.4017 i WFD  2.4655e-02  4.162e-02    0  1.000 43.870  2.84 1.460e+04  33.5720 
OBS: 60402.2873 r WFD  9.6492e-03  1.109e-02    0  1.000 45.660  2.47 2.326e+04  33.7492 
OBS: 60405.2561 r WFD -3.1723e-03  8.232e-03    0  1.000 44.850  1.78 1.136e+04  33.7633 
OBS: 60414.2137 r WFD -4.7817e-04  6.897e-03    0  1.000 44.840  1.47 1.142e+04  33.8058 
OBS: 60415.1678 r WFD  4.4381e-03  7.598e-03    0  1.000 44.790  1.51 1.170e+04  33.8103 
OBS: 60420.1499 z WFD -4.9150e-02  3.546e-02    0  1.000 44.240  1.93 2.573e+04  34.2187 
OBS: 60421.2951 z WFD  7.1522e-02  3.389e-02    0  1.000 44.280  1.93 2.552e+04  34.2356 
OBS: 60429.2529 i WFD  6.7729e-03  9.074e-03    0  1.000 45.990  1.39 4.583e+04  33.8103 
OBS: 60431.3416 i WFD  3.9973e-03  9.439e-03    0  1.000 45.350  1.48 2.483e+04  33.8282 
