SURVEY:   LSST
SNID:     1212237
IAUC:     NULL
SNTYPE:   126
RA:       45.871949  # deg
DEC:      -19.605418  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0187 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59595.793     # estimate for LC fit codes
MJD_TRIGGER:       59817.270  
MJD_DETECT_FIRST:  59813.375  
MJD_DETECT_LAST:   59957.051  

REDSHIFT_HELIO:   0.494144 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.493304 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8750248894  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4941  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          45.871827    # deg 
HOSTGAL_DEC:         -19.605262    # deg 
HOSTGAL_SNSEP:       0.328       # arcsec 
HOSTGAL_DDLR:        0.816       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.459 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.034
HOSTGAL_SQRADIUS:     11.870   # Ixx + Iyy
HOSTGAL_MAG:     21.94  21.51  20.57  20.18  19.90  19.72 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  705   # template index for SIMSED,NONIa
SIM_LIBID:           8238    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.49414  
SIM_REDSHIFT_CMB:    0.49330  
SIM_REDSHIFT_HOST:   0.50817  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8750248894 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.316 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.459 -9.000 
SIM_DLMU:            42.2273   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0024   # mag 
SIM_RA:              45.871948     # deg  
SIM_DEC:             -19.605417      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0188   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59595.793    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        145.62  # days 
SIM_TRESTMAX:        718.72  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.40  25.66  24.25  23.82  23.76  23.78  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 150 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59813.3749 i WFD  3.2855e-01  1.189e-02 4096  1.000 44.590  1.62 1.419e+04  28.6873 
OBS: 59817.2697 r WFD  2.3072e-01  9.047e-03 6144  1.000 44.770  1.87 1.104e+04  29.1159 
OBS: 59817.3461 g WFD  8.9200e-02  4.900e-03 4096  1.000 44.810  1.76 6.590e+03  30.1444 
OBS: 59818.2834 u WFD  2.1652e-02  1.888e-02    0  1.000 41.860  2.16 1.363e+03  32.3574 
OBS: 59820.2573 u WFD  1.7970e-02  2.633e-02    0  1.000 41.040  2.02 9.550e+02  32.3588 
OBS: 59820.4053 i WFD  3.0005e-01  1.689e-02 4096  1.000 43.840  1.64 9.980e+03  28.7544 
OBS: 59821.2922 r WFD  2.1217e-01  6.725e-03 4096  1.000 45.570  2.11 1.519e+04  29.1507 
OBS: 59822.2671 i WFD  3.0295e-01  1.769e-02 4096  1.000 44.560  2.20 1.512e+04  28.7770 
OBS: 59822.4159 z WFD  3.5925e-01  4.223e-02 4096  1.000 43.520  1.87 1.630e+04  28.5997 
OBS: 59823.2914 g WFD  7.9766e-02  7.500e-03 4096  1.000 44.790  2.62 6.653e+03  30.0837 
OBS: 59824.2717 i WFD  2.9308e-01  1.273e-02 4096  1.000 44.570  1.62 1.492e+04  28.8011 
OBS: 59827.2764 z WFD  3.7025e-01  2.532e-02 4096  1.000 44.250  1.71 2.093e+04  28.6377 
OBS: 59831.2677 Y WFD  4.7556e-01  6.845e-02 4096  1.000 43.320  1.89 2.174e+04  28.4114 
OBS: 59832.3648 Y WFD  4.1560e-01  3.904e-02    0  1.000 44.340  1.71 3.506e+04  28.4240 
OBS: 59835.2180 Y WFD  3.3048e-01  4.917e-02 4096  1.000 43.720  1.44 2.963e+04  28.4564 
OBS: 59836.3309 z WFD  3.2846e-01  2.319e-02    0  1.000 45.030  1.78 3.778e+04  28.7062 
OBS: 59849.1839 r WFD  1.6343e-01  9.418e-03 4096  1.000 45.540  2.81 1.555e+04  29.4652 
OBS: 59851.1953 u WFD  6.6118e-02  3.216e-02    0  1.000 41.150  2.66 9.803e+02  32.4873 
OBS: 59856.1987 i WFD  2.1241e-01  1.792e-02 4096  1.000 44.590  1.95 1.777e+04  29.1701 
OBS: 59858.2189 z WFD  3.0957e-01  2.996e-02 4096  1.000 44.260  1.86 2.298e+04  28.8701 
OBS: 59860.2024 Y WFD  3.0565e-01  5.206e-02    0  1.000 43.330  1.41 2.237e+04  28.7044 
OBS: 59861.1824 Y WFD  2.2882e-01  7.905e-02    0  1.000 43.320  1.90 2.498e+04  28.7126 
OBS: 59862.1960 z WFD  2.6524e-01  2.375e-02 4096  1.000 45.030  1.31 5.259e+04  28.9009 
OBS: 59863.3011 z WFD  2.8914e-01  3.074e-02 4096  1.000 44.290  1.34 3.365e+04  28.9100 
OBS: 59866.1876 i WFD  1.8475e-01  2.097e-02 4096  1.000 44.620  1.75 2.382e+04  29.2786 
OBS: 59867.2084 r WFD  1.5367e-01  1.730e-02 4096  1.000 44.160  1.66 1.356e+04  29.7006 
OBS: 59895.2323 i WFD  1.3546e-01  2.303e-02 4096  1.000 44.620  1.98 2.312e+04  29.5867 
OBS: 59901.0457 r WFD  7.6185e-02  1.384e-02 4096  1.000 44.780  2.87 1.111e+04  30.1620 
OBS: 59904.1108 u WFD  2.0591e-02  2.619e-02    0  1.000 41.310  2.41 1.021e+03  32.9148 
OBS: 59906.0243 z WFD  2.7617e-01  3.209e-02 4096  1.000 44.990  1.90 4.720e+04  29.2639 
OBS: 59906.1650 r WFD  7.4552e-02  7.973e-03 4096  1.000 44.850  1.86 1.053e+04  30.2319 
OBS: 59911.0290 z WFD  1.9782e-01  3.432e-02 4096  1.000 44.250  1.90 2.554e+04  29.3057 
OBS: 59918.0590 Y WFD  3.2827e-01  6.821e-02    0  1.000 42.580  1.34 1.546e+04  29.1972 
OBS: 59920.0564 Y WFD  2.7868e-01  6.399e-02    0  1.000 43.340  1.69 2.315e+04  29.2142 
