SURVEY:   LSST
SNID:     1217210
IAUC:     NULL
SNTYPE:   126
RA:       186.117933  # deg
DEC:      2.737148  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0144 +- 0.0007  # MW E(B-V) 
PEAKMJD:  59805.629     # estimate for LC fit codes
MJD_TRIGGER:       59942.336  
MJD_DETECT_FIRST:  59789.961  
MJD_DETECT_LAST:   60132.004  

REDSHIFT_HELIO:   0.757497 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.759529 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10376148264  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7575  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          186.117396    # deg 
HOSTGAL_DEC:         2.736920    # deg 
HOSTGAL_SNSEP:       0.833       # arcsec 
HOSTGAL_DDLR:        2.218       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.108 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.222
HOSTGAL_SQRADIUS:     13.762   # Ixx + Iyy
HOSTGAL_MAG:     25.45  24.59  23.38  22.30  21.94  21.76 # ugrizY
HOSTGAL_MAGERR:   0.19   0.03   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           13211    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.75750  
SIM_REDSHIFT_CMB:    0.75953  
SIM_REDSHIFT_HOST:   0.77842  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10376148264 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.948 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.108 -9.000 
SIM_DLMU:            43.3616   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0050   # mag 
SIM_RA:              186.117935     # deg  
SIM_DEC:             2.737149      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0130   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59805.629    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -111.15  # days 
SIM_TRESTMAX:        401.33  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.21  27.69  25.94  25.08  24.85  24.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.2778 i WFD  1.8124e-03  1.945e-02    0  1.000 44.560  2.32 1.577e+04  99.0000 
OBS: 59626.2554 z WFD  1.5868e-02  4.640e-02    0  1.000 44.270  1.86 3.593e+04  99.0000 
OBS: 59653.2132 Y WFD -1.2191e-01  1.119e-01    0  1.000 42.560  2.20 1.516e+04  99.0000 
OBS: 59660.1865 Y WFD -3.6511e-02  5.319e-02    0  1.000 44.050  2.05 3.051e+04  99.0000 
OBS: 59681.0696 z WFD  3.3652e-02  2.936e-02    0  1.000 44.240  1.50 2.742e+04  99.0000 
OBS: 59689.2179 z WFD  1.0370e-03  2.217e-02    0  1.000 44.990  1.72 3.603e+04  99.0000 
OBS: 59714.0090 Y WFD -1.0791e-02  6.847e-02    0  1.000 44.310  2.42 4.227e+04  99.0000 
OBS: 59716.1592 Y WFD  1.8698e-01  1.405e-01    0  1.000 42.520  2.40 1.682e+04  99.0000 
OBS: 59717.1421 z WFD -4.8775e-03  4.999e-02    0  1.000 44.250  2.61 2.708e+04  99.0000 
OBS: 59752.9657 z WFD  1.4905e-03  3.333e-02    0  1.000 43.490  1.60 1.463e+04  99.0000 
OBS: 59771.0080 z WFD -5.6533e-02  3.615e-02    0  1.000 44.240  1.82 2.782e+04  99.0000 
OBS: 59782.9670 z WFD  4.6111e-02  6.091e-02    0  1.000 44.240  2.71 3.148e+04  99.0000 
OBS: 59789.9624 z WFD  3.1701e+00  1.097e-01 4096  1.000 43.490  2.77 2.780e+04  26.3186 
OBS: 59942.3345 r WFD  2.2558e-01  1.428e-02 6144  1.000 44.020  1.85 8.826e+03  29.0412 
OBS: 59942.3440 Y WFD  1.6677e+00  5.827e-02 4096  1.000 43.260  1.62 2.043e+04  26.9520 
OBS: 59953.3258 Y WFD  1.5296e+00  8.849e-02 4096  1.000 42.520  1.53 1.662e+04  27.0410 
OBS: 59954.3579 Y WFD  1.3792e+00  9.131e-02 4096  1.000 43.310  2.19 2.480e+04  27.0492 
OBS: 59962.3740 Y WFD  1.5517e+00  1.213e-01 4096  1.000 42.580  1.50 2.455e+04  27.1127 
OBS: 59966.2885 i WFD  5.7375e-01  2.217e-02 4096  1.000 44.550  2.56 1.614e+04  28.1095 
OBS: 59968.2859 u WFD  1.2719e-02  1.674e-02    0  1.000 42.250  2.17 1.723e+03  32.0401 
OBS: 59972.2800 r WFD  2.0705e-01  8.594e-03 4096  1.000 44.800  1.70 1.186e+04  29.3376 
OBS: 59976.3823 z WFD  6.1333e-01  6.012e-02 4096  1.000 43.520  1.93 2.248e+04  27.8844 
OBS: 59977.2639 z WFD  7.2460e-01  2.378e-02 4096  1.000 44.240  1.37 2.431e+04  27.8913 
OBS: 59979.2617 Y WFD  1.2088e+00  5.441e-02 4096  1.000 43.270  1.38 2.260e+04  27.2444 
OBS: 59980.2726 Y WFD  1.3677e+00  8.747e-02 4096  1.000 42.540  1.51 1.695e+04  27.2524 
OBS: 59988.3825 z WFD  5.6956e-01  4.058e-02 4096  1.000 43.490  1.67 1.706e+04  27.9700 
OBS: 59989.3833 z WFD  6.2573e-01  4.238e-02 4096  1.000 43.490  1.82 1.635e+04  27.9766 
OBS: 59990.2449 r WFD  1.3940e-01  1.054e-02 4096  1.000 44.820  2.01 1.254e+04  29.5511 
OBS: 59992.3621 g WFD  3.5531e-02  7.962e-03    0  1.000 44.800  2.45 7.624e+03  31.1754 
OBS: 59993.2468 r WFD  1.3193e-01  6.462e-03 4096  1.000 45.560  1.85 1.650e+04  29.5872 
OBS: 59995.3972 z WFD  5.3427e-01  6.275e-02 4096  1.000 43.490  1.54 2.861e+04  28.0157 
OBS: 59998.3642 i WFD  4.2165e-01  2.094e-02 4096  1.000 43.810  1.77 1.115e+04  28.3678 
OBS: 60001.3677 r WFD  1.3780e-01  1.682e-02 4096  1.000 44.030  2.33 8.336e+03  29.6851 
OBS: 60002.2238 r WFD  1.2567e-01  8.861e-03 4096  1.000 44.830  1.83 1.168e+04  29.6955 
