SURVEY:   LSST
SNID:     1218058
IAUC:     NULL
SNTYPE:   126
RA:       72.203359  # deg
DEC:      -49.327423  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0111 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60593.270     # estimate for LC fit codes
MJD_TRIGGER:       60583.254  
MJD_DETECT_FIRST:  60582.258  
MJD_DETECT_LAST:   60672.051  

REDSHIFT_HELIO:   0.510699 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.510749 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10313681606  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5107  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          72.202774    # deg 
HOSTGAL_DEC:         -49.327601    # deg 
HOSTGAL_SNSEP:       0.861       # arcsec 
HOSTGAL_DDLR:        2.623       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.969 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.147
HOSTGAL_SQRADIUS:     11.715   # Ixx + Iyy
HOSTGAL_MAG:     26.03  24.90  23.57  22.46  22.01  21.76 # ugrizY
HOSTGAL_MAGERR:   0.36   0.04   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           14059    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.51070  
SIM_REDSHIFT_CMB:    0.51074  
SIM_REDSHIFT_HOST:   0.52738  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10313681606 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.265 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.969 -9.000 
SIM_DLMU:            42.3166   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0125   # mag 
SIM_RA:              72.203362     # deg  
SIM_DEC:             -49.327423      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0099   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60593.270    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -668.71  # days 
SIM_TRESTMAX:        52.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.59  25.69  24.33  23.90  23.80  23.81  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0487 z WFD -3.2294e-02  3.925e-02    0  1.000 44.250  2.77 2.003e+04  99.0000 
OBS: 59584.1150 u WFD  3.7752e-03  1.919e-02    0  1.000 41.950  2.43 1.338e+03  99.0000 
OBS: 59591.0473 z WFD -5.1262e-02  3.206e-02    0  1.000 44.270  1.86 2.482e+04  99.0000 
OBS: 59595.0696 Y WFD -1.0224e-01  1.233e-01    0  1.000 42.580  2.67 1.402e+04  99.0000 
OBS: 59603.0491 Y WFD -2.7829e-02  4.084e-02    0  1.000 44.080  1.92 2.572e+04  99.0000 
OBS: 59624.0446 z WFD -1.5343e-02  3.925e-02    0  1.000 44.260  2.37 2.363e+04  99.0000 
OBS: 59634.0529 r WFD -5.0800e-04  7.908e-03    0  1.000 44.820  1.81 1.044e+04  99.0000 
OBS: 59648.0160 Y WFD -2.3891e-02  8.920e-02    0  1.000 42.550  1.98 1.331e+04  99.0000 
OBS: 59653.0000 Y WFD  3.2678e-01  1.455e-01    0  1.000 42.590  2.49 1.791e+04  99.0000 
OBS: 59659.0600 i WFD -2.9216e-02  3.715e-02    0  1.000 43.810  2.13 1.644e+04  99.0000 
OBS: 59662.9952 z WFD  1.0448e-02  4.251e-02    0  1.000 44.250  2.35 2.558e+04  99.0000 
OBS: 59676.9865 Y WFD  1.1341e-01  1.351e-01    0  1.000 42.530  2.68 1.462e+04  99.0000 
OBS: 59680.9859 Y WFD  3.7098e-02  7.397e-02    0  1.000 42.540  1.48 1.463e+04  99.0000 
OBS: 59684.9741 Y WFD  1.2522e-01  9.447e-02    0  1.000 42.550  1.44 1.938e+04  99.0000 
OBS: 59685.9725 Y WFD  6.4179e-02  1.174e-01    0  1.000 42.530  1.67 2.038e+04  99.0000 
OBS: 59809.4018 r WFD -4.4234e-05  9.108e-03    0  1.000 45.640  1.94 2.388e+04  99.0000 
OBS: 59822.3063 i WFD -2.0974e-03  1.417e-02    0  1.000 45.300  2.44 2.159e+04  99.0000 
OBS: 59825.3133 r WFD  7.6645e-03  1.185e-02    0  1.000 44.780  2.59 1.054e+04  99.0000 
OBS: 59835.2624 Y WFD -5.2431e-02  5.282e-02    0  1.000 43.270  1.41 2.148e+04  99.0000 
OBS: 59837.4050 z WFD -1.9371e-02  3.634e-02    0  1.000 43.520  1.36 1.928e+04  99.0000 
OBS: 59843.2821 g WFD -2.5390e-03  5.166e-03    0  1.000 44.750  1.83 6.325e+03  99.0000 
OBS: 59851.2889 u WFD  2.2421e-02  2.333e-02    0  1.000 41.240  2.09 9.835e+02  99.0000 
OBS: 59853.2683 r WFD  1.4034e-02  1.176e-02    0  1.000 44.800  2.65 1.041e+04  99.0000 
OBS: 59858.2255 z WFD -9.5201e-03  2.403e-02    0  1.000 45.000  2.01 3.372e+04  99.0000 
OBS: 59859.1925 Y WFD -5.1979e-02  5.881e-02    0  1.000 43.700  1.91 2.623e+04  99.0000 
OBS: 59862.2112 z WFD -2.8447e-02  2.990e-02    0  1.000 44.260  1.42 3.005e+04  99.0000 
OBS: 59869.2093 r WFD -1.1134e-03  8.398e-03    0  1.000 44.800  1.87 1.054e+04  99.0000 
OBS: 59870.2684 i WFD  1.0121e-02  1.207e-02    0  1.000 44.580  1.61 1.436e+04  99.0000 
OBS: 59874.2173 u WFD  6.4460e-02  2.065e-02    0  1.000 41.180  1.79 9.613e+02  99.0000 
OBS: 59876.1524 g WFD  4.0531e-03  6.023e-03    0  1.000 44.710  2.04 6.375e+03  99.0000 
OBS: 59887.1517 Y WFD -1.6873e-02  5.116e-02    0  1.000 43.290  1.48 2.019e+04  99.0000 
OBS: 59887.2458 i WFD -1.6177e-03  8.878e-03    0  1.000 45.620  1.38 3.212e+04  99.0000 
OBS: 59898.1285 i WFD  5.8238e-03  1.151e-02    0  1.000 45.310  2.05 2.106e+04  99.0000 
OBS: 59904.1911 u WFD -5.2926e-03  1.896e-02    0  1.000 41.260  1.73 9.835e+02  99.0000 
OBS: 59908.1211 i WFD -1.1743e-03  1.797e-02    0  1.000 44.570  2.36 1.445e+04  99.0000 
OBS: 59914.1401 r WFD -3.1132e-03  1.038e-02    0  1.000 44.890  1.72 1.538e+04  99.0000 
OBS: 59915.0826 z WFD  5.5917e-02  2.888e-02    0  1.000 44.250  1.84 2.219e+04  99.0000 
OBS: 59918.1398 Y WFD -2.9914e-02  5.245e-02    0  1.000 43.330  1.61 1.974e+04  99.0000 
OBS: 59921.0474 z WFD -3.7184e-02  3.855e-02    0  1.000 45.000  2.22 4.898e+04  99.0000 
OBS: 59927.0372 Y WFD  1.3989e-02  6.123e-02    0  1.000 43.290  1.62 2.207e+04  99.0000 
OBS: 59929.0552 Y WFD -1.1560e-02  7.823e-02    0  1.000 42.550  1.76 1.313e+04  99.0000 
OBS: 59938.0436 z WFD  2.4457e-02  3.341e-02    0  1.000 44.260  1.79 2.663e+04  99.0000 
OBS: 59952.0826 Y WFD -4.0633e-02  4.543e-02    0  1.000 43.330  1.40 1.966e+04  99.0000 
OBS: 59957.1884 r WFD  7.0743e-03  1.283e-02    0  1.000 44.880  1.87 1.734e+04  99.0000 
OBS: 59958.0739 g WFD -9.9311e-04  4.928e-03    0  1.000 44.790  1.85 6.192e+03  99.0000 
OBS: 59967.1064 i WFD  7.4754e-04  1.625e-02    0  1.000 44.580  2.22 1.402e+04  99.0000 
OBS: 59985.0337 Y WFD  2.5366e-02  6.766e-02    0  1.000 42.570  1.52 1.339e+04  99.0000 
OBS: 59992.0325 z WFD -3.6779e-02  2.715e-02    0  1.000 43.500  1.40 1.374e+04  99.0000 
