SURVEY:   LSST
SNID:     1219097
IAUC:     NULL
SNTYPE:   126
RA:       183.920148  # deg
DEC:      -1.517484  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0189 +- 0.0009  # MW E(B-V) 
PEAKMJD:  60177.262     # estimate for LC fit codes
MJD_TRIGGER:       60316.355  
MJD_DETECT_FIRST:  60315.355  
MJD_DETECT_LAST:   60361.195  

REDSHIFT_HELIO:   1.003673 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.006042 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7814645227  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0037  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          183.920156    # deg 
HOSTGAL_DEC:         -1.517538    # deg 
HOSTGAL_SNSEP:       0.098       # arcsec 
HOSTGAL_DDLR:        0.547       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.251 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.384
HOSTGAL_SQRADIUS:     8.796   # Ixx + Iyy
HOSTGAL_MAG:     26.87  26.35  25.33  24.36  23.71  23.51 # ugrizY
HOSTGAL_MAGERR:   0.91   0.11   0.04   0.02   0.02   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           15098    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.00367  
SIM_REDSHIFT_CMB:    1.00604  
SIM_REDSHIFT_HOST:   0.98579  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7814645227 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.721 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.251 -9.000 
SIM_DLMU:            44.1138   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0084   # mag 
SIM_RA:              183.920151     # deg  
SIM_DEC:             -1.517484      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0185   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60177.262    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -284.47  # days 
SIM_TRESTMAX:        247.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.08  28.71  27.09  26.01  25.63  25.54  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59607.2854 g WFD  4.9117e-03  6.521e-03    0  1.000 45.560  2.79 1.104e+04  99.0000 
OBS: 59610.2769 i WFD  4.6726e-03  1.891e-02    0  1.000 44.560  2.28 1.560e+04  99.0000 
OBS: 59621.2225 Y WFD  6.9343e-02  8.117e-02    0  1.000 42.510  1.65 1.401e+04  99.0000 
OBS: 59626.2550 z WFD -8.3160e-02  4.486e-02    0  1.000 44.270  1.82 3.550e+04  99.0000 
OBS: 59653.1292 Y WFD  1.2637e-01  8.135e-02    0  1.000 43.260  2.03 2.277e+04  99.0000 
OBS: 59660.2011 Y WFD -1.1247e-02  4.120e-02    0  1.000 44.310  1.86 3.310e+04  99.0000 
OBS: 59678.0847 z WFD  2.0628e-02  3.085e-02    0  1.000 44.250  2.04 2.138e+04  99.0000 
OBS: 59688.2202 z WFD -3.3930e-02  2.536e-02    0  1.000 45.000  1.78 4.019e+04  99.0000 
OBS: 59714.0165 Y WFD  7.9308e-02  4.584e-02    0  1.000 44.950  2.22 5.563e+04  99.0000 
OBS: 59717.1462 z WFD -1.9899e-02  3.634e-02    0  1.000 45.000  2.68 3.825e+04  99.0000 
OBS: 59752.9666 z WFD  1.2346e-02  3.175e-02    0  1.000 43.500  1.56 1.442e+04  99.0000 
OBS: 59771.0044 z WFD  3.5185e-02  3.708e-02    0  1.000 44.240  1.89 2.748e+04  99.0000 
OBS: 59789.9615 z WFD -9.3167e-02  1.164e-01    0  1.000 43.500  2.73 3.021e+04  99.0000 
OBS: 59934.3585 z WFD -1.9123e-02  4.656e-02    0  1.000 44.250  1.55 4.247e+04  99.0000 
OBS: 59938.3497 z WFD  7.1219e-02  4.526e-02    0  1.000 44.240  2.45 2.588e+04  99.0000 
OBS: 59942.3475 Y WFD -7.2339e-02  4.457e-02    0  1.000 43.720  1.49 2.596e+04  99.0000 
OBS: 59944.3469 Y WFD  2.3170e-02  6.911e-02    0  1.000 43.280  2.00 2.000e+04  99.0000 
OBS: 59946.3412 i WFD  7.8092e-03  2.815e-02    0  1.000 43.820  2.30 1.165e+04  99.0000 
OBS: 59953.3227 Y WFD  2.5871e-02  8.097e-02    0  1.000 42.540  1.46 1.623e+04  99.0000 
OBS: 59954.3570 Y WFD  6.9056e-02  8.373e-02    0  1.000 43.320  2.11 2.382e+04  99.0000 
OBS: 59966.3280 i WFD  1.6579e-02  1.579e-02    0  1.000 44.570  1.97 1.522e+04  99.0000 
OBS: 59968.2749 u WFD  4.4190e-02  2.165e-02    0  1.000 41.880  2.38 1.445e+03  99.0000 
OBS: 59973.2938 g WFD  3.6197e-03  3.587e-03    0  1.000 45.560  1.60 1.059e+04  99.0000 
OBS: 59976.2746 r WFD -9.3260e-04  8.289e-03    0  1.000 44.820  1.70 1.165e+04  99.0000 
OBS: 59979.2545 Y WFD  5.6148e-02  7.045e-02    0  1.000 42.540  1.31 1.574e+04  99.0000 
OBS: 59980.2141 Y WFD  1.5635e-02  9.903e-02    0  1.000 42.500  1.57 1.779e+04  99.0000 
OBS: 59987.2291 i WFD -7.9970e-05  2.017e-02    0  1.000 44.610  1.59 2.499e+04  99.0000 
OBS: 59988.3883 z WFD -1.2398e-02  4.852e-02    0  1.000 43.500  1.69 2.034e+04  99.0000 
OBS: 59989.3914 z WFD -2.9972e-03  5.377e-02    0  1.000 43.510  1.65 2.330e+04  99.0000 
OBS: 59990.2471 r WFD  1.2480e-02  9.843e-03    0  1.000 44.840  1.93 1.242e+04  99.0000 
OBS: 59993.2092 r WFD -1.5096e-02  8.777e-03    0  1.000 44.810  1.77 1.174e+04  99.0000 
OBS: 59996.3851 z WFD  2.1744e-02  3.998e-02    0  1.000 43.480  1.79 1.554e+04  99.0000 
OBS: 59999.1793 u WFD -2.3302e-02  2.523e-02    0  1.000 41.080  1.92 9.993e+02  99.0000 
OBS: 60002.2256 r WFD -8.9616e-03  8.635e-03    0  1.000 44.830  1.80 1.157e+04  99.0000 
