SURVEY:   LSST
SNID:     1221018
IAUC:     NULL
SNTYPE:   126
RA:       73.811782  # deg
DEC:      -51.675421  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0076 +- 0.0004  # MW E(B-V) 
PEAKMJD:  59805.953     # estimate for LC fit codes
MJD_TRIGGER:       59809.402  
MJD_DETECT_FIRST:  59796.398  
MJD_DETECT_LAST:   59938.043  

REDSHIFT_HELIO:   1.268651 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.268793 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6003368528  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2687  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          73.811855    # deg 
HOSTGAL_DEC:         -51.675327    # deg 
HOSTGAL_SNSEP:       0.201       # arcsec 
HOSTGAL_DDLR:        0.971       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.628 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.393
HOSTGAL_SQRADIUS:     8.421   # Ixx + Iyy
HOSTGAL_MAG:     28.16  27.51  26.16  25.16  24.31  23.77 # ugrizY
HOSTGAL_MAGERR:  26.62   0.23   0.09   0.05   0.04   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           17019    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.26865  
SIM_REDSHIFT_CMB:    1.26879  
SIM_REDSHIFT_HOST:   1.20310  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6003368528 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.232 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.628 -9.000 
SIM_DLMU:            44.7397   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0356   # mag 
SIM_RA:              73.811783     # deg  
SIM_DEC:             -51.675423      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0073   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59805.953    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -99.13  # days 
SIM_TRESTMAX:        381.77  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.02  29.89  28.41  27.16  26.46  26.20  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 152 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.0510 z WFD  4.6832e-03  2.338e-02    0  1.000 44.690  1.99 2.492e+04  99.0000 
OBS: 59583.0462 z WFD  1.2367e-02  6.221e-02    0  1.000 43.510  3.03 1.468e+04  99.0000 
OBS: 59585.1150 u WFD  1.9714e-02  2.505e-02    0  1.000 41.210  2.24 9.582e+02  99.0000 
OBS: 59589.0558 Y WFD -3.5493e-02  7.141e-02    0  1.000 42.570  1.64 1.310e+04  99.0000 
OBS: 59595.0691 Y WFD -2.2914e-01  1.248e-01    0  1.000 42.580  2.69 1.408e+04  99.0000 
OBS: 59601.2211 i WFD -2.1957e-02  2.606e-02    0  1.000 44.580  2.24 2.229e+04  99.0000 
OBS: 59603.0492 Y WFD  1.7431e-02  5.703e-02    0  1.000 43.320  1.88 1.821e+04  99.0000 
OBS: 59612.1915 g WFD  1.0192e-03  5.137e-03    0  1.000 45.120  2.08 7.779e+03  99.0000 
OBS: 59624.0453 z WFD  3.1835e-02  3.938e-02    0  1.000 44.260  2.38 2.361e+04  99.0000 
OBS: 59634.0531 r WFD -3.1724e-03  7.846e-03    0  1.000 44.820  1.80 1.042e+04  99.0000 
OBS: 59648.0182 Y WFD -1.0663e-01  9.859e-02    0  1.000 42.550  2.20 1.324e+04  99.0000 
OBS: 59655.0630 Y WFD -2.8196e-02  1.080e-01    0  1.000 42.520  2.00 1.551e+04  99.0000 
OBS: 59659.0595 i WFD  4.7740e-02  3.582e-02    0  1.000 43.810  2.09 1.616e+04  99.0000 
OBS: 59663.0006 z WFD -5.3274e-02  3.495e-02    0  1.000 44.240  2.30 2.129e+04  99.0000 
OBS: 59680.9850 Y WFD  7.5435e-02  7.322e-02    0  1.000 42.540  1.47 1.458e+04  99.0000 
OBS: 59684.9732 Y WFD  1.5828e-01  9.709e-02    0  1.000 42.550  1.40 2.049e+04  99.0000 
OBS: 59685.9725 Y WFD  1.2231e-01  1.174e-01    0  1.000 42.530  1.67 2.038e+04  99.0000 
OBS: 59796.4001 g WFD  9.4188e-02  8.541e-03 4096  1.000 44.710  2.90 6.359e+03  30.1497 
OBS: 59809.4014 r WFD  3.9364e-01  9.280e-03 6144  1.000 45.630  1.97 2.374e+04  28.5339 
OBS: 59818.3811 u WFD  1.3391e-02  2.355e-02    0  1.000 41.170  2.01 9.677e+02  31.5617 
OBS: 59819.3232 u WFD -1.7841e-02  2.920e-02    0  1.000 41.000  2.24 9.202e+02  31.6204 
OBS: 59822.3063 i WFD  4.7318e-01  2.008e-02 4096  1.000 44.550  2.45 1.528e+04  28.4047 
OBS: 59823.3432 g WFD  4.6643e-02  7.808e-03    0  1.000 44.730  2.74 6.268e+03  30.9241 
OBS: 59835.2624 Y WFD  9.5006e-01  5.461e-02 4096  1.000 43.260  1.44 2.154e+04  27.6714 
OBS: 59837.4055 z WFD  4.3127e-01  3.775e-02 4096  1.000 43.520  1.37 1.989e+04  28.3558 
OBS: 59839.2845 r WFD  7.9234e-02  1.277e-02    0  1.000 44.840  1.94 1.602e+04  30.1674 
OBS: 59842.3052 r WFD  6.2090e-02  1.003e-02 4096  1.000 44.800  2.28 1.032e+04  30.3100 
OBS: 59843.2817 g WFD  3.3496e-02  5.375e-03 4096  1.000 44.730  1.87 6.321e+03  31.4565 
OBS: 59854.2591 r WFD  3.7265e-02  6.545e-03 4096  1.000 44.790  1.45 1.049e+04  30.9711 
OBS: 59857.3532 i WFD  7.8186e-02  1.676e-02    0  1.000 43.820  1.63 9.781e+03  30.1773 
OBS: 59858.2140 z WFD  2.1411e-01  3.598e-02    0  1.000 44.240  2.07 2.435e+04  29.2149 
OBS: 59859.1948 Y WFD  3.6237e-01  1.006e-01    0  1.000 42.500  1.88 1.510e+04  28.4096 
OBS: 59861.2731 Y WFD  4.6357e-01  7.188e-02    0  1.000 42.580  1.44 1.516e+04  28.5095 
OBS: 59862.2094 z WFD  1.9220e-01  3.141e-02 4096  1.000 44.250  1.48 3.000e+04  29.3955 
