SURVEY:   LSST
SNID:     1260092
IAUC:     NULL
SNTYPE:   110
RA:       177.988197  # deg
DEC:      -9.194655  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0547 +- 0.0027  # MW E(B-V) 
PEAKMJD:  60237.484     # estimate for LC fit codes
MJD_TRIGGER:       60296.344  
MJD_DETECT_FIRST:  60292.348  
MJD_DETECT_LAST:   60500.016  

REDSHIFT_HELIO:   0.775329 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.777487 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7938500252  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7753  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          177.988155    # deg 
HOSTGAL_DEC:         -9.194662    # deg 
HOSTGAL_SNSEP:       0.063       # arcsec 
HOSTGAL_DDLR:        0.115       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.426 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.450
HOSTGAL_SQRADIUS:     22.070   # Ixx + Iyy
HOSTGAL_MAG:     24.86  24.21  23.14  22.12  21.76  21.53 # ugrizY
HOSTGAL_MAGERR:   0.13   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5092    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.77533  
SIM_REDSHIFT_CMB:    0.77749  
SIM_REDSHIFT_HOST:   0.77235  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7938500252 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.257 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.426 -9.000 
SIM_DLMU:            43.4237   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0148   # mag 
SIM_RA:              177.988190     # deg  
SIM_DEC:             -9.194655      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0498   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60237.484    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.5545e-06 
SIM_SALT2x1:         -1.9730 
SIM_SALT2c:          -0.0248 
SIM_SALT2mB:         24.2581 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -353.30  # days 
SIM_TRESTMAX:        238.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.62  26.85  24.67  23.81  24.03  23.97  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.2596 i WFD  1.6559e-02  1.629e-02    0  1.000 44.570  2.02 1.531e+04  99.0000 
OBS: 59611.3750 z WFD -1.4201e-02  1.951e-02    0  1.000 44.710  1.42 2.967e+04  99.0000 
OBS: 59612.3759 z WFD -2.6649e-03  3.842e-02    0  1.000 43.510  1.79 1.535e+04  99.0000 
OBS: 59621.1865 Y WFD  1.3173e-04  6.242e-02    0  1.000 43.270  1.77 2.022e+04  99.0000 
OBS: 59645.1258 u WFD -9.1030e-03  2.572e-02    0  1.000 41.820  2.76 1.401e+03  99.0000 
OBS: 59660.1547 Y WFD -3.2889e-03  3.191e-02    0  1.000 44.950  1.97 4.363e+04  99.0000 
OBS: 59681.0789 z WFD -2.4805e-02  2.237e-02    0  1.000 44.270  1.28 2.517e+04  99.0000 
OBS: 59686.0711 Y WFD  6.2169e-02  5.870e-02    0  1.000 43.740  1.50 3.459e+04  99.0000 
OBS: 59697.9695 z WFD -3.8072e-02  5.628e-02    0  1.000 44.230  2.32 3.367e+04  99.0000 
OBS: 59698.9650 z WFD  6.0182e-03  5.663e-02    0  1.000 43.490  2.03 1.959e+04  99.0000 
OBS: 59714.0329 Y WFD  1.0136e-01  8.185e-02    0  1.000 43.340  2.06 2.430e+04  99.0000 
OBS: 59779.9635 z WFD  1.8947e-02  5.852e-02    0  1.000 44.260  2.40 3.479e+04  99.0000 
OBS: 59789.9602 z WFD -1.4695e-02  1.315e-01    0  1.000 43.500  2.71 3.439e+04  99.0000 
OBS: 59927.3375 Y WFD  1.1293e-01  9.375e-02    0  1.000 43.260  2.38 2.238e+04  99.0000 
OBS: 59937.3498 z WFD  1.0169e-02  4.076e-02    0  1.000 44.250  1.98 2.911e+04  99.0000 
OBS: 59941.3483 z WFD -1.0059e-02  2.796e-02    0  1.000 44.250  1.70 2.326e+04  99.0000 
OBS: 59945.3102 i WFD  2.5037e-02  1.231e-02    0  1.000 45.010  1.79 1.957e+04  99.0000 
OBS: 59945.3558 z WFD -1.4382e-02  3.488e-02    0  1.000 44.270  1.77 2.838e+04  99.0000 
OBS: 59953.3137 Y WFD  4.5895e-02  7.191e-02    0  1.000 42.560  1.36 1.576e+04  99.0000 
OBS: 59954.3556 Y WFD  8.0589e-02  7.508e-02    0  1.000 43.340  2.02 2.273e+04  99.0000 
OBS: 59962.2569 g WFD  1.6288e-04  4.953e-03    0  1.000 44.760  1.49 7.517e+03  99.0000 
OBS: 59965.3710 z WFD -6.7956e-02  3.515e-02    0  1.000 43.520  1.44 1.762e+04  99.0000 
OBS: 59966.2394 i WFD  3.3004e-02  2.439e-02    0  1.000 44.560  2.86 1.604e+04  99.0000 
OBS: 59968.2681 u WFD -3.6720e-02  2.934e-02    0  1.000 41.200  2.41 1.034e+03  99.0000 
OBS: 59973.2912 g WFD -1.6124e-03  4.222e-03    0  1.000 44.850  1.40 7.409e+03  99.0000 
OBS: 59976.2106 Y WFD  5.1131e-02  9.683e-02    0  1.000 42.510  1.90 1.451e+04  99.0000 
OBS: 59976.2732 r WFD -2.6682e-03  7.477e-03    0  1.000 44.850  1.61 1.141e+04  99.0000 
OBS: 59979.2397 Y WFD  4.6339e-02  5.000e-02    0  1.000 43.310  1.36 2.187e+04  99.0000 
OBS: 59980.1932 Y WFD -8.0437e-02  1.054e-01    0  1.000 42.520  1.72 1.761e+04  99.0000 
OBS: 59982.2069 z WFD  6.5594e-02  4.819e-02    0  1.000 44.260  1.75 3.929e+04  99.0000 
OBS: 59990.2487 r WFD  2.8419e-03  9.239e-03    0  1.000 44.860  1.89 1.212e+04  99.0000 
OBS: 59994.2102 r WFD -1.1402e-02  1.019e-02    0  1.000 44.830  2.15 1.143e+04  99.0000 
OBS: 59995.1727 r WFD  2.9514e-03  7.931e-03    0  1.000 44.790  1.59 1.160e+04  99.0000 
OBS: 59997.1629 u WFD -3.5373e-02  2.022e-02    0  1.000 41.840  2.20 1.407e+03  99.0000 
OBS: 60002.1828 r WFD  6.3336e-03  9.005e-03    0  1.000 44.820  1.88 1.145e+04  99.0000 
OBS: 60014.3275 z WFD  1.1303e-02  4.525e-02    0  1.000 44.250  2.01 3.183e+04  99.0000 
OBS: 60017.2713 r WFD  1.5667e-02  7.711e-03    0  1.000 46.080  1.89 3.112e+04  99.0000 
OBS: 60017.3415 i WFD  1.7055e-02  2.070e-02    0  1.000 44.560  1.97 1.976e+04  99.0000 
OBS: 60019.0972 g WFD  3.0778e-03  7.535e-03    0  1.000 44.760  2.26 7.539e+03  99.0000 
OBS: 60025.1413 i WFD -1.5810e-02  9.881e-03    0  1.000 44.580  1.24 1.527e+04  99.0000 
OBS: 60027.0868 u WFD -6.9835e-03  2.071e-02    0  1.000 41.190  1.66 1.050e+03  99.0000 
OBS: 60032.1031 i WFD  5.6465e-03  1.097e-02    0  1.000 44.580  1.26 1.667e+04  99.0000 
OBS: 60036.0754 Y WFD -5.3631e-02  7.834e-02    0  1.000 42.540  1.46 1.570e+04  99.0000 
OBS: 60042.2642 z WFD -9.7295e-03  8.816e-02    0  1.000 43.500  2.54 2.459e+04  99.0000 
OBS: 60043.1960 z WFD -9.0225e-03  2.724e-02    0  1.000 45.020  2.07 3.781e+04  99.0000 
OBS: 60045.1031 i WFD -1.3835e-02  7.548e-03    0  1.000 46.100  1.61 3.643e+04  99.0000 
OBS: 60063.9710 Y WFD  1.5390e-01  1.094e-01    0  1.000 42.520  1.95 1.611e+04  99.0000 
OBS: 60070.0859 z WFD  1.3780e-02  2.991e-02    0  1.000 44.280  1.33 3.269e+04  99.0000 
OBS: 60071.0293 Y WFD  4.1017e-02  4.950e-02    0  1.000 44.040  1.60 3.605e+04  99.0000 
OBS: 60076.9543 Y WFD  1.9417e-02  1.117e-01    0  1.000 42.560  1.32 2.522e+04  99.0000 
OBS: 60077.0575 g WFD -9.8713e-03  5.071e-03    0  1.000 44.850  1.69 7.371e+03  99.0000 
OBS: 60080.0829 u WFD -1.5078e-02  2.429e-02    0  1.000 41.290  2.11 1.063e+03  99.0000 
OBS: 60085.1156 r WFD  4.7152e-03  6.350e-03    0  1.000 45.570  1.85 1.637e+04  99.0000 
OBS: 60090.9996 r WFD -5.6978e-03  1.393e-02    0  1.000 44.890  2.20 1.614e+04  99.0000 
OBS: 60100.0715 Y WFD -2.5374e-02  1.042e-01    0  1.000 42.560  2.05 1.515e+04  99.0000 
