SURVEY:   LSST
SNID:     1262847
IAUC:     NULL
SNTYPE:   110
RA:       151.834300  # deg
DEC:      -21.317089  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0567 +- 0.0028  # MW E(B-V) 
PEAKMJD:  59851.824     # estimate for LC fit codes
MJD_TRIGGER:       59906.328  
MJD_DETECT_FIRST:  59899.352  
MJD_DETECT_LAST:   60069.094  

REDSHIFT_HELIO:   1.008198 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.010510 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9564431606  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0082  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          151.833645    # deg 
HOSTGAL_DEC:         -21.317300    # deg 
HOSTGAL_SNSEP:       0.963       # arcsec 
HOSTGAL_DDLR:        1.983       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.506 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.674
HOSTGAL_SQRADIUS:     22.257   # Ixx + Iyy
HOSTGAL_MAG:     25.74  25.28  23.94  22.93  22.14  21.79 # ugrizY
HOSTGAL_MAGERR:   0.19   0.04   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7847    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.00820  
SIM_REDSHIFT_CMB:    1.01051  
SIM_REDSHIFT_HOST:   0.99663  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9564431606 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.451 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.506 -9.000 
SIM_DLMU:            44.1258   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0273   # mag 
SIM_RA:              151.834305     # deg  
SIM_DEC:             -21.317089      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0522   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59851.824    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3216e-06 
SIM_SALT2x1:         0.6813 
SIM_SALT2c:          0.2151 
SIM_SALT2mB:         25.3323 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -133.58  # days 
SIM_TRESTMAX:        409.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.81  31.04  27.17  25.35  24.80  24.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2520 u WFD  2.5884e-02  2.051e-02    0  1.000 41.280  1.83 1.025e+03  99.0000 
OBS: 59588.1736 Y WFD  8.9409e-02  1.102e-01    0  1.000 42.490  2.18 1.413e+04  99.0000 
OBS: 59589.3607 Y WFD  8.4734e-02  9.332e-02    0  1.000 42.600  1.96 1.473e+04  99.0000 
OBS: 59594.1787 Y WFD -5.8313e-02  9.381e-02    0  1.000 42.540  1.85 1.484e+04  99.0000 
OBS: 59597.1720 Y WFD -1.8091e-02  1.684e-01    0  1.000 42.540  2.88 1.712e+04  99.0000 
OBS: 59598.3556 z WFD  6.6956e-02  6.739e-02    0  1.000 44.280  3.03 3.232e+04  99.0000 
OBS: 59600.3661 z WFD  4.9061e-02  5.208e-02    0  1.000 43.530  1.74 2.180e+04  99.0000 
OBS: 59603.3012 i WFD  3.0560e-02  2.426e-02    0  1.000 44.630  2.45 1.987e+04  99.0000 
OBS: 59613.3714 z WFD  3.6574e-03  4.103e-02    0  1.000 43.480  1.89 1.510e+04  99.0000 
OBS: 59631.3138 i WFD  1.5145e-02  1.866e-02    0  1.000 45.050  1.84 2.995e+04  99.0000 
OBS: 59650.0267 Y WFD  8.7520e-02  1.233e-01    0  1.000 42.510  2.47 1.422e+04  99.0000 
OBS: 59653.1104 Y WFD -3.3383e-02  9.420e-02    0  1.000 42.600  1.99 1.464e+04  99.0000 
OBS: 59655.1160 Y WFD  1.5820e-01  9.975e-02    0  1.000 42.610  1.86 1.674e+04  99.0000 
OBS: 59658.0123 z WFD  8.3405e-02  5.052e-02    0  1.000 44.260  2.67 2.700e+04  99.0000 
OBS: 59663.1860 Y WFD  3.8658e-01  1.379e-01    0  1.000 42.570  3.19 1.301e+04  99.0000 
OBS: 59668.9953 z WFD  6.1682e-04  3.941e-02    0  1.000 44.250  2.64 2.111e+04  99.0000 
OBS: 59682.0667 Y WFD  3.0562e-02  5.305e-02    0  1.000 42.600  1.13 1.452e+04  99.0000 
OBS: 59684.0506 Y WFD  1.1847e-02  6.587e-02    0  1.000 42.610  1.28 1.606e+04  99.0000 
OBS: 59685.0635 Y WFD  6.3158e-02  5.826e-02    0  1.000 42.610  1.12 1.624e+04  99.0000 
OBS: 59686.1774 Y WFD -4.3323e-02  8.805e-02    0  1.000 42.520  1.48 1.710e+04  99.0000 
OBS: 59712.0845 Y WFD -1.7515e-01  1.647e-01    0  1.000 42.540  3.11 1.550e+04  99.0000 
OBS: 59724.9614 z WFD  4.5520e-03  2.780e-02    0  1.000 43.510  1.43 1.390e+04  99.0000 
OBS: 59769.9668 z WFD  4.8309e-02  4.030e-02    0  1.000 44.230  1.91 2.929e+04  99.0000 
OBS: 59770.9547 z WFD  8.3745e-02  7.963e-02    0  1.000 43.500  1.80 3.135e+04  99.0000 
OBS: 59899.3500 z WFD  1.8224e+00  4.048e-02 4096  1.000 44.250  2.18 2.625e+04  26.8377 
OBS: 59905.3332 u WFD  6.8608e-03  3.456e-02    0  1.000 41.110  2.67 1.012e+03  35.9883 
OBS: 59906.3262 r WFD  5.5297e-02  1.148e-02 6144  1.000 45.240  2.88 1.402e+04  30.4026 
OBS: 59914.3484 z WFD  1.0544e+00  3.805e-02 4096  1.000 43.510  1.65 1.649e+04  27.4204 
OBS: 59917.3402 z WFD  9.6557e-01  3.264e-02 4096  1.000 43.500  1.63 1.419e+04  27.5189 
OBS: 59918.2990 Y WFD  1.7243e+00  7.713e-02 4096  1.000 42.530  1.59 1.407e+04  26.8536 
OBS: 59920.2957 Y WFD  1.7606e+00  5.064e-02 4096  1.000 43.740  1.71 2.617e+04  26.9174 
OBS: 59922.3331 z WFD  8.6166e-01  2.698e-02 4096  1.000 44.270  1.45 2.679e+04  27.6550 
OBS: 59927.3119 i WFD  4.5489e-01  2.652e-02 4096  1.000 44.630  2.25 2.365e+04  28.4830 
OBS: 59930.3282 r WFD  5.9748e-02  1.222e-02    0  1.000 44.130  1.54 1.004e+04  30.8374 
OBS: 59931.3518 z WFD  7.9689e-01  3.182e-02 4096  1.000 44.280  1.59 2.908e+04  27.8041 
OBS: 59932.2496 g WFD  9.7331e-03  4.548e-03    0  1.000 44.740  1.48 6.821e+03  32.6829 
