SURVEY:   LSST
SNID:     1263013
IAUC:     NULL
SNTYPE:   110
RA:       132.864987  # deg
DEC:      -22.044899  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1698 +- 0.0085  # MW E(B-V) 
PEAKMJD:  59633.176     # estimate for LC fit codes
MJD_TRIGGER:       59600.367  
MJD_DETECT_FIRST:  59598.273  
MJD_DETECT_LAST:   59920.254  

REDSHIFT_HELIO:   1.287040 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.289295 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8013    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.22883  
SIM_REDSHIFT_CMB:    1.23103  
SIM_REDSHIFT_HOST:   1.28704  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9566186961 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.119 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.348 -9.000 
SIM_DLMU:            44.6565   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1061   # mag 
SIM_RA:              132.864990     # deg  
SIM_DEC:             -22.044899      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1656   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59633.176    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.4098e-06 
SIM_SALT2x1:         0.3359 
SIM_SALT2c:          0.0057 
SIM_SALT2mB:         25.2621 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -22.37  # days 
SIM_TRESTMAX:        467.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.34  30.41  27.23  25.56  24.80  24.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 148 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2731 u WFD -7.2109e-03  1.802e-02    0  1.000 41.350  1.71 1.028e+03  99.0000 
OBS: 59588.1551 Y WFD -4.6596e-02  8.284e-02    0  1.000 42.530  1.79 1.342e+04  99.0000 
OBS: 59589.3446 i WFD -1.2949e-02  2.177e-02    0  1.000 43.830  2.03 1.030e+04  99.0000 
OBS: 59594.1248 Y WFD  1.8613e-01  9.378e-02    0  1.000 42.540  1.80 1.525e+04  29.4402 
OBS: 59597.1549 Y WFD  4.2910e-01  1.303e-01    0  1.000 42.560  2.30 1.689e+04  28.3515 
OBS: 59598.2733 z WFD  5.6426e-01  5.788e-02 4096  1.000 44.290  2.65 3.204e+04  28.1139 
OBS: 59600.3657 z WFD  1.2142e+00  4.989e-02 6144  1.000 44.250  1.93 3.655e+04  27.3506 
OBS: 59625.0625 Y WFD  1.2911e+01  9.015e-02 4096  1.000 42.560  1.60 1.679e+04  24.7213 
OBS: 59626.0614 z WFD  1.1986e+01  3.464e-02 4096  1.000 44.270  1.42 3.509e+04  24.8030 
OBS: 59631.2346 i WFD  6.2417e+00  1.612e-02 4096  1.000 45.360  2.06 3.073e+04  25.5109 
OBS: 59653.0921 Y WFD  8.9239e+00  5.475e-02 4096  1.000 43.350  1.66 2.034e+04  25.1086 
OBS: 59674.9911 z WFD  2.3811e+00  2.009e-02 4096  1.000 44.270  1.38 2.095e+04  26.5565 
OBS: 59681.0002 Y WFD  2.6122e+00  6.123e-02 4096  1.000 42.600  1.39 1.362e+04  26.4934 
OBS: 59682.0768 Y WFD  2.3892e+00  5.700e-02 4096  1.000 42.580  1.20 1.442e+04  26.5442 
OBS: 59684.0779 Y WFD  2.2482e+00  6.334e-02 4096  1.000 42.580  1.26 1.526e+04  26.6332 
OBS: 59686.0952 Y WFD  2.0245e+00  7.249e-02 4096  1.000 42.560  1.41 1.532e+04  26.7187 
OBS: 59711.9901 Y WFD  9.0169e-01  7.479e-02 4096  1.000 42.580  1.62 1.402e+04  27.5167 
OBS: 59713.0088 Y WFD  1.0068e+00  9.446e-02 4096  1.000 42.580  1.98 1.449e+04  27.5355 
OBS: 59714.0644 Y WFD  1.0141e+00  1.369e-01 4096  1.000 42.520  2.46 1.599e+04  27.5532 
OBS: 59723.9594 z WFD  6.0635e-01  2.924e-02 4096  1.000 44.260  1.71 2.440e+04  28.0304 
OBS: 59861.3820 Y WFD  3.1961e-01  1.268e-01    0  1.000 42.530  1.96 1.876e+04  28.7675 
OBS: 59877.3641 z WFD  1.2624e-01  4.010e-02    0  1.000 43.500  1.84 1.544e+04  29.4500 
OBS: 59880.3639 z WFD  1.5862e-01  2.918e-02    0  1.000 43.500  1.29 1.603e+04  29.4762 
OBS: 59883.3586 z WFD  1.4410e-01  3.176e-02    0  1.000 43.500  1.49 1.510e+04  29.5022 
OBS: 59887.3602 z WFD  1.5078e-01  3.963e-02    0  1.000 43.500  1.70 1.652e+04  29.5370 
OBS: 59896.3267 i WFD  2.2532e-02  3.986e-02    0  1.000 43.860  2.39 1.646e+04  31.0601 
OBS: 59901.3117 r WFD  8.8548e-03  1.228e-02    0  1.000 44.840  2.43 1.230e+04  33.4603 
OBS: 59902.3501 z WFD  1.1358e-01  6.079e-02    0  1.000 43.510  2.88 1.509e+04  29.6666 
OBS: 59903.3252 r WFD  9.1883e-03  8.960e-03    0  1.000 44.820  1.98 1.081e+04  33.4802 
