SURVEY:   LSST
SNID:     1265379
IAUC:     NULL
SNTYPE:   110
RA:       124.256684  # deg
DEC:      -17.623234  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0815 +- 0.0041  # MW E(B-V) 
PEAKMJD:  60542.410     # estimate for LC fit codes
MJD_TRIGGER:       60587.363  
MJD_DETECT_FIRST:  60580.395  
MJD_DETECT_LAST:   60667.270  

REDSHIFT_HELIO:   1.363275 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.365378 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           10379    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.39797  
SIM_REDSHIFT_CMB:    1.40010  
SIM_REDSHIFT_HOST:   1.36328  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8754402756 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.674 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.619 -9.000 
SIM_DLMU:            45.0023   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0003   # mag 
SIM_RA:              124.256683     # deg  
SIM_DEC:             -17.623234      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0864   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60542.410    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.0358e-07 
SIM_SALT2x1:         0.3184 
SIM_SALT2c:          0.0902 
SIM_SALT2mB:         25.8724 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -399.21  # days 
SIM_TRESTMAX:        54.47  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.39  32.70  29.38  26.94  25.88  25.14  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 147 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2793 u WFD -7.7830e-03  1.508e-02    0  1.000 42.090  1.99 1.461e+03  99.0000 
OBS: 59588.1511 Y WFD  5.1615e-02  7.916e-02    0  1.000 42.550  1.78 1.314e+04  99.0000 
OBS: 59592.2333 z WFD  6.1531e-03  2.304e-02    0  1.000 44.270  1.58 2.100e+04  99.0000 
OBS: 59594.1156 Y WFD -3.3967e-02  6.704e-02    0  1.000 43.290  1.82 2.151e+04  99.0000 
OBS: 59597.1468 Y WFD -1.0093e-01  1.307e-01    0  1.000 42.590  2.32 1.726e+04  99.0000 
OBS: 59598.2634 z WFD -1.6705e-02  6.303e-02    0  1.000 44.280  2.76 3.319e+04  99.0000 
OBS: 59623.0284 z WFD  2.7851e-02  5.427e-02    0  1.000 44.250  2.03 3.780e+04  99.0000 
OBS: 59625.0607 Y WFD -6.5144e-02  8.737e-02    0  1.000 42.560  1.56 1.670e+04  99.0000 
OBS: 59626.0642 z WFD -3.3534e-02  3.292e-02    0  1.000 44.280  1.38 3.467e+04  99.0000 
OBS: 59631.1776 i WFD -2.3358e-02  1.932e-02    0  1.000 44.610  1.88 2.024e+04  99.0000 
OBS: 59633.1349 g WFD -1.4320e-02  9.740e-03    0  1.000 44.090  2.51 4.734e+03  99.0000 
OBS: 59647.0142 Y WFD  6.3863e-03  9.630e-02    0  1.000 42.570  2.19 1.323e+04  99.0000 
OBS: 59665.9897 Y WFD -1.1001e-01  1.125e-01    0  1.000 42.580  2.18 1.567e+04  99.0000 
OBS: 59683.0079 Y WFD -5.4902e-02  5.390e-02    0  1.000 42.600  1.16 1.437e+04  99.0000 
OBS: 59685.0044 Y WFD  2.0634e-02  3.840e-02    0  1.000 43.350  1.14 2.079e+04  99.0000 
OBS: 59686.1050 Y WFD  9.3720e-03  6.293e-02    0  1.000 43.270  1.59 2.269e+04  99.0000 
OBS: 59702.9774 z WFD -2.1854e-02  2.097e-02    0  1.000 44.250  1.55 1.913e+04  99.0000 
OBS: 59703.9682 z WFD -4.7147e-02  2.844e-02    0  1.000 43.500  1.42 1.419e+04  99.0000 
OBS: 59712.0180 Y WFD -3.4559e-02  6.928e-02    0  1.000 43.280  1.90 2.110e+04  99.0000 
OBS: 59717.9747 Y WFD  1.5431e-02  9.592e-02    0  1.000 42.550  2.16 1.312e+04  99.0000 
OBS: 59719.9712 Y WFD  4.1179e-02  7.773e-02    0  1.000 42.550  1.74 1.320e+04  99.0000 
OBS: 59723.9547 z WFD  1.4347e-03  3.740e-02    0  1.000 44.260  1.98 2.696e+04  99.0000 
OBS: 59861.3480 Y WFD -2.8523e-02  9.352e-02    0  1.000 42.500  1.65 1.599e+04  99.0000 
OBS: 59870.3525 i WFD  3.0176e-02  2.272e-02    0  1.000 43.830  1.70 1.284e+04  99.0000 
OBS: 59874.3381 u WFD  2.8283e-02  2.735e-02    0  1.000 41.120  2.18 9.898e+02  99.0000 
OBS: 59877.3704 z WFD  5.5911e-03  4.645e-02    0  1.000 43.520  1.75 1.916e+04  99.0000 
OBS: 59878.3370 g WFD  2.3158e-03  4.600e-03    0  1.000 44.780  1.53 6.925e+03  99.0000 
OBS: 59879.3117 g WFD  4.0612e-03  6.096e-03    0  1.000 44.720  1.93 6.884e+03  99.0000 
OBS: 59880.3612 z WFD -1.4076e-02  2.794e-02    0  1.000 43.510  1.35 1.480e+04  99.0000 
