SURVEY:   LSST
SNID:     1267094
IAUC:     NULL
SNTYPE:   110
RA:       208.122324  # deg
DEC:      -14.781281  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0782 +- 0.0039  # MW E(B-V) 
PEAKMJD:  59898.035     # estimate for LC fit codes
MJD_TRIGGER:       59972.367  
MJD_DETECT_FIRST:  59946.363  
MJD_DETECT_LAST:   60154.016  

REDSHIFT_HELIO:   0.931571 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.933393 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5938808380  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9316  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          208.122418    # deg 
HOSTGAL_DEC:         -14.781397    # deg 
HOSTGAL_SNSEP:       0.251       # arcsec 
HOSTGAL_DDLR:        1.200       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.887 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.075
HOSTGAL_SQRADIUS:     8.496   # Ixx + Iyy
HOSTGAL_MAG:     25.24  24.93  24.20  23.20  22.82  22.68 # ugrizY
HOSTGAL_MAGERR:   0.12   0.02   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           12094    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.93157  
SIM_REDSHIFT_CMB:    0.93339  
SIM_REDSHIFT_HOST:   0.87800  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5938808380 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.485 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.887 -9.000 
SIM_DLMU:            43.9132   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0195   # mag 
SIM_RA:              208.122330     # deg  
SIM_DEC:             -14.781281      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0762   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59898.035    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.3307e-06 
SIM_SALT2x1:         0.9008 
SIM_SALT2c:          -0.0301 
SIM_SALT2mB:         24.3287 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -139.14  # days 
SIM_TRESTMAX:        331.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.31  27.39  24.92  23.97  23.88  23.99  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59629.2778 z WFD  2.0419e-02  2.221e-02    0  1.000 45.030  1.36 4.736e+04  99.0000 
OBS: 59645.4036 z WFD -1.1436e-01  8.164e-02    0  1.000 43.510  2.77 2.108e+04  99.0000 
OBS: 59652.1868 Y WFD -6.7394e-02  7.758e-02    0  1.000 43.290  2.22 2.041e+04  99.0000 
OBS: 59653.1829 Y WFD -7.5675e-02  1.102e-01    0  1.000 42.540  2.18 1.480e+04  99.0000 
OBS: 59655.1818 Y WFD  2.3767e-02  6.008e-02    0  1.000 43.730  1.78 2.956e+04  99.0000 
OBS: 59662.3471 i WFD  1.4817e-02  1.144e-02    0  1.000 46.240  2.38 4.247e+04  99.0000 
OBS: 59679.1040 z WFD -2.4533e-02  2.790e-02    0  1.000 44.240  1.77 2.208e+04  99.0000 
OBS: 59681.1142 z WFD -2.3841e-02  2.681e-02    0  1.000 44.240  1.56 2.407e+04  99.0000 
OBS: 59688.1514 z WFD  9.6321e-04  2.649e-02    0  1.000 45.480  2.04 5.700e+04  99.0000 
OBS: 59689.3069 z WFD -5.5135e-02  2.926e-02    0  1.000 44.260  1.53 2.729e+04  99.0000 
OBS: 59694.0495 g WFD  4.9770e-03  7.961e-03    0  1.000 44.720  2.32 7.479e+03  99.0000 
OBS: 59710.0607 i WFD -6.0751e-03  1.551e-02    0  1.000 45.370  1.91 3.221e+04  99.0000 
OBS: 59711.0099 Y WFD -1.2340e-01  6.823e-02    0  1.000 43.720  2.13 2.780e+04  99.0000 
OBS: 59716.0865 Y WFD -3.1910e-02  6.563e-02    0  1.000 44.070  2.18 3.606e+04  99.0000 
OBS: 59771.1087 z WFD -2.0639e-02  7.732e-02    0  1.000 43.480  2.27 2.369e+04  99.0000 
OBS: 59772.1062 Y WFD -9.2588e-02  8.187e-02    0  1.000 43.260  1.98 2.349e+04  99.0000 
OBS: 59785.9797 z WFD -5.2507e-02  6.310e-02    0  1.000 43.500  3.19 1.402e+04  99.0000 
OBS: 59789.0652 r WFD  1.3480e-02  1.433e-02    0  1.000 44.780  2.59 1.274e+04  99.0000 
OBS: 59790.0401 g WFD -4.5586e-04  1.113e-02    0  1.000 44.780  3.11 8.241e+03  99.0000 
OBS: 59791.0261 u WFD  4.8610e-03  3.014e-02    0  1.000 41.170  2.31 1.078e+03  99.0000 
OBS: 59946.3643 Y WFD  7.0803e+00  2.315e-01 4096  1.000 42.540  2.27 2.985e+04  25.3993 
OBS: 59964.3361 u WFD  9.2860e-02  3.072e-02    0  1.000 41.160  2.36 1.066e+03  30.0812 
OBS: 59972.3678 Y WFD  3.2524e+00  8.584e-02 6144  1.000 42.570  1.92 1.345e+04  26.2181 
OBS: 59978.2774 Y WFD  2.8094e+00  7.512e-02 4096  1.000 42.520  1.43 1.509e+04  26.3598 
OBS: 59979.2934 Y WFD  2.8062e+00  4.787e-02 4096  1.000 43.290  1.30 2.150e+04  26.3795 
OBS: 59980.3161 Y WFD  2.7563e+00  5.819e-02 4096  1.000 43.310  1.62 2.136e+04  26.3963 
OBS: 59991.2832 r WFD  2.8487e-01  8.348e-03 4096  1.000 44.850  1.69 1.213e+04  28.8839 
OBS: 59991.3901 z WFD  1.9658e+00  4.772e-02 4096  1.000 43.530  1.95 1.782e+04  26.7786 
OBS: 59994.2467 r WFD  2.7407e-01  7.085e-03 4096  1.000 45.560  2.00 1.673e+04  28.9227 
OBS: 59995.3350 r WFD  2.6250e-01  6.411e-03 4096  1.000 44.860  1.39 1.143e+04  28.9369 
OBS: 59996.3963 z WFD  1.8212e+00  4.405e-02 4096  1.000 43.530  1.45 2.213e+04  26.8254 
OBS: 59997.2278 u WFD  3.1704e-02  2.347e-02    0  1.000 41.090  1.78 1.012e+03  35.6065 
OBS: 59999.3559 g WFD -1.5870e-03  5.201e-03    0  1.000 44.890  1.76 7.533e+03  99.0000 
OBS: 60000.2480 g WFD -9.3951e-03  6.010e-03    0  1.000 44.790  1.88 7.431e+03  99.0000 
OBS: 60002.2315 r WFD  2.7066e-01  1.060e-02 4096  1.000 44.820  2.15 1.178e+04  29.0265 
OBS: 60006.2061 z WFD  1.7692e+00  3.763e-02 4096  1.000 44.230  2.14 2.440e+04  26.9171 
