SURVEY:   LSST
SNID:     1270484
IAUC:     NULL
SNTYPE:   110
RA:       6.835699  # deg
DEC:      -56.216361  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0108 +- 0.0005  # MW E(B-V) 
PEAKMJD:  59596.312     # estimate for LC fit codes
MJD_TRIGGER:       59773.328  
MJD_DETECT_FIRST:  59771.316  
MJD_DETECT_LAST:   59858.094  

REDSHIFT_HELIO:   1.269333 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.268153 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5877790242  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2693  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          6.835584    # deg 
HOSTGAL_DEC:         -56.216255    # deg 
HOSTGAL_SNSEP:       0.255       # arcsec 
HOSTGAL_DDLR:        2.152       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.189 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.201
HOSTGAL_SQRADIUS:     7.238   # Ixx + Iyy
HOSTGAL_MAG:     25.76  25.81  25.28  24.69  23.98  23.73 # ugrizY
HOSTGAL_MAGERR:   0.36   0.08   0.04   0.03   0.03   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           15484    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.26933  
SIM_REDSHIFT_CMB:    1.26815  
SIM_REDSHIFT_HOST:   1.26102  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5877790242 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.631 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.189 -9.000 
SIM_DLMU:            44.7396   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0139   # mag 
SIM_RA:              6.835699     # deg  
SIM_DEC:             -56.216362      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0099   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59596.312    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.2458e-06 
SIM_SALT2x1:         0.6145 
SIM_SALT2c:          0.0348 
SIM_SALT2mB:         25.3964 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        76.70  # days 
SIM_TRESTMAX:        475.19  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.38  30.55  27.44  25.69  24.94  24.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3585 Y WFD  3.8925e-01  6.421e-02    0  1.000 42.550  1.45 1.308e+04  28.4281 
OBS: 59771.3148 z WFD  2.6271e-01  2.289e-02 4096  1.000 45.000  1.87 3.454e+04  28.9142 
OBS: 59773.3270 Y WFD  4.5001e-01  3.400e-02 6144  1.000 44.510  1.57 3.891e+04  28.4510 
OBS: 59775.4082 z WFD  2.3467e-01  3.207e-02 4096  1.000 44.720  1.87 3.738e+04  28.9520 
OBS: 59777.3914 Y WFD  3.8170e-01  3.870e-02 4096  1.000 44.690  2.16 3.799e+04  28.4824 
OBS: 59778.3826 i WFD  6.6696e-02  1.669e-02    0  1.000 45.810  2.62 3.789e+04  30.3945 
OBS: 59778.4341 Y WFD  6.3326e-01  1.290e-01    0  1.000 42.580  2.69 1.457e+04  28.4905 
OBS: 59783.2261 r WFD  1.4517e-03  1.378e-02    0  1.000 44.760  2.86 1.089e+04  99.0000 
OBS: 59786.4340 z WFD  1.7384e-01  6.709e-02    0  1.000 43.500  3.13 1.519e+04  29.0533 
OBS: 59791.4326 z WFD  2.3766e-01  4.063e-02 4096  1.000 43.500  1.85 1.556e+04  29.0990 
OBS: 59801.2455 z WFD  2.7195e-01  4.222e-02 4096  1.000 44.260  2.17 2.776e+04  29.1883 
OBS: 59804.2975 z WFD  2.1682e-01  2.514e-02 4096  1.000 45.040  1.64 4.487e+04  29.2159 
OBS: 59805.1736 Y WFD  4.5260e-01  8.975e-02    0  1.000 42.520  1.55 1.664e+04  28.6961 
OBS: 59809.2015 r WFD  2.3744e-03  6.575e-03    0  1.000 45.590  1.66 1.924e+04  99.0000 
OBS: 59810.3198 i WFD  6.1787e-02  1.399e-02    0  1.000 44.590  1.73 1.564e+04  30.7240 
OBS: 59819.1540 u WFD  9.1707e-03  1.556e-02    0  1.000 42.240  2.11 1.632e+03  99.0000 
OBS: 59820.1460 i WFD  3.1341e-02  9.048e-03 4096  1.000 45.310  1.58 2.149e+04  30.8236 
OBS: 59821.1327 r WFD -4.9348e-03  8.805e-03    0  1.000 45.530  2.62 1.544e+04  99.0000 
OBS: 59823.1481 g WFD -6.7573e-03  9.075e-03    0  1.000 44.730  3.07 6.502e+03  99.0000 
OBS: 59830.1800 Y WFD  2.8702e-01  9.009e-02    0  1.000 42.560  1.75 1.535e+04  28.8868 
OBS: 59831.0914 Y WFD  2.7568e-01  7.664e-02 4096  1.000 43.700  2.13 3.065e+04  28.8938 
OBS: 59832.1185 Y WFD  2.8609e-01  8.150e-02    0  1.000 43.290  1.90 2.505e+04  28.9015 
OBS: 59837.2017 r WFD  4.7002e-03  1.223e-02    0  1.000 44.910  1.57 2.022e+04  99.0000 
OBS: 59840.0915 g WFD  5.4978e-03  6.551e-03    0  1.000 44.700  2.16 6.489e+03  99.0000 
OBS: 59843.0944 i WFD  4.3096e-02  1.211e-02    0  1.000 45.310  2.13 2.134e+04  31.0529 
OBS: 59858.0934 z WFD  1.2614e-01  1.940e-02 4096  1.000 45.020  1.52 3.668e+04  29.6950 
OBS: 59866.1378 i WFD  5.1520e-02  1.673e-02    0  1.000 44.610  1.83 1.801e+04  31.2789 
OBS: 59871.0652 r WFD -2.4970e-03  6.898e-03    0  1.000 44.810  1.56 1.047e+04  99.0000 
OBS: 59874.0525 u WFD -1.7280e-02  1.544e-02    0  1.000 41.940  1.88 1.379e+03  99.0000 
OBS: 59905.1327 u WFD  1.5277e-02  3.526e-02    0  1.000 41.130  2.92 9.613e+02  99.0000 
OBS: 59916.1719 i WFD  1.6573e-02  2.325e-02    0  1.000 44.580  1.87 2.382e+04  31.7561 
OBS: 59919.0391 z WFD  6.7591e-02  2.440e-02    0  1.000 45.030  1.74 4.067e+04  30.2190 
OBS: 59926.1333 r WFD  1.0924e-02  1.235e-02    0  1.000 44.020  1.79 7.890e+03  99.0000 
OBS: 59928.0738 g WFD  5.5655e-04  5.920e-03    0  1.000 44.780  2.03 6.717e+03  99.0000 
OBS: 59941.0930 i WFD  2.4509e-02  1.657e-02    0  1.000 44.550  1.88 1.642e+04  31.9875 
OBS: 59943.0807 r WFD  9.7432e-03  1.478e-02    0  1.000 44.840  2.12 1.698e+04  99.0000 
