SURVEY:   LSST
SNID:     1273517
IAUC:     NULL
SNTYPE:   110
RA:       340.659690  # deg
DEC:      -46.006120  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0083 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60627.977     # estimate for LC fit codes
MJD_TRIGGER:       60624.027  
MJD_DETECT_FIRST:  60602.129  
MJD_DETECT_LAST:   60661.051  

REDSHIFT_HELIO:   0.785515 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.784202 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5938817684  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7855  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          340.659778    # deg 
HOSTGAL_DEC:         -46.006213    # deg 
HOSTGAL_SNSEP:       0.213       # arcsec 
HOSTGAL_DDLR:        0.495       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.297 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.279
HOSTGAL_SQRADIUS:     13.454   # Ixx + Iyy
HOSTGAL_MAG:     23.60  23.39  22.75  21.85  21.48  21.34 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18517    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.78552  
SIM_REDSHIFT_CMB:    0.78419  
SIM_REDSHIFT_HOST:   0.79804  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5938817684 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.217 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.297 -9.000 
SIM_DLMU:            43.4509   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0315   # mag 
SIM_RA:              340.659698     # deg  
SIM_DEC:             -46.006119      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0079   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60627.977    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.6312e-06 
SIM_SALT2x1:         0.1711 
SIM_SALT2c:          -0.0294 
SIM_SALT2mB:         23.9708 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0398  # spectro-search efficiency 
SIM_TRESTMIN:        -492.47  # days 
SIM_TRESTMAX:        18.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.42  25.96  24.16  23.40  23.60  23.59  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.3083 z WFD -1.2509e-02  3.330e-02    0  1.000 44.270  1.89 2.537e+04  99.0000 
OBS: 59754.2424 i WFD  6.4578e-03  1.661e-02    0  1.000 44.560  2.03 1.539e+04  99.0000 
OBS: 59758.4418 z WFD -9.1364e-03  5.589e-02    0  1.000 43.520  2.29 1.761e+04  99.0000 
OBS: 59761.4119 g WFD  4.1003e-03  1.248e-02    0  1.000 44.050  3.19 4.601e+03  99.0000 
OBS: 59767.2060 Y WFD  6.4000e-02  1.198e-01    0  1.000 42.510  2.48 1.376e+04  99.0000 
OBS: 59773.3014 Y WFD  3.3746e-02  4.950e-02    0  1.000 43.790  1.60 2.863e+04  99.0000 
OBS: 59775.3642 z WFD  6.0090e-02  4.025e-02    0  1.000 44.730  2.07 4.278e+04  99.0000 
OBS: 59776.3562 z WFD  5.5948e-03  6.304e-02    0  1.000 44.290  3.03 3.052e+04  99.0000 
OBS: 59777.3621 Y WFD  8.5742e-02  1.093e-01    0  1.000 42.580  2.26 1.469e+04  99.0000 
OBS: 59783.4338 Y WFD  3.8200e-02  8.400e-02    0  1.000 42.540  1.70 1.446e+04  99.0000 
OBS: 59784.3947 r WFD -3.2543e-03  8.375e-03    0  1.000 44.830  1.85 1.092e+04  99.0000 
OBS: 59791.1417 u WFD  7.8936e-02  4.038e-02    0  1.000 40.980  3.01 9.297e+02  99.0000 
OBS: 59797.1174 z WFD  5.0836e-02  4.039e-02    0  1.000 44.240  2.53 2.236e+04  99.0000 
OBS: 59801.1970 z WFD -1.9106e-02  4.099e-02    0  1.000 44.280  1.95 3.055e+04  99.0000 
OBS: 59802.2100 Y WFD  2.5831e-02  9.097e-02    0  1.000 42.590  1.54 1.810e+04  99.0000 
OBS: 59804.2228 z WFD -6.4172e-02  3.788e-02    0  1.000 44.300  1.52 3.689e+04  99.0000 
OBS: 59808.3868 i WFD  1.5611e-02  1.598e-02    0  1.000 45.020  1.82 2.523e+04  99.0000 
OBS: 59809.1109 r WFD -2.1737e-03  4.693e-03    0  1.000 45.560  1.41 1.573e+04  99.0000 
OBS: 59812.0957 g WFD -1.1148e-02  5.822e-03    0  1.000 44.750  1.90 6.865e+03  99.0000 
OBS: 59813.1707 i WFD -5.0747e-03  1.295e-02    0  1.000 44.580  1.74 1.426e+04  99.0000 
OBS: 59819.1409 u WFD  1.4334e-02  1.411e-02    0  1.000 42.040  1.79 1.451e+03  99.0000 
OBS: 59832.1175 Y WFD -2.6138e-02  4.398e-02    0  1.000 44.340  1.65 4.094e+04  99.0000 
OBS: 59835.0111 r WFD -3.8363e-03  7.961e-03    0  1.000 44.760  1.61 1.118e+04  99.0000 
OBS: 59837.0127 r WFD  2.4879e-03  7.554e-03    0  1.000 44.790  1.57 1.118e+04  99.0000 
OBS: 59837.2958 i WFD  4.8755e-03  1.816e-02    0  1.000 44.580  1.69 2.059e+04  99.0000 
OBS: 59843.0842 i WFD  1.4791e-02  9.496e-03    0  1.000 45.340  1.82 2.013e+04  99.0000 
OBS: 59857.0293 z WFD  1.3343e-02  3.915e-02    0  1.000 43.520  1.61 1.755e+04  99.0000 
OBS: 59858.0753 z WFD  2.9945e-02  1.900e-02    0  1.000 45.040  1.41 3.945e+04  99.0000 
OBS: 59859.0927 Y WFD  1.9491e-02  3.774e-02    0  1.000 44.120  1.49 3.177e+04  99.0000 
OBS: 59860.0445 Y WFD -4.4770e-02  6.518e-02    0  1.000 43.340  1.74 2.291e+04  99.0000 
OBS: 59864.1606 i WFD -4.5291e-02  2.942e-02    0  1.000 43.880  1.69 1.750e+04  99.0000 
OBS: 59869.1172 r WFD  2.3608e-03  6.724e-03    0  1.000 44.840  1.57 1.043e+04  99.0000 
OBS: 59874.0678 u WFD  1.7492e-03  1.207e-02    0  1.000 42.120  1.62 1.477e+03  99.0000 
OBS: 59880.1740 r WFD -5.6023e-03  7.498e-03    0  1.000 44.800  1.59 1.106e+04  99.0000 
OBS: 59909.0728 u WFD -3.8075e-02  2.898e-02    0  1.000 41.180  2.41 1.002e+03  99.0000 
OBS: 59926.0402 z WFD -9.2505e-03  3.068e-02    0  1.000 44.250  1.56 2.781e+04  99.0000 
OBS: 59928.0701 g WFD -2.3546e-02  1.062e-02    0  1.000 43.940  2.21 5.104e+03  99.0000 
