SURVEY:   LSST
SNID:     2000454
IAUC:     NULL
SNTYPE:   140
RA:       185.306720  # deg
DEC:      -52.213202  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1463 +- 0.0073  # MW E(B-V) 
PEAKMJD:  60045.590     # estimate for LC fit codes
MJD_TRIGGER:       59929.324  
MJD_DETECT_FIRST:  59928.348  
MJD_DETECT_LAST:   60425.238  

REDSHIFT_HELIO:   2.757617 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.760754 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8831078460  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.7576  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          185.305915    # deg 
HOSTGAL_DEC:         -52.213297    # deg 
HOSTGAL_SNSEP:       1.151       # arcsec 
HOSTGAL_DDLR:        3.209       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.603 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.770
HOSTGAL_SQRADIUS:     10.833   # Ixx + Iyy
HOSTGAL_MAG:     28.02  27.14  26.83  27.01  27.17  27.01 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  871   # template index for SIMSED,NONIa
SIM_LIBID:           453    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.75762  
SIM_REDSHIFT_CMB:    2.76075  
SIM_REDSHIFT_HOST:   2.87037  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8831078460 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.431 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.603 -9.000 
SIM_DLMU:            46.8067   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0254   # mag 
SIM_RA:              185.306717     # deg  
SIM_DEC:             -52.213203      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1478   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60045.590    #  true PEAKMJD, days 
SIM_SALT2x0:         1.8937e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -116.62  # days 
SIM_TRESTMAX:        165.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    871.000000
SIMSED_param(bfield):    0.139535
SIMSED_param(mns):    1.728530
SIMSED_param(pspin):    2.729509
SIMSED_param(kappa):    0.098553
SIMSED_param(kappagamma):    0.262586
SIMSED_param(mej):    4.695058
SIMSED_param(temp):    4392.452637
SIMSED_param(vej):    6900.849609

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.74  31.68  29.11  27.65  26.78  26.20  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59607.2382 g WFD -1.9243e-04  5.632e-03    0  1.000 45.510  2.72 9.341e+03  99.0000 
OBS: 59607.3666 Y WFD -2.5852e-02  6.021e-02    0  1.000 43.320  1.96 1.844e+04  99.0000 
OBS: 59610.2203 i WFD -5.2185e-03  1.532e-02    0  1.000 44.560  1.88 1.533e+04  99.0000 
OBS: 59615.1910 r WFD  4.2888e-02  1.383e-02    0  1.000 44.780  2.90 1.098e+04  99.0000 
OBS: 59623.3838 z WFD  1.4051e-02  1.906e-02    0  1.000 45.020  1.55 3.533e+04  99.0000 
OBS: 59624.3878 z WFD -2.6301e-02  3.065e-02    0  1.000 44.260  1.81 2.416e+04  99.0000 
OBS: 59627.3864 z WFD  6.3428e-02  4.158e-02    0  1.000 44.270  1.81 3.308e+04  99.0000 
OBS: 59643.4055 z WFD -4.8274e-02  1.228e-01    0  1.000 43.500  2.92 2.981e+04  99.0000 
OBS: 59652.0899 Y WFD  2.9708e-02  8.719e-02    0  1.000 43.260  2.42 2.047e+04  99.0000 
OBS: 59654.0930 Y WFD -1.8574e-02  1.003e-01    0  1.000 43.280  2.70 2.148e+04  99.0000 
OBS: 59681.0341 z WFD -4.4888e-03  2.410e-02    0  1.000 44.240  1.44 2.344e+04  99.0000 
OBS: 59682.0292 Y WFD -2.7162e-02  7.025e-02    0  1.000 42.540  1.42 1.448e+04  99.0000 
OBS: 59683.0410 Y WFD  6.8592e-02  6.270e-02    0  1.000 42.560  1.26 1.483e+04  99.0000 
OBS: 59684.1565 Y WFD -4.7065e-03  6.895e-02    0  1.000 42.580  1.37 1.528e+04  99.0000 
OBS: 59686.1960 Y WFD -9.5707e-03  6.003e-02    0  1.000 43.330  1.50 2.425e+04  99.0000 
OBS: 59688.2929 z WFD -1.1500e-01  7.869e-02    0  1.000 43.480  2.68 2.043e+04  99.0000 
OBS: 59690.2732 i WFD -1.0647e-02  2.919e-02    0  1.000 44.590  2.51 2.249e+04  99.0000 
OBS: 59700.9708 z WFD -5.5286e-03  2.935e-02    0  1.000 44.240  1.55 2.653e+04  99.0000 
OBS: 59709.9938 i WFD -3.6465e-03  1.800e-02    0  1.000 44.600  1.76 1.996e+04  99.0000 
OBS: 59713.1460 Y WFD -5.6338e-04  7.935e-02    0  1.000 42.580  1.53 1.575e+04  99.0000 
OBS: 59728.9630 z WFD  1.6437e-02  3.397e-02    0  1.000 43.500  1.71 1.408e+04  99.0000 
OBS: 59768.9771 z WFD  3.2980e-02  2.584e-02    0  1.000 44.260  1.54 2.394e+04  99.0000 
OBS: 59770.0720 z WFD  1.6614e-02  4.397e-02    0  1.000 43.480  1.57 1.948e+04  99.0000 
OBS: 59788.9735 z WFD  8.3274e-03  3.319e-02    0  1.000 44.230  2.20 2.094e+04  99.0000 
OBS: 59928.3489 Y WFD  2.5599e+00  8.108e-02 4096  1.000 43.300  1.95 2.450e+04  26.5175 
OBS: 59929.3239 r WFD  3.5914e-01  1.681e-02 6144  1.000 44.080  1.69 1.203e+04  28.5797 
OBS: 59935.3129 i WFD  1.0223e+00  1.375e-02 4096  1.000 44.560  1.64 1.577e+04  27.4523 
OBS: 59935.3494 z WFD  1.9086e+00  2.595e-02 4096  1.000 44.250  1.31 2.800e+04  26.8215 
OBS: 59941.3056 i WFD  1.0875e+00  1.541e-02 4096  1.000 44.560  1.87 1.550e+04  27.3933 
OBS: 59945.2949 i WFD  1.1548e+00  1.618e-02 4096  1.000 44.540  1.90 1.572e+04  27.3615 
OBS: 59951.3567 z WFD  2.1226e+00  3.275e-02 4096  1.000 44.280  1.38 3.448e+04  26.6655 
OBS: 59952.2873 Y WFD  3.2614e+00  4.013e-02 4096  1.000 44.050  1.55 3.044e+04  26.2328 
OBS: 59956.3341 i WFD  1.1683e+00  2.263e-02 4096  1.000 44.620  2.04 2.205e+04  27.2967 
OBS: 59957.3543 Y WFD  3.2446e+00  5.445e-02 4096  1.000 43.330  1.68 1.963e+04  26.1934 
OBS: 59964.2545 u WFD  2.1702e-02  1.686e-02    0  1.000 41.870  1.92 1.382e+03  33.4565 
OBS: 59968.2408 u WFD -5.5885e-03  3.151e-02    0  1.000 41.080  2.50 9.582e+02  33.5196 
OBS: 59978.1935 Y WFD  3.5922e+00  9.185e-02 4096  1.000 42.520  1.76 1.499e+04  26.0909 
OBS: 59982.3420 z WFD  2.4020e+00  2.446e-02 4096  1.000 44.270  1.32 2.667e+04  26.5487 
OBS: 59985.3388 i WFD  1.2486e+00  2.722e-02 4096  1.000 43.880  1.56 1.754e+04  27.2700 
