SURVEY:   LSST
SNID:     2001191
IAUC:     NULL
SNTYPE:   140
RA:       221.544755  # deg
DEC:      -29.118568  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1067 +- 0.0053  # MW E(B-V) 
PEAKMJD:  60018.781     # estimate for LC fit codes
MJD_TRIGGER:       59980.289  
MJD_DETECT_FIRST:  59979.293  
MJD_DETECT_LAST:   60544.020  

REDSHIFT_HELIO:   2.286124 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.288450 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8753391934  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.2861  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          221.544719    # deg 
HOSTGAL_DEC:         -29.118834    # deg 
HOSTGAL_SNSEP:       0.481       # arcsec 
HOSTGAL_DDLR:        1.552       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.689 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.714
HOSTGAL_SQRADIUS:     12.630   # Ixx + Iyy
HOSTGAL_MAG:     26.55  26.45  25.95  25.59  24.74  24.56 # ugrizY
HOSTGAL_MAGERR:   1.01   0.08   0.05   0.06   0.05   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  138   # template index for SIMSED,NONIa
SIM_LIBID:           1190    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.28612  
SIM_REDSHIFT_CMB:    2.28844  
SIM_REDSHIFT_HOST:   2.19301  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8753391934 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.163 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.689 -9.000 
SIM_DLMU:            46.3129   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1887   # mag 
SIM_RA:              221.544754     # deg  
SIM_DEC:             -29.118568      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1113   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60018.781    #  true PEAKMJD, days 
SIM_SALT2x0:         2.9844e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -114.79  # days 
SIM_TRESTMAX:        161.25  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    138.000000
SIMSED_param(bfield):    0.315398
SIMSED_param(mns):    1.934373
SIMSED_param(pspin):    3.557880
SIMSED_param(kappa):    0.196405
SIMSED_param(kappagamma):    1.293866
SIMSED_param(mej):    2.325115
SIMSED_param(temp):    4837.729004
SIMSED_param(vej):    12265.482422

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.08  28.95  26.91  25.73  25.02  24.60  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.3005 u WFD -3.6756e-02  2.710e-02    0  1.000 41.270  2.36 1.040e+03  99.0000 
OBS: 59652.2786 Y WFD  5.1821e-02  8.329e-02    0  1.000 42.570  1.93 1.298e+04  99.0000 
OBS: 59653.2488 Y WFD  9.2954e-03  9.168e-02    0  1.000 42.580  2.01 1.385e+04  99.0000 
OBS: 59654.1924 Y WFD  6.2249e-02  6.485e-02    0  1.000 43.720  2.11 2.667e+04  99.0000 
OBS: 59665.3749 g WFD -2.3417e-03  6.956e-03    0  1.000 44.880  2.09 8.405e+03  99.0000 
OBS: 59675.1279 r WFD  5.4808e-03  1.152e-02    0  1.000 44.790  2.30 1.164e+04  99.0000 
OBS: 59675.4111 z WFD -4.4078e-02  3.465e-02    0  1.000 44.240  1.68 2.889e+04  99.0000 
OBS: 59676.4016 i WFD -2.3099e-02  2.613e-02    0  1.000 43.800  2.18 1.120e+04  99.0000 
OBS: 59683.1215 Y WFD -1.7745e-02  5.333e-02    0  1.000 43.280  1.42 2.173e+04  99.0000 
OBS: 59709.2184 i WFD -8.4213e-03  1.776e-02    0  1.000 44.610  2.26 1.548e+04  99.0000 
OBS: 59710.2035 i WFD  5.8133e-03  1.704e-02    0  1.000 44.630  1.75 1.954e+04  99.0000 
OBS: 59711.0385 Y WFD  6.5826e-02  8.419e-02    0  1.000 43.290  2.32 2.119e+04  99.0000 
OBS: 59746.1424 z WFD  5.4958e-02  2.827e-02    0  1.000 44.280  1.50 2.739e+04  99.0000 
OBS: 59748.2210 i WFD -2.0453e-02  2.300e-02    0  1.000 44.570  1.94 2.250e+04  99.0000 
OBS: 59748.9615 z WFD -3.1780e-02  2.207e-02    0  1.000 45.000  1.90 3.277e+04  99.0000 
OBS: 59749.9614 z WFD -4.1735e-02  2.810e-02    0  1.000 44.250  1.75 2.270e+04  99.0000 
OBS: 59751.9639 z WFD -1.3866e-02  2.935e-02    0  1.000 44.250  1.97 2.107e+04  99.0000 
OBS: 59772.1517 Y WFD -1.5399e-01  8.088e-02    0  1.000 43.280  1.78 2.629e+04  99.0000 
OBS: 59776.1283 i WFD  6.6381e-02  4.644e-02    0  1.000 43.850  2.61 1.740e+04  99.0000 
OBS: 59776.9562 z WFD  5.9362e-02  1.048e-01    0  1.000 43.540  3.00 2.569e+04  99.0000 
OBS: 59788.0789 r WFD  5.0946e-04  1.268e-02    0  1.000 44.810  2.60 1.155e+04  99.0000 
OBS: 59790.0289 g WFD  5.7790e-03  7.995e-03    0  1.000 44.840  2.64 7.371e+03  99.0000 
OBS: 59800.0620 Y WFD -8.2613e-02  1.064e-01    0  1.000 42.540  2.03 1.534e+04  99.0000 
OBS: 59800.9731 z WFD -2.6448e-02  3.421e-02    0  1.000 44.290  1.61 3.117e+04  99.0000 
OBS: 59802.0410 Y WFD -2.3043e-02  5.276e-02    0  1.000 43.750  1.75 2.690e+04  99.0000 
OBS: 59806.0257 r WFD -1.7399e-02  1.000e-02    0  1.000 44.830  2.00 1.206e+04  99.0000 
OBS: 59813.0063 r WFD -1.2351e-02  1.065e-02    0  1.000 44.840  2.11 1.229e+04  99.0000 
OBS: 59818.0022 u WFD  1.9268e-02  2.541e-02    0  1.000 41.260  2.05 1.113e+03  99.0000 
OBS: 59979.2943 Y WFD  1.4405e+01  7.278e-02 4096  1.000 42.520  1.35 1.547e+04  24.5884 
OBS: 59980.2894 Y WFD  1.4689e+01  5.863e-02 6144  1.000 43.270  1.50 2.239e+04  24.5832 
OBS: 59991.3216 r WFD  2.3739e+00  8.335e-03 4096  1.000 44.860  1.70 1.213e+04  26.5598 
OBS: 59997.2517 u WFD  5.7030e-03  2.575e-02    0  1.000 41.070  1.96 9.898e+02  31.3324 
OBS: 59999.2596 g WFD  3.8362e-01  5.929e-03 4096  1.000 44.790  1.87 7.365e+03  28.5209 
OBS: 60000.2363 g WFD  3.8151e-01  6.990e-03 4096  1.000 44.730  2.11 7.283e+03  28.5397 
OBS: 60006.2410 z WFD  1.0527e+01  3.683e-02 4096  1.000 44.250  2.24 2.323e+04  24.9459 
OBS: 60009.2031 Y WFD  1.4918e+01  1.200e-01 4096  1.000 42.500  2.11 1.603e+04  24.5560 
OBS: 60011.2512 Y WFD  1.5032e+01  1.004e-01 4096  1.000 42.560  1.84 1.625e+04  24.5625 
OBS: 60013.3877 z WFD  1.0114e+01  3.516e-02 4096  1.000 44.290  1.63 3.162e+04  24.9870 
OBS: 60019.3266 i WFD  5.0840e+00  1.411e-02 4096  1.000 44.600  1.79 1.535e+04  25.7358 
