SURVEY:   LSST
SNID:     2002993
IAUC:     NULL
SNTYPE:   140
RA:       110.927666  # deg
DEC:      -27.554046  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2630 +- 0.0131  # MW E(B-V) 
PEAKMJD:  60491.094     # estimate for LC fit codes
MJD_TRIGGER:       60435.969  
MJD_DETECT_FIRST:  60431.969  
MJD_DETECT_LAST:   60668.137  

REDSHIFT_HELIO:   2.552552 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.554898 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9692063322  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.5526  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          110.927582    # deg 
HOSTGAL_DEC:         -27.553988    # deg 
HOSTGAL_SNSEP:       0.155       # arcsec 
HOSTGAL_DDLR:        1.373       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.229 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.853
HOSTGAL_SQRADIUS:     6.232   # Ixx + Iyy
HOSTGAL_MAG:     27.57  27.57  27.31  27.22  26.91  26.66 # ugrizY
HOSTGAL_MAGERR:  26.62   0.16   0.20   0.18   0.31   1.49 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  443   # template index for SIMSED,NONIa
SIM_LIBID:           2992    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.55255  
SIM_REDSHIFT_CMB:    2.55491  
SIM_REDSHIFT_HOST:   2.50282  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9692063322 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.459 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.229 -9.000 
SIM_DLMU:            46.6035   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1094   # mag 
SIM_RA:              110.927666     # deg  
SIM_DEC:             -27.554047      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2616   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60491.094    #  true PEAKMJD, days 
SIM_SALT2x0:         2.2834e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -255.63  # days 
SIM_TRESTMAX:        51.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    443.000000
SIMSED_param(bfield):    1.757568
SIMSED_param(mns):    2.068480
SIMSED_param(pspin):    3.730057
SIMSED_param(kappa):    0.150262
SIMSED_param(kappagamma):    0.059621
SIMSED_param(mej):    2.490495
SIMSED_param(temp):    6103.490234
SIMSED_param(vej):    10244.670898

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.90  25.43  24.39  23.85  23.54  23.37  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 144 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3396 u WFD  1.5183e-02  2.315e-02    0  1.000 41.890  2.62 1.417e+03  99.0000 
OBS: 59583.3516 z WFD  1.1357e-01  3.781e-02    0  1.000 44.230  2.28 2.302e+04  99.0000 
OBS: 59584.3578 z WFD -4.0068e-02  5.278e-02    0  1.000 43.480  2.08 1.765e+04  99.0000 
OBS: 59590.0710 Y WFD -7.1189e-02  7.488e-02    0  1.000 42.510  1.52 1.402e+04  99.0000 
OBS: 59594.0796 Y WFD  4.0919e-02  6.330e-02    0  1.000 43.310  1.79 2.104e+04  99.0000 
OBS: 59600.2900 z WFD -1.0812e-02  3.392e-02    0  1.000 44.260  1.86 2.602e+04  99.0000 
OBS: 59601.3002 i WFD -5.6936e-03  1.578e-02    0  1.000 45.590  2.04 3.757e+04  99.0000 
OBS: 59602.0415 Y WFD -1.5097e-02  1.050e-01    0  1.000 42.540  2.08 1.477e+04  99.0000 
OBS: 59611.0389 z WFD -5.2364e-02  2.938e-02    0  1.000 44.690  2.00 3.115e+04  99.0000 
OBS: 59636.0152 z WFD -2.8185e-03  3.419e-02    0  1.000 44.270  2.05 2.402e+04  99.0000 
OBS: 59653.0516 Y WFD -1.0184e-01  6.358e-02    0  1.000 43.350  1.99 1.972e+04  99.0000 
OBS: 59655.0351 Y WFD  8.9682e-02  7.766e-02    0  1.000 42.600  1.66 1.447e+04  99.0000 
OBS: 59657.0927 z WFD -7.5403e-03  3.167e-02    0  1.000 44.270  1.72 2.652e+04  99.0000 
OBS: 59679.9894 Y WFD -1.5137e-02  6.158e-02    0  1.000 42.600  1.44 1.323e+04  99.0000 
OBS: 59682.9906 Y WFD -3.8314e-03  5.029e-02    0  1.000 42.600  1.13 1.377e+04  99.0000 
OBS: 59685.0291 Y WFD -5.8502e-02  4.488e-02    0  1.000 43.330  1.30 2.092e+04  99.0000 
OBS: 59693.9749 Y WFD -5.3746e-02  8.856e-02    0  1.000 42.570  2.03 1.313e+04  99.0000 
OBS: 59702.9634 z WFD -1.9248e-02  3.238e-02    0  1.000 43.520  1.37 1.706e+04  99.0000 
OBS: 59717.9720 Y WFD  1.6291e-02  1.074e-01    0  1.000 42.530  2.29 1.360e+04  99.0000 
OBS: 59850.3583 g WFD  6.0854e-03  6.169e-03    0  1.000 45.500  2.88 9.575e+03  99.0000 
OBS: 59851.3398 u WFD  4.6498e-02  2.866e-02    0  1.000 41.030  2.20 9.455e+02  99.0000 
OBS: 59859.3578 i WFD  1.5179e-02  2.188e-02    0  1.000 43.850  1.44 1.486e+04  99.0000 
OBS: 59860.3136 Y WFD -5.2100e-02  9.270e-02    0  1.000 42.520  1.73 1.540e+04  99.0000 
OBS: 59861.3109 Y WFD  3.7352e-02  8.399e-02    0  1.000 42.520  1.53 1.577e+04  99.0000 
OBS: 59864.3131 z WFD -3.2838e-02  3.323e-02    0  1.000 44.250  1.78 2.639e+04  99.0000 
OBS: 59874.2906 u WFD  5.3893e-03  1.826e-02    0  1.000 41.860  2.07 1.376e+03  99.0000 
OBS: 59878.2733 g WFD  3.1597e-03  3.405e-03    0  1.000 45.480  1.61 9.281e+03  99.0000 
OBS: 59883.3682 z WFD -2.0010e-03  2.481e-02    0  1.000 44.290  1.20 3.033e+04  99.0000 
OBS: 59884.3356 r WFD -3.9114e-03  5.161e-03    0  1.000 44.830  1.21 1.029e+04  99.0000 
OBS: 59895.3003 i WFD -2.3627e-02  1.224e-02    0  1.000 45.630  1.59 3.881e+04  99.0000 
OBS: 59901.2556 r WFD -9.8725e-03  8.794e-03    0  1.000 45.570  2.84 1.476e+04  99.0000 
OBS: 59903.2970 r WFD  1.8063e-03  7.900e-03    0  1.000 44.830  1.88 1.014e+04  99.0000 
OBS: 59904.2212 u WFD -6.0107e-02  3.075e-02    0  1.000 41.150  2.56 9.740e+02  99.0000 
OBS: 59906.2867 r WFD -2.3319e-03  8.371e-03    0  1.000 44.840  2.00 1.019e+04  99.0000 
OBS: 59917.2039 z WFD -8.8764e-03  1.289e-02    0  1.000 45.760  1.58 4.636e+04  99.0000 
OBS: 59919.1941 z WFD -2.1620e-02  3.227e-02    0  1.000 44.260  1.75 2.631e+04  99.0000 
OBS: 59920.1934 Y WFD -8.8116e-03  7.805e-02    0  1.000 42.560  1.52 1.531e+04  99.0000 
OBS: 59923.1865 z WFD  6.7317e-02  2.837e-02    0  1.000 44.270  1.42 2.877e+04  99.0000 
OBS: 59926.3132 i WFD  1.4281e-02  1.775e-02    0  1.000 44.640  1.64 2.191e+04  99.0000 
OBS: 59927.2373 r WFD  1.1204e-02  1.972e-02    0  1.000 44.190  1.88 1.403e+04  99.0000 
