SURVEY:   LSST
SNID:     2003708
IAUC:     NULL
SNTYPE:   40
RA:       53.030371  # deg
DEC:      -33.282366  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0096 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60614.977     # estimate for LC fit codes
MJD_TRIGGER:       60540.371  
MJD_DETECT_FIRST:  60531.320  
MJD_DETECT_LAST:   60674.098  

REDSHIFT_HELIO:   0.991110 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.990420 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8752520137  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9911  +- 0.0100 
HOSTGAL_SPECZ:       0.9911  +- 0.0000 
HOSTGAL_RA:          53.030397    # deg 
HOSTGAL_DEC:         -33.282427    # deg 
HOSTGAL_SNSEP:       0.116       # arcsec 
HOSTGAL_DDLR:        0.961       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.150 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.501
HOSTGAL_SQRADIUS:     9.644   # Ixx + Iyy
HOSTGAL_MAG:     26.30  26.29  25.48  24.67  23.93  23.64 # ugrizY
HOSTGAL_MAGERR:   0.28   0.13   0.06   0.04   0.03   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  831   # template index for SIMSED,NONIa
SIM_LIBID:           3707    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.99110  
SIM_REDSHIFT_CMB:    0.99041  
SIM_REDSHIFT_HOST:   1.04016  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8752520137 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.713 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.150 -9.000 
SIM_DLMU:            44.0751   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0029   # mag 
SIM_RA:              53.030373     # deg  
SIM_DEC:             -33.282364      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0096   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60614.977    #  true PEAKMJD, days 
SIM_SALT2x0:         2.3439e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9189  # spectro-search efficiency 
SIM_TRESTMIN:        -497.86  # days 
SIM_TRESTMAX:        29.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    831.000000
SIMSED_param(bfield):    0.543089
SIMSED_param(mns):    1.721615
SIMSED_param(pspin):    2.501173
SIMSED_param(kappa):    0.083351
SIMSED_param(kappagamma):    0.192721
SIMSED_param(mej):    7.603903
SIMSED_param(temp):    5500.320801
SIMSED_param(vej):    5509.735352

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.10  21.55  21.29  21.36  21.47  21.58  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59624.0304 z WFD -1.1751e-01  5.454e-02    0  1.000 44.280  2.61 3.037e+04  99.0000 
OBS: 59653.0036 Y WFD -1.1819e-01  1.650e-01    0  1.000 42.540  2.96 1.631e+04  99.0000 
OBS: 59821.2989 r WFD -1.0434e-02  7.270e-03    0  1.000 45.570  2.34 1.482e+04  99.0000 
OBS: 59823.3170 g WFD  1.3613e-03  4.887e-03    0  1.000 45.550  2.54 9.006e+03  99.0000 
OBS: 59832.2781 Y WFD  7.4689e-02  6.928e-02    0  1.000 43.330  1.88 2.233e+04  99.0000 
OBS: 59835.2863 Y WFD -1.6119e-02  3.763e-02    0  1.000 44.070  1.50 3.005e+04  99.0000 
OBS: 59836.2263 Y WFD -1.0211e-01  4.559e-02    0  1.000 44.040  1.75 3.035e+04  99.0000 
OBS: 59837.3783 i WFD  1.0280e-03  2.432e-02    0  1.000 43.880  1.63 1.501e+04  99.0000 
OBS: 59839.3249 r WFD -1.6374e-02  1.067e-02    0  1.000 44.920  1.76 1.589e+04  99.0000 
OBS: 59839.4000 z WFD  2.6217e-02  3.027e-02    0  1.000 43.520  1.38 1.583e+04  99.0000 
OBS: 59840.2229 g WFD -1.0062e-02  5.439e-03    0  1.000 44.720  1.85 6.407e+03  99.0000 
OBS: 59844.3983 z WFD  1.6765e-02  2.814e-02    0  1.000 44.280  1.67 2.449e+04  99.0000 
OBS: 59849.2086 r WFD  1.2679e-02  1.145e-02    0  1.000 44.800  2.54 1.057e+04  99.0000 
OBS: 59851.2231 u WFD  1.2777e-02  1.623e-02    0  1.000 42.370  2.42 1.673e+03  99.0000 
OBS: 59857.3462 i WFD  4.1859e-03  1.516e-02    0  1.000 43.840  1.50 9.797e+03  99.0000 
OBS: 59859.1736 Y WFD -2.5251e-02  5.792e-02    0  1.000 43.290  1.62 2.088e+04  99.0000 
OBS: 59861.1655 Y WFD -8.3419e-03  8.234e-02    0  1.000 43.290  2.01 2.392e+04  99.0000 
OBS: 59862.2717 z WFD -9.9194e-03  2.112e-02    0  1.000 45.270  1.47 5.198e+04  99.0000 
OBS: 59863.3404 z WFD  5.2008e-03  2.786e-02    0  1.000 44.290  1.38 2.961e+04  99.0000 
OBS: 59866.1753 i WFD  1.9744e-03  1.568e-02    0  1.000 45.350  1.95 3.132e+04  99.0000 
OBS: 59867.2329 r WFD -1.0651e-02  1.124e-02    0  1.000 44.930  1.49 1.996e+04  99.0000 
OBS: 59868.1395 r WFD  9.5026e-03  7.602e-03    0  1.000 44.780  1.60 1.094e+04  99.0000 
OBS: 59886.1247 z WFD  2.0404e-02  2.171e-02    0  1.000 44.250  1.38 2.225e+04  99.0000 
OBS: 59887.1802 i WFD -4.1294e-03  1.071e-02    0  1.000 45.390  1.38 3.136e+04  99.0000 
OBS: 59904.0727 u WFD -2.0530e-02  2.009e-02    0  1.000 41.900  2.38 1.366e+03  99.0000 
OBS: 59908.1172 i WFD -1.1683e-02  1.629e-02    0  1.000 44.590  2.27 1.388e+04  99.0000 
OBS: 59909.0329 z WFD  1.2452e-02  2.970e-02    0  1.000 44.240  1.82 2.286e+04  99.0000 
OBS: 59914.0393 Y WFD  4.5230e-03  8.491e-02    0  1.000 42.550  1.81 1.386e+04  99.0000 
OBS: 59916.2088 i WFD -1.6401e-02  1.776e-02    0  1.000 44.630  1.64 2.173e+04  99.0000 
OBS: 59923.1444 i WFD  1.9660e-02  2.688e-02    0  1.000 43.890  1.50 1.818e+04  99.0000 
OBS: 59932.1197 g WFD  1.7037e-03  3.245e-03    0  1.000 44.830  1.24 6.312e+03  99.0000 
OBS: 59943.0984 r WFD  7.0942e-04  1.046e-02    0  1.000 44.910  1.76 1.544e+04  99.0000 
OBS: 59946.1985 i WFD  3.4060e-03  2.719e-02    0  1.000 44.600  2.16 2.457e+04  99.0000 
OBS: 59949.0826 z WFD  5.3609e-02  3.210e-02    0  1.000 44.280  1.81 2.578e+04  99.0000 
OBS: 59950.1340 Y WFD  8.6721e-02  6.450e-02    0  1.000 43.330  1.86 2.101e+04  99.0000 
OBS: 59968.1001 u WFD -1.7200e-02  2.905e-02    0  1.000 41.150  2.45 9.613e+02  99.0000 
OBS: 59978.0885 Y WFD  6.5537e-02  6.270e-02    0  1.000 42.560  1.28 1.460e+04  99.0000 
OBS: 59980.1226 Y WFD  5.8193e-02  9.524e-02    0  1.000 42.500  1.69 1.590e+04  99.0000 
OBS: 59992.0229 z WFD -2.7366e-02  3.431e-02    0  1.000 43.520  1.42 1.744e+04  99.0000 
OBS: 59995.0252 z WFD -1.1574e-03  3.419e-02    0  1.000 43.510  1.64 1.491e+04  99.0000 
