SURVEY:   LSST
SNID:     2004733
IAUC:     NULL
SNTYPE:   140
RA:       99.584751  # deg
DEC:      -24.605830  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0696 +- 0.0035  # MW E(B-V) 
PEAKMJD:  60521.699     # estimate for LC fit codes
MJD_TRIGGER:       60390.008  
MJD_DETECT_FIRST:  60367.129  
MJD_DETECT_LAST:   60663.215  

REDSHIFT_HELIO:   2.183918 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.185423 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10388192120  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.1839  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          99.584754    # deg 
HOSTGAL_DEC:         -24.605818    # deg 
HOSTGAL_SNSEP:       0.024       # arcsec 
HOSTGAL_DDLR:        0.217       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.624 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.567
HOSTGAL_SQRADIUS:     11.750   # Ixx + Iyy
HOSTGAL_MAG:     26.11  25.93  26.28  26.29  26.30  26.38 # ugrizY
HOSTGAL_MAGERR:   0.21   0.06   0.08   0.12   0.19   1.31 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  922   # template index for SIMSED,NONIa
SIM_LIBID:           4732    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.18392  
SIM_REDSHIFT_CMB:    2.18542  
SIM_REDSHIFT_HOST:   2.07811  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10388192120 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.802 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.624 -9.000 
SIM_DLMU:            46.1915   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1649   # mag 
SIM_RA:              99.584755     # deg  
SIM_DEC:             -24.605831      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0696   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60521.699    #  true PEAKMJD, days 
SIM_SALT2x0:         3.3375e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -294.50  # days 
SIM_TRESTMAX:        46.58  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    922.000000
SIMSED_param(bfield):    0.513149
SIMSED_param(mns):    1.416940
SIMSED_param(pspin):    4.288570
SIMSED_param(kappa):    0.133626
SIMSED_param(kappagamma):    0.031948
SIMSED_param(mej):    4.801350
SIMSED_param(temp):    3682.253906
SIMSED_param(vej):    5592.729492

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.58  27.96  26.32  25.41  24.86  24.58  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0501 z WFD  1.4093e-02  3.285e-02    0  1.000 44.230  2.10 2.172e+04  99.0000 
OBS: 59584.0953 u WFD  8.0020e-02  3.064e-02    0  1.000 41.140  2.56 9.613e+02  99.0000 
OBS: 59585.0481 z WFD  4.2086e-02  4.212e-02    0  1.000 43.490  1.91 1.548e+04  99.0000 
OBS: 59586.0519 z WFD -1.1842e-01  4.214e-02    0  1.000 44.240  2.76 2.139e+04  99.0000 
OBS: 59597.0593 Y WFD  9.2359e-02  7.468e-02    0  1.000 43.320  2.01 2.230e+04  99.0000 
OBS: 59602.0537 Y WFD -2.4022e-02  1.030e-01    0  1.000 42.570  2.37 1.308e+04  99.0000 
OBS: 59603.1382 g WFD -1.1587e-02  9.394e-03    0  1.000 44.080  2.49 4.560e+03  99.0000 
OBS: 59607.0513 Y WFD -1.1859e-01  9.794e-02    0  1.000 42.570  2.31 1.276e+04  99.0000 
OBS: 59625.0759 Y WFD -3.8316e-02  5.543e-02    0  1.000 43.350  1.60 2.138e+04  99.0000 
OBS: 59636.0125 z WFD  1.1714e-02  4.221e-02    0  1.000 44.290  2.14 2.893e+04  99.0000 
OBS: 59652.0274 Y WFD -2.2435e-01  1.268e-01    0  1.000 42.600  2.89 1.358e+04  99.0000 
OBS: 59657.0376 z WFD  2.2547e-02  2.828e-02    0  1.000 44.280  1.63 2.522e+04  99.0000 
OBS: 59662.0235 i WFD -2.3335e-02  1.411e-02    0  1.000 44.590  1.94 1.406e+04  99.0000 
OBS: 59664.9911 z WFD  1.9068e-03  6.067e-02    0  1.000 43.520  2.74 1.598e+04  99.0000 
OBS: 59667.9955 z WFD -8.0475e-03  4.035e-02    0  1.000 44.270  2.82 2.061e+04  99.0000 
OBS: 59677.9935 Y WFD  9.3018e-03  8.752e-02    0  1.000 42.570  2.01 1.310e+04  99.0000 
OBS: 59679.9880 Y WFD  5.4662e-02  6.588e-02    0  1.000 42.570  1.48 1.339e+04  99.0000 
OBS: 59685.0312 Y WFD  1.6908e-03  7.345e-02    0  1.000 42.540  1.41 1.525e+04  99.0000 
OBS: 59687.9828 Y WFD  1.5985e-01  1.089e-01    0  1.000 42.570  2.50 1.310e+04  99.0000 
OBS: 59690.9801 z WFD  5.9119e-03  2.654e-02    0  1.000 44.250  1.88 1.996e+04  99.0000 
OBS: 59699.9730 z WFD -3.3910e-02  3.674e-02    0  1.000 43.490  1.77 1.457e+04  99.0000 
OBS: 59709.9673 Y WFD -9.0359e-02  9.293e-02    0  1.000 42.520  1.80 1.483e+04  99.0000 
OBS: 59710.9779 Y WFD -7.1152e-02  1.270e-01    0  1.000 42.490  2.40 1.479e+04  99.0000 
OBS: 59712.9652 Y WFD -6.6639e-02  1.030e-01    0  1.000 42.540  1.96 1.538e+04  99.0000 
OBS: 59717.9657 Y WFD  4.8615e-02  1.488e-01    0  1.000 42.490  2.87 1.450e+04  99.0000 
OBS: 59840.3565 r WFD -2.8685e-03  1.172e-02    0  1.000 44.830  1.80 1.570e+04  99.0000 
OBS: 59843.3495 g WFD  5.3208e-03  5.437e-03    0  1.000 44.750  1.78 6.843e+03  99.0000 
OBS: 59851.3416 u WFD  3.2644e-02  2.259e-02    0  1.000 41.200  1.92 9.993e+02  99.0000 
OBS: 59854.3145 r WFD -4.1753e-03  5.992e-03    0  1.000 45.540  1.78 1.562e+04  99.0000 
OBS: 59857.3089 i WFD -1.1655e-02  1.551e-02    0  1.000 44.580  1.59 1.869e+04  99.0000 
OBS: 59859.3250 i WFD -1.2570e-02  1.411e-02    0  1.000 45.370  1.74 3.217e+04  99.0000 
OBS: 59861.2861 Y WFD -1.4180e-01  8.084e-02    0  1.000 42.520  1.48 1.569e+04  99.0000 
OBS: 59864.2820 z WFD  3.8788e-02  3.687e-02    0  1.000 44.240  1.87 2.762e+04  99.0000 
OBS: 59866.3419 i WFD  2.0086e-02  3.040e-02    0  1.000 43.870  1.88 1.611e+04  99.0000 
OBS: 59870.2857 i WFD -3.1772e-02  1.477e-02    0  1.000 44.570  1.76 1.593e+04  99.0000 
OBS: 59871.2613 g WFD  5.2140e-03  5.730e-03    0  1.000 44.700  1.88 6.521e+03  99.0000 
OBS: 59875.2683 r WFD  1.9273e-03  9.200e-03    0  1.000 44.800  2.01 1.074e+04  99.0000 
OBS: 59877.2422 r WFD  1.1895e-03  1.127e-02    0  1.000 44.780  2.37 1.096e+04  99.0000 
OBS: 59884.2355 r WFD  4.4919e-03  7.915e-03    0  1.000 44.800  1.58 1.175e+04  99.0000 
OBS: 59895.3319 i WFD  2.0103e-02  3.108e-02    0  1.000 43.890  1.81 1.742e+04  99.0000 
OBS: 59896.2997 i WFD  2.2470e-02  2.324e-02    0  1.000 44.640  2.08 2.262e+04  99.0000 
OBS: 59902.2035 r WFD  1.8203e-02  1.137e-02    0  1.000 44.790  2.51 1.053e+04  99.0000 
OBS: 59904.1777 u WFD  2.0177e-02  2.085e-02    0  1.000 41.800  2.31 1.331e+03  99.0000 
OBS: 59918.1266 Y WFD  8.5317e-03  6.012e-02    0  1.000 43.270  1.60 2.154e+04  99.0000 
OBS: 59919.1667 z WFD -8.1676e-03  3.062e-02    0  1.000 44.270  1.62 2.722e+04  99.0000 
OBS: 59920.1773 Y WFD  5.7742e-02  7.404e-02    0  1.000 42.580  1.44 1.561e+04  99.0000 
OBS: 59926.3189 i WFD  3.3544e-03  1.880e-02    0  1.000 44.620  1.72 2.173e+04  99.0000 
OBS: 59934.1077 g WFD -5.7121e-04  4.170e-03    0  1.000 44.760  1.43 6.593e+03  99.0000 
OBS: 59946.1542 i WFD -1.6572e-02  2.139e-02    0  1.000 44.630  2.06 2.084e+04  99.0000 
OBS: 59948.0893 z WFD  1.8034e-03  3.832e-02    0  1.000 44.270  2.07 2.666e+04  99.0000 
OBS: 59954.0534 Y WFD  3.1230e-02  8.183e-02    0  1.000 42.530  1.75 1.356e+04  99.0000 
OBS: 59954.2290 i WFD  1.7111e-02  4.123e-02    0  1.000 43.880  2.38 1.742e+04  99.0000 
OBS: 59956.0388 Y WFD -4.5718e-02  7.539e-02    0  1.000 43.300  1.70 2.614e+04  99.0000 
OBS: 59956.1610 r WFD  1.3922e-02  1.559e-02    0  1.000 44.930  2.26 1.824e+04  99.0000 
OBS: 59957.2605 r WFD  2.6335e-02  1.195e-02    0  1.000 44.890  1.61 1.892e+04  99.0000 
OBS: 59972.0301 Y WFD  1.1771e-01  1.232e-01    0  1.000 42.580  1.60 2.338e+04  99.0000 
OBS: 59982.2473 z WFD -1.8202e-02  6.008e-02    0  1.000 43.480  1.93 2.166e+04  99.0000 
OBS: 59983.0347 z WFD  2.7101e-02  2.488e-02    0  1.000 44.280  1.23 2.940e+04  99.0000 
OBS: 59985.1672 i WFD  2.6445e-02  1.477e-02    0  1.000 44.620  1.42 2.068e+04  99.0000 
OBS: 59989.0312 z WFD  4.2012e-03  2.690e-02    0  1.000 43.510  1.38 1.394e+04  99.0000 
OBS: 60008.0641 Y WFD  6.0332e-02  5.810e-02    0  1.000 43.340  1.76 2.018e+04  99.0000 
OBS: 60011.1293 Y WFD -1.2474e-01  9.421e-02    0  1.000 42.560  1.82 1.543e+04  99.0000 
OBS: 60012.0508 z WFD -1.8842e-02  4.059e-02    0  1.000 44.280  2.43 2.428e+04  99.0000 
OBS: 60014.0139 z WFD -3.0524e-02  2.921e-02    0  1.000 44.270  1.87 2.250e+04  99.0000 
OBS: 60031.9935 Y WFD -7.9766e-02  5.062e-02    0  1.000 42.600  1.14 1.373e+04  99.0000 
OBS: 60035.9985 Y WFD  3.4758e-03  6.560e-02    0  1.000 42.600  1.47 1.380e+04  99.0000 
OBS: 60038.0142 Y WFD  1.6013e-02  8.007e-02    0  1.000 42.580  1.70 1.430e+04  99.0000 
OBS: 60040.0477 Y WFD -1.4455e-02  1.102e-01    0  1.000 42.540  2.12 1.521e+04  99.0000 
OBS: 60053.0125 u WFD  4.9861e-03  2.075e-02    0  1.000 41.150  1.70 9.898e+02  99.0000 
OBS: 60058.9734 z WFD  2.2643e-03  3.275e-02    0  1.000 44.260  2.18 2.144e+04  99.0000 
OBS: 60066.9796 z WFD  6.3449e-02  3.159e-02    0  1.000 44.250  1.77 2.523e+04  99.0000 
OBS: 60068.9895 z WFD -8.8792e-02  4.625e-02    0  1.000 44.250  2.34 2.795e+04  99.0000 
