SURVEY:   LSST
SNID:     2012597
IAUC:     NULL
SNTYPE:   140
RA:       65.234203  # deg
DEC:      -24.980232  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0367 +- 0.0018  # MW E(B-V) 
PEAKMJD:  60324.457     # estimate for LC fit codes
MJD_TRIGGER:       60260.215  
MJD_DETECT_FIRST:  60249.312  
MJD_DETECT_LAST:   60671.047  

REDSHIFT_HELIO:   1.718725 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.718233 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8943432531  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.7187  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          65.234132    # deg 
HOSTGAL_DEC:         -24.980167    # deg 
HOSTGAL_SNSEP:       0.154       # arcsec 
HOSTGAL_DDLR:        1.596       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.687 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.298
HOSTGAL_SQRADIUS:     5.733   # Ixx + Iyy
HOSTGAL_MAG:     26.73  27.01  27.21  27.32  27.46  27.34 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  285   # template index for SIMSED,NONIa
SIM_LIBID:           12596    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.71873  
SIM_REDSHIFT_CMB:    1.71823  
SIM_REDSHIFT_HOST:   1.63115  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8943432531 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.392 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.687 -9.000 
SIM_DLMU:            45.5529   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0209   # mag 
SIM_RA:              65.234200     # deg  
SIM_DEC:             -24.980232      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0384   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60324.457    #  true PEAKMJD, days 
SIM_SALT2x0:         6.0094e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        -272.74  # days 
SIM_TRESTMAX:        127.51  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    285.000000
SIMSED_param(bfield):    0.127839
SIMSED_param(mns):    2.135957
SIMSED_param(pspin):    1.187977
SIMSED_param(kappa):    0.100718
SIMSED_param(kappagamma):    0.000255
SIMSED_param(mej):    22.960630
SIMSED_param(temp):    7183.489746
SIMSED_param(vej):    8461.288086

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.67  25.12  24.14  23.62  23.42  23.36  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0916 u WFD  1.0512e-02  2.159e-02    0  1.000 41.310  2.03 9.993e+02  99.0000 
OBS: 59588.1024 Y WFD -4.8165e-02  5.733e-02    0  1.000 43.340  1.96 1.789e+04  99.0000 
OBS: 59590.0571 Y WFD  5.5350e-03  6.483e-02    0  1.000 42.600  1.52 1.319e+04  99.0000 
OBS: 59591.0996 z WFD -2.2451e-02  2.545e-02    0  1.000 44.270  1.62 2.262e+04  99.0000 
OBS: 59597.0765 Y WFD  1.2278e-01  6.376e-02    0  1.000 43.350  1.92 2.049e+04  99.0000 
OBS: 59598.1215 z WFD -2.0691e-02  3.308e-02    0  1.000 45.020  2.58 3.684e+04  99.0000 
OBS: 59617.0466 Y WFD -1.4395e-01  9.845e-02    0  1.000 42.590  2.36 1.279e+04  99.0000 
OBS: 59630.0160 Y WFD -9.0168e-02  9.560e-02    0  1.000 42.600  1.38 2.143e+04  99.0000 
OBS: 59643.0091 z WFD  4.1297e-02  4.817e-02    0  1.000 43.520  1.93 1.801e+04  99.0000 
OBS: 59652.0003 Y WFD  5.7510e-02  1.372e-01    0  1.000 42.570  2.18 1.894e+04  99.0000 
OBS: 59791.3951 g WFD -6.0463e-04  6.147e-03    0  1.000 45.170  2.45 8.276e+03  99.0000 
OBS: 59802.4229 Y WFD -2.4118e-02  7.835e-02    0  1.000 42.580  1.65 1.442e+04  99.0000 
OBS: 59803.3552 Y WFD -1.9262e-02  9.244e-02    0  1.000 42.520  1.69 1.572e+04  99.0000 
OBS: 59805.3516 Y WFD -5.6557e-02  4.466e-02    0  1.000 44.040  1.71 3.043e+04  99.0000 
OBS: 59810.3733 i WFD -4.6002e-03  1.533e-02    0  1.000 44.600  1.69 1.771e+04  99.0000 
OBS: 59821.3789 r WFD -6.6803e-03  9.343e-03    0  1.000 44.830  2.17 1.038e+04  99.0000 
OBS: 59835.2852 Y WFD -6.5403e-02  7.273e-02    0  1.000 42.540  1.39 1.531e+04  99.0000 
OBS: 59836.3488 z WFD  2.9373e-02  2.947e-02    0  1.000 44.280  1.73 2.475e+04  99.0000 
OBS: 59841.3029 g WFD  1.1568e-02  8.256e-03    0  1.000 44.830  2.65 7.514e+03  99.0000 
OBS: 59842.3895 z WFD  1.9178e-02  3.032e-02    0  1.000 43.510  1.62 1.339e+04  99.0000 
OBS: 59844.2854 r WFD -3.1688e-03  8.198e-03    0  1.000 44.820  1.86 1.053e+04  99.0000 
OBS: 59850.2513 i WFD  1.0406e-02  1.269e-02    0  1.000 45.320  2.33 2.063e+04  99.0000 
OBS: 59851.2190 u WFD  1.2190e-02  2.756e-02    0  1.000 41.720  2.92 1.293e+03  99.0000 
OBS: 59859.1917 Y WFD  4.7552e-02  6.955e-02    0  1.000 43.260  1.85 2.135e+04  99.0000 
OBS: 59863.3690 z WFD  2.9732e-03  2.824e-02    0  1.000 44.290  1.33 3.115e+04  99.0000 
OBS: 59864.3528 z WFD  4.2278e-02  3.021e-02    0  1.000 44.280  1.62 2.710e+04  99.0000 
OBS: 59866.2526 i WFD -2.0896e-03  9.102e-03    0  1.000 46.570  1.82 5.991e+04  99.0000 
OBS: 59868.3440 r WFD  4.6120e-03  1.478e-02    0  1.000 44.180  1.50 1.306e+04  99.0000 
OBS: 59874.1745 u WFD -3.5496e-02  1.555e-02    0  1.000 41.880  1.80 1.372e+03  99.0000 
OBS: 59876.1624 g WFD  3.4949e-04  5.110e-03    0  1.000 44.760  1.75 6.603e+03  99.0000 
OBS: 59877.1548 r WFD  2.6681e-03  5.692e-03    0  1.000 45.540  1.72 1.535e+04  99.0000 
OBS: 59895.2631 i WFD  3.7712e-02  2.083e-02    0  1.000 44.640  1.78 2.369e+04  99.0000 
OBS: 59904.0895 u WFD  3.7565e-02  2.810e-02    0  1.000 41.090  2.25 9.582e+02  99.0000 
OBS: 59907.0869 r WFD  8.9812e-03  9.583e-03    0  1.000 44.800  2.09 1.076e+04  99.0000 
OBS: 59915.0485 z WFD -3.3952e-02  3.391e-02    0  1.000 44.230  1.98 2.377e+04  99.0000 
OBS: 59917.0405 z WFD -1.2424e-02  3.702e-02    0  1.000 44.240  1.88 2.759e+04  99.0000 
OBS: 59918.0733 Y WFD -5.9841e-03  5.440e-02    0  1.000 43.310  1.51 2.143e+04  99.0000 
OBS: 59920.0670 Y WFD  6.0476e-02  9.727e-02    0  1.000 42.560  1.76 1.648e+04  99.0000 
OBS: 59926.2081 r WFD  1.4136e-02  1.512e-02    0  1.000 44.170  1.37 1.449e+04  99.0000 
OBS: 59944.1152 i WFD  1.3079e-02  1.187e-02    0  1.000 44.620  1.30 1.815e+04  99.0000 
OBS: 59950.1049 Y WFD -1.0106e-02  5.717e-02    0  1.000 43.350  1.67 2.113e+04  99.0000 
OBS: 59953.1518 i WFD -2.4873e-02  4.086e-02    0  1.000 43.880  2.29 1.794e+04  99.0000 
OBS: 59975.1435 i WFD -1.4719e-04  2.464e-02    0  1.000 43.850  1.44 1.674e+04  99.0000 
OBS: 59976.0506 Y WFD -6.2538e-02  6.454e-02    0  1.000 42.600  1.46 1.367e+04  99.0000 
OBS: 59978.0615 Y WFD -3.0108e-02  5.482e-02    0  1.000 42.580  1.19 1.399e+04  99.0000 
OBS: 59979.0702 Y WFD  1.0862e-01  5.914e-02    0  1.000 42.580  1.25 1.437e+04  99.0000 
OBS: 59990.0889 r WFD  3.9219e-03  8.032e-03    0  1.000 44.800  1.74 1.083e+04  99.0000 
OBS: 60009.0295 Y WFD  1.5287e-01  1.246e-01    0  1.000 42.560  2.52 1.474e+04  99.0000 
OBS: 60011.0333 Y WFD -7.3970e-02  9.295e-02    0  1.000 42.540  1.82 1.495e+04  99.0000 
OBS: 60019.0034 z WFD -1.1824e-02  4.129e-02    0  1.000 43.500  1.84 1.590e+04  99.0000 
OBS: 60036.9871 Y WFD -3.9696e-02  1.099e-01    0  1.000 42.520  1.85 1.706e+04  99.0000 
OBS: 60145.4174 g WFD  2.7550e-03  6.138e-03    0  1.000 44.740  1.94 7.023e+03  99.0000 
OBS: 60158.3909 Y WFD -1.5591e-01  9.285e-02    0  1.000 42.540  1.78 1.527e+04  99.0000 
OBS: 60160.4252 z WFD  2.6333e-02  3.022e-02    0  1.000 44.270  1.71 2.545e+04  99.0000 
OBS: 60166.4136 r WFD  2.2323e-02  1.066e-02    0  1.000 44.100  1.55 8.472e+03  99.0000 
OBS: 60175.3498 r WFD  2.5309e-02  8.679e-03    0  1.000 44.800  1.88 1.083e+04  99.0000 
OBS: 60176.3732 u WFD  1.0129e-02  1.578e-02    0  1.000 41.940  1.90 1.395e+03  99.0000 
OBS: 60177.3313 g WFD  1.5010e-02  7.223e-03    0  1.000 44.730  2.38 6.676e+03  99.0000 
OBS: 60179.3631 i WFD -1.6337e-03  1.507e-02    0  1.000 44.570  1.96 1.460e+04  99.0000 
OBS: 60184.2886 Y WFD -1.0343e-01  1.050e-01    0  1.000 42.500  1.97 1.504e+04  99.0000 
OBS: 60193.3542 i WFD -7.5909e-03  1.327e-02    0  1.000 45.360  2.06 2.532e+04  99.0000 
OBS: 60193.4149 z WFD -4.8541e-02  6.546e-02    0  1.000 43.540  2.25 2.139e+04  99.0000 
OBS: 60198.2939 u WFD -7.6211e-02  3.228e-02    0  1.000 41.140  2.68 9.677e+02  99.0000 
OBS: 60200.2622 u WFD -1.3651e-02  3.340e-02    0  1.000 40.990  2.53 9.234e+02  99.0000 
OBS: 60200.3176 r WFD  6.2955e-03  9.878e-03    0  1.000 44.830  2.29 1.040e+04  99.0000 
OBS: 60211.2395 r WFD -1.8250e-02  1.506e-02    0  1.000 44.850  2.08 1.779e+04  99.0000 
OBS: 60214.2745 z WFD  1.8694e-02  2.178e-02    0  1.000 45.020  1.82 3.439e+04  99.0000 
OBS: 60215.2424 Y WFD -1.7305e-02  8.908e-02    0  1.000 43.300  2.40 2.188e+04  99.0000 
OBS: 60216.2432 z WFD  1.4486e-01  4.273e-02    0  1.000 44.260  2.00 3.048e+04  99.0000 
OBS: 60217.2262 Y WFD  9.5364e-02  5.893e-02    0  1.000 43.730  1.78 2.899e+04  99.0000 
OBS: 60232.2706 r WFD  1.4328e-02  1.015e-02    0  1.000 44.830  2.39 1.024e+04  99.0000 
