SURVEY:   LSST
SNID:     2017518
IAUC:     NULL
SNTYPE:   140
RA:       77.612700  # deg
DEC:      -17.101042  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0490 +- 0.0024  # MW E(B-V) 
PEAKMJD:  59585.129     # estimate for LC fit codes
MJD_TRIGGER:       59584.055  
MJD_DETECT_FIRST:  59580.055  
MJD_DETECT_LAST:   60355.086  

REDSHIFT_HELIO:   1.648453 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.648551 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7818133839  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.6485  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          77.612739    # deg 
HOSTGAL_DEC:         -17.101055    # deg 
HOSTGAL_SNSEP:       0.062       # arcsec 
HOSTGAL_DDLR:        1.551       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.568 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.039
HOSTGAL_SQRADIUS:     12.105   # Ixx + Iyy
HOSTGAL_MAG:     27.21  26.99  26.83  26.45  26.24  25.55 # ugrizY
HOSTGAL_MAGERR:  26.62   0.17   0.11   0.16   0.29   0.29 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  457   # template index for SIMSED,NONIa
SIM_LIBID:           17517    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.64845  
SIM_REDSHIFT_CMB:    1.64855  
SIM_REDSHIFT_HOST:   1.59643  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7818133839 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.712 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.568 -9.000 
SIM_DLMU:            45.4418   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0702   # mag 
SIM_RA:              77.612701     # deg  
SIM_DEC:             -17.101042      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0504   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59585.129    #  true PEAKMJD, days 
SIM_SALT2x0:         6.6571e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7228  # spectro-search efficiency 
SIM_TRESTMIN:        -1.92  # days 
SIM_TRESTMAX:        410.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    457.000000
SIMSED_param(bfield):    0.210695
SIMSED_param(mns):    1.754561
SIMSED_param(pspin):    1.086056
SIMSED_param(kappa):    0.167722
SIMSED_param(kappagamma):    0.001437
SIMSED_param(mej):    11.090447
SIMSED_param(temp):    6983.304688
SIMSED_param(vej):    12067.248047

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.65  22.73  22.15  21.87  21.83  21.87  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0544 Y WFD  1.7020e+02  9.059e-02 4096  1.000 42.550  2.00 1.325e+04  21.9222 
OBS: 59584.0557 z WFD  1.8432e+02  3.628e-02 6144  1.000 43.500  1.81 1.380e+04  21.8358 
OBS: 59585.0479 z WFD  1.8579e+02  2.614e-02 4096  1.000 44.260  1.63 2.226e+04  21.8274 
OBS: 59594.0605 Y WFD  1.8720e+02  5.426e-02 4096  1.000 43.330  1.52 2.131e+04  21.8187 
OBS: 59603.1930 i WFD  1.7667e+02  4.130e-02 4096  1.000 43.810  2.87 1.335e+04  21.8822 
OBS: 59615.0361 z WFD  1.8477e+02  3.120e-02 4096  1.000 43.520  1.52 1.426e+04  21.8331 
OBS: 59628.0333 z WFD  1.6879e+02  2.802e-02 4096  1.000 44.270  1.60 2.468e+04  21.9315 
OBS: 59633.0651 g WFD  3.4388e+01  6.813e-03 4096  1.000 44.790  2.26 6.685e+03  23.6587 
OBS: 59643.0129 z WFD  1.4455e+02  2.717e-02 4096  1.000 44.260  1.80 2.112e+04  22.1001 
OBS: 59650.0143 Y WFD  1.4373e+02  9.500e-02 4096  1.000 42.570  2.06 1.377e+04  22.1049 
OBS: 59659.0105 Y WFD  1.2933e+02  9.196e-02 4096  1.000 42.550  2.04 1.322e+04  22.2207 
OBS: 59680.9944 Y WFD  9.3697e+01  8.111e-02 4096  1.000 42.520  1.56 1.483e+04  22.5699 
OBS: 59686.9713 Y WFD  8.4651e+01  1.094e-01 4096  1.000 42.530  1.47 2.150e+04  22.6801 
OBS: 59805.3829 Y WFD  1.1932e+01  6.161e-02 4096  1.000 43.270  1.63 2.165e+04  24.8084 
OBS: 59810.3989 i WFD  4.2548e+00  1.498e-02 4096  1.000 44.590  1.56 1.854e+04  25.9283 
OBS: 59835.3148 Y WFD  8.4695e+00  8.135e-02 4096  1.000 42.540  1.54 1.545e+04  25.1878 
OBS: 59836.3695 z WFD  5.8340e+00  2.412e-02 4096  1.000 44.710  1.69 3.080e+04  25.5838 
OBS: 59850.3254 g WFD  1.0527e-01  7.818e-03 4096  1.000 44.800  2.78 6.597e+03  29.9664 
OBS: 59851.2580 u WFD  1.9371e-02  2.531e-02    0  1.000 41.750  2.71 1.316e+03  33.6924 
OBS: 59853.3518 r WFD  7.7670e-01  1.121e-02 4096  1.000 44.100  1.88 7.340e+03  27.7621 
OBS: 59860.2793 Y WFD  6.4014e+00  5.670e-02 4096  1.000 43.320  1.63 2.087e+04  25.4805 
OBS: 59861.2300 Y WFD  6.3262e+00  7.511e-02 4096  1.000 43.270  1.84 2.340e+04  25.4919 
OBS: 59866.3255 i WFD  2.3336e+00  2.101e-02 4096  1.000 44.640  1.72 2.473e+04  26.6000 
OBS: 59866.3807 z WFD  4.3578e+00  4.765e-02 4096  1.000 43.540  1.53 2.289e+04  25.9307 
OBS: 59870.2758 i WFD  2.2221e+00  1.321e-02 4096  1.000 44.590  1.70 1.501e+04  26.6442 
OBS: 59875.3227 r WFD  6.2667e-01  4.869e-03 4096  1.000 45.610  1.65 1.459e+04  28.0064 
OBS: 59876.2219 g WFD  8.9560e-02  4.484e-03 4096  1.000 44.760  1.55 6.540e+03  30.2542 
OBS: 59880.2659 r WFD  6.0078e-01  5.156e-03 4096  1.000 44.840  1.21 1.036e+04  28.0594 
OBS: 59896.2233 i WFD  1.7418e+00  1.750e-02 4096  1.000 45.390  2.26 3.128e+04  26.9181 
OBS: 59897.1806 r WFD  5.0447e-01  1.019e-02 4096  1.000 44.850  1.84 1.360e+04  28.2353 
OBS: 59900.1643 i WFD  1.6217e+00  1.860e-02 4096  1.000 44.570  2.40 1.471e+04  26.9578 
OBS: 59902.1913 r WFD  4.6782e-01  1.052e-02 4096  1.000 44.830  2.41 1.053e+04  28.2864 
OBS: 59904.1204 u WFD  2.3915e-02  3.788e-02    0  1.000 40.990  2.85 9.297e+02  34.2598 
OBS: 59905.1488 u WFD  3.3111e-03  2.896e-02    0  1.000 41.160  2.41 9.835e+02  34.2696 
OBS: 59915.0941 z WFD  2.6284e+00  2.722e-02 4096  1.000 44.240  1.67 2.282e+04  26.4373 
OBS: 59919.1583 z WFD  2.5713e+00  3.072e-02 4096  1.000 44.280  1.51 2.956e+04  26.4753 
OBS: 59920.1188 Y WFD  3.5896e+00  1.074e-01 4096  1.000 42.560  1.89 1.694e+04  26.1014 
OBS: 59926.1961 r WFD  3.8976e-01  1.027e-02 4096  1.000 44.940  1.34 2.045e+04  28.5212 
OBS: 59933.0468 z WFD  2.3046e+00  2.351e-02 4096  1.000 44.230  1.45 2.250e+04  26.6072 
