SURVEY:   LSST
SNID:     2018003
IAUC:     NULL
SNTYPE:   140
RA:       233.125584  # deg
DEC:      -5.382551  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0983 +- 0.0049  # MW E(B-V) 
PEAKMJD:  59614.359     # estimate for LC fit codes
MJD_TRIGGER:       59655.320  
MJD_DETECT_FIRST:  59652.266  
MJD_DETECT_LAST:   60549.004  

REDSHIFT_HELIO:   0.571122 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.571948 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8063126950  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5711  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          233.125656    # deg 
HOSTGAL_DEC:         -5.382468    # deg 
HOSTGAL_SNSEP:       0.181       # arcsec 
HOSTGAL_DDLR:        0.680       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.048 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.076
HOSTGAL_SQRADIUS:     9.485   # Ixx + Iyy
HOSTGAL_MAG:     27.44  24.98  23.39  22.25  21.82  21.52 # ugrizY
HOSTGAL_MAGERR:   0.65   0.03   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  788   # template index for SIMSED,NONIa
SIM_LIBID:           18002    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.57112  
SIM_REDSHIFT_CMB:    0.57195  
SIM_REDSHIFT_HOST:   0.59753  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8063126950 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.370 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.048 -9.000 
SIM_DLMU:            42.6119   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0017   # mag 
SIM_RA:              233.125580     # deg  
SIM_DEC:             -5.382551      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0933   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59614.359    #  true PEAKMJD, days 
SIM_SALT2x0:         9.0210e-18 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4202  # spectro-search efficiency 
SIM_TRESTMIN:        24.11  # days 
SIM_TRESTMAX:        598.71  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    788.000000
SIMSED_param(bfield):    0.303733
SIMSED_param(mns):    1.966621
SIMSED_param(pspin):    4.648213
SIMSED_param(kappa):    0.129185
SIMSED_param(kappagamma):    0.140734
SIMSED_param(mej):    2.574158
SIMSED_param(temp):    3290.420654
SIMSED_param(vej):    9594.691406

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.77  23.36  22.64  22.35  22.23  22.19  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2649 Y WFD  1.4712e+02  6.877e-02 4096  1.000 43.260  1.92 2.019e+04  22.0805 
OBS: 59655.3209 Y WFD  1.4664e+02  5.288e-02 6144  1.000 44.500  2.45 3.826e+04  22.0848 
OBS: 59656.4068 z WFD  1.2796e+02  8.977e-02 4096  1.000 43.520  2.65 2.437e+04  22.2317 
OBS: 59667.4046 z WFD  1.2174e+02  3.664e-02 4096  1.000 44.240  2.41 2.111e+04  22.2864 
OBS: 59672.4051 z WFD  1.1835e+02  4.789e-02 4096  1.000 43.480  2.18 1.512e+04  22.3169 
OBS: 59675.1980 r WFD  4.5948e+01  1.016e-02 4096  1.000 44.790  1.98 1.160e+04  23.3446 
OBS: 59676.3541 i WFD  8.3382e+01  1.598e-02 4096  1.000 44.580  1.99 1.501e+04  22.6973 
OBS: 59681.2048 z WFD  1.1174e+02  2.303e-02 4096  1.000 44.250  1.38 2.309e+04  22.3791 
OBS: 59699.2294 i WFD  6.4330e+01  1.584e-02 4096  1.000 44.580  2.01 1.482e+04  22.9788 
OBS: 59709.1741 i WFD  5.6221e+01  2.035e-02 4096  1.000 44.600  2.22 1.771e+04  23.1258 
OBS: 59710.0967 i WFD  5.5438e+01  2.094e-02 4096  1.000 44.580  1.82 2.184e+04  23.1400 
OBS: 59711.0957 Y WFD  1.1027e+02  9.567e-02 4096  1.000 42.520  1.81 1.510e+04  22.3919 
OBS: 59717.2873 z WFD  7.9346e+01  1.098e-01 4096  1.000 43.510  3.01 2.604e+04  22.7506 
OBS: 59751.1786 g WFD  1.5272e+00  9.235e-03 4096  1.000 44.010  2.06 5.069e+03  27.0320 
OBS: 59772.0413 Y WFD  5.3404e+01  2.901e-02 4096  1.000 45.290  1.82 5.858e+04  23.1810 
OBS: 59773.0859 Y WFD  5.2528e+01  6.592e-02 4096  1.000 43.330  1.70 2.343e+04  23.1975 
OBS: 59774.0436 z WFD  3.3898e+01  3.168e-02 4096  1.000 45.020  2.12 4.287e+04  23.6736 
OBS: 59774.9664 z WFD  3.3413e+01  3.537e-02 4096  1.000 44.260  1.86 2.707e+04  23.6913 
OBS: 59775.9869 z WFD  3.2770e+01  3.126e-02 4096  1.000 44.250  2.22 1.984e+04  23.7111 
OBS: 59776.9728 z WFD  3.2122e+01  6.186e-02 4096  1.000 43.500  3.08 1.421e+04  23.7307 
OBS: 59780.1075 r WFD  4.5074e+00  1.024e-02 4096  1.000 44.810  2.09 1.158e+04  25.8663 
OBS: 59791.0032 u WFD  1.6564e-02  2.327e-02    0  1.000 41.300  2.04 1.063e+03  32.7703 
OBS: 59800.0801 Y WFD  3.4203e+01  1.295e-01 4096  1.000 42.500  2.19 1.667e+04  23.6648 
OBS: 59809.0413 r WFD  1.9381e+00  8.894e-03 4096  1.000 44.790  1.71 1.207e+04  26.7817 
OBS: 59810.0137 r WFD  1.8807e+00  8.279e-03 4096  1.000 44.820  1.65 1.197e+04  26.8113 
OBS: 59820.0128 i WFD  7.0995e+00  2.595e-02 4096  1.000 43.800  2.09 1.158e+04  25.3709 
OBS: 59975.3682 z WFD  6.2810e+00  3.781e-02 4096  1.000 43.470  1.63 1.598e+04  25.4921 
OBS: 59979.3568 Y WFD  1.0474e+01  7.789e-02 4096  1.000 42.520  1.50 1.491e+04  24.9452 
OBS: 59980.3670 Y WFD  1.0390e+01  7.255e-02 4096  1.000 43.300  1.67 2.559e+04  24.9512 
OBS: 59991.3339 r WFD  6.4011e-01  9.584e-03 4096  1.000 44.810  1.78 1.274e+04  27.9861 
OBS: 59997.3454 u WFD  7.9964e-03  2.775e-02    0  1.000 41.220  2.28 1.053e+03  35.0879 
OBS: 60000.3564 g WFD  5.6379e-02  5.252e-03 4096  1.000 44.830  1.68 7.539e+03  30.6384 
OBS: 60003.3220 i WFD  2.4285e+00  1.824e-02 4096  1.000 44.570  2.24 1.545e+04  26.5455 
OBS: 60008.3126 Y WFD  9.0378e+00  9.691e-02 4096  1.000 43.280  2.74 2.046e+04  25.1129 
OBS: 60008.3947 z WFD  5.3195e+00  2.810e-02 4096  1.000 44.700  1.99 3.020e+04  25.6839 
OBS: 60009.2961 Y WFD  8.9164e+00  8.634e-02 4096  1.000 43.290  2.30 2.191e+04  25.1185 
OBS: 60011.3274 Y WFD  8.7463e+00  1.172e-01 4096  1.000 42.560  2.16 1.617e+04  25.1301 
OBS: 60018.4063 z WFD  5.1298e+00  5.737e-02 4096  1.000 43.510  2.07 1.981e+04  25.7407 
OBS: 60019.3668 i WFD  2.2200e+00  1.644e-02 4096  1.000 44.590  2.01 1.581e+04  26.6364 
OBS: 60020.3666 r WFD  5.4797e-01  5.570e-03 4096  1.000 45.610  1.64 1.679e+04  28.1517 
OBS: 60020.4067 z WFD  5.0029e+00  4.005e-02 4096  1.000 43.510  1.54 1.858e+04  25.7517 
OBS: 60026.3196 g WFD  4.9843e-02  3.851e-03 4096  1.000 44.840  1.30 7.210e+03  30.7850 
OBS: 60027.2483 u WFD  2.2121e-02  2.421e-02    0  1.000 41.150  1.94 1.012e+03  35.2570 
OBS: 60032.2890 i WFD  2.0640e+00  9.562e-03 4096  1.000 44.580  1.23 1.487e+04  26.7082 
OBS: 60038.2163 Y WFD  7.6113e+00  1.203e-01 4096  1.000 42.540  2.19 1.607e+04  25.2798 
OBS: 60040.2557 Y WFD  7.5742e+00  9.743e-02 4096  1.000 42.570  1.59 1.843e+04  25.2909 
OBS: 60046.3724 i WFD  1.9184e+00  1.500e-02 4096  1.000 45.340  1.97 2.938e+04  26.7852 
OBS: 60057.1978 g WFD  3.7008e-02  6.261e-03    0  1.000 44.800  2.03 7.235e+03  30.9533 
OBS: 60058.3054 r WFD  4.4589e-01  1.002e-02 4096  1.000 44.820  2.12 1.129e+04  28.3591 
OBS: 60059.2958 r WFD  4.4267e-01  9.964e-03 4096  1.000 44.830  2.12 1.133e+04  28.3643 
OBS: 60060.2654 r WFD  4.4846e-01  7.715e-03 4096  1.000 44.840  1.66 1.131e+04  28.3695 
OBS: 60065.1601 z WFD  3.9420e+00  2.196e-02 4096  1.000 45.000  1.80 3.440e+04  25.9952 
OBS: 60072.2591 z WFD  3.8763e+00  1.891e-02 4096  1.000 45.770  1.54 7.040e+04  26.0326 
OBS: 60080.1149 u WFD  2.4801e-02  1.765e-02    0  1.000 41.900  1.99 1.436e+03  35.5408 
OBS: 60091.0822 r WFD  3.6247e-01  1.382e-02 4096  1.000 44.830  2.35 1.418e+04  28.5304 
OBS: 60100.2484 Y WFD  5.6541e+00  8.175e-02 4096  1.000 43.740  2.05 3.524e+04  25.6064 
OBS: 60103.0892 r WFD  3.5718e-01  1.363e-02 4096  1.000 44.890  1.98 1.755e+04  28.5914 
OBS: 60121.9953 z WFD  3.0397e+00  3.424e-02 4096  1.000 44.240  2.05 2.339e+04  26.2855 
OBS: 60127.0337 Y WFD  5.1234e+00  8.206e-02 4096  1.000 43.750  1.92 3.812e+04  25.7397 
OBS: 60128.0590 Y WFD  5.0366e+00  1.080e-01 4096  1.000 42.590  1.97 1.679e+04  25.7447 
OBS: 60129.1422 Y WFD  5.1560e+00  9.015e-02 4096  1.000 42.540  1.63 1.618e+04  25.7500 
OBS: 60131.0563 i WFD  1.2890e+00  1.943e-02 4096  1.000 44.620  1.87 2.065e+04  27.2205 
OBS: 60133.0792 r WFD  3.2768e-01  8.941e-03 4096  1.000 44.840  1.94 1.122e+04  28.7401 
OBS: 60138.0544 i WFD  1.2829e+00  1.746e-02 4096  1.000 44.580  2.27 1.474e+04  27.2546 
OBS: 60147.9938 r WFD  2.8770e-01  1.070e-02 4096  1.000 44.850  2.20 1.195e+04  28.8120 
OBS: 60159.9906 z WFD  2.6189e+00  3.425e-02 4096  1.000 44.250  2.41 2.009e+04  26.4688 
OBS: 60162.0641 r WFD  2.8901e-01  1.014e-02 4096  1.000 44.820  2.05 1.182e+04  28.8788 
OBS: 60163.0094 g WFD  3.2758e-02  6.917e-03    0  1.000 44.850  2.24 7.586e+03  31.4834 
OBS: 60169.0111 i WFD  1.1067e+00  1.357e-02 4096  1.000 44.570  1.67 1.542e+04  27.4016 
OBS: 60184.0148 Y WFD  3.9792e+00  7.503e-02 4096  1.000 43.270  1.99 2.161e+04  26.0100 
OBS: 60340.3687 Y WFD  2.0671e+00  1.220e-01 4096  1.000 42.520  2.20 1.593e+04  26.6709 
OBS: 60341.3681 z WFD  1.2711e+00  3.033e-02 4096  1.000 44.240  1.54 2.758e+04  27.2454 
OBS: 60346.3779 z WFD  1.2071e+00  4.420e-02 4096  1.000 44.250  2.26 2.765e+04  27.2651 
OBS: 60350.3857 z WFD  1.2677e+00  4.714e-02 4096  1.000 43.510  1.78 1.894e+04  27.2808 
OBS: 60353.3924 z WFD  1.2290e+00  6.997e-02 4096  1.000 43.520  1.91 2.644e+04  27.2925 
OBS: 60355.3764 Y WFD  2.1221e+00  8.098e-02 4096  1.000 42.550  1.77 1.351e+04  26.7297 
OBS: 60359.3582 i WFD  5.2421e-01  1.119e-02 4096  1.000 44.580  1.39 1.543e+04  28.2064 
OBS: 60363.3292 Y WFD  2.1080e+00  1.108e-01 4096  1.000 42.540  2.15 1.508e+04  26.7609 
OBS: 60367.3102 Y WFD  1.8835e+00  1.290e-01 4096  1.000 42.520  2.26 1.641e+04  26.7765 
OBS: 60375.3770 i WFD  5.1061e-01  1.543e-02 4096  1.000 44.590  1.98 1.506e+04  28.2692 
OBS: 60380.3965 z WFD  1.1015e+00  3.724e-02 4096  1.000 43.500  1.84 1.434e+04  27.3984 
OBS: 60381.2907 u WFD -3.9425e-02  2.514e-02    0  1.000 41.840  2.76 1.395e+03  36.8690 
OBS: 60383.2831 r WFD  9.9687e-02  1.353e-02 4096  1.000 44.810  2.77 1.156e+04  29.8099 
OBS: 60389.2847 i WFD  4.6295e-01  1.622e-02 4096  1.000 44.570  2.05 1.502e+04  28.3237 
OBS: 60395.3511 z WFD  1.0544e+00  3.290e-02 4096  1.000 45.040  1.95 4.938e+04  27.4570 
OBS: 60406.2514 r WFD  1.1919e-01  1.175e-02 4096  1.000 44.830  2.51 1.129e+04  29.9000 
OBS: 60414.2590 r WFD  9.9486e-02  6.701e-03 4096  1.000 44.840  1.45 1.125e+04  29.9313 
OBS: 60415.1646 r WFD  1.0885e-01  7.898e-03 4096  1.000 44.790  1.57 1.169e+04  29.9349 
OBS: 60421.2649 z WFD  9.5759e-01  3.772e-02 4096  1.000 44.270  2.01 2.702e+04  27.5585 
OBS: 60429.3450 i WFD  4.1180e-01  2.717e-02 4096  1.000 43.850  1.58 1.682e+04  28.4807 
OBS: 60431.1390 g WFD  1.0572e-02  5.439e-03    0  1.000 44.760  1.68 7.321e+03  32.5975 
OBS: 60432.1884 g WFD  3.9300e-03  6.164e-03    0  1.000 44.820  2.00 7.365e+03  32.6016 
OBS: 60459.1296 i WFD  3.4421e-01  1.534e-02 4096  1.000 44.600  1.76 1.701e+04  28.5974 
OBS: 60460.1879 r WFD  8.8677e-02  1.067e-02 4096  1.000 44.880  1.95 1.382e+04  30.1114 
OBS: 60461.1520 g WFD  1.6277e-02  6.003e-03    0  1.000 44.840  2.01 7.270e+03  32.7151 
OBS: 60464.1614 r WFD  8.9072e-02  8.228e-03 4096  1.000 44.840  1.78 1.125e+04  30.1269 
OBS: 60466.1795 u WFD -1.5454e-02  3.732e-02    0  1.000 41.240  3.19 1.031e+03  37.2017 
OBS: 60467.1297 u WFD -6.0692e-04  2.690e-02    0  1.000 41.270  2.35 1.037e+03  37.2054 
OBS: 60483.0571 Y WFD  1.2693e+00  3.698e-02 4096  1.000 44.330  1.43 3.935e+04  27.2301 
OBS: 60484.1151 z WFD  8.0382e-01  2.666e-02 4096  1.000 45.010  1.71 4.439e+04  27.8048 
OBS: 60493.1159 r WFD  8.4230e-02  8.523e-03 4096  1.000 44.820  1.82 1.119e+04  30.2404 
OBS: 60499.0447 u WFD  3.8135e-02  2.622e-02    0  1.000 41.270  2.29 1.037e+03  37.3305 
OBS: 60504.9723 Y WFD  1.2093e+00  6.538e-02 4096  1.000 43.300  1.95 1.976e+04  27.3160 
OBS: 60510.1078 z WFD  6.6668e-01  5.150e-02 4096  1.000 44.260  2.18 3.371e+04  27.9066 
OBS: 60521.9939 r WFD  8.3186e-02  2.108e-02    0  1.000 44.090  3.19 8.061e+03  30.3536 
